n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
3,3,1.0254157883552309e+37,,1.0,5780.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:10000509,kepler:10000509,10000509,kepler_yang2019,kepler,,,True,1.0,False,0.95,yang2019_stars,yang2019_stars,,4.44,True,True,,bolometric,True,,
38,38,1.663412650370156e+35,7.231968999999999,0.9,5145.0,3000.0,3.0,True,3724.232305,1.227783936541937e+23,3.683351809625811e+23,1.540584664284128e+40,8.005112735704653e+40,-4.966685570371915,-5.682367452451409,0,0,[],kepler_yang2019:kepler:10000785,kepler:10000785,10000785,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,2.5,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.62,False,True,,bolometric,True,,
31,31,8.629785477669702e+33,,1.0,5115.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:10000941,kepler:10000941,10000941,kepler_yang2019,kepler,,,True,1.0,False,13.28,yang2019_stars,yang2019_stars,,4.48,True,True,,bolometric,True,,
9,9,2.3977284699638355e+34,,1.0,6103.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:10001584,kepler:10001584,10001584,kepler_yang2019,kepler,,,True,1.0,False,,,yang2019_stars,,4.38,True,True,,bolometric,True,,
21,21,5.133339643802892e+34,0.13713799999999998,1.0,6123.0,3000.0,3.0,True,4064.1905818,2.5874611145054927e+21,7.762383343516475e+21,4.7131731765441205e+37,2.4490366219935634e+38,-2.962913397373846,-3.67859527945334,0,0,[],kepler_yang2019:kepler:10002787,kepler:10002787,10002787,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.16,yang2019_stars,yang2019_stars,,3.95,True,True,,bolometric,True,,
45,45,7.836100548778139e+34,3.236008,1.0,4524.0,3000.0,3.0,True,3472.8205792,7.537977807272768e+22,2.2613933421818304e+23,7.411138534587859e+39,3.850940545151318e+40,-4.97578493150246,-5.691466813581954,0,0,[],kepler_yang2019:kepler:10002792,kepler:10002792,10002792,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.16,yang2019_stars,yang2019_stars,,4.61,True,True,,bolometric,True,,
54,53,3.5107507718483085e+35,7.698989,1.0,4633.0,3000.0,3.0,True,3518.9471338,1.754610583251804e+23,5.263831749755413e+23,2.631926558903034e+40,1.3675891565429935e+41,-4.874873766587754,-5.590555648667248,0,0,[],kepler_yang2019:kepler:10004510,kepler:10004510,10004510,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.37,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
11,11,5.552646171195662e+34,1.1175599999999999,1.0,6472.0,3000.0,3.0,True,4168.9251328,2.052676077208358e+22,6.158028231625073e+22,1.0531331441637789e+39,5.472240338479271e+39,-4.277983281081248,-4.993665163160742,0,0,[],kepler_yang2019:kepler:10004751,kepler:10004751,10004751,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,7.31,yang2019_stars,yang2019_stars,,4.3,True,True,,bolometric,True,,
9,9,1.1371035097106448e+34,0.06566,1.0,5516.0,3000.0,3.0,True,3861.2560352,1.3138514936995177e+21,3.941554481098553e+21,1.7053835459554276e+37,8.861432843960322e+37,-3.1760220684659544,-3.8917039505454483,0,0,[],kepler_yang2019:kepler:10006542,kepler:10006542,10006542,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,30.9,yang2019_stars,yang2019_stars,,4.51,True,True,,bolometric,True,,
17,16,1.2150663676334206e+34,0.504625,1.0,5180.0,3000.0,3.0,True,3737.5800799999997,1.0525979324021805e+22,3.1577937972065422e+22,3.867198090849222e+38,2.0094550728852655e+39,-4.50279641866198,-5.218478300741474,0,0,[],kepler_yang2019:kepler:10007265,kepler:10007265,10007265,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,21.76,yang2019_stars,yang2019_stars,,4.54,True,True,,bolometric,True,,
5,5,1.4381361395680805e+34,0.071198,1.0,6045.0,3000.0,3.0,True,4039.590505,1.352246297095183e+21,4.05673889128555e+21,1.7806819278288154e+37,9.25269471335762e+37,-3.092786351060468,-3.808468233139962,0,0,[],kepler_yang2019:kepler:10015467,kepler:10015467,10015467,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,31.22,yang2019_stars,yang2019_stars,,4.39,True,True,,bolometric,True,,
8,8,1.6221835759309632e+34,0.7827879999999999,1.0,4965.0,3000.0,3.0,True,3654.201145,1.6845269933803314e+22,5.0535809801409935e+22,7.829240098187735e+38,4.06819249041501e+39,-4.683619611715777,-5.399301493795271,0,0,[],kepler_yang2019:kepler:10026782,kepler:10026782,10026782,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,10.92,yang2019_stars,yang2019_stars,,4.66,True,True,,bolometric,True,,
2,2,1.2761449317491556e+34,1.4321089999999999,1.0,4835.0,3000.0,3.0,True,3602.1803449999998,3.1471655303709104e+22,9.441496591112732e+22,1.9993187029151212e+39,1.038876472191509e+40,-5.194982028677934,-5.910663910757428,0,0,[],kepler_yang2019:kepler:10030731,kepler:10030731,10030731,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,10.36,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
13,13,2.4350057999520134e+34,3.9385969999999997,1.0,4556.0,3000.0,3.0,True,3486.4505312,9.114240669204808e+22,2.734272200761442e+23,9.853338170774669e+39,5.119944700781853e+40,-5.607083388217632,-6.3227652702971255,0,0,[],kepler_yang2019:kepler:10054414,kepler:10054414,10054414,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,4.51,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
48,47,5.806307069668662e+33,1.9476769999999999,1.0,3985.0,3000.0,3.0,True,3232.222945,5.22129419793607e+22,1.566388259380821e+23,4.2723802285725103e+39,2.2199938875420958e+40,-5.866769896600701,-6.582451778680195,0,0,[],kepler_yang2019:kepler:10055337,kepler:10055337,10055337,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,8.9,yang2019_stars,yang2019_stars,,4.68,True,True,,bolometric,True,,
136,134,1.037050726325758e+35,0.9674429999999999,1.0,5232.0,3000.0,3.0,True,3757.2491007999997,2.0039961891867996e+22,6.011988567560399e+22,1.0158930442761312e+39,5.278735103226235e+39,-3.991047986761089,-4.706729868840583,0,0,[],kepler_yang2019:kepler:10056727,kepler:10056727,10056727,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,3.33,yang2019_stars,yang2019_stars,,4.52,True,True,,bolometric,True,,
42,41,7.246027868251467e+34,3.442764,1.0,5169.0,3000.0,3.0,True,3733.3945162,7.192041248469636e+22,2.1576123745408903e+23,6.906863991592655e+39,3.5889118063219364e+40,-4.979180904061394,-5.694862786140888,0,0,[],kepler_yang2019:kepler:10062987,kepler:10062987,10062987,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,2.05,yang2019_stars,yang2019_stars,,4.62,True,True,,bolometric,True,,
6,6,7.789328145536733e+34,16.395909,1.0,4047.0,3000.0,3.0,True,3260.9571178,4.309852591220737e+23,1.2929557773662209e+24,1.0132025503303067e+41,5.264754886591361e+41,-6.114196274281738,-6.829878156361232,0,0,[],kepler_yang2019:kepler:10063343,kepler:10063343,10063343,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,0.34,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
6,6,7.596263129545558e+33,0.20718599999999998,1.292,5775.0,3000.0,3.0,True,3951.072625,6.734209398392801e+21,2.0202628195178403e+22,1.9789397613665898e+38,1.0282872635415489e+39,-4.415832574547849,-5.131514456627343,0,0,[],kepler_yang2019:kepler:10064358,kepler:10064358,10064358,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,16.533,okamoto2021_stars,okamoto2021_stars,okamoto2021_stars,4.49,False,True,-,bolometric,True,,
329,302,5.016490567732252e+33,2.698603,1.0,3411.0,3000.0,3.0,True,2953.1308282,9.36459257539539e+22,2.809377772618617e+23,1.0262093817346045e+40,5.332340365104539e+40,-6.310835980712021,-7.026517862791515,0,0,[],kepler_yang2019:kepler:10065745,kepler:10065745,10065745,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,2.08,yang2019_stars,yang2019_stars,,4.99,True,True,,bolometric,True,,
309,275,9.134820124571984e+33,2.25929,1.0,3407.0,3000.0,3.0,True,2951.1031658,7.859735981269444e+22,2.3579207943808332e+23,7.890682818394095e+39,4.100119064360806e+40,-5.936414586407089,-6.652096468486583,0,0,[],kepler_yang2019:kepler:10067340,kepler:10067340,10067340,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,5.64,yang2019_stars,yang2019_stars,,4.92,True,True,,bolometric,True,,
58,54,5.503006173234578e+33,,1.0,5780.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:10068482,kepler:10068482,10068482,kepler_yang2019,kepler,,,True,1.0,False,20.69,yang2019_stars,yang2019_stars,,4.44,True,True,,bolometric,True,,
33,33,6.549377145933693e+34,0.680712,1.0,4600.0,3000.0,3.0,True,3505.072,1.5613781403531362e+22,4.68413442105941e+22,6.98658250495099e+38,3.630334760954087e+39,-4.0280647920287365,-4.74374667410823,0,0,[],kepler_yang2019:kepler:10069378,kepler:10069378,10069378,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,26.77,yang2019_stars,yang2019_stars,,4.62,True,True,,bolometric,True,,
227,214,3.509134383585536e+35,9.786223999999999,1.0,4607.0,3000.0,3.0,True,3508.0217258,2.2416144351227814e+23,6.724843305368345e+23,3.800528745673469e+40,1.9748126649397393e+41,-5.034644021709951,-5.750325903789445,0,0,[],kepler_yang2019:kepler:10070247,kepler:10070247,10070247,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,7.43,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
9,9,1.1473607789425273e+34,0.13125499999999998,1.0,5734.0,3000.0,3.0,True,3937.1745352,2.566188885668005e+21,7.698566657004014e+21,4.655170363125544e+37,2.4188974760466898e+38,-3.60823557928331,-4.323917461362804,0,0,[],kepler_yang2019:kepler:10070331,kepler:10070331,10070331,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,3.87,yang2019_stars,yang2019_stars,,4.47,True,True,,bolometric,True,,
103,102,5.177260290506447e+34,6.156909,1.0,5207.0,3000.0,3.0,True,3747.8170058,1.2796047174303401e+23,3.8388141522910204e+23,1.6391413208996831e+40,8.517228145751438e+40,-5.500516398500984,-6.216198280580478,0,0,[],kepler_yang2019:kepler:10071383,kepler:10071383,10071383,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.52,yang2019_stars,yang2019_stars,,4.66,True,True,,bolometric,True,,
41,41,3.9039118250766315e+35,0.21109,1.0,6645.0,3000.0,3.0,True,4217.609305,3.831480470364973e+21,1.1494441411094916e+22,8.492832799457164e+37,4.413005372654167e+38,-2.337552574103846,-3.0532344561833398,0,0,[],kepler_yang2019:kepler:10079317,kepler:10079317,10079317,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,2.59,yang2019_stars,yang2019_stars,,3.95,True,True,,bolometric,True,,
