n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,tier,first_veto,flags,centroid,teff_k_before,radius_rsun_before,params_source_before,xi_conservative_max_before,centroid_reason,xi_conservative_measured_stage2
3,3,2.8000000155365374e+34,0.700498,0.824,5195.0,3000.0,3.0,True,3743.273705,9.900881383436757e+21,2.9702644150310263e+22,3.5278770085738514e+38,1.833138666511204e+39,-4.100355402280108,-4.816037284359602,0,0,[],kepler_okamoto2021:kepler:10006032,kepler:10006032,10006032,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,23.123,own,own,own,,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
1,1,2.4000000486867475e+34,1.521668,0.967,5834.0,3000.0,3.0,True,3970.8610952,2.7547848619633748e+22,8.264354585890123e+22,1.637322317255214e+39,8.507776325557318e+39,-4.833922930922199,-5.549604813001693,0,0,[],kepler_okamoto2021:kepler:10007720,kepler:10007720,10007720,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,14.343,own,own,own,4.399,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
2,2,1.5999999911931637e+34,0.442392,0.77,5669.0,3000.0,3.0,True,3914.8943162,5.162341076499031e+21,1.5487023229497097e+22,1.3282281868090127e+38,6.90167611079489e+38,-3.919152712054881,-4.634834594134375,0,0,[],kepler_okamoto2021:kepler:10011070,kepler:10011070,10011070,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,23.97,own,own,own,4.557,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
1,1,1.2000000243433735e+34,1.6224919999999998,0.707,5150.0,3000.0,3.0,True,3726.1445,1.69863876143685e+22,5.09591628431055e+22,7.927827555073566e+38,4.119420035709591e+39,-4.819972940013166,-5.53565482209266,0,0,[],kepler_okamoto2021:kepler:10019381,kepler:10019381,10019381,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,12.316,own,own,own,,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
4,4,1.0999999707339245e+34,0.2071859999999999,1.292,5775.0,3000.0,3.0,True,3951.072625,6.734209398392801e+21,2.0202628195178403e+22,1.9789397613665898e+38,1.0282872635415487e+39,-4.255039900944254,-4.970721783023748,0,0,[],kepler_okamoto2021:kepler:10064358,kepler:10064358,10064358,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,16.533,own,own,own,4.49,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
1,1,2.5999999083176385e+34,1.953647,1.033,5800.0,3000.0,3.0,True,3959.488,4.049351270044397e+22,1.214805381013319e+23,2.9179700375018706e+39,1.5162217079750707e+40,-5.0501074954717,-5.765789377551194,0,0,[],kepler_okamoto2021:kepler:10067449,kepler:10067449,10067449,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,5.907,own,own,own,4.318,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
3,3,2.199999941467849e+34,1.653081,0.772,5198.0,3000.0,3.0,True,3744.4104968,2.050057070542431e+22,6.150171211627293e+22,1.0511182504471725e+39,5.461770643612232e+39,-4.67922890749125,-5.394910789570744,0,0,[],kepler_okamoto2021:kepler:10187494,kepler:10187494,10187494,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,10.262,own,own,own,,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
2,2,2.199999941467849e+34,0.618082,1.032,5235.0,3000.0,3.0,True,3758.377945,1.363029958760109e+22,4.089089876280327e+22,5.698502616858729e+38,2.961028817839057e+39,-4.413338082778999,-5.129019964858493,0,0,[],kepler_okamoto2021:kepler:10222884,kepler:10222884,10222884,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,27.248,own,own,own,4.58,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
1,1,8.999999873090293e+33,0.328046,0.767,5220.0,3000.0,3.0,True,3752.72728,4.003928723006705e+21,1.2011786169020116e+22,9.072608199011573e+37,4.714265507356204e+38,-4.003489652940424,-4.7191715350199175,0,0,[],kepler_okamoto2021:kepler:10273897,kepler:10273897,10273897,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,19.707,own,own,own,4.552,False,False,-;-,bolometric,False,none,below_ceiling,,not_checked,,,,,,
2,2,1.900000028227508e+34,0.232369,0.789,5782.0,3000.0,3.0,True,3953.4334408,2.8147157737864854e+21,8.444147321359455e+21,5.347545274165732e+37,2.7786660331889662e+38,-3.4494008627412924,-4.165082744820786,0,0,[],kepler_okamoto2021:kepler:10275962,kepler:10275962,10275962,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,26.117,own,own,own,4.55,False,False,1;1,bolometric,False,none,below_ceiling,,not_checked,,,,,,
