n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,0,,0.011857,1.02,5507.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:100009086,tess:100009086,100009086,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.58,tu2022_stars,tu2022_stars,tu2022_stars,4.4,False,False,,bolometric,False,,
1,0,,0.002436,0.98,5597.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1000841721,tess:1000841721,1000841721,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.6,tu2022_stars,tu2022_stars,tu2022_stars,4.45,False,False,,bolometric,False,,
2,0,,0.049198,0.87,5384.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1001379863,tess:1001379863,1001379863,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.25,tu2022_stars,tu2022_stars,tu2022_stars,4.53,False,False,,bolometric,False,,
1,0,,0.002399,1.53,5972.7,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:100229370,tess:100229370,100229370,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.18,tu2022_stars,tu2022_stars,tu2022_stars,4.11,False,False,,bolometric,False,,
1,0,,0.013465,0.93,5817.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:100324461,tess:100324461,100324461,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.37,tu2022_stars,tu2022_stars,tu2022_stars,4.52,False,False,GB42,bolometric,False,,
12,0,,0.084462,0.97,5410.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1005005438,tess:1005005438,1005005438,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.44,tu2022_stars,tu2022_stars,tu2022_stars,4.43,False,False,GB21,bolometric,False,,
1,1,2.1699999501438145e+34,0.002938,1.2,5729.0,3000.0,3.0,True,3935.4714122,8.27571665398315e+19,2.4827149961949446e+20,2.695945254490834e+35,1.4008542465606994e+36,-1.0942513450335767,-1.8099332271130706,0,0,[],tess_tu2022:tess:100609635,tess:100609635,100609635,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.8,tu2022_stars,tu2022_stars,tu2022_stars,4.29,False,False,,bolometric,False,,
1,0,,0.017593,1.05,5897.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:100610422,tess:100610422,100610422,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,8.83,tu2022_stars,tu2022_stars,tu2022_stars,4.42,False,False,,bolometric,False,,
1,1,4.069999829818518e+35,0.045771,1.45,5655.0,3000.0,3.0,True,3910.055905,1.896786663977389e+21,5.690359991932166e+21,2.9582194013131914e+37,1.5371358909031296e+38,-1.861435989969685,-2.577117872049179,0,0,[],tess_tu2022:tess:100775941,tess:100775941,100775941,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,2.42,tu2022_stars,tu2022_stars,tu2022_stars,4.12,False,False,,bolometric,False,,
1,0,,0.003518,1.02,5780.45,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101031672,tess:101031672,101031672,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.69,tu2022_stars,tu2022_stars,tu2022_stars,4.44,False,False,GM42,bolometric,False,,
1,0,,0.004253,1.0,5667.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101059220,tess:101059220,101059220,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.52,tu2022_stars,tu2022_stars,tu2022_stars,4.44,False,False,,bolometric,False,,
13,9,1.1899999694648272e+35,0.028652,0.9,5458.0,3000.0,3.0,True,3840.4844488,4.67483237941745e+20,1.4024497138252353e+21,3.619526119121499e+36,1.8807609412923116e+37,-1.4831047646706566,-2.1987866467501505,0,0,[],tess_tu2022:tess:101100599,tess:101100599,101100599,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.74,tu2022_stars,tu2022_stars,tu2022_stars,4.5,False,False,GM21,bolometric,False,,
1,1,2.990000043118089e+34,0.006381,0.82,5433.0,3000.0,3.0,True,3831.4568938,8.667869151836742e+19,2.6003607455510223e+20,2.8898225109330827e+35,1.50159582413771e+36,-0.9851999751971263,-1.7008818572766202,0,0,[],tess_tu2022:tess:101101702,tess:101101702,101101702,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.32,tu2022_stars,tu2022_stars,tu2022_stars,4.59,False,False,,bolometric,False,[2.990000043118089e+34],
1,0,,0.007881,0.84,5320.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101180943,tess:101180943,101180943,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,8.47,tu2022_stars,tu2022_stars,tu2022_stars,4.56,False,False,,bolometric,False,,
1,0,,0.010905,0.83,5276.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101180944,tess:101180944,101180944,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,8.3,tu2022_stars,tu2022_stars,tu2022_stars,4.56,False,False,GB42,bolometric,False,,
