source_id,ra,dec,l,b,ecl_lat,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,ipd_frac_multi_peak,phot_bp_rp_excess_factor,random_index,wise_angular_distance,wise_number_of_neighbours,wise_number_of_mates,tmass_angular_distance,tmass_number_of_neighbours,tmass_number_of_mates,wise_designation,wise_ra,wise_dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,tmass_designation,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,tmass_ph_qual,track,dec_band_index,dec_lo,dec_hi,is_locus_sample,tmass_cc_flg,w1snr,w1rchi2,w2snr,w2rchi2,w3snr,w4snr,jk,lum_class,resid_w1,sig_w1,resid_w2,sig_w2,resid_w3,sig_w3,etz,nearby,distance_pc,w1_only_methane_like,w2_only_single_band,saturated,poor_wise_phot_qual,poor_tmass_phot_qual,wise_artifact,extended,bad_profile_fit,wise_variable,gaia_variable,lpv_colour,crowded_match,blend_flux_theft_x,neighbours_checked,multi_peak,bad_astrometry,high_pm_epoch_risk,pm_total_mas_yr,pass_w1,pass_w2,pass_w3,w3_status,w4_status,first_veto,vetoes,vet_source,gaia_n_3as,gaia_n_6as,gaia_n_10as,gaia_brightest_neighbour_g,gaia_brightest_neighbour_sep_arcsec,gaia_neighbours_checked,blend_flux_theft_y,crowded_field,allwise_status,allwise_designation,allwise_w1,allwise_e_w1,allwise_w2,allwise_e_w2,allwise_w3,allwise_e_w3,allwise_w4,allwise_e_w4,allwise_cc_flags,allwise_ph_qual,allwise_ext_flag,allwise_nb,allwise_na,allwise_w1sat,allwise_w2sat,allwise_w1flux,allwise_w2flux,allwise_w1rchi2,allwise_w2rchi2,allwise_w3snr,allwise_sep_arcsec,allwise_n_within,catwise_status,catwise_designation,catwise_w1,catwise_e_w1,catwise_w2,catwise_e_w2,catwise_cc_flags,catwise_ab_flags,catwise_sep_arcsec,catwise_n_within,unwise_status,unwise_designation,unwise_w1,unwise_e_w1,unwise_w2,unwise_e_w2,unwise_flags_w1,unwise_flags_w2,unwise_sep_arcsec,unwise_n_within,deblended_component,saturated_pixels,allwise_flags_available,allwise_sat_available,catwise_resid_w1,catwise_sig_w1,catwise_resid_w2,catwise_sig_w2,catwise_class,unwise_resid_w1,unwise_sig_w1,unwise_resid_w2,unwise_sig_w2,unwise_class,independent_class,vet_resid_w3,vet_sig_w3,vet_verdict,vet_vetoes,vet_notes
512945405846907904,23.69126258391756,64.27880160916601,127.6123946522996,1.801500607970441,49.21882817041302,0.3881959262502159,0.019887045,19.52004,0.3676171539833191,-0.4806855390580145,1.0824205,11.149554,11.5294895,10.588204,0.94128513,NOT_AVAILABLE,0,0,1.2170019,735871905.0,0.014643303,1,0,0.14898613,1.0,0.0,J013445.90+641643.6,23.6912528,64.2788041,9.769,0.024,9.789,0.02,9.734,0.054,8.522,,0,0,000n,AAAU,55345.01663096,55345.01663096,01344590+6416435,9.247,0.024,8.888,0.028,8.642,0.02,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.6049995422363281,giant,-1.1975999511758568,-29.147723114432416,-1.1476001998917784,-27.713441175458755,-1.2001996376061,-12.91446261953834,False,False,2576.018789428097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6051454034876984,True,True,True,deficit,unmeasured,,,candidates,1.0,1.0,1.0,,,True,False,False,matched,J013445.90+641643.6,9.769000053405762,0.024000000208616257,9.788999557495117,0.019999999552965164,9.734000205993652,0.05400000140070915,8.522000312805176,,0000,AAAU,0,1,0,,,,,0.969,0.8708,,0.01469432178765636,1.0,matched,J013445.90+641643.7,9.76099967956543,0.01899999938905239,9.767000198364258,0.010999999940395355,0000,00,0.06625310208340404,1.0,matched,0231p636o0047658,7.080402777239884,0.0004902649367088608,6.468543743995793,0.0010262108347153126,122529.0,119394.0,0.07275662160683649,1.0,False,False,True,False,-1.189599838256837,-30.99385225093421,-1.1256005142211924,-29.706075857429532,confirms_deficit,1.4909970640687085,44.70393176610848,2.172855940147272,59.90125654020937,ambiguous,ambiguous,-1.2002000602722176,-12.914471482792493,INCONCLUSIVE,,w3_deficit_consistent
5588568702041217920,115.7819974469528,-34.556307205988055,249.192375424912,-5.435523702440589,-54.62661320251078,0.3159357098421164,0.011166121,28.294132,-2.2430678066919243,3.214923992703264,1.0014217,12.024739,12.518264,11.32532,1.1929436,NOT_AVAILABLE,0,0,1.2619594,1322964709.0,0.13459739,1,0,0.06107844,1.0,0.0,J074307.68-343322.5,115.7820079,-34.556275,10.216,0.023,10.213,0.021,11.452,0.238,8.845,,0,0,11nn,AABU,55420.60858509,55420.60858509,07430767-3433227,10.031,0.023,9.661,0.023,9.3,0.023,AAA,deficit,11,-35.0,-30.0,False,,,,,,,,0.7309999465942383,giant,-1.001080079498177,-23.665782853265785,-0.9084800651550898,-18.99561255162061,,,False,False,3165.200921730985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.9200879408856144,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,3.0,16.26253318786621,9.250788289569195,True,False,False,matched,J074307.68-343322.5,10.215999603271484,0.023000000044703484,10.213000297546387,0.020999999716877937,11.45199966430664,0.23800000548362732,8.845000267028809,,0000,AABU,0,1,0,,,,,2.229,1.848,,0.134919530858335,1.0,matched,J074307.68-343322.6,9.850000381469727,0.010999999940395355,9.767000198364258,0.008999999612569809,0000,00,0.045282077625190306,1.0,matched,1151m349o0033251,7.155143754360536,0.0005155048413156377,6.448148318525895,0.0010283977288793175,114378.0,121658.0,0.08750126560591348,1.0,False,False,True,False,-0.6350806613159179,-17.08742468671635,-0.46248045852661085,-10.534599792547784,confirms_deficit,2.059775965793273,58.013380690230875,2.856371421311752,66.4566550102355,ambiguous,ambiguous,,,INCONCLUSIVE,,
3447221089136163584,82.10179747685476,31.91277562832059,175.4962153268728,-1.530282080475445,8.659086806717253,0.1523259367374556,0.027264645,5.58694,0.3226879200697607,-0.4920718832532168,0.9788984,14.688237,15.0486555,14.130099,0.9185562,NOT_AVAILABLE,0,0,1.2241865,895155706.0,0.03703204,1,0,0.053879708,1.0,0.0,J052824.43+315445.9,82.1018021,31.9127671,13.103,0.026,13.121,0.03,11.919,,8.864,,0,0,00nn,AAUU,55359.62056472,55359.62056472,05282443+3154459,13.002,0.022,12.63,0.023,12.29,0.023,AAA,deficit,24,30.0,35.0,False,,,,,,,,0.7119998931884766,giant,-0.8951802902221682,-20.44433606562448,-0.8257401165756173,-16.1501319222474,,,False,False,6564.870181783748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5884405085030395,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,1.0,,,True,False,False,matched,J052824.43+315445.9,13.102999687194824,0.026000000536441803,13.121000289916992,0.029999999329447746,11.918999671936035,,8.86400032043457,,0000,AAUU,0,1,0,,,,,0.9215,0.8402,,0.03700011298655936,1.0,matched,J052824.43+315445.9,13.092000007629395,0.014000000432133675,13.130999565124512,0.012000000104308128,0000,00,0.02096522648743366,1.0,matched,0829p318o0027227,10.37732589807167,0.002933572937725824,9.77331283728982,0.007932799708586505,5881.25,5689.51,0.05317800909942987,1.0,False,False,True,False,-0.8841802746582046,-23.322610550841315,-0.8357396456909193,-19.38776057134512,confirms_deficit,1.8304938348995206,51.777512289606165,2.521947082143772,59.824552244395754,ambiguous,ambiguous,,,INCONCLUSIVE,,
3049056558279336704,104.1787308600246,-11.1065175176624,223.42760718601772,-3.8836825917301967,-33.72270001783317,0.167781534391661,0.014501071,11.570287,-0.4575478761216984,1.0364876224892918,0.9535004,11.799517,12.068316,11.353924,0.71439266,NOT_AVAILABLE,0,0,1.2006987,851083289.0,0.06220611,1,0,0.051271763,1.0,0.0,J065642.89-110623.4,104.178724,-11.1065035,10.503,0.023,10.513,0.021,10.317,0.078,8.588,,0,0,110n,AAAU,55380.63736679,55380.63736679,06564289-1106234,10.322,0.022,9.997,0.024,9.716,0.019,AAA,deficit,15,-15.0,-10.0,False,,,,,,,,0.6059999465942383,dwarf,-0.8484804200748618,-19.309569926587347,-0.8013803694161468,-16.09572249281725,-0.7162702919770675,-4.951292767113476,False,False,5960.131450852325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1329857238804828,True,True,False,deficit,unmeasured,,,candidates,1.0,2.0,3.0,19.398603439331055,5.880658496081306,True,False,False,matched,J065642.89-110623.4,10.503000259399414,0.023000000044703484,10.512999534606934,0.020999999716877937,10.317000389099121,0.07800000160932541,8.588000297546387,,0000,AAAU,0,1,0,,,,,1.127,1.175,,0.06205816789773724,1.0,matched,J065642.89-110623.3,10.27299976348877,0.010999999940395355,10.496000289916992,0.009999999776482582,0000,00,0.04622688353707225,1.0,matched,1046m107o0008585,7.836149335210942,0.0007149547904750368,7.2164238053548235,0.0015329676851408623,61085.8,59955.7,0.0771048217197096,1.0,False,False,True,False,-0.6184797911071779,-15.849054973723133,-0.784380261535645,-16.964240918867638,confirms_deficit,1.8183706371706494,48.55784963276025,2.4951962230265234,55.24138400457399,ambiguous,ambiguous,-0.7162702934265144,-4.951292586853999,INCONCLUSIVE,,w3_deficit_consistent
3456132489144263552,88.25224042411917,37.02956268795427,173.83335922834786,5.475705922801372,13.598990088406484,0.2475101650462588,0.030383743,8.146138,0.2749037800869402,-0.4140987543065622,1.3971299,11.124706,11.29,10.81507,0.4749298,NOT_AVAILABLE,0,0,1.1826485,134180974.0,0.019517647,1,0,0.07337947,1.0,0.0,J055300.53+370146.4,88.252245,37.0295669,10.284,0.023,10.272,0.02,10.047,0.062,9.004,,0,0,000n,AAAU,55364.61317206,55364.61317206,05530053+3701464,9.933,0.024,9.785,0.028,9.538,0.022,AAA,deficit,25,35.0,40.0,False,,,,,,,,0.3949995040893554,dwarf,-0.7906002647406717,-16.792477312626723,-0.7443999328607611,-14.928628398641711,-0.5969996444648428,-4.368185420987841,False,False,4040.238104213228,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4970411116037941,True,True,False,deficit,unmeasured,,,candidates,1.0,1.0,1.0,,,True,False,False,matched,J055300.53+370146.4,10.284000396728516,0.023000000044703484,10.272000312805176,0.019999999552965164,10.04699993133545,0.06199999898672104,9.003999710083008,,0000,AAAU,0,1,0,,,,,1.297,1.032,,0.019305435731035055,1.0,matched,J055300.53+370146.4,10.35200023651123,0.012000000104308128,10.36400032043457,0.00800000037997961,0000,00,0.053631492736752086,1.0,matched,0876p363o0044287,7.648254737123512,0.0006568629257714074,7.035426238413068,0.0014197897180652811,72627.0,70832.0,0.0230428882840102,1.0,False,False,True,False,-0.8586005981445307,-20.06215296780076,-0.8364003204345704,-18.036538948584827,confirms_deficit,1.8451449012431875,44.909892812182456,2.492173761586932,54.53413554591377,ambiguous,ambiguous,-0.596999781799316,-4.368183556110957,INCONCLUSIVE,,w3_deficit_consistent
2618940799332647936,331.5489563819932,-8.916470977370476,50.01550207101495,-46.97906577938569,2.57971137150159,0.1583545715942108,0.05147269,3.0764775,-1.9493698048512476,-5.054259194371808,1.0452297,12.036884,11.954763,12.196598,-0.24183464,NOT_AVAILABLE,0,0,1.1455516,1754815679.0,0.011921274,1,0,0.07438298,1.0,0.0,J220611.74-085459.2,331.548956,-8.9164637,12.571,0.024,12.584,0.026,11.998,,9.15,,0,0,22nn,AAUU,55418.3071124,55418.3071124,22061175-0854592,11.976,0.028,11.902,0.022,11.728,0.021,AAA,deficit,16,-10.0,-5.0,False,,,,,,,,0.2480001449584961,blue,-0.8409999809265134,-17.398802701600975,-0.8315003967285151,-14.47886562006756,,,False,False,6314.942410141056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.417155954923002,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,1.0,,,True,False,False,matched,J220611.74-085459.2,12.571000099182129,0.024000000208616257,12.583999633789062,0.026000000536441803,11.998000144958496,,9.149999618530273,,0000,AAUU,0,1,0,,,,,0.9732,0.9603,,0.01218557596289876,1.0,matched,J220611.75-085459.2,12.559000015258789,0.013000000268220901,12.572999954223633,0.009999999776482582,0000,00,0.07224885046636534,1.0,matched,3308m091o0014455,9.85088016089502,0.002053274319493916,9.237703721597615,0.0053145167113655325,9550.98,9317.91,0.08748902658046301,1.0,False,False,True,False,-0.8289996833801272,-18.872940198294707,-0.8205000381469727,-15.72647529875912,confirms_deficit,1.8791201709836418,44.73273487397316,2.514796194479045,48.849106416410955,ambiguous,ambiguous,,,INCONCLUSIVE,,
2014091691895993856,348.2101956679825,61.05535578904682,111.28679987206118,0.4326834746693211,57.37436450044352,0.250949500603551,0.0133182835,18.84248,-3.287233820701602,-2.086111673984398,1.1617332,13.879437,14.616989,13.00574,1.611249,NOT_AVAILABLE,0,0,1.308881,1755177042.0,0.014677773,1,0,0.02282294,1.0,0.0,J231250.45+610319.2,348.2102129,61.0553567,11.055,0.022,11.072,0.021,11.099,,8.667,,0,0,00nn,AAUU,55424.34867848,55424.34867848,23125045+6103192,11.149,0.027,10.668,0.031,10.298,0.021,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.8509998321533203,giant,-0.8651595808412818,-20.131129569641253,-0.7838795083625583,-13.587631035234608,,,False,False,3984.865471319649,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.8932978447966753,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,1.0,,,True,False,False,matched,J231250.45+610319.2,11.055000305175781,0.02199999988079071,11.071999549865723,0.020999999716877937,11.098999977111816,,8.666999816894531,,0000,AAUU,0,1,0,,,,,1.979,1.525,,0.01448383870225569,1.0,matched,J231250.44+610319.3,10.79800033569336,0.014999999664723873,10.75100040435791,0.009999999776482582,0000,00,0.007656376744850545,1.0,matched,3480p605o0034201,7.993761481197174,0.000774207397249384,7.249185149006854,0.0015352736679524735,52831.8,58173.6,0.03333854077831048,1.0,False,False,True,False,-0.6081602790832517,-15.261565667723804,-0.46288027023315415,-8.469063051067767,confirms_deficit,2.1960785754129337,59.471897474590776,3.038934985117902,56.533331399643956,ambiguous,ambiguous,,,INCONCLUSIVE,,
456233936110615168,32.2204803705169,54.58783671809681,134.0820913940831,-6.598685666581878,38.67176859169001,0.4302682377628024,0.020894459,20.592457,-0.6419711468639037,-1.2096381468472932,1.1396767,10.743549,10.798308,10.60461,0.19369793,NOT_AVAILABLE,0,0,1.1679467,516999720.0,0.024632754,1,0,0.06412231,1.0,0.0,J020852.91+543516.2,32.2204714,54.5878415,10.449,0.024,10.459,0.02,10.255,0.064,9.002,,0,0,000n,AAAU,55330.3419484,55330.3419484,02085291+5435162,9.987,0.022,9.955,0.027,9.876,0.024,AAA,deficit,28,50.0,55.0,False,,,,,,,,0.1110000610351562,blue,-0.6003995573428694,-13.57125581284644,-0.5878593452450581,-12.753332797284036,-0.4230397790534193,-3.992915174437527,False,False,2324.131581730368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3694347007849297,True,True,False,deficit,unmeasured,,,candidates,1.0,1.0,3.0,17.550437927246094,6.237059832518241,True,False,False,matched,J020852.91+543516.2,10.449000358581543,0.024000000208616257,10.458999633789062,0.019999999552965164,10.255000114440918,0.06400000303983688,9.001999855041504,,0000,AAAU,0,1,0,,,,,1.167,0.9314,,0.024623821637786557,1.0,matched,J020852.91+543516.2,10.47700023651123,0.010999999940395355,10.496999740600586,0.00800000037997961,0000,00,0.0388266242793109,1.0,matched,0331p545o0026093,7.782290966955701,0.0006871654078987544,7.178800884186719,0.0014766186081131376,64192.4,62069.7,0.023552998080963238,1.0,False,False,True,False,-0.6284002043151864,-16.213205420478356,-0.6258594895935062,-14.798135422112953,confirms_deficit,2.0663090652403433,55.589005972369705,2.6923393668203603,64.78844282475563,ambiguous,ambiguous,-0.42304028930664084,-3.9929201836544626,INCONCLUSIVE,,w3_deficit_consistent
5255172316703148416,156.93488599948083,-59.76468228164511,285.7391902262801,-1.7788493018617533,-60.59203745069262,0.2551554893118236,0.016867558,15.126997,-6.672845047847443,3.6390771497163095,0.92445344,14.562035,14.779337,14.185677,0.59366035,NOT_AVAILABLE,0,0,1.1890017,706891824.0,0.18414664,1,0,0.01617605,1.0,0.0,J102744.35-594552.8,156.9348061,-59.7646783,13.735,0.036,14.275,0.051,11.662,,9.41,,0,0,nnnn,AAUU,55410.73017263,55411.15467629,10274438-5945528,13.701,0.026,13.587,0.032,13.384,0.038,AAA,deficit,6,-60.0,-55.0,False,,,,,,,,0.3170003890991211,dwarf,-0.3994804154970031,-6.477145062357176,-0.9121202064561656,-12.410971998325223,,,False,False,3919.178861082261,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.600640994953618,True,True,False,unmeasured,unmeasured,,,candidates,1.0,1.0,4.0,17.97715187072754,6.2474755062129725,True,False,False,matched,J102744.35-594552.8,13.734999656677246,0.035999998450279236,14.274999618530273,0.050999999046325684,11.661999702453613,,9.40999984741211,,0000,AAUU,0,2,1,,,,,2.331,2.078,,0.18476251134650928,1.0,matched,J102744.36-594552.7,13.493000030517578,0.012000000104308128,13.718000411987305,0.01600000075995922,0000,00,0.18124154825465358,1.0,matched,1555m591o0002378,10.82607854909658,0.0036138275679469026,10.248852725713045,0.009111366213371174,3890.17,3671.63,0.22132558111150924,2.0,True,False,True,False,-0.15748029388427637,-3.0580985451956826,-0.3551204974365226,-6.423664814313484,ambiguous,2.509441187536721,49.980212284874725,3.1140271888377375,57.99380917173981,ambiguous,ambiguous,,,DEBLENDED_COMPONENT,deblended_component,
511330051462941568,27.43828060118437,61.836719848109446,129.75508338436197,-0.2600496667686071,46.24852941913,0.2812401900256548,0.016769137,16.771297,-0.6949438536889231,-0.5084163727855457,0.93082577,11.488034,11.748995,11.053408,0.69558716,NOT_AVAILABLE,0,0,1.1984247,433988979.0,0.054315418,1,0,0.050796203,1.0,0.0,J014945.18+615012.1,27.4382761,61.8367059,10.373,0.024,10.377,0.021,10.441,0.082,9.077,0.496,0,0,220n,AAAC,55334.76472123,55334.76472123,01494519+6150122,10.197,0.023,9.965,0.023,9.752,0.018,AAA,deficit,30,60.0,65.0,False,,,,,,,,0.4449996948242187,dwarf,-0.6670004074100861,-14.192411055848623,-0.6334002510058937,-12.24002074031179,-0.7902000091583473,-5.0851115986125865,False,False,3555.679577334874,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8610657163634041,True,True,True,deficit,unmeasured,,,candidates,1.0,2.0,3.0,17.510604858398438,5.910481584954876,True,False,False,matched,J014945.18+615012.1,10.373000144958496,0.024000000208616257,10.376999855041504,0.020999999716877937,10.440999984741211,0.0820000022649765,9.07699966430664,0.4959999918937683,0000,AAAC,0,2,0,,,,,1.58,1.064,,0.05423628811590125,1.0,matched,J014945.18+615012.0,10.309000015258789,0.012000000104308128,10.3100004196167,0.00800000037997961,0000,00,0.16261243004571985,1.0,matched,0284p620o0017929,7.650057646069222,0.00064959019798225,6.998211920531512,0.001351994719100051,72506.5,73301.9,0.09383186766105339,1.0,True,False,True,False,-0.603000308227538,-14.305678785248231,-0.5664005317687986,-11.80798712357686,confirms_deficit,2.0559420609620296,50.874408267673594,2.745387967316389,58.023536123727006,ambiguous,ambiguous,-0.790199958801268,-5.085109239277466,DEBLENDED_COMPONENT,deblended_component,w3_deficit_consistent
