table_name,description
"'III/125/data'","Catalog of metal deficient F-M stars ( Bartkevicius A.)"
"'III/125/notes'","Notes to the catalog ( Bartkevicius A.)"
"'III/125/refs'","References ( Bartkevicius A.)"
"'III/126/part1'","Spectrophotometry by Kharitonov, Glushneva, Willstrop ( Burnashev V.I.)"
"'III/126/part2'","Chilean Catalogue by Alekseev et al. ( Burnashev V.I.)"
"'III/126/part3'","Spectrophotometry reduced to 'Chilean System' ( Burnashev V.I.)"
"'III/126/stars'","*List of stars observed ( Burnashev V.I.)"
"'III/275/catalog'","The catalogue of spectral classes ( Kharadze E.k., Bartaya R.A., Chargeishvili K.B.)"
"'II/125/assoc'","Associations ( Joint IRAS Science W.G.)"
"'II/125/main'","IRAS Point Sources ( Joint IRAS Science W.G.)"
"'II/126/assoc'","Information about positional associations with sources in other catalogs ( Kleinmann S.G., Cutri R.M., Young E.T., Low F.J., Gillett F.C.)"
"'II/126/headers'","Information about the reference and confirming grids (observations) in which point sources were identified ( Kleinmann S.G., Cutri R.M., Young E.T., Low F.J., Gillett F.C.)"
"'II/126/overlap'","Overlapping fields (Appendix A) ( Kleinmann S.G., Cutri R.M., Young E.T., Low F.J., Gillett F.C.)"
"'II/126/sources'","Properties of the point sources identified ( Kleinmann S.G., Cutri R.M., Young E.T., Low F.J., Gillett F.C.)"
"'II/156A/assoc'","Associations ( Moshir, M., Copan, G., Conrow, T., McCallon, H., Hacking, P., Gregorich, D., Rohrbach, G., Melnyk, M., Rice, W., Fullmer, L., and Chester, T.J.)"
"'II/156A/main'","IRAS Faint Sources ( Moshir, M., Copan, G., Conrow, T., McCallon, H., Hacking, P., Gregorich, D., Rohrbach, G., Melnyk, M., Rice, W., Fullmer, L., and Chester, T.J.)"
"'II/275/assoc'","Associations of the point sources in FSR. ( Moshir M., Kopan G., Conrow T., Hacking P., Gregorich D., Rohrbach G., Melnyk M., Rice W., Fullmer L., White J., Chester T.)"
"'II/275/fsr'","Faint Source Reject Catalog ( Moshir M., Kopan G., Conrow T., Hacking P., Gregorich D., Rohrbach G., Melnyk M., Rice W., Fullmer L., White J., Chester T.)"
"'II/297/irc'","AKARI/IRC All-Sky Survey Point Source Catalogue (Version 1.0) ( Ishihara D., Onaka T., Kataza H., et al.)"
"'II/298/fis'","AKARI/FIS All-Sky Survey Bright Source Catalogue (Version 1.0) ( Yamamura I., Makiuti S., Ikeda N., Fukuda Y., Oyabu S., Koga T., White G.J.)"
"'II/327/ysoc'","Parameters of sources classified as YSO candidate ( Toth L.V., Marton G., Zahorecz S., Balazs L.G., Ueno M., Tamura M., Kawamura A., Kiss Z.T., Kitamura Y.)"
"'VII/275/glade1'","GLADE catalog (Galaxy List for the Advanced Detector Era) ( Dalya G., Frei Z., Galgoczi G., Raffai P., de Souza R.S.)"
"'VII/297/snrs'","Supernova Remnant catalogue ( Green D.A.)"
"'VII/298/acro'","Acromym definitions ( QUAC collaboration)"
"'VII/298/catalog'","QUasar Atlas and Catalogue (QUAC) ( QUAC collaboration)"
"'VII/298/class'","Type definitions ( QUAC collaboration)"
