table_name,description
"'II/190/fp105'","*IMPS Reject Data Base ( Tedesco E.F. (ed.))"
"'II/274/iras_r'","IRAS Point Source Reject Catalog, Version 2.1 ( )"
"'II/275/fsr'","Faint Source Reject Catalog ( Moshir M., Kopan G., Conrow T., Hacking P., Gregorich D., Rohrbach G., Melnyk M., Rice W., Fullmer L., White J., Chester T.)"
"'J/A+A/587/A51/tablec1'","Rejected CPM pairs including F stars ( Scholz R.-D.)"
"'J/A+A/649/A6/table1r'","Rejected objects ( Gaia collaboration, Smart R.L., Sarro L.M., et al.)"
"'J/A+A/688/A203/blrejcds'","Rejected source BL band catalogue ( Marton G., Gezer I., Madarasz M., Dionatos O., Audard M., Roquette J., Hernandez D., Paladini R., Altieri B.)"
"'J/A+A/688/A203/bsrejcds'","Rejected source BS band catalogue ( Marton G., Gezer I., Madarasz M., Dionatos O., Audard M., Roquette J., Hernandez D., Paladini R., Altieri B.)"
"'J/A+A/688/A203/rrejcds'","Rejected source R band catalogue ( Marton G., Gezer I., Madarasz M., Dionatos O., Audard M., Roquette J., Hernandez D., Paladini R., Altieri B.)"
"'J/A+AS/113/51/table3'","Rejected associations ( Chen P.S., Gao H., Jorissen A.)"
"'J/AJ/124/2164/table4'","Rejected stars ( Andersson B.-G., Idzi R., Uomoto A., Wannier P.G., Chen B., Jorgensen A.M.)"
"'J/AJ/157/234/table7'","Rejected moving group members ( Schneider A.C., Shkolnik E.L., Allers K.N., Kraus A.L., Liu M.C., Weinberger A.J., Flagg L.)"
"'J/AJ/161/63/table4'","Astrometry, Photometry, and Multiplicity Information for 120 Candidate & Rejected M Dwarfs ( Winters J.G., Charbonneau D., Henry T.J., Irwin J.M., Jao W.-C., Riedel A.R., Slatten K.)"
"'J/ApJ/652/1133/table5'","Rejected Cepheid candidates ( Macri L.M., Stanek K.Z., Bersier D., Greenhill L.J., Reid M.J.)"
"'J/ApJ/660/1556/table4'","List of Rejected Sources ( Rhee J.H., Song I., Zuckerman B., McElwain M.)"
"'J/ApJ/697/1138/pne'","Detected PN candidates   and Rejected PN candidates ( Johnson L.C., Mendez R.H., Teodorescu A.M.)"
"'J/ApJ/733/124/table4'","Rejected Cepheid Candidates ( Shappee B.J., Stanek K.Z.)"
"'J/ApJ/786/130/table1'","A Catalog of Previous M31 SNR Candidates Rejected in This Study ( Lee J.H., Lee M.G.)"
"'J/ApJ/862/106/table5'","Literature Candidates Rejected by Our Analysis ( Tang S.-Y., Chen W.P., Chiang P.S., Jose J., Herczeg G.J., Goldman B.)"
"'J/ApJ/933/47/table7'","Rejected background contaminants distance results ( Carlsten S.G., Greene J.E., Beaton R.L., Danieli S., Greco J.P.)"
"'J/MNRAS/480/3942/table3'","Rejected white dwarf candidates from our selection of 20pc sources ( Hollands M.A., Tremblay P.-E., Gansicke B.T., Gentile-Fusillo N.P., Toonen S.)"
"'VII/188/table4'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/207/table4'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/215/table4'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/224/table4'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/235/table4'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/248/rejected'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/258/reject'","Rejected quasars ( Veron-Cetty M.P., Veron P.)"
"'VII/91/astrejst'","IRAS Rejected Asteroid sightings ( Veeder G. J., Walker R. G.)"
