table_name,description
"'II/340/xmmom2_1'","The XMM-Newton Optical Monitor Serendipitous Source Survey Catalogue, Version 2.1 (April 2015, XMM-SUSS2.1) ( Page M.J., Brindle C., Talavera A., Still M., Rosen S.R., Yershov V.N., Ziaeepour H., Mason K.O., Cropper M.S., Breeveld A.A., Loiseau N., Mignani R., Smith A., Murdin P.)"
"'II/356/xmmom41s'","The XMM-Newton Optical Monitor Serendipitous Source Survey Catalogue, Version 4.1 (XMM-SUSS4.1) 'slim' version ( Page M.J., Brindle C., Talavera A., Still M., Rosen S.R., Yershov V.N., Ziaeepour H., Mason K.O., Cropper M.S., Breeveld A.A., Loiseau N., Mignani R., Smith A., Murdin P.)"
"'II/370/xmmom5s'","The XMM-Newton Optical Monitor Serendipitous Source Survey Catalogue, Version 5.0 (XMM-SUSS5.0) 'slim' version ( Page M.J., Brindle C., Talavera A., Still M., Rosen S.R., Yershov V.N., Ziaeepour H., Mason K.O., Cropper M.S., Breeveld A.A., Loiseau N., Mignani R., Smith A., Murdin P.)"
"'II/378/xmmom6s'","The XMM-Newton Optical Monitor Serendipitous Source Survey Catalogue, Version 6.0 (XMM-SUSS6.0) 'slim' version ( Page M.J., Brindle C., Talavera A., Still M., Rosen S.R., Yershov V.N., Ziaeepour H., Mason K.O., Cropper M.S., Breeveld A.A., Loiseau N., Mignani R., Smith A., Murdin P.)"
"'J/A+A/391/967/table3'","Serendipitous H2O maser detections in M-0.13-0.08 ( Sjouwerman L.O., Lindqvist M., van Langevelde H.J., Diamond P.J.)"
"'J/A+A/549/A119/table1'","Black-hole masses of the AGN-1 in XBS (XMM-Newton Serendipitous sample) ( Caccianiga A., Fanali R., Severgnini P., Della Ceca R., Marchese E., Mateos S.)"
"'J/A+AS/109/267/table3'","Serendipitous X-ray BL Lacs Einstein EMSS and EXOSAT HGLS ( Giommi P., Ansari S.G., Micol A.)"
"'J/AJ/122/598/table1'","Serendipitously detected galaxies in central HDF ( Dawson S., Stern D., Bunker A.J., Spinrad H., Dey A.)"
"'J/AJ/122/598/table2'","Serendipitously detected galaxies outside central HDF ( Dawson S., Stern D., Bunker A.J., Spinrad H., Dey A.)"
"'J/ApJ/651/1098/table2'","Serendipitous sources in the Terzan 5 field ( Heinke C.O., Wijnands R., Cohn H.N., Lugger P.M., Grindlay J.E., Pooley D., Lewin W.H.G.)"
"'J/ApJ/681/1017/sources'","Serendipitous sources detected in the field of B0712+472 (table 6) or B2108+213 (table 7 of the paper) ( Fassnacht C.D., Kocevski D.D., Auger M.W., Lubin L.M., Neureuther J.L., Jeltema T.E., Mulchaey J.S., McKean J.P.)"
"'J/ApJ/792/119/table5'","The Data of Our Non-Hipparcos and Serendipitous Pairs ( Deacon N.R., Liu M.C., Magnier E.A., et al.)"
"'J/ApJ/819/40/table1'","Analysis of the Brightest Serendipitous Sources in the XMM-Newton FOV ( Marelli M., Pizzocaro D., De Luca A., Gastaldello F., Caraveo P., Parkinson P.S.)"
"'J/MNRAS/478/5336/tablea1'","Serendipitous catalogue of nearby objects ( Xi C., Taylor J.E., Massey R.J., Rhodes J., Koekemoer A., Salvato M.)"
