table_name,description
"'II/297/irc'","AKARI/IRC All-Sky Survey Point Source Catalogue (Version 1.0) ( Ishihara D., Onaka T., Kataza H., et al.)"
"'II/298/fis'","AKARI/FIS All-Sky Survey Bright Source Catalogue (Version 1.0) ( Yamamura I., Makiuti S., Ikeda N., Fukuda Y., Oyabu S., Koga T., White G.J.)"
"'J/A+A/514/A2/table3'","*AKARI-Hipparcos samples with known object types, with sources sorted by increasing order of RA for each object type ( Ita Y., Matsuura M., Ishihara D., Oyabu S., Takita S., Kataza H., Yamamura I., Matsunaga N., Tanabe T., Nakada Y., Fujiwara H., Wada T., Matsuhara T., Onaka. H.)"
"'J/A+A/514/A2/table4'","*AKARI-2MASS samples with known object types, with sources sorted by increasing order of RA for each object type ( Ita Y., Matsuura M., Ishihara D., Oyabu S., Takita S., Kataza H., Yamamura I., Matsunaga N., Tanabe T., Nakada Y., Fujiwara H., Wada T., Matsuhara T., Onaka. H.)"
"'J/A+A/514/A3/catalog'","List of AKARI FIS All Sky Survey (Bright Source Catalogue, version beta-1) with a full color information in the sky regions with I_100_<MJy/sr ( Pollo A., Rybka P., Takeuchi T.T.)"
"'J/A+A/514/A5/tablea1'","AKARI coordinates and flux densities of PAH-selected galaxies in the S-cam field ( Takagi T., Ohyama Y., Goto T., Matsuhara H., Oyabu S., Wada T., Pearson C.P., Lee H.M., Im M., Lee M.G., Shim H., Hanami H., Ishigaki T., Imai K., White G.J., Serjeant S., Malkan M.)"
"'J/A+A/519/A83/tts'","AKARI, UCAC, and 2MASS photometric parameters  of known and new T Tauri stars ( Takita S., Kataza H., Kitamura Y., Ishihara D., Ita Y., Oyabu S., Ueno M.)"
"'J/A+A/555/A11/stars'","The DUNES stellar sample: stellar optical data (table2), positions in Herschel (table10), parameters (table4), optical/near-IR photometry (table3a), AKARI + WISE (table3c), and IRAS + MIPS fluxes (table3d) ( Eiroa C., Marshall J.P., Mora A., et al.)"
"'J/A+A/559/A132/catalog'","Revised AKARI source catalogue ( Murata K., Matsuhara H., Wada T., Arimatsu K., Oi N., Takagi T., Oyabu S., Goto T., Ohyama Y., Malkan M., Pearson C., Malek K., Solarz A.)"
"'J/A+A/566/A60/table7'","A optical-NIR band-merged catalog at the AKARI NEP-Deep field ( Oi N., Matsuhara H., Murata K., Goto T., Wada T., Takagi T., Ohyama Y., Malkan M., Im M., Shim H., Serjeant S., Pearson C.)"
"'J/A+A/593/A51/tablec6'","DUNES_DB stars with d<=20pc: AKARI 9 and 18um fluxes and WISE W1, W3, and W4 photometry ( Montesinos B., Eiroa C., Krivov A.V., Marshall J.P., Pilbratt G.L., Liseau R., Mora A., Maldonado J., Wolf S., Ertel S., Bayo A., Augereau J.-C., Heras A.M., Fridlund M., Danchi W.C., Solano E., Kirchschlager F., Del Burgo C., Montes D.)"
"'J/A+A/598/A1/tablea1'","Catalog of 39 [U]LIRGs from AKARI ADF-S survey, coordinates, redshifts, photometric measurements ( Malek K., Bankowicz M., Pollo A., Takeuchi T.T., Buat V., Burgarella D., Goto T., Malkan M.)"
"'J/A+A/605/A74/tablea1'","AKARI-measured infrared fluxes of all ATLAS3D galaxies ( Kokusho T., Kaneda H., Bureau M., Suzuki T., Murata K., Kondo A., Yamagishi M.)"
"'J/A+A/612/A79/table6'","AKARI photometry for APEX/LABOCA sources ( Barrado D., de Gregorio Monsalvo I., Huelamo N., Morales-Calderon M., Bayo A., Palau A., Ruiz M.T., Riviere-Marichalar P., Bouy H., Morata O., Stauffer J.R., Eiroa C., Noriega-Crespo A.)"
"'J/A+A/612/A85/table1'","Best-fitting values of size and infrared beaming parameter and corresponding geometric visible albedos for the AKARI IRC sample ( Ali-Lagoa V., Mueller T.G., Usui F., Hasegawa S.)"
"'J/AJ/155/17/table3'","AKARI observation of WR galaxies ( Chen P.S., Yang X.H., Liu J.Y., Shan H.G.)"
"'J/ApJ/727/14/table2'","AKARI IRC 3-24{mu}m, and Spitzer MIPS 24/70{mu}m photometry of Abell 2255 member galaxies ( Shim H., Im M., Lee H.M., Lee M.G., Kim S.J., Hwang H.S., Hwang N., Ko J., Lee J.C., Lim S., Matsuhara H., Seo H., Wada T., Goto T.)"
"'J/ApJ/753/104/table1'","AKARI infrared properties of the AGN in the 22 month Swift/BAT catalog ( Matsuta K., Gandhi P., Dotani T., Nakagawa T., Isobe N., Ueda Y., Ichikawa K., Terashima Y., Oyabu S., Yamamura I., Stawarz L.)"
"'J/ApJ/814/11/xmmir'","XMM and AKARI 18um and 90um data ( Terashima Y., Hirata Y., Awaki H., Oyabu S., Gandhi P., Toba Y., Matsuhara H.)"
"'J/ApJ/840/21/table1'","The 8 WISE-SDSS-IRAS/AKARI specz dust-obscured galaxies (DOGs) identified in this work ( Toba Y., Nagao T., Wang W.-H., Matsuhara H., Akiyama M., Goto T., Koyama Y., Ohyama Y., Yamamura I.)"
"'J/ApJ/905/55/asess'","Bright-PAH in the AKARI-Spitzer Extragalactic Spectral Survey (ASESS) list (Table 1) and observations (Table 6) ( Lai T.S.-Y., Smith J.D.T., Baba S., Spoon H.W.W., Imanishi M.)"
"'J/ApJ/944/202/tablea1'","Mid-infrared observations from IRAS, AKARI, Subaru, WISE, and NEOWISE ( Jiang H., Ji J., Yu L., Yang B., Hu S., Zhao Y.)"
"'J/ApJS/216/17/table5'","2.5-5um AKARI/IRC spectra ( Kim D., Im M., Kim J.H., Jun H.D., Woo J.-H., Lee H.M., Lee M.G., Nakagawa T., Matsuhara H., Wada T., Oyabu S., Takagi T., Ohyama Y., Lee S.-K.)"
"'J/ApJS/240/26/table5'","Data from the 2MASS, Spitzer/GLIMPSE360, AllWISE, AKARI, MSX, and Herschel/Hi-GAL point source catalogs and the classification of YSO candidates ( Sewilo M., Whitney B.A., Yung B.H.K., Robitaille T.P., Elia D., Indebetouw R., Schisano E., Szczerba R., Karska A., Wiseman J., Babler B., Boyer M.L., Fischer W.J., Meade M., Olmi L., Padgett D., Siodmiak N.)"
"'J/ApJS/265/45/table1'","IRAS/AKARI IR galaxy detected by Atacama Cosmology Telescope (ACT) ( Kilerci E., Hashimoto T., Goto T., Gogus E., Kim S.J., Ho S.C.-C., Valerie Wong Yi H.)"
"'J/ApJS/265/45/table2'","*Spectral indices of the IRAS-AKARI IR galaxy detected by ACT ( Kilerci E., Hashimoto T., Goto T., Gogus E., Kim S.J., Ho S.C.-C., Valerie Wong Yi H.)"
"'J/BaltA/19/1/table1'","Identification of the SL objects in the 2MASS, IRAS and AKARI catalogs having mid- and far-infrared measurements + 9 known YSOs ( Straizys V., Kazlauskas A.)"
"'J/MNRAS/420/585/table1'","Photometry of the AKARI sources matched to OGLE-III SMC catalogue ( Ngeow C.-C., Citro D.M., Kanbur S.M.)"
"'J/MNRAS/472/4259/adfsga'","AKARI/IRC AKARI Deep Field South galaxy ( Davidge H., Serjeant S., Pearson C., Matsuhara H., Wada T., Dryer B., Barrufet L.)"
"'J/MNRAS/472/4259/en1gal'","AKARI/IRC ELAIS North 1 galaxy positions and photometry photometry ( Davidge H., Serjeant S., Pearson C., Matsuhara H., Wada T., Dryer B., Barrufet L.)"
"'J/MNRAS/472/4259/idfgal'","AKARI/IRC IRAC Dark Field galaxy positions and positions and photometry ( Davidge H., Serjeant S., Pearson C., Matsuhara H., Wada T., Dryer B., Barrufet L.)"
"'J/MNRAS/474/5363/table1'","AKARI-SDSS-6dFGS-2MRS sample ( Kilerci Eser E., Goto T.)"
