table_name,description
"'III/197/assoc'","Associated sources ( Joint IRAS Science Working Group)"
"'III/197/lrs'","The IRAS Low Resolution Spectra ( Joint IRAS Science Working Group)"
"'III/237A/catalog'","Byurakan-IRAS Stars (BIS, table1 of paper) ( Mickaelian A.M., Gigoyan K.S.)"
"'II/125/assoc'","Associations ( Joint IRAS Science W.G.)"
"'II/125/main'","IRAS Point Sources ( Joint IRAS Science W.G.)"
"'II/156A/main'","IRAS Faint Sources ( Moshir, M., Copan, G., Conrow, T., McCallon, H., Hacking, P., Gregorich, D., Rohrbach, G., Melnyk, M., Rice, W., Fullmer, L., and Chester, T.J.)"
"'II/162/table6'","Variable stars identified with IRAS 12 {mu}m sources ( Caldwell J.A.R., Keane M.J., Schechter P.L.)"
"'II/225/psc'","*IRAS PSC V2 data for CIO sources ( Gezari D.Y., Pitts P.S., Schmitz M.)"
"'II/274/iras_r'","IRAS Point Source Reject Catalog, Version 2.1 ( )"
"'II/338/catalog'","The IRAS PSC/FSC Combined Catalogue ( Abrahamyan H.V., Mickaelian A.M., Knyazyan A.V.)"
"'IX/10A/cor_iras'","1RXS Correlation to IRASPSC, IRASFSC ( Voges W., Aschenbach B., Boller T., et al.)"
"'J/A+A/227/82/table3'","IRAS photometry ( Epchtein N., Le Bertre T., Lepine J.R.D.)"
"'J/A+A/272/235/table3'","IRAS point sources in L1251 ( Kun M., Prusti T.)"
"'J/A+A/284/233/table1'","IRAS properties of HII regions ( CODELLA C., FELLI M., NATALE V.)"
"'J/A+A/299/347/table2'","IRAS galaxies and galaxy candidates in the Taurus molecular cloud region ( CHAMARAUX P., KAZES I., SAITO M., YAMADA T., TAKATA T.)"
"'J/A+A/327/755/table1'","Sources with IRAS emission at all four bands (Sample A) ( Palla F., Codella C., Valdettaro R., Baffa C.)"
"'J/A+A/327/755/table2'","Sources with IRAS emission in the 12, 25, 60{mu}m (Sample B) ( Palla F., Codella C., Valdettaro R., Baffa C.)"
"'J/A+A/330/505/table2'","Best-fit model parameters of our IRAS source sample and computed mass-loss rates ( Blanco A., Borghesi A., Fonti S., Orofino V.)"
"'J/A+A/352/228/table1'","Transitional YSO candidate IRAS sources ( Magnier E.A., Volp A.W., Laan K., Van den Ancker M.E., Waters L.B.F.M.)"
"'J/A+A/368/1006/table1'","Observational and derived data for the analysed sample of OH/IR stars with IRAS LRS spectra ( Chen P.S., Szczerba R., Kwok S., Volk K.)"
"'J/A+A/372/245/table1'","IRAS associations of barium stars ( Chen P.S.)"
"'J/A+A/380/441/table3'","IRAS galaxies behind the southern Milky Way ( Woudt P.A., Kraan-Korteweg R.C.)"
"'J/A+A/382/184/table4'","IRAS 09425-6040 measured IR spectral features ( Molster F.J., Waters L.B.F.M., Tielens A.G.G.M., Barlow M.J.)"
"'J/A+A/385/884/table1'","Infrared properties of candidates from IRAS-PSC ( Fujii T., Nakada Y., Parthasarathy M.)"
"'J/A+A/399/1083/table1'","IRAS-CO associations ( Kerton C.R., Brunt C.M.)"
"'J/A+A/399/1083/table2'","IRAS sources with no CO association ( Kerton C.R., Brunt C.M.)"
"'J/A+A/401/873/tablea'","The IRAS 12{mu}m source catalog ( Wilke K., Stickel M., Haas M., Herbstmeier U., Klaas U., Lemke D.)"
"'J/A+A/401/873/tableb'","The IRAS 25{mu}m source catalog ( Wilke K., Stickel M., Haas M., Herbstmeier U., Klaas U., Lemke D.)"
"'J/A+A/401/873/tablec'","The IRAS 60{mu}m source catalog ( Wilke K., Stickel M., Haas M., Herbstmeier U., Klaas U., Lemke D.)"
"'J/A+A/401/873/tabled'","The IRAS 100{mu}m source catalog ( Wilke K., Stickel M., Haas M., Herbstmeier U., Klaas U., Lemke D.)"
"'J/A+A/402/963/table2'","2MASS, IRAS and ROSAT results of Stephenson stars object ( Maheswar G., Manoj P., Bhatt H.C.)"
"'J/A+A/409/115/table1'","New 2cm VLA observations of the IRAS 1Jy ULIRG sample. ( Nagar N.M., Wilson A.S., Falcke H., Veilleux S., Maiolino R.)"
"'J/A+A/416/515/table6'","Integrated quantities for the Mrk IRAS galaxies ( Davoust E., Contini T.)"
"'J/A+A/426/97/table1'","Results for the 146 observed IRAS sources ( Faundez S., Bronfman L., Garay G., Chini R., Nyman L.-A., May J.)"
"'J/A+A/429/235/table3'","Identifications of 119 cool C-rich giants are given in three catalogues (CGCS, GCVS and IRAS) ( Bergeat J., Chevallier L.)"
"'J/A+A/434/201/table1a'","Observational and derived data for the analysed sample of OH/IR stars with IRAS LRS spectra ( He J.H., Szczerba R., Chen P.S., Sobolev A.M.)"
"'J/A+A/447/221/table1'","Observed IRAS sources ( Beltran M.T., Brand J., Cesaroni R., Fontani F., Pezzuto S., Testi L., Molinari S.)"
"'J/A+A/447/221/table2'","Offset position, angular diameter, linear diameter, integrated flux density at 1.2mm, mass, and density of the clumps detected towards each IRAS source ( Beltran M.T., Brand J., Cesaroni R., Fontani F., Pezzuto S., Testi L., Molinari S.)"
"'J/A+A/458/173/table3'","List of IRAS fields observed ( Suarez O., Garcia-Lario P., Manchado A., Manteiga M., Ulla A., Pottasch S.R.)"
"'J/A+A/458/173/table4'","Main characteristics derived for the IRAS sources identified as post-AGB stars ( Suarez O., Garcia-Lario P., Manchado A., Manteiga M., Ulla A., Pottasch S.R.)"
"'J/A+A/458/173/table5'","Main characteristics derived for the IRAS sources identified as transition objects ( Suarez O., Garcia-Lario P., Manchado A., Manteiga M., Ulla A., Pottasch S.R.)"
"'J/A+A/458/173/table6'","Main characteristics derived from the optical images and spectra of the IRAS sources identified as PNe ( Suarez O., Garcia-Lario P., Manchado A., Manteiga M., Ulla A., Pottasch S.R.)"
"'J/A+A/468/1001/table2'","Early type sources (~B0.5 and earlier) from the NIR CM diagram of IRAS 20178+4046 ( Tej A., Ghosh S.K., Kulkarni V.K., Ojha D.K., Verma R.P., Vig S.)"
"'J/A+A/470/231/table1'","Photometry of IRAS 06468-0325 ( Yun J.L., Torrelles J.M., Santos N.C.)"
"'J/A+A/473/149/table2'","Photometry of sources detected in the IRAS 16362-4845 cluster ( Comeron F., Schneider N.)"
