column_name,datatype,unit,description
designation,char,,WISE source designation
ra,double,deg,right ascension (J2000)
dec,double,deg,declination (J2000)
sigra,double,arcsec,uncertainty in RA
sigdec,double,arcsec,uncertainty in DEC
sigradec,double,arcsec,cross-term of RA and Dec uncertainties
glon,double,deg,galactic longitude
glat,double,deg,galactic latitude
elon,double,deg,ecliptic longitude
elat,double,deg,ecliptic latitude
wx,double,pix,"x-pixel coordinate, all bands"
wy,double,pix,"y-pixel coordinate, all bands"
cntr,long,,unique entry counter (key) number
source_id,char,,unique source ID (coadd ID and source number)
coadd_id,char,,coadd ID
src,long,,source number in coadd
w1mpro,float,mag,"instrumental profile-fit photometry magnitude, band 1"
w1sigmpro,float,mag,"instrumental profile-fit photometry flux uncertainty in mag units, band 1"
w1snr,double,,"instrumental profile-fit photometry S/N ratio, band 1"
w1rchi2,float,,"instrumental profile-fit photometry reduced chi^2, band 1"
w2mpro,float,mag,"instrumental profile-fit photometry magnitude, band 2"
w2sigmpro,float,mag,"instrumental profile-fit photometry flux uncertainty in mag units, band 2"
w2snr,double,,"instrumental profile-fit photometry S/N ratio, band 2"
w2rchi2,float,,"instrumental profile-fit photometry reduced chi^2, band 2"
w3mpro,float,mag,"instrumental profile-fit photometry magnitude, band 3"
w3sigmpro,float,mag,"instrumental profile-fit photometry flux uncertainty in mag units, band 3"
w3snr,double,,"instrumental profile-fit photometry S/N ratio, band 3"
w3rchi2,float,,"instrumental profile-fit photometry reduced chi^2, band 3"
w4mpro,float,mag,"instrumental profile-fit photometry magnitude, band 4"
w4sigmpro,float,mag,"instrumental profile-fit photometry flux uncertainty in mag units, band 4"
w4snr,double,,"instrumental profile-fit photometry S/N ratio, band 4"
w4rchi2,float,,"instrumental profile-fit photometry reduced chi^2, band 4"
rchi2,float,,"instrumental profile-fit photometry reduced chi squared, total"
nb,long,,number of blend components used in each fit
na,long,,active deblend flag (=1 if actively deblended)
w1sat,float,,"fraction of pixels affected by saturation, band 1"
w2sat,float,,"fraction of pixels affected by saturation, band 2"
w3sat,float,,"fraction of pixels affected by saturation, band 3"
w4sat,float,,"fraction of pixels affected by saturation, band 4"
satnum,char,,"minimum sample at which saturation occurs in frame stack, 1 char per band"
ra_pm,double,deg,Right ascension at epoch MJD=55400.0 (2010.5589) from pff model incl. motion
dec_pm,double,deg,Declination at epoch MJD=55400.0 (2010.5589) from pff model incl. motion
sigra_pm,double,arcsec,One-sigma uncertainty in RA from pff model incl. motion
sigdec_pm,double,arcsec,One-sigma uncertainty in DEC  from pff model incl. motion
sigradec_pm,double,arcsec,The co-sigma of the equatorial position uncertainties from ppf model incl motion
pmra,long,mas/yr,Apparent motion in RA
sigpmra,long,mas/yr,Uncertainty in the RA motion estimate
pmdec,long,mas/yr,Apparent motion in Dec
sigpmdec,long,mas/yr,Uncertainty in the Dec  motion estimate
w1rchi2_pm,float,,Reduced chi^2 of the W1 profile-fit photometry measurement including motion est
w2rchi2_pm,float,,Reduced chi^2 of the W2 profile-fit photometry measurement including motion est
w3rchi2_pm,float,,Reduced chi^2 of the W3 profile-fit photometry measurement including motion est
w4rchi2_pm,float,,Reduced chi^2 of the W4 profile-fit photometry measurement including motion est
rchi2_pm,float,,Combined Reduced chi^2 in all bands for the pff photometry includes src motion
pmcode,char,,Motion estimate quality code
cc_flags,char,,prioritized artifacts affecting the source in each band
rel,char,,Small separation multiple detection flag
ext_flg,long,,probability that source morphology is not consistent with single PSF
var_flg,char,,probability that flux varied in any band greater than amount expected from unc.s
ph_qual,char,,"photometric quality of each band (A=highest, U=upper limit)"
det_bit,long,,bit-encoded integer indicating detection for each band
moon_lev,char,,"level of moon contamination in coadd (ceiling(#frmmoon/#frames*10)), 1 per band"
w1nm,long,,"number of profile-fit flux measurements for source with SNR >= 3, band 1"
w1m,long,,"number of profile-fit flux measurements for source, band 1"
w2nm,long,,"number of profile-fit flux measurements for source with SNR >= 3, band 2"
w2m,long,,"number of profile-fit flux measurements for source, band 2"
w3nm,long,,"number of profile-fit flux measurements for source with SNR >= 3, band 3"
w3m,long,,"number of profile-fit flux measurements for source, band 3"
w4nm,long,,"number of profile-fit flux measurements for source with SNR >= 3, band 4"
w4m,long,,"number of profile-fit flux measurements for source, band 4"
w1cov,float,,"mean coverage depth, band 1"
w2cov,float,,"mean coverage depth, band 2"
w3cov,float,,"mean coverage depth, band 3"
w4cov,float,,"mean coverage depth, band 4"
w1cc_map,long,,contamination and confusion bit array for the source in band 1
w1cc_map_str,char,,contamination and confusion character array for the source in band 1
w2cc_map,long,,contamination and confusion bit array for the source in band 2
w2cc_map_str,char,,contamination and confusion character array for the source in band 2
w3cc_map,long,,contamination and confusion bit array for the source in band 3
w3cc_map_str,char,,contamination and confusion character array for the source in band 3
w4cc_map,long,,contamination and confusion bit array for the source in band 4
