column_name,datatype,unit,description
objid,char,,Object ID
crowded,long,,Crowded field flag
badbkgmatch,long,,Bad Background Match flag
ra,double,deg,Right Ascension (J2000)
dec,double,deg,Declination (J2000)
l,double,deg,Galactic Longitude
b,double,deg,Galactic Latitude
nmatches,long,,Number of possible matches
nreject,long,,Number of possible matches rejected
nbands,long,,Number of bands with 10 sigma detections
i1_fluxtype,long,,IRAC Ch1 Flux Type Flag
i2_fluxtype,long,,IRAC Ch2 Flux Type Flag
i3_fluxtype,long,,IRAC Ch3 Flux Type Flag
i4_fluxtype,long,,IRAC Ch4 Flux Type Flag
m1_fluxtype,long,,MIPS Ch1 Flux Type Flag
i1_fluxflag,long,,IRAC Ch1 Flux Flag
i2_fluxflag,long,,IRAC Ch2 Flux Flag
i3_fluxflag,long,,IRAC Ch3 Flux Flag
i4_fluxflag,long,,IRAC Ch4 Flux Flag
m1_fluxflag,long,,MIPS Ch1 Flux Flag
i1_softsatflag,long,,IRAC Ch1 Soft Saturation Flag
i2_softsatflag,long,,IRAC Ch2 Soft Saturation Flag
i3_softsatflag,long,,IRAC Ch3 Soft Saturation Flag
i4_softsatflag,long,,IRAC Ch4 Soft Saturation Flag
i1_f_ap1,double,uJy,IRAC Ch1 flux density (3.8 arcsec diameter aperture)
i1_df_ap1,double,uJy,IRAC Ch1 flux density uncertainty (3.8 arcsec diameter aperture)
i1_f_ap2,double,uJy,IRAC Ch1 flux density (5.8 arcsec diameter aperture)
i1_df_ap2,double,uJy,IRAC Ch1 flux density uncertainty (5.8 arcsec diameter aperture)
i1_f_ap1_bf,double,uJy,IRAC Ch1 bandfill flux density (3.8 arcsec diameter aperture)
i1_df_ap1_bf,double,uJy,IRAC Ch1 bandfill flux density uncertainty (3.8 arcsec diameter aperture)
i1_f_ap2_bf,double,uJy,IRAC Ch1 bandfill flux density (5.8 arcsec diameter aperture)
i1_df_ap2_bf,double,uJy,IRAC Ch1 bandfill flux density uncertainty (5.8 arcsec diameter aperture)
i1_f_ap1_3siglim,double,uJy,IRAC Ch1 3 sigma flux density limit (3.8 arcsec diameter aperture)
i1_f_ap2_3siglim,double,uJy,IRAC Ch1 3 sigma flux density limit (5.8 arcsec diameter aperture)
i2_f_ap1,double,uJy,IRAC Ch2 flux density (3.8 arcsec diameter aperture)
i2_df_ap1,double,uJy,IRAC Ch2 flux density uncertainty (3.8 arcsec diameter aperture)
i2_f_ap2,double,uJy,IRAC Ch2 flux density (5.8 arcsec diameter aperture)
i2_df_ap2,double,uJy,IRAC Ch2 flux density uncertainty (5.8 arcsec diameter aperture)
i2_f_ap1_bf,double,uJy,IRAC Ch2 bandfill flux density (3.8 arcsec diameter aperture)
i2_df_ap1_bf,double,uJy,IRAC Ch2 bandfill flux density uncertainty (3.8 arcsec diameter aperture)
i2_f_ap2_bf,double,uJy,IRAC Ch2 bandfill flux density (5.8 arcsec diameter aperture)
i2_df_ap2_bf,double,uJy,IRAC Ch2 bandfill flux density uncertainty (5.8 arcsec diameter aperture)
i2_f_ap1_3siglim,double,uJy,IRAC Ch2 3 sigma flux density limit (3.8 arcsec diameter aperture)
i2_f_ap2_3siglim,double,uJy,IRAC Ch2 3 sigma flux density limit (5.8 arcsec diameter aperture)
i3_f_ap1,double,uJy,IRAC Ch3 flux density (3.8 arcsec diameter aperture)
i3_df_ap1,double,uJy,IRAC Ch3 flux density uncertainty (3.8 arcsec diameter aperture)
i3_f_ap2,double,uJy,IRAC Ch3 flux density (5.8 arcsec diameter aperture)
i3_df_ap2,double,uJy,IRAC Ch3 flux density uncertainty (5.8 arcsec diameter aperture)
i3_f_ap1_bf,double,uJy,IRAC Ch3 bandfill flux density (3.8 arcsec diameter aperture)
i3_df_ap1_bf,double,uJy,IRAC Ch3 bandfill flux density uncertainty (3.8 arcsec diameter aperture)
i3_f_ap2_bf,double,uJy,IRAC Ch3 bandfill flux density (5.8 arcsec diameter aperture)
i3_df_ap2_bf,double,uJy,IRAC Ch3 bandfill flux density uncertainty (5.8 arcsec diameter aperture)
i3_f_ap1_3siglim,double,uJy,IRAC Ch3 3 sigma flux density limit (3.8 arcsec diameter aperture)
i3_f_ap2_3siglim,double,uJy,IRAC Ch3 3 sigma flux density limit (5.8 arcsec diameter aperture)
i4_f_ap1,double,uJy,IRAC Ch4 flux density (3.8 arcsec diameter aperture)
i4_df_ap1,double,uJy,IRAC Ch4 flux density uncertainty (3.8 arcsec diameter aperture)
i4_f_ap2,double,uJy,IRAC Ch4 flux density (5.8 arcsec diameter aperture)
i4_df_ap2,double,uJy,IRAC Ch4 flux density uncertainty (5.8 arcsec diameter aperture)
i4_f_ap1_bf,double,uJy,IRAC Ch4 bandfill flux density (3.8 arcsec diameter aperture)
i4_df_ap1_bf,double,uJy,IRAC Ch4 bandfill flux density uncertainty (3.8 arcsec diameter aperture)
i4_f_ap2_bf,double,uJy,IRAC Ch4 bandfill flux density (5.8 arcsec diameter aperture)
i4_df_ap2_bf,double,uJy,IRAC Ch4 bandfill flux density uncertainty (5.8 arcsec diameter aperture)
i4_f_ap1_3siglim,double,uJy,IRAC Ch4 3 sigma flux density limit (3.8 arcsec diameter aperture)
i4_f_ap2_3siglim,double,uJy,IRAC Ch4 3 sigma flux density limit (5.8 arcsec diameter aperture)
m1_f_psf,double,uJy,MIPS Ch1 PSF fit flux density
m1_df_psf,double,uJy,MIPS Ch1 PSF fit flux density uncertainty
m1_f_ap,double,uJy,MIPS Ch1 aperture flux density
m1_df_ap,double,uJy,MIPS Ch1 aperture flux density uncertainty
m1_f_psf_bf,double,uJy,MIPS Ch1 PSF bandfill flux density
m1_df_psf_bf,double,uJy,MIPS Ch1 PSF bandfill flux density uncertainty
m1_f_ap_bf,double,uJy,MIPS Ch1 aperture bandfill flux density
m1_df_ap_bf,double,uJy,MIPS Ch1 aperture bandfill flux density uncertainty
