table_name,description
"'III/29/catalog'","The catalog of H{gamma} equivalent widths (table 2 of the paper) ( Petrie R.M., Crampton D., Leir A. Younger F.)"
"'III/29/remarks'","Remarks ( Petrie R.M., Crampton D., Leir A. Younger F.)"
"'II/290/finalcat'","SWIRE photometric redshift catalogue ( Rowan-Robinson M., Babbedge T., Oliver S., Trichas M., Berta S., Lonsdale C., Smith G., Shupe D., Surace J., Arnouts S., Ilbert O., Fevre O.L., Afonso-Luis A., Perez-Fournon I., Hatziminaoglou E., Polletta M., Farrah D., Vaccari M.)"
"'II/292/notes'","Individual notes (Pap. I) ( Weitenbeck A.J.)"
"'II/292/objects'","List of studied stars in pol.dat and ser.dat files ( Weitenbeck A.J.)"
"'II/292/pol'","Polarization in all bands ( Weitenbeck A.J.)"
"'II/292/ser'","Serkowski law parameters ( Weitenbeck A.J.)"
"'II/292/table2'","Polarization in the HD100340 region, {lambda}{lambda}6000-7000{AA} (Pap. III) ( Weitenbeck A.J.)"
"'II/292/table5'","Stellar Data for Distances in Fig 2 (Pap. II) ( Weitenbeck A.J.)"
"'II/295/GC-IRAC'","Galactic Center IRAC source list ( Ramirez S.V., Arendt R.G., Sellgren K., Stolovy S.R., Cotera A., Smith H.A., Yusef-Zadeh F.)"
"'II/295/SSTGC'","2MASS/IRAC catalog of the Galactic Center ( Ramirez S.V., Arendt R.G., Sellgren K., Stolovy S.R., Cotera A., Smith H.A., Yusef-Zadeh F.)"
"'II/296/catalog'","QVS Light Curve Catalog, version 2: Main Table ( Rengstorf A.W., Thompson D.L., Mufson S.L., et al.)"
"'II/297/irc'","AKARI/IRC All-Sky Survey Point Source Catalogue (Version 1.0) ( Ishihara D., Onaka T., Kataza H., et al.)"
"'II/298/fis'","AKARI/FIS All-Sky Survey Bright Source Catalogue (Version 1.0) ( Yamamura I., Makiuti S., Ikeda N., Fukuda Y., Oyabu S., Koga T., White G.J.)"
"'II/299/gd'","Summary catalog of the GD stars. ( Giclas H.L., Burnham R., Thomas N.G.)"
"'J/ApJ/658/1264/glimpse'","Photometric parameters for stars  observed by GLIMPSE (Cat. II/293) ( Uzpen B., Kobulnicky H.A., Monson A.J., et al.)"
"'J/MNRAS/472/4173/table2'","Multi-band photometry and proper motions for objects in the Giclas et al. (1980, II/299) catalogue ( Raddi R., Gentile Fusillo N. P., Pala A. F., Hermes J. J., Gnsicke B. T., Chote P., Hollands M. A., Henden A., Catalan S., Geier S., Koester D., Munari U., Napiwotzki R., Tremblay P.-E.)"
"'II/293/glimpse'","GLIMPSE sources in Galactic Center ( Spitzer Science Center)"
"'II/294/sdss7'","* output of the SDSS photometric catalog ( Adelman-McCarthy J.K. et al.)"
"'VII/292/north'","Legacy Surveys DR8 North Photometric Redshifts catalog (323 213 867 sources) ( Duncan K.J.)"
"'VII/292/south'","Legacy Surveys DR8 South Photometric Redshifts catalog (1 252 523 992 sources) ( Duncan K.J.)"
"'VIII/29A/abelclus'","*1400-MHz survey of Abell Clusters ( Owen F.N., White R.A., Hilldrup K.C., Hanisch R.J.)"
"'VIII/29A/table1'","*Sources detected within 0.5 corrected Abell cluster radii ( Owen F.N., White R.A., Hilldrup K.C., Hanisch R.J.)"
"'VII/290/catalog'","The catalogue (v7.2), 30-April-2021 ( Flesch E.W.)"
"'VII/290/refs'","References (for numerical references) ( Flesch E.W.)"
"'VII/291/gladep'","GLADE+ catalog (updated version, 31/10/2022) ( Dalya G., Diaz R., Bouchet F.R., Frei Z., Jasche J., Lavaux G., Macas R., Mukherjee S., Palfi M., de Souza R.S., Wandelt B.D., Bilicki M., Raffai P.)"
"'VII/293/catalog'","Results from the naive Bayes classifier ( Wilson A.J., Lakeland B.S., Wilson T.J., Naylor T.)"
"'VII/294/catalog'","The catalogue (v8), 30-Jul-2023 ( Flesch E.W)"
"'VII/294/refs'","References ( Flesch E.W)"
"'VII/295/table500'","Astrometric data of Jupiter (1967-1998) ( Robert V., Pascu D., Lainey V., Arlot J.-E.)"
"'VII/295/table501'","Astrometric data of Io (1967-1998) ( Robert V., Pascu D., Lainey V., Arlot J.-E.)"
"'VII/295/table502'","Astrometric data of Europa (1967-1998) ( Robert V., Pascu D., Lainey V., Arlot J.-E.)"
"'VII/295/table503'","Astrometric data of Ganymede (1967-1998) ( Robert V., Pascu D., Lainey V., Arlot J.-E.)"
"'VII/295/table504'","Astrometric data of Callisto (1967-1998) ( Robert V., Pascu D., Lainey V., Arlot J.-E.)"
"'VII/296/refs'","References ( Nuritdinov S.N., Mirtadjieva K.T., Omonov A.U.)"
"'VII/296/table1'","Catalog of lopsided galaxies ( Nuritdinov S.N., Mirtadjieva K.T., Omonov A.U.)"
"'VII/296/table2'","Disk-like galaxies with lopsidedness ( Nuritdinov S.N., Mirtadjieva K.T., Omonov A.U.)"
"'VII/296/table3'","Disk mass of lopsided spiral galaxies ( Nuritdinov S.N., Mirtadjieva K.T., Omonov A.U.)"
"'VII/297/snrs'","Supernova Remnant catalogue ( Green D.A.)"
"'VII/298/acro'","Acromym definitions ( QUAC collaboration)"
"'VII/298/catalog'","QUasar Atlas and Catalogue (QUAC) ( QUAC collaboration)"
"'VII/298/class'","Type definitions ( QUAC collaboration)"
