table_name,description
"'J/A+A/518/L73/table1'","Spitzer and Herschel fluxes for YSOs discussed in Sect. 5 ( Sewilo M., Indebetouw R., Carlson L.R., et al.)"
"'J/A+A/534/A118/table5'","Predicted emissivities as a function of temperature in the IRAS, Herschel, and Planck photometric bands ( Paradis D, Bernard J.P., Meny C., Gromov V.)"
"'J/A+A/542/A76/table1'","Herschel/HIFI observed line transitions in W43-MM1 ( Herpin F., Chavarria L., van der Tak F., Wyrowski F., van Dishoeck E.F., Jacq T., Braine J., Baudry A., Bontemps S., Kristensen L.)"
"'J/A+A/544/A101/hrs-galex'","Properties of the Herschel Reference Survey (HRS)  sample, GALEX data and derived parameters ( Cortese L., Boissier S., Boselli A., Bendo G.J., Buat V., Davies J.I., Eales S., Heinis S., Isaak K.G., Madden S.C.)"
"'J/A+A/549/A67/tablea1'","Photometric catalog of the 642 Herschel point-like sources with fluxes detected in at least two bands ( Gaczkowski B., Preibisch T., Ratzka T., Roccatagliata V., Ohlendorf H., Zinnecker H.)"
"'J/A+A/549/A67/tableb1'","2MASS, Spitzer, WISE, and Herschel fluxes of the point-like sources with SED fits ( Gaczkowski B., Preibisch T., Ratzka T., Roccatagliata V., Ohlendorf H., Zinnecker H.)"
"'J/A+A/549/A67/tabled1'","*Catalog of the additional 500 Herschel source-candidates ( Gaczkowski B., Preibisch T., Ratzka T., Roccatagliata V., Ohlendorf H., Zinnecker H.)"
"'J/A+A/550/A114/table7'","General properties of observed late-type galaxies of the Herschel Reference Survey (HRS) sample ( Boselli A., Hughes T., Cortese L., Gavazzi G., Buat V.)"
"'J/A+A/555/A11/stars'","The DUNES stellar sample: stellar optical data (table2), positions in Herschel (table10), parameters (table4), optical/near-IR photometry (table3a), AKARI + WISE (table3c), and IRAS + MIPS fluxes (table3d) ( Eiroa C., Marshall J.P., Mora A., et al.)"
"'J/A+A/555/A11/table5'","Herschel/PACS AORs ( Eiroa C., Marshall J.P., Mora A., et al.)"
"'J/A+A/565/A25/table2'","Herschel PACS and SPIRE Photometry ( Bitsakis T., Charmandaris V., Appleton P. N., Diaz-Santos T., Le Floc'h E., da Cunha E., Alatalo K., Cluver M.)"
"'J/A+A/570/A29/table2'","Herschel PACS OTC1_jpatience_1 observing log ( Bulger J., Patience J., Ward-Duong K., Pinte C., Bouy H., Menard F., Monin J.-L.)"
"'J/A+A/570/A29/table5'","Herschel PACS photometry compilation ( Bulger J., Patience J., Ward-Duong K., Pinte C., Bouy H., Menard F., Monin J.-L.)"
"'J/A+A/572/A90/vvdsir'","All Herschel/SPIRE detections in the CFHTLS-D1 field ( Lemaux B.C., Le Floc'h E., Le Fevre O., Ilbert O., Tresse L., Lubin L.M., Zamorani G., Gal R.R., Ciliegi P., Cassata P., Kocevski D.D., McGrath E.J., Bardelli S., Zucca E., Squires G.K.)"
"'J/A+A/573/A129/hevics'","*Herschel Virgo Cluster Survey: cross correlation between 250, 350 and 500um catalogs ( Pappalardo C., Bendo G.J., Bianchi S., et al.)"
"'J/A+A/574/A126/HeViCS_SF'","Results for star-forming dwarf  galaxies detected by HeViCS, with Herschel photometry ( Grossi M., Hunt L.K., Madden S.C., et al.)"
"'J/A+A/575/A80/sources'","All sources observed: properties of the high-z sources (table1), Herschel and Spitzer photometry (table2), and derived physical parameters from SED fitting (table4) ( Podigachoski P., Barthel P.D., Haas M., et al.)"
"'J/A+A/579/A102/HRS'","Herschel Reference Survey: basic properties (table1), H{alpha}+NII luxes (table3), CAS parameters (table4), 20cm data (table5), star formation rates (table6), and emission-line fluxes (table7) ( Boselli A., Fossati M., Gavazzi G., Ciesla L., Buat V., Boissier S., Hughes T.)"
"'J/A+A/582/A121/table5'","Updated Herschel flux densities for the DGS sample ( Remy-Ruyer A., Madden S.C., Galliano F., Lebouteiller V., Baes M., Bendo G.J., Boselli A., Ciesla L., Cormier D., Cooray A., Cortese L., De Looze I., Doublier-Pritchard V., Galametz M., Jones A.P., Karczewski O.L., Lu N., Spinoglio L.)"
