series,platenum,mosnum,expnum,exptime_min
ai,2147,0,0,66.0
ai,5505,0,0,71.0
ai,36989,0,0,64.0
ai,4675,0,0,63.0
kb,2143,-1,0,44.0
ai,38860,0,0,43.0
fa,9107,2,0,59.0
fa,9004,-1,0,75.0
ay,76,0,0,142.0
ai,33297,0,0,87.0
bi,2989,1,0,45.0
fa,243,1,0,70.0
ai,17242,0,0,4.0
ai,34723,0,0,69.0
ay,1017,0,0,96.0
ai,36713,2,0,148.0
ca,1178,0,0,30.0
ai,24361,1,0,70.0
ai,13576,0,0,36.0
ai,21909,0,0,138.0
i,23220,0,0,11.0
dnb,6674,0,0,36.0
ac,28272,0,0,68.0
ai,25810,-1,0,84.0
ac,27842,0,0,57.0
ai,17375,0,0,60.0
aco,3,-1,0,4.0
ai,31595,1,0,82.0
ac,21335,0,0,46.0
ac,41635,0,0,51.0
ac,36377,0,0,116.0
ai,21871,0,0,121.0
ac,21502,0,0,63.0
ai,27339,0,0,50.0
ai,26642,-1,0,74.0
fa,264,0,0,58.0
fa,8423,0,0,59.0
fa,2123,0,0,32.0
ai,4479,0,0,40.0
fa,10217,0,0,10.0
fa,5776,0,0,59.0
ka,429,-1,0,60.48
ac,5000,-1,0,74.0
dnb,2338,0,0,35.23
ac,41751,0,0,40.0
ai,34864,0,0,59.0
ee,2177,0,0,45.0
ac,26412,0,0,140.0
ai,11493,0,0,60.0
ai,31695,0,0,72.0
fa,1187,1,0,44.0
fa,2225,0,0,59.0
ac,24784,0,0,120.0
ai,22841,1,0,67.0
ai,27105,-1,0,67.0
ai,12341,0,0,60.0
ai,35609,1,0,97.0
ee,1948,0,0,35.0
ai,1867,0,0,104.0
ai,24429,0,0,66.0
ai,37784,0,0,98.0
ac,19601,0,0,60.0
ai,9955,0,0,70.0
fa,3419,1,0,68.0
fa,3051,2,0,60.0
ai,2276,0,0,32.0
ai,1550,-1,0,76.0
ai,5786,1,0,60.0
ac,28384,0,0,55.0
ai,19016,1,0,65.0
ac,40342,-1,0,107.0
ac,20908,0,0,79.0
ee,2049,-1,0,28.0
ai,9975,0,0,70.0
fa,11326,0,0,60.0
ai,32169,0,0,88.0
ai,18798,0,0,65.0
fa,4347,1,0,60.0
ai,14588,1,0,50.0
ai,39681,0,0,94.0
ac,34904,0,0,63.0
ai,28369,1,0,62.0
ee,1985,-1,0,41.0
fa,11428,1,0,55.0
ai,8682,0,0,60.0
rh,14805,0,0,38.0
ai,42738,0,0,88.0
ai,327,0,0,56.0
fa,6813,1,0,57.0
ai,11019,1,0,59.0
ai,30365,0,0,73.0
ai,5997,0,0,62.0
ai,16042,1,0,80.0
ai,7850,0,0,73.0
ka,3120,-1,0,59.0
fa,9735,1,0,62.0
ai,30918,-1,0,50.0
ai,10111,0,0,63.0
ai,43219,0,0,51.0
dnr,538,0,0,60.0
ai,22759,1,0,60.0
ai,11243,0,0,60.0
fa,11045,1,0,44.0
ai,9199,0,0,55.0
ee,2225,0,0,58.0
ac,32592,1,0,82.0
ai,11470,0,0,60.0
ai,21044,0,0,60.0
ai,17488,0,0,58.0
ai,25900,0,0,62.0
dnb,6616,0,0,36.0
ac,32760,0,0,61.0
fa,3372,0,0,47.0
rh,1416,0,0,64.0
ai,2631,0,0,64.0
ai,28477,0,0,63.0
rh,578,-1,0,60.0
ac,15283,0,0,60.0
fa,11420,1,0,77.0
ai,36474,-1,0,92.0
ay,255,0,0,201.0
fa,5316,1,0,59.0
ac,33867,0,0,83.0
ai,18580,0,0,62.0
ai,18745,1,0,60.0
ai,14663,0,0,60.0
ai,21055,1,0,64.0
fa,7699,0,0,59.0
ai,8022,-1,0,63.0
fa,11916,0,0,89.0
fa,13626,1,0,1315.0
ai,41200,0,0,49.0
fa,9753,0,0,55.0
ac,39165,0,0,94.0
ai,17578,0,0,63.0
rl,2549,-1,0,74.0
i,2223,-1,0,60.0
ac,27408,0,0,65.0
ac,3730,0,0,78.0
ai,31631,0,0,123.0
ai,27605,1,0,77.0
ai,18858,0,0,88.0
c,5668,-1,0,64.0
dnb,4838,0,0,36.0
ac,36597,0,0,123.0
fa,1468,0,0,64.0
ke,182,-1,0,40.0
ai,6927,0,0,64.0
dnb,3473,1,0,36.82
