target_id,name,ra,dec,kind,vtype,period_cat,mag_cat,amp_cat,source,field,gsc_bin_index,ref_number,pm_total_masyr,colour,n_det_cat,pulsator_class,mag_max_cat,band_cat
0,DASCH_144154090_5314600851,291.014102,44.933503,bright,,,8.02,0.0,apass,kepler,144154090.0,5314600851.0,99.38249342816873,0.92,,,,
1,DASCH_144268103_5354330471,289.979469,45.031924,bright,,,8.48,0.0,apass,kepler,144268103.0,5354330471.0,69.4890638877802,1.18,,,,
2,DASCH_143761320_419185951443344,289.747875,44.56216,bright,,,8.53,0.0,apass,kepler,143761320.0,419185951443344.0,5.608029957123981,0.02,,,,
3,DASCH_142701728_419195021433322,289.959258,43.556236,bright,,,8.78,0.0,apass,kepler,142701728.0,419195021433322.0,14.45856147754679,0.95,,,,
4,DASCH_144121463_419241171445415,291.048659,44.904174,bright,,,8.9,0.0,apass,kepler,144121463.0,419241171445415.0,28.65658737533135,0.35,,,,
5,DASCH_144316969_5354307011,291.078743,45.091169,bright,,,8.92,0.0,apass,kepler,144316969.0,5354307011.0,13.427211177307074,0.34,,,,
6,DASCH_143068026_419233691435329,290.903813,43.891289,bright,,,8.98,0.0,apass,kepler,143068026.0,419233691435329.0,12.949517365523706,0.53,,,,
7,DASCH_143564019_419194351442229,289.931042,44.37478,bright,,,9.0,0.0,apass,kepler,143564019.0,419194351442229.0,41.29176673381753,0.36,,,,
8,DASCH_144268104_11030311118475,290.005279,45.03481,bright,,,9.26,0.0,apass,kepler,144268104.0,11030311118475.0,0.0,99.9,,,,
9,DASCH_142785140_419184671433734,289.694622,43.626009,bright,,,9.36,0.0,apass,kepler,142785140.0,419184671433734.0,7.211102550927979,-0.09,,,,
10,DASCH_143876179_419235231444002,290.967915,44.667289,bright,,,9.38,0.0,apass,kepler,143876179.0,419235231444002.0,149.97749831224684,0.69,,,,
11,DASCH_143958074_419255981444445,291.499051,44.745909,bright,,,9.8,0.0,apass,kepler,143958074.0,419255981444445.0,6.000833275470999,0.43,,,,
12,DASCH_142618205_419203821432904,290.15925,43.484358,bright,,,9.84,0.0,apass,kepler,142618205.0,419203821432904.0,10.16366075781753,0.37,,,,
13,DASCH_143990686_5313324391,289.189879,44.768873,bright,,,9.9,0.0,apass,kepler,143990686.0,5313324391.0,15.98155186457185,1.16,,,,
14,DASCH_143382575_419175811441140,289.492121,44.194382,bright,,,10.05,0.0,apass,kepler,143382575.0,419175811441140.0,10.621205204683694,1.14,,,,
15,DASCH_143333037_419204791440919,290.199735,44.155208,bright,,,10.07,0.0,apass,kepler,143333037.0,419204791440919.0,35.21491161425796,0.66,,,,
16,DASCH_144219269_419215491445942,290.478839,44.995032,bright,,,10.08,0.0,apass,kepler,144219269.0,419215491445942.0,22.588713996153036,0.46,,,,
17,DASCH_142634900_419185411432947,289.725539,43.496301,bright,,,10.1,0.0,apass,kepler,142634900.0,419185411432947.0,46.3113377047133,0.65,,,,
18,DASCH_144479351_419195131451446,289.963716,45.246064,bright,,,10.12,0.0,apass,kepler,144479351.0,419195131451446.0,0.0,0.1,,,,
19,DASCH_142735122_419204751433456,290.197824,43.58224,bright,,,10.14,0.0,apass,kepler,142735122.0,419204751433456.0,47.61029300476947,1.03,,,,
20,DASCH_144576554_419161161451956,289.048434,45.332205,bright,,,10.17,0.0,apass,kepler,144576554.0,419161161451956.0,16.995587662684688,0.57,,,,
21,DASCH_143646370_419251091442636,291.295496,44.443376,bright,,,10.22,0.0,apass,kepler,143646370.0,419251091442636.0,3.505709628591621,0.36,,,,
22,DASCH_143233723_419160341440315,289.014147,44.054193,bright,,,10.27,0.0,apass,kepler,143233723.0,419160341440315.0,22.45551157288562,0.62,,,,
23,DASCH_143990688_5313317731,289.222947,44.775892,bright,,,10.3,0.0,apass,kepler,143990688.0,5313317731.0,14.985659811966906,1.62,,,,
24,DASCH_142618193_419193421432849,289.892578,43.480162,bright,,,10.32,0.0,apass,kepler,142618193.0,419193421432849.0,19.58979326077741,1.55,,,,
25,DASCH_144316963_5354306471,290.94276,45.089653,bright,,,10.4,0.0,apass,kepler,144316963.0,5354306471.0,6.370243323453194,1.14,,,,
26,DASCH_143283366_11030330063561,288.886614,44.104397,bright,,,10.44,0.0,apass,kepler,143283366.0,11030330063561.0,0.0,0.33,,,,
27,DASCH_143415688_419253381441316,291.390983,44.221155,bright,,,10.48,0.0,apass,kepler,143415688.0,419253381441316.0,62.426356613212654,0.71,,,,
28,DASCH_144121356_419144761445420,288.69823,44.905567,bright,,,10.48,0.0,apass,kepler,144121356.0,419144761445420.0,35.02584759859496,0.44,,,,
29,DASCH_143233786_419213521440302,290.39656,44.050561,bright,,,10.49,0.0,apass,kepler,143233786.0,419213521440302.0,0.0,0.09,,,,
30,DASCH_143415679_110303302456,291.202349,44.221292,bright,,,10.51,0.0,apass,kepler,143415679.0,110303302456.0,16.564117845511724,-2.18,,,,
31,DASCH_144463123_419192511451319,289.854581,45.221834,bright,,,10.52,0.0,apass,kepler,144463123.0,419192511451319.0,23.507658326596463,0.5,,,,
