star,channels,n_channels,ra,dec,phot_g_mean_mag,bp_rp,ruwe,abs_b,ipd_frac_multi_peak,non_single_star,systematics,main_id,otype,families,trace_verdict,in_groups
gaia:4387079367952007168,"baffle_bright_excess(score=nan,pct=nan); ignition(score=4.35,pct=0.0006); cradle(score=-inf,pct=26.0039); baffle_bright_deficit(score=1.51,pct=0.0241)",4,260.2786715052397,1.444249509384865,6.806281566619873,0.7687783241271973,1.054785966873169,20.67870528153168,0.0,0.0,,,,,UNEXPLAINED,baffle_bright_deficit+ignition@0.05
gaia:3889615188910978816,"dimming_secular(score=3.22,pct=0.0307); cenotaph(score=2.6,pct=0.0101); dimming_dip(score=0.592,pct=0.0398)",3,159.78701385,16.8602259,12.507889747619629,0.9862813949584961,1.018700361251831,57.77794129994565,0.0,,,,,,UNEXPLAINED,cenotaph+dimming_dip@0.05;cenotaph+dimming_secular@0.05
gaia:3889749196186337408,"dimming_secular(score=3.16,pct=0.0325); ignition(score=-0.218,pct=0.4150); cenotaph(score=1.78,pct=0.0401); dimming_dip(score=0.349,pct=0.1308)",4,158.80750535,16.91888375,12.525508880615234,1.4139299392700195,1.12403404712677,56.946907540562194,0.0,0.0,,,,,UNEXPLAINED,cenotaph+dimming_secular@0.05
gaia:729260815223759616,"dimming_secular(score=3.13,pct=0.0334); cenotaph(score=3.8,pct=0.0017,FLAG); dimming_dip(score=0.321,pct=0.1358)",3,157.9561329,28.8154661,12.541521072387695,0.9293432235717773,0.9018769860267639,59.23776702586475,0.0,,,,,,UNEXPLAINED,cenotaph+dimming_secular@0.05
gaia:1506264375239904768,"tailings(score=11,pct=0.0055); cenotaph(score=2.86,pct=0.0068)",2,211.260121,46.608498,12.197872161865234,0.7558965682983398,0.9178147315979004,65.71304688364076,0.0,,,TYC 3465-281-1,PM*,,UNEXPLAINED,cenotaph+tailings@0.01;cenotaph+tailings@0.05
gaia:2591315913282170240,"tailings(score=25.8,pct=0.0002); cenotaph(score=2.89,pct=0.0064)",2,19.784427,15.045605,12.370572090148926,0.8320693969726562,1.1701551675796509,47.293787070513126,0.0,,,TYC 1197-120-1,*,,UNEXPLAINED,cenotaph+tailings@0.01;cenotaph+tailings@0.05
gaia:820736609242829696,"tailings(score=10.9,pct=0.0056,FLAG); cenotaph(score=2.74,pct=0.0081)",2,148.192841,45.914604,12.445357322692871,0.7754650115966797,1.0034949779510498,50.16649975666284,0.0,,,,,,UNEXPLAINED,cenotaph+tailings@0.01;cenotaph+tailings@0.05
gaia:1158665112832538368,"tailings(score=6.11,pct=0.0381,FLAG); cenotaph(score=1.7,pct=0.0465)",2,220.776482,4.445269,11.73290729522705,0.8249263763427734,1.0784810781478882,55.024115748762654,0.0,,,TYC  329-334-1,*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1160484735856688512,"tailings(score=7.12,pct=0.0238,FLAG); cenotaph(score=1.67,pct=0.0489)",2,226.81944,7.417462,11.333127975463867,0.7904300689697266,0.9771097898483276,52.26693150041432,0.0,,,TYC  346-119-1,*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1165319082326453760,"tailings(score=5.74,pct=0.0451,FLAG); cenotaph(score=1.83,pct=0.0372)",2,232.314876,8.706808,12.44297981262207,0.8324785232543945,1.2231740951538086,48.44195876990453,13.0,,ipd_frac_multi_peak>2 (resolved double in the IPD),UCAC4 494-062374,*,,SYSTEMATIC:ipd_frac_multi_peak>2 (resolved double in the IPD),cenotaph+tailings@0.05
gaia:1278435468498800640,"tailings(score=8.02,pct=0.0165); cenotaph(score=5.09,pct=0.0003,FLAG)",2,229.476208,33.822906,12.81451416015625,0.9640541076660156,0.9350196123123169,57.915137185968184,0.0,,,UCAC4 620-051467,PM*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1283084508602114688,"tailings(score=6.91,pct=0.0261,FLAG); cenotaph(score=2.14,pct=0.0220)",2,222.396523,31.105701,12.44260025024414,0.7767820358276367,1.110172152519226,63.969021591707175,0.0,,,UCAC4 606-051026,*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1302888710179429632,"tailings(score=6.29,pct=0.0352,FLAG); cenotaph(score=3.01,pct=0.0054,FLAG)",2,243.891599,24.596405,13.036245346069336,1.1536235809326172,0.9781771302223206,44.32321204508147,0.0,,,UCAC4 573-055166,PM*,,UNEXPLAINED,cenotaph+tailings@0.05;cenotaph+tailings@flag
gaia:1310867213227133952,"tailings(score=6.63,pct=0.0300); cenotaph(score=1.68,pct=0.0481)",2,250.074764,28.463303,11.283516883850098,0.7475204467773438,0.9740566611289978,39.86505701810366,0.0,,,TYC 2057-1449-1,*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1322606561437637888,"tailings(score=6.9,pct=0.0263,FLAG); cenotaph(score=1.86,pct=0.0350)",2,243.489303,32.921909,12.827357292175293,0.9469814300537109,1.311057448387146,46.19589472368138,32.0,,ipd_frac_multi_peak>2 (resolved double in the IPD),UCAC4 615-053446,*,,SYSTEMATIC:ipd_frac_multi_peak>2 (resolved double in the IPD),cenotaph+tailings@0.05
gaia:1381743034127910016,"tailings(score=6.12,pct=0.0379,FLAG); cenotaph(score=1.94,pct=0.0309)",2,244.379356,42.401188,12.261733055114746,0.9100627899169922,0.999882161617279,45.7595793575772,0.0,,,UCAC4 663-061976,*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:1407509852901773952,"tailings(score=6.9,pct=0.0262); cenotaph(score=3.23,pct=0.0038,FLAG)",2,252.929054,46.366032,12.277900695800781,0.8891658782958984,1.0602378845214844,39.52728928012766,0.0,,,UCAC4 682-057243,PM*,,UNEXPLAINED,cenotaph+tailings@0.05
gaia:142730353190144,"tailings(score=8.71,pct=0.0125,FLAG); ignition(score=-1.51,pct=0.8043); cenotaph(score=2.11,pct=0.0232)",3,45.667242,0.712053,11.395855903625488,0.8513326644897461,1.2597030401229858,47.928093248329034,1.0,0.0,,,,,UNEXPLAINED,cenotaph+tailings@0.05
