cradle_class,source_id,allwise_designation,ra,dec,l,b,parallax,phot_g_mean_mag,bp_rp,teff,ks_m,w1mpro,w2mpro,w3mpro,w4mpro,ks_w1,chi_W3,chi_W4,t_bb_k,t_bb_lo_k,t_bb_hi_k,f_ir,r_bb_au,log_f_fmax_1gyr,log_f_fmax_1gyr_lo,lum_lsun,mass_msun,age_class,n_old_indicators,old_indicators,age_iso_verdict,age_kin_verdict,age_alpha_verdict,age_gyro_verdict,age_act_verdict,age_flame,age_flame_lower,age_flame_upper,kin_log10_lr,kin_n_components,age_adopted_gyr,young_group,young_region,kill_reasons,flags,untested,n_gaia_beam_neighbours,n_wide_companions,w3rchi2,w4rchi2,simbad_otype,ebv_sfd,neowise_measured,neowise_variable,neowise_chi2red_w1,neowise_chi2red_w2,n_known_disk_matches,known_disk_catalogues,irs_reqkey,irs_object,irs_verdict,slag_verdict,control_name
CANDIDATE,6225457312033584384,J144944.62-272822.6,222.43585415406844,-27.4729923072362,332.8040741849037,28.448881465072688,2.6685356689457644,12.84162,0.92235947,5704.204,11.258,11.194,11.18,8.825,7.038,0.0639999999999982,39.477388551928456,14.547801321601945,262.1013245646534,253.53221627587465,272.0386985747518,0.0149806966784705,1.0806767984344516,4.864488227458231,4.80929441280139,0.9187888,0.9729944,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,5.5792956,4.411118,6.750967,2.2624591933587497,3,5.5792956,,,,cirrus_ebv_flag;neowise_variable,simbad_type,0.0,0.0,1.11,0.9465,,0.1321,True,True,4.099192330707566,14.189801833907174,0,,,,,,
CANDIDATE,5295632592220066688,J074559.23-562324.9,116.496867983149,-56.39014443532773,269.0383061610687,-15.28392753720772,3.663420019983641,12.312458,0.8729534,5247.0,10.801,10.693,10.709,9.832,8.601,0.1080000000000005,16.943644146190017,5.126377869185442,298.3548065911865,266.634090983464,451.5190997344676,0.0025831267449431,0.7204652392163988,4.40638005659952,4.197225511330824,0.6856546,0.8663202,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,12.161023,10.5880575,13.5,14.81483428974684,3,12.161023,,,,cirrus_ebv_flag,simbad_type,0.0,0.0,0.9842,1.037,,0.199,True,False,0.6580076214959263,3.217497626494196,0,,,,,,
CANDIDATE,1394698167320555648,J153247.59+452822.4,233.198321931812,45.47286944040433,73.65557449379007,53.20540504513432,4.061024903636752,12.377479,0.9615431,5565.0,10.708,10.647,10.688,9.844,8.512,0.0609999999999999,14.133803106694696,4.735884194605282,268.1087822281549,243.2147256503774,308.323559777098,0.0026755002945507,0.786095636810535,4.28464208267616,4.101796159821333,0.5322824,0.8816055,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,6.5906997,4.9920616,8.176728,1.5048414414432916,3,6.5906997,,,,,,0.0,0.0,1.547,0.9582,*,0.0123,True,False,1.1828264617482394,6.630866212117677,0,,,,,,
CANDIDATE,1276273278883611264,J151256.08+305422.2,228.23365346220123,30.906167254277843,48.4710586407594,58.96521540997984,2.772803660396443,12.126546,0.83260345,5663.0,10.682,10.565,10.592,9.653,8.266,0.1170000000000008,18.074497414351622,5.307659199774427,275.6947071313169,250.48820624250487,335.2506591971685,0.0027825371099711,1.206213562139932,4.109088262548769,3.9545898911751753,1.4012296,0.9607335,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,10.874868,9.730789,12.007491,5.271948461667064,3,10.874868,,,,,,0.0,0.0,1.912,1.023,*,0.0228,True,False,1.1412104264369105,7.4318681205643395,0,,,,,,
CANDIDATE,2415134847267401472,J235335.55-174125.7,358.3982248427534,-17.690508699886163,65.19879058129172,-73.65815406970029,3.746532192515782,11.097176,0.76745033,5943.0,9.782,9.697,9.728,8.841,7.549,0.0850000000000008,18.872447782068072,5.545938165188889,281.9591636015268,257.3466809067386,324.5623885506051,0.0022575021364171,1.3460125239694092,4.001072857634948,3.834394568696016,1.908931,1.0345249,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,8.218559,7.29035,9.140994,2.579661486837122,3,8.218559,,,,,,0.0,0.0,1.922,0.9949,PM*,0.0257,True,False,1.1019077109937303,6.391679515598612,0,,,,,,
CANDIDATE,1757504263952843776,J210623.93+125145.5,316.5998862646119,12.862598662890989,61.69673547635298,-22.359355347956875,12.15236774657551,10.793827,1.1437063,5075.0,8.773,8.72,8.779,8.404,7.443,0.052999999999999,6.975800382283472,4.390400251202473,253.8732230749282,226.41223051944792,299.08913718896014,0.0011195850872916,0.6362967866290823,3.944085980584062,3.715668940103736,0.28037173,0.79539955,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,4.9880915,2.873642,7.558709,1.3884390684193542,3,4.9880915,,,,cirrus_ebv_flag;previously_catalogued_excess,,0.0,0.0,1.238,0.9088,PM*,0.1249,True,False,0.588499094646977,1.908833757634298,1,cotten_song_2016,,,,,
CANDIDATE,2120651376692536960,J183637.54+482609.9,279.15651427445573,48.4360030577968,77.24415971096303,22.29087052129381,8.910399040856632,11.259003,1.129633,4968.0,9.308,9.245,9.303,9.017,8.236,0.0630000000000006,5.789363515364066,3.856954392408131,263.6957448586463,231.9304534370104,307.7951418390519,0.0007723933213302,0.6483436261133765,3.796822168319857,3.5223950979547904,0.33882087,0.7776729,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,13.441023,11.231134,13.5,3.21162306271647,3,13.441023,,,,previously_catalogued_excess,,0.0,0.0,0.9909,0.9059,PM*,0.0671,True,False,0.3926208443628734,1.7968817993326076,1,cotten_song_2016,,,,,
CANDIDATE,3168144078565656832,J071900.42+154924.0,109.75174938490208,15.823320895843816,201.6797972268204,13.125695618227486,2.131320251789933,11.527737,0.77005863,6025.0,10.184,10.186,10.202,9.327,7.952,-0.0020000000000006,13.802199427758437,4.960407302313737,261.4540159279914,238.3808202883565,298.7894107324958,0.0022331934175236,2.21427829077539,3.689764140946688,3.526920729240763,3.8193798,1.1787014,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,5.7261,5.0702806,6.358109,1.543412027550703,3,5.7261,,,,cirrus_ebv_flag,simbad_type,0.0,0.0,1.266,1.009,,0.1067,True,False,0.8629161398485162,1.9254637361493456,0,,,,,,
CANDIDATE,4926561345188246400,J005158.73-494704.4,12.995006040972292,-49.784644123504656,302.7047588621708,-67.34336677098307,4.620605216730949,10.832784,0.79828835,5719.0,9.427,9.401,9.424,9.049,8.204,0.0259999999999998,7.31890295088988,3.665932794066322,280.53628480304985,244.9206559397366,335.76030768648104,0.0007136207819273,1.2522282297133358,3.5138576481767023,3.276346611292112,1.6190875,0.96686035,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,11.438516,10.289072,12.546707,10.893407694545015,3,11.438516,,,,,,0.0,0.0,1.345,0.9739,PM*,0.011,True,False,1.176588172392243,3.18596874408711,0,,,,,,
CANDIDATE,1289707176373257856,J145315.93+335531.5,223.3161307319737,33.925476039209535,55.0059745467946,63.00807493313818,4.40900613318856,10.901216,0.81567764,5813.0,9.441,9.403,9.44,9.107,8.267,0.0380000000000002,6.60468787621866,3.786142249709572,269.7843722149047,232.12369491969733,317.76968146742894,0.0006759207239423,1.3747018782488425,3.398216851863105,3.117734137019204,1.6689041,0.95599216,MATURE_2PLUS,2,iso+kin,OLD,OLD,UNDETERMINED,UNDETERMINED,UNDETERMINED,12.37013,11.225133,13.5,13.998544394119316,3,12.37013,,,,,,0.0,0.0,1.052,0.8901,PM*,0.0183,True,False,1.3337743412507297,7.030205572152489,0,,,,,,
