source_id,role,verdict,kills,flags,untested,simbad_main_id,simbad_types,simbad_n_refs,w3snr,w4snr,w3_frame_frac,w4_frame_frac,ls_status,ls_chi_w3_forced,ls_n_galaxies_w4beam,p_blend_w3w4,w3_offset_arcsec,w3_offset_sig
1394698167320555648,CANDIDATE,KILLED,"w3_centroid_offset_from_star:1.84"" (4.7 sigma incl. 0.39"" floor);w4_centroid_offset_from_star:5.14"" (5.2 sigma incl. 0.90"" floor)","w4_frame_detection_fraction:0.02;w4_at_detection_threshold:snr=5.5 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);gaia_source_in_w3_beam:1;extragalactic_catalogue_entry_within_6arcsec:J/ApJS/223/20/catalog",desi_spectrum,UCAC4 678-058132,*|NIR,4,30.6,5.5,1.0,0.023809523809523808,TESTED,10.950369032830539,0,0.00011764832812677373,1.8393470980413498,45.56371995384049
1289707176373257856,CANDIDATE,SURVIVES_WITH_UNTESTED,,"literature_debris_or_excess_refs:1;w4_frame_detection_fraction:0.14;w4_at_detection_threshold:snr=6.0 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);previously_published_ir_excess:J/AJ/167/275",desi_spectrum,TYC 2558-422-1,*|MIR|NIR|PM*,5,42.4,6.0,1.0,0.13793103448275862,TESTED,5.943234323010868,0,0.00023528281512452676,0.4041516129965178,12.887196745366959
4659120294392894848,CANDIDATE,KILLED,"allwise_nb:2;w4_beam_confusion:neighbour 4.01"" W4=8.47 vs 8.09","literature_debris_or_excess_refs:1;w4_frame_detection_fraction:0.05;w3_aperture_brighter_than_profile:-0.13mag;allwise_w3_neighbour_in_w4_beam:1;gaia_source_in_w3_beam:3;vizier:J/ApJS/225/15:Cotten & Song 2016 WISE excess;vizier:J/MNRAS/471/770:McDonald+2017 Tycho-Gaia IR excess;previously_published_ir_excess:J/ApJS/225/15,J/MNRAS/471/770;extragalactic_catalogue_entry_within_6arcsec:J/MNRAS/516/824/table2",desi_spectrum,HD 270382,*|MIR|NIR|PM*,19,47.4,9.5,1.0,0.04938271604938271,TESTED,,0,0.0002940948687087941,0.5183407970846068,1.044913858728926
1757504263952843776,CANDIDATE,SURVIVES_WITH_UNTESTED,,"literature_debris_or_excess_refs:2;w4_frame_detection_fraction:0.40;w4_at_detection_threshold:snr=6.4 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);gaia_source_in_w3_beam:1;vizier:J/ApJS/225/15:Cotten & Song 2016 WISE excess;vizier:J/MNRAS/471/770:McDonald+2017 Tycho-Gaia IR excess;previously_published_ir_excess:J/AJ/167/275,J/ApJS/225/15,J/MNRAS/471/770",desi_spectrum,TYC 1112-317-1,*|NIR|PM*,4,41.8,6.4,1.0,0.4,TESTED,3.432890511210585,0,5.882589430628027e-05,0.39368393446344535,15.117079664254112
2120651376692536960,CANDIDATE,SURVIVES_WITH_UNTESTED,,"literature_debris_or_excess_refs:2;w4_frame_detection_fraction:0.15;w4_at_detection_threshold:snr=6.5 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);vizier:J/ApJS/225/15:Cotten & Song 2016 WISE excess;vizier:J/MNRAS/471/770:McDonald+2017 Tycho-Gaia IR excess;previously_published_ir_excess:J/AJ/167/275,J/ApJS/225/15,J/MNRAS/471/770",desi_spectrum,TYC 3531-1441-1,*|NIR|PM*|V*,3,46.4,6.5,1.0,0.14705882352941177,TESTED,5.071841270964237,0,0.0002058754908919047,0.7003183841389414,1.8697438683107181
5054402421143189248,CANDIDATE,KILLED,"close_binary:WDS+SIMBAD ** (photosphere, Teff and isochrone age fitted to a blended SED)","simbad_double_or_binary_type;literature_debris_or_excess_refs:1;w4_frame_detection_fraction:0.06;w4_at_detection_threshold:snr=6.0 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);w4_centroid_offset:2.93"" (3.0 sigma);vizier:B/wds/wds:double star (WDS);vizier:J/ApJS/225/15:Cotten & Song 2016 WISE excess;vizier:J/MNRAS/471/770:McDonald+2017 Tycho-Gaia IR excess;previously_published_ir_excess:J/ApJS/225/15,J/MNRAS/471/770",desi_spectrum,GSC 07023-00069,*|**|MIR|NIR,7,44.5,6.0,1.0,0.05714285714285714,TESTED,4.821470362407996,0,0.00017646730166498426,0.4300609554025528,13.81138466141699
6225457312033584384,CANDIDATE,SURVIVES_DEEP_VET,,extragalactic_catalogue_entry_within_6arcsec:V/161/zcatdr1,,,,0,44.8,14.8,1.0,0.7083333333333334,TESTED,17.650613820335696,0,0.0,0.2578780621315309,7.935700073394399
1276273278883611264,CANDIDATE,KILLED,"w3_centroid_offset_from_star:2.53"" (6.4 sigma incl. 0.39"" floor);w4_centroid_offset_from_star:4.15"" (4.4 sigma incl. 0.90"" floor)","w4_frame_detection_fraction:0.09;w3_aperture_brighter_than_profile:-0.20mag;w4_at_detection_threshold:snr=6.0 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);gaia_source_in_w3_beam:1;extragalactic_catalogue_entry_within_6arcsec:I/356/galcand,V/161/zcatdr1,J/ApJS/223/20/catalog,J/A+A/668/A99/galaxypb",,2MASS J15125613+3054223,*|NIR,3,34.0,6.0,1.0,0.09090909090909091,TESTED,6.697741191891075,0,2.9413379726617173e-05,2.533895799855772,64.8596944403304
3168144078565656832,CANDIDATE,SURVIVES_WITH_UNTESTED,,"w4_frame_detection_fraction:0.14;w4_at_detection_threshold:snr=5.7 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);w4_centroid_offset:4.02"" (3.9 sigma);extragalactic_catalogue_entry_within_6arcsec:J/ApJS/271/60/table3",legacy_surveys;desi_spectrum,,,0,29.5,5.7,1.0,0.14285714285714285,NOT_IN_FOOTPRINT,,0,0.0001470582474184523,0.6926871983364844,10.989276546107506
4926561345188246400,CANDIDATE,KILLED,"w4_beam_confusion:neighbour 4.61"" W4=8.88 vs 8.20","literature_debris_or_excess_refs:2;w4_frame_detection_fraction:0.14;w4_at_detection_threshold:snr=5.6 (T_bb set by a W4 flux selected at >=5 sigma; Eddington-biased high, T_bb low);gaia_source_in_w3_beam:1;vizier:J/ApJS/225/15:Cotten & Song 2016 WISE excess;previously_published_ir_excess:J/AJ/167/275,J/ApJS/225/15",desi_spectrum,CD-50   222,*|PM*,4,38.7,5.6,1.0,0.13636363636363635,TESTED,5.754669469277088,0,0.0001470582474184523,0.7226841863342511,23.227611553292352
