spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,sigma_DT,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
1000036,    1P/Halley,1P,Halley,cn,HTC,,,,11.0,0.04,,0.9679359956953212,17.92863504856923,0.5748638313743413,162.1905300439129,59.09894720612437,112.2414314637764,274.3823371366792,2439875.5,0.0745097,8518,57852.0,0.0,0.61032,1835-08-21,1994-01-11,4.887055280193952e-10,1.554720285182461e-10,,,4e-11,4.575e-15,"[""A1"", ""A2"", ""S0""]",,,12.217638200484881,33982.95705316854,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000025,    2P/Encke,2P,Encke,cn,ETc,,,,4.8,0.046,11.083,0.8477496967533629,2.219688710074586,0.3379482792219925,11.41227811179314,334.1935846036774,187.1342463695676,243.1260693210057,2459847.5,0.167006,640,2546.0,1.0,0.44859,2018-11-05,2025-10-25,2.34758107815004e-10,-6.540690743894436e-13,,,6.053e-11,3.998e-12,"[""A1"", ""A2""]",,,3.878376141004527,-0.16359906813142663,,significant,consistent_zero,not_fitted,False,inverse_square,1.0,True,,,True,True,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000504,    3D/Biela,3D,Biela,cn,JFc,,,,,,,0.751299,3.53465808340135,0.879073,13.2164,250.669,221.6588,0.946956996395976,2390520.5,0.000518224,26,,,,,,3.9e-09,-2.54e-10,,,,,"[""A1"", ""A2""]",,,,,,not_fitted,not_fitted,not_fitted,False,inverse_square,1.0,True,,,False,True,True,False,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000026,    4P/Faye,4P,Faye,cn,JFc,,,,3.54,,,0.5844562720925187,3.797866978557544,1.578179802366524,8.159058773519952,194.7938478821665,205.9963017773023,234.8632735917939,2458523.5,0.589257,3565,3593.0,0.0,0.54304,2013-05-23,2023-03-25,4.029919362510169e-09,3.18949370508015e-10,-7.118916082608842e-10,-37.71083717045718,1.16e-10,6.266e-11,"[""A1"", ""A2"", ""A3"", ""DT""]",4.226e-11,2.172,34.74068415957042,5.090159120779045,-16.84551841601714,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000505,    5D/Brorsen,5D,Brorsen,cn,JFc,,,,,,,0.809796,3.10112826228681,0.589847,29.3821,102.9676,14.9468,0.1743237848212893,2407440.5,0.366559,127,,,,,,1.27e-08,1.343e-09,,,,,"[""A1"", ""A2""]",,,,,,not_fitted,not_fitted,not_fitted,False,inverse_square,1.0,True,,,False,True,True,False,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000017,    6P/d'Arrest,6P,d'Arrest,cn,JFc,,,,3.2,,,0.6126701232429161,3.497239267521772,1.354585254479242,19.51243094515556,138.9371003258597,178.1064598500486,333.9604852803639,2459302.5,0.342594,1093,2913.0,1.0,0.63861,2014-03-10,2022-03-01,1.8322063168533317e-10,-8.47332907547578e-10,,,2.65e-10,1.186e-10,"[""A1"", ""A2""]",,,0.6913986101333327,-7.144459591463558,,consistent_zero,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000069,    7P/Pons-Winnecke,7P,Pons-Winnecke,cn,JFc,,,,5.2,,,0.6375828629443808,3.419231027739371,1.239187920005045,22.33452092031365,93.41492452980958,172.5056606661706,18.31245228732157,2457170.5,0.225642,1692,38253.0,0.0,0.66919,1921-04-28,2026-01-20,6.374707332738455e-11,-5.155154385466807e-12,-1.019115556322086e-10,149.7535166829717,3.592e-13,5.043e-13,"[""A1"", ""A2"", ""A3"", ""DT""]",2.777e-12,5.504,177.46958053280775,-10.222396163923868,-36.69843558956017,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000099,    8P/Tuttle,8P,Tuttle,cn,JFC,,,,4.5,,,0.8197876162331501,5.700291361749948,1.027263094466541,54.98196882510133,270.3421615706648,207.5115175085094,15.1344743300404,2454701.5,0.0952731,1768,20161.0,0.0,0.6884,1967-01-07,2022-03-20,4.2150271253688644e-10,-1.7354806984186668e-11,-4.638590130371208e-11,67.49843041665493,4.261e-11,1.531e-11,"[""A1"", ""A2"", ""A3"", ""DT""]",6.555e-11,12.83,9.892107780729557,-1.1335602210441977,-0.7076415149307717,significant,marginal,consistent_zero,True,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000093,    9P/Tempel 1,9P,Tempel,cn,JFc,,,,6.0,0.05,40.7,0.5097028326964878,3.146133758958915,1.542540469975507,10.4734281543904,68.75357468050096,179.1972753698572,336.5854438553629,2457470.5,0.529397,3283,6267.0,0.0,0.48717,2008-10-25,2025-12-22,1.8004134317676098e-11,1.179466662405115e-11,,,2.17e-11,1.173e-12,"[""A1"", ""A2""]",,,0.8296836091094976,10.055129261765687,,consistent_zero,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000094,   10P/Tempel 2,10P,Tempel,cn,JFc,,,,10.6,0.022,8.93,0.537370745640941,3.06406290650452,1.417525137745437,12.02887120571768,117.8019416245626,195.5376892393899,42.58813370794872,2457572.5,0.406669,6198,8537.0,0.0,0.58091,2003-03-07,2026-07-21,2.4737965796208357e-10,8.062798206354276e-12,,,1.11e-11,2.829e-13,"[""A1"", ""A2""]",,,22.28645567225978,28.50052388248242,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
