query_designation,resolved,full_name,detail_error,spkid,pdes,kind,neo,pha,class,data_arc,condition_code,n_obs_used,rms,first_obs,last_obs,epoch,e,a,q,i,om,w,ma,tp,per,n,ad,H,H_sigma,diameter,diameter_sigma,rot_per,rot_per_sigma,albedo,albedo_sigma,model_pars,A1,sigma_A1,A2,sigma_A2,A3,sigma_A3,source,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
1998 KY26,True,(1998 KY26),,50012415,1998 KY26,au,True,False,APO,9472,2,85,0.61146,1998-05-31,2024-05-06,2461200.5,0.2000498225862209,1.228859811859051,0.9830266245133116,1.491131387730072,84.18217649998975,210.0032740505378,145.6930217309096,2460999.133051368,497.5674239315201,0.7235200350446306,1.474692999204791,25.91,0.03,0.011,0.002,0.089193,2e-06,0.52,0.08,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",3.655395414270661e-11,3.867e-11,-2.196384257496804e-13,4.866e-14,1.686333710048786e-12,1.121e-12,seligman2023_psj,0.9452793933981538,-4.513736657412257,1.5043119625769723,consistent_zero,significant,marginal,True,marsden_g,1.0000000023534097,False,1.235297267406218e-07,0.0001613398885637256,False,False,False,True,True,True,False,False,1.1831591828006542,1.1831591828006542,1.1831591828006542,0.00013636363636363637,1.235297267406218e-07,11.0,measured,6198.095268951563,True,,False,False,False,False,False,False,False
2005 VL1,True,(2005 VL1),,50297652,2005 VL1,au,True,False,ATE,5874,4,79,0.43046,2005-11-04,2021-12-04,2461200.5,0.2246224084495054,0.8911724522403802,0.6909951496742942,0.235612789151307,37.8779507443325,227.8003035717325,284.0395818122448,2461265.3374465406,307.2847847811428,1.171551660966235,1.091349754806466,26.45,,,,,,,,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",-8.298571098423042e-10,7.589e-10,-8.320601552689281e-13,5.612e-13,-2.41448873986245e-11,3.947e-12,seligman2023_psj,-1.093499947084338,-1.4826446102439919,-6.1172757533885225,marginal,marginal,significant,True,marsden_g,1.0000000023534097,False,-2.8044030917250476e-06,,False,False,False,True,True,True,False,False,,,,,-2.804403085125138e-06,,,,False,A1 <= 0; not attributable to radiation pressure,False,False,False,False,False,False,False
2016 NJ33,True,(2016 NJ33),,50755370,2016 NJ33,au,True,False,AMO,2261,3,90,0.54486,2016-05-28,2022-08-06,2461200.5,0.2099895743561496,1.314508350622172,1.038475301587418,6.619681269649745,279.4307800820562,24.48275533347982,203.6855140358769,2461439.5232663737,550.4824160334318,0.6539718427230137,1.590541399656927,25.53,,,,,,,,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",9.47540245444315e-10,2.928e-10,-5.486101259217607e-13,1.909e-13,8.484934726920783e-11,1.621e-11,seligman2023_psj,3.236134718047524,-2.873808936206185,5.234382928390366,significant,marginal,significant,True,marsden_g,1.0000000023534097,False,3.2020992076128677e-06,0.004182202478363983,True,False,False,True,True,True,False,False,74.95371229966347,37.47685614983173,129.82363791891743,5.579713599299285e-05,3.2020992076128677e-06,26.883100239918658,H_albedo_assumed,239.10846143230862,True,,True,False,False,True,False,False,False
2010 VL65,True,(2010 VL65),,50550911,2010 VL65,au,True,False,APO,5,6,27,0.57909,2010-11-04,2010-11-09,2461200.5,0.1480431703988835,1.071585328581235,0.91294443918514,4.229416422596898,222.5302751158851,252.699022035823,352.6081037646305,2461208.819398476,405.1711977302069,0.8885133050343692,1.230226217977331,29.22,,,,,,,,[],,,,,,,seligman2023_psj,,,,not_fitted,not_fitted,not_fitted,False,inverse_square,1.0,False,,,False,True,True,False,True,True,False,False,,,,,,,,,False,no fitted A1,False,False,False,False,False,False,False
2010 RF12,True,(2010 RF12),,50545575,2010 RF12,au,True,False,APO,4375,2,339,0.29644,2010-09-01,2022-08-24,2461200.5,0.188308686454983,1.061430522809552,0.8615539352960596,0.8827508322867568,163.6861833546806,267.4411553649549,86.31967335304343,2461104.727004168,399.4254978077286,0.9012944891497466,1.261307110323045,28.42,,,,,,,,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",3.410408812498951e-11,5.822e-11,-2.121587352247006e-13,2.125e-13,-1.507549026996071e-11,1.415e-12,seligman2023_psj,0.5857795967878652,-0.998394048116238,-10.654056727887427,consistent_zero,consistent_zero,significant,True,marsden_g,1.0000000023534097,False,1.1525069682943199e-07,0.00015052680090838096,False,True,False,True,True,True,False,False,0.712856188500273,0.3564280942501365,1.2347031369723696,0.00021116012364999384,1.1525069682943199e-07,7.103613949792474,H_albedo_assumed,6643.3352330968355,True,,False,False,False,False,False,False,False
2006 RH120,True,(2006 RH120),,50403171,2006 RH120,au,True,False,APO,281,2,132,0.41377,2006-09-14,2007-06-22,2461200.5,0.02449744341910735,1.033230560739882,1.007919053539264,0.5943471055984355,51.21772998080463,9.95176568665169,233.8406050590219,2461334.934701852,383.6138615697905,0.9384436697017152,1.0585420679405,29.5,,,,0.04583,,,,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",1.406618659154068e-10,8.298e-12,-4.908956163341691e-11,7.107e-12,-1.197467740587258e-11,3.476e-12,seligman2023_psj,16.95129741087091,-6.907212837120713,-3.4449589775237572,significant,significant,significant,True,marsden_g,1.0000000023534097,False,4.7534999336927e-07,0.0006208458237748684,True,False,False,True,True,True,False,False,1.788017876239897,0.8940089381199485,3.096937806488903,0.0003472257364006186,4.7534999336927e-07,4.3199562784405625,H_albedo_assumed,1610.7058495131648,True,,False,False,False,False,False,False,False
2003 RM,True,523599 (2003 RM),,20523599,523599,an,True,False,AMO,7402,0,374,0.45824,2003-09-02,2023-12-08,2461200.5,0.6106030134649946,2.903605196362838,1.130655113551072,11.19164741242581,335.0057542883181,326.1956637828101,211.4590981189618,2461946.1728488007,1807.193992825159,0.1992038494092255,4.676555279174605,19.63,,,,,,,,"[""A2""]",,,3.286870537542536e-12,2.983e-14,,,seligman2023_psj,,110.18674279391674,,not_fitted,significant,not_fitted,False,inverse_square,1.0,False,,,False,False,True,True,True,True,False,False,,,,,,,,,False,no fitted A1,False,False,False,False,False,False,False
2001 ME1,True,139359 (2001 ME1),,20139359,139359,an,True,True,APO,8772,0,740,0.3793,2001-05-25,2025-05-31,2461200.5,0.8696747013569716,2.634650239411342,0.3433615792712096,5.95480413405054,84.58332817941987,302.3804834506502,277.1178590139854,2461560.117933199,1562.006656818714,0.2304727693883199,4.925938899551475,16.52,,,,,,,,"[""A2""]",,,-2.375397559329012e-13,1.944e-14,,,seligman2024_pnas,,-12.219123247577222,,not_fitted,significant,not_fitted,False,inverse_square,1.0,False,,,False,False,True,True,True,True,False,False,,,,,,,,,False,no fitted A1,False,False,False,False,False,False,False
2005 UY6,True,452639 (2005 UY6),,20452639,452639,an,True,False,APO,7574,0,215,0.39607,2005-10-29,2026-07-25,2461200.5,0.8728379275375876,2.24875876538808,0.2859568250747641,12.21905226795941,343.5508415867668,180.9173903942836,2.964401104405967,2461190.3574490906,1231.722091166836,0.292273721955384,4.211560705701396,18.14,,2.249,1.084,,,0.018,0.025,"[""A2""]",,,-5.373308374691427e-13,4.781e-14,,,seligman2024_pnas,,-11.23887967933785,,not_fitted,significant,not_fitted,False,inverse_square,1.0,False,,,False,False,True,True,True,True,False,False,,,,,,,,,False,no fitted A1,False,False,False,False,False,False,False
1998 FR11,True,152667 (1998 FR11),,20152667,152667,an,True,False,APO,25630,0,391,0.44433,1956-03-10,2026-05-12,2461200.5,0.70773262972009,2.806314581889667,0.820194183027058,6.682095856546528,129.8478477954656,158.621516292156,334.5095246067112,2461322.0845496603,1717.129131664656,0.2096522581566135,4.792434980752275,16.41,,,,,,,,"[""A2""]",,,2.60161769597541e-13,5.804e-14,,,seligman2024_pnas,,4.48245640243868,,not_fitted,significant,not_fitted,False,inverse_square,1.0,False,,,False,False,True,True,True,True,False,False,,,,,,,,,False,no fitted A1,False,False,False,False,False,False,False
