spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant,population,abs_R,abs_R_diameter_m,abs_R_diameter_source,sigma_DT
20004179,  4179 Toutatis (1989 AC),4179,Toutatis,an,APO,,,15.29,5.4,0.405,176.0,0.6246302247178447,2.543047155641573,0.9545830393451016,0.4480836624628189,125.3654799655549,277.8615384113277,125.5161576467994,2461200.5,0.00650597,7141,33698.0,0.0,0.26534,1934-02-10,2026-05-16,-3.148561365334624e-13,-7.654593431691022e-15,,,9.279e-14,9.761e-16,"[""A1"", ""A2""]",,-3.3932119466910486,-7.8420176536123565,,significant,significant,not_fitted,False,inverse_square,1.0,False,-1.064018745146155e-09,,False,False,True,True,True,True,False,False,,,,,-1.064018745146155e-09,,,,False,A1 <= 0; not attributable to radiation pressure,False,False,False,False,True,False,False,asteroid,5.002902646060158,5400.0,measured,
1000039,   52P/Harrington-Abell,52P,Harrington-Abell,cn,JFc,,,,2.6,,,0.540048863643431,3.859222154814254,1.775053615559263,10.23176237340895,336.8356805332962,139.6607051308085,111.1064688719497,2457578.5,0.803619,1164,3159.0,0.0,0.55692,2013-10-01,2022-05-26,-4.804051500131623e-09,-7.654172418034087e-11,,,3.648e-10,3.743e-10,"[""A1"", ""A2""]",,-13.16900082272923,-0.20449298471905122,,significant,consistent_zero,not_fitted,False,inverse_square,1.0,True,,,False,True,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,36753.36709078653,2600.0,measured,
1000102,   53P/Van Biesbroeck,53P,Van Biesbroeck,cn,JFc,,,,6.66,,,0.5510377388924215,5.404673552862248,2.426494458841365,6.611054381719058,148.8987884893298,134.2615875332419,226.1122315620693,2455802.5,1.41526,2926,9125.0,0.0,0.62776,2001-02-20,2026-02-14,-2.403111007459342e-09,-1.310558133808455e-10,2.8961030997590304e-09,-85.70234367499891,4.577e-10,1.383e-10,"[""A1"", ""A2"", ""A3"", ""DT""]",5.18e-10,-5.250406396022159,-0.9476197641420498,5.590932625017434,significant,consistent_zero,significant,True,inverse_square,1.0,True,,,False,True,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,47093.84952372,6660.0,measured,22.05
1000087,   56P/Slaughter-Burnham,56P,Slaughter-Burnham,cn,JFc,,,,3.12,,,0.5072970112036211,5.08596642348536,2.505870857769266,8.147198340282092,346.037613920107,44.21746328766183,267.9621196463077,2456516.5,1.51841,1986,4940.0,0.0,0.60349,2004-07-15,2018-01-23,-3.7910107016153075e-08,1.99728018213712e-08,,,2.139e-09,1.681e-09,"[""A1"", ""A2""]",,-17.72328518754234,11.881500191178583,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,348037.25469908083,3120.0,measured,
1000082,   61P/Shajn-Schaldach,61P,Shajn-Schaldach,cn,JFc,,,,2.4,,,0.424204833511263,3.692046243238321,2.125862381309525,6.000524921292224,162.9685064253208,221.6569738125677,356.6912766797178,2459852.5,1.13336,895,2569.0,3.0,0.49057,2017-01-27,2024-02-09,-1.85183084012772e-08,1.6673495455556562e-08,-2.946292861621085e-09,,2.849e-09,1.188e-09,"[""A1"", ""A2"", ""A3""]",1.872e-09,-6.499932748781046,14.034928834643571,-1.5738743918916052,significant,significant,marginal,True,inverse_square,1.0,True,,,False,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,130776.1910585211,2400.0,measured,
1000035,   65P/Gunn,65P,Gunn,cn,JFc,,,,10.8,,,0.2498130479137048,3.884409938340382,2.914033652297285,9.182675618890896,62.02054896706026,213.8113892118183,133.5282943124276,2459081.5,1.90294,3136,4539.0,0.0,0.56345,2014-02-04,2026-07-10,-2.978738580021734e-08,8.005293043711388e-10,4.51405264632493e-08,551.9887765076237,2.327e-09,3.994e-10,"[""A1"", ""A2"", ""A3"", ""DT""]",2.205e-09,-12.800767425963619,2.004329755561189,20.471894087641406,significant,marginal,significant,True,inverse_square,1.0,True,,,False,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,946612.5887197638,10800.0,measured,17.04
1003506,   73P/Schwassmann-Wachmann 3-BT,73P-BT,Schwassmann-Wachmann,cn,JFc,,,,,,,0.6856345051905101,3.091868459663292,0.9719767582079062,11.23833447259341,69.65683849488195,199.3494423523701,358.5821923232828,2457821.5,0.0142524,353,250.0,6.0,0.90558,2017-02-10,2017-10-18,-1.058923755691598e-07,3.1133488449942375e-08,,,1.041e-08,2.136e-09,"[""A1"", ""A2""]",,-10.17217824871852,14.57560320690186,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,False,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,,,no diameter and no H,
1000030,   78P/Gehrels 2,78P,Gehrels,cn,JFc,,,,,,,0.4611784110024278,3.737499617178204,2.013845482605778,6.250290479089117,210.5588694618118,192.7332944278901,201.3296818206431,2457413.5,1.02353,6071,5545.0,0.0,0.61108,2011-05-03,2026-07-08,-1.065295751132996e-09,-9.940943387569979e-10,,,1.557e-10,3.539e-12,"[""A1"", ""A2""]",,-6.841976564759127,-280.8969592418756,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,,,no diameter and no H,
1000083,  102P/Shoemaker 1,102P,Shoemaker,cn,JFc,,,,3.2,,,0.4731654920192473,3.736625514632678,1.968583264509834,26.2449062377407,339.8733382485834,18.74460239787177,297.4830036280064,2456078.5,0.97612,392,5645.0,1.0,0.89266,2006-07-24,2022-01-06,-5.280947926313086e-09,-1.3252782076964371e-09,,,1.442e-09,2.681e-11,"[""A1"", ""A2""]",,-3.662238506458451,-49.43223452802824,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,False,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,49725.36655914634,3200.0,measured,
1000150,  118P/Shoemaker-Levy 4,118P,Shoemaker-Levy,cn,JFc,,,,4.8,,,0.4550775008145901,3.360765023344376,1.83135647569573,10.09395987747512,142.1149927436538,314.4382735674612,277.1432222184568,2459388.5,0.865232,1771,3212.0,1.0,0.52071,2015-08-15,2024-05-31,-2.336168926779331e-09,2.494998049395835e-09,1.004150424442933e-09,,3.311e-10,1.303e-10,"[""A1"", ""A2"", ""A3""]",1.316e-10,-7.05578050975334,19.14810475361347,7.630322374186421,significant,significant,significant,True,inverse_square,1.0,True,,,False,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,32996.02396646583,4800.0,measured,
1000120,  119P/Parker-Hartley,119P,Parker-Hartley,cn,JFc,,,,,,,0.2959402723151744,4.294991820150148,3.023930771303467,5.183509143535373,243.6781544985683,181.859700412578,55.70102124898162,2457254.5,2.03701,3237,13734.0,0.0,0.69305,1986-09-29,2024-05-06,-2.2492375131122693e-08,8.919359397956587e-09,2.472348781762412e-09,-133.2144663081588,1.012e-09,1.084e-10,"[""A1"", ""A2"", ""A3"", ""DT""]",2.486e-10,-22.22566712561531,82.28191326528217,9.945087617708818,significant,significant,significant,True,inverse_square,1.0,True,,,False,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,True,False,False,comet,,,no diameter and no H,4.603
