n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1037,0.5323173616681053,41,0.03953712632594021,1.9184041113537336,0.9890564007288963,0.02459928156783603,0.8377244622108733,5,0.0,0.3729906053936285,712206400004607,159.6594767,39.007591,14.035565376281738,0.7270345687866211,0.607194951700788,giant,False,True
1043,0.4475408434999467,48,0.046021093000958774,1.4674334640760915,0.9968657922104821,0.03490250195445934,0.8375752572582277,6,0.0,0.3932882917330953,712206400003406,159.6776907,39.1556839,,,,unknown,False,False
1049,0.778748874817248,49,0.04671115347950429,3.0483233922833315,0.34438455433366977,0.018419892138833497,0.8173734358953498,2,0.0,0.4049185562480472,712206400010167,159.9885406,39.1255631,13.446950912475586,1.1032161712646484,3.398231405088587,main_sequence,True,True
75,0.8477092042350327,2,0.02666666666666667,6.586158061068343,0.21837127860056593,0.11349525919555015,0.815951422241335,1,0.0,0.8477092042350327,1711215300008009,160.9486529,39.0718883,,,,unknown,False,False
75,0.8139590896365319,2,0.02666666666666667,5.737913692601318,0.21837508878125353,0.1161573484605273,0.8151527954618419,1,0.0,0.8139590896365319,1711215300007363,160.9753433,39.1305062,,,,unknown,False,False
75,0.7991799864706826,2,0.02666666666666667,4.7735384004563395,0.1915241497445507,0.11857151806209307,0.8144285445813721,1,0.0,0.7991799864706826,1711215300006762,160.9841833,39.1835624,,,,unknown,False,False
75,0.893177077347636,2,0.02666666666666667,5.549660229869898,0.21837127860056593,0.11963171416965537,0.8141104857491035,1,0.0,0.893177077347636,1711215300008496,160.8933945,39.0271491,,,,unknown,False,False
75,0.8012399249770841,2,0.02666666666666667,4.659248615545106,0.30474976007295496,0.1196873418962574,0.8140937974311229,1,0.0,0.8012399249770841,1711215300008363,160.955116,39.0411635,,,,unknown,False,False
75,0.8312435332469414,2,0.02666666666666667,6.169798693938141,0.21837127860056593,0.12054101671953697,0.8138376949841389,1,0.0,0.8312435332469414,1711215300007489,160.9906417,39.1183579,,,,unknown,False,False
75,0.8074834456933144,2,0.02666666666666667,4.304390095175147,0.30474976007295496,0.12189213820918801,0.8134323585372437,1,0.0,0.8074834456933144,1711215300007125,160.9764225,39.1516512,,,,unknown,False,False
75,0.8758791514411034,3,0.04,6.71694831214123,0.15192832440135812,0.1491595701209814,0.8052521289637057,1,0.0,0.8758791514411034,1711215300007434,160.8125259,39.1207418,16.549379348754883,1.2126340866088867,0.9877807389818983,main_sequence,True,True
75,0.8967618094698271,3,0.04,8.893705674036413,0.11471968084779804,0.14942916247594193,0.8051712512572174,1,0.0,0.8967618094698271,1711215300007469,160.875842,39.1183076,13.268814086914062,0.770421028137207,1.6399173912561695,main_sequence,True,True
75,0.8527985337364847,4,0.05333333333333334,8.553033304989407,0.13822932371996297,0.16508618056160448,0.8004741458315187,1,0.0,0.8527985337364847,1711215300007145,160.8645145,39.1477048,16.023456573486328,1.2516765594482422,1.2676743087326656,main_sequence,True,True
1043,0.7433476483272121,44,0.04218600191754554,1.7668594564084175,0.9979501428559288,0.031911138893422175,0.7964382257164784,4,0.0,0.7031264074665493,712206400003615,159.9749006,39.1262343,18.257362365722656,1.0394783020019531,0.3367200581595099,unknown,False,True
74,0.9440916164383923,2,0.02702702702702703,6.498447784096785,0.13822932371996297,0.14678663098227454,0.7918829526393512,1,0.004693686021988845,0.9440916164383923,1711215300006804,160.7567255,39.17478185,,,,unknown,False,False
75,0.7345098285276737,2,0.02666666666666667,3.531061523980271,0.21837508878125353,0.11721195344437936,0.7867001054055025,1,0.0,0.7345098285276737,1711215300008421,160.9832455,39.0364312,,,,unknown,False,False
1030,0.7201113444463111,30,0.02912621359223301,1.4819431578143973,0.11128097655776722,0.0164982399166207,0.7839671174938777,4,0.0,0.6019441819700427,712206400003569,159.66326325,39.13672495,,,,unknown,False,False
1038,0.7739355709694898,44,0.04238921001926782,1.938526334091857,0.9950637682531891,0.023459536653922572,0.7792737190493347,3,0.0,0.2616376353366522,712206400004308,159.67038705,39.04378575,15.556556701660156,1.6458005905151367,2.3212628499284693,main_sequence,True,True
75,0.7958035290825735,4,0.05333333333333334,3.4653396617106433,0.30474976007295496,0.13218728063655052,0.7782641955116735,1,0.0,0.7958035290825735,1711215300006927,160.9722616,39.1675597,16.851131439208984,2.320741653442383,3.4079794664778342,giant,False,True
1043,0.37278981219451035,34,0.032598274209012464,1.2592661974809034,0.9972269805015354,0.04646626493490683,0.7616160923683822,4,0.0,0.3655500258849339,712206400010057,159.6849292,39.1452821,,,,unknown,False,False
999,0.25834377205162284,48,0.04804804804804805,0.7435630768961092,1.0001259366556858,0.045416063874903885,0.7548949596521641,7,0.017160073728454905,0.25834377205162284,712206300003392,158.7408391,39.1479493,,,,unknown,False,False
1023,0.2814998882782642,58,0.056695992179863146,0.9264389393320482,0.9972269805015354,0.07448763286079339,0.7541069923645177,7,0.01451557259241475,0.2017678787894701,712205300011360,160.9358479,39.0200486,,,,unknown,False,False
75,0.5461995690242499,2,0.02666666666666667,2.725006333261143,0.1635762334372623,0.11490412885999472,0.7390291413376702,1,0.0,0.5461995690242499,1711215300007805,161.09013,39.0916287,,,,unknown,False,False
994,0.7231276824299149,62,0.06237424547283702,0.912041451731356,1.0029686928821662,0.03885979360261265,0.7296684607484454,6,0.026224533723590272,0.5795007204974112,712206400010369,159.68965455,39.1052914,,,,unknown,False,False
58,0.9551043301171039,4,0.06896551724137931,9.509230777597844,0.13798831082309443,0.2396822068022847,0.7294663319665327,1,0.016209668664260664,0.9551043301171039,1711215300008262,160.6934158,39.04465585,14.317115783691406,0.8508110046386719,1.3904859138057675,main_sequence,True,True
74,0.62937326479378,2,0.02702702702702703,2.5902262480765867,0.15192832440135812,0.12384951863828675,0.7282587192931091,1,0.0,0.62937326479378,1711215300006992,161.07498075,39.1648373,,,,unknown,False,False
1047,0.8886320421737159,22,0.021012416427889206,1.5414129831261547,0.5006416195781469,0.02017896778725645,0.7264310886513924,2,0.0,0.7116311031840838,712206400003304,160.005289,39.1646917,17.784757614135742,0.8353691101074219,0.1349802351259427,unknown,False,True
1042,0.6182934820014632,22,0.02111324376199616,1.6120388411504463,0.9973715291141815,0.052486953566052916,0.7209762443992109,2,0.0,0.6182934820014632,712206400004442,159.6374023,39.0276693,15.610315322875977,0.8345842361450195,0.3918592689982379,giant,False,True
