n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac
966,0.21555214464801997,50,0.051759834368530024,1.0885452989935651,0.997143641048173,0.048024186040691266,0.7723027300320103,6,0.012867577365132077,0.21555214464801997,719207400020103,217.9807136,38.87379405,,,,unknown,-0.005375002706912514,0.8186718027972414,-0.03796719880651071,0.0,False,0.2189951003187438,6.174630089754652,0,0.0,False,False,False,0.9615384615384616
942,0.48047725256898555,43,0.045647558386411886,0.9291709237293405,1.0021311487167206,0.05201598228742288,0.7081753372827109,5,0.02207328934368742,0.22846710381039703,719207400014668,217.8920792,38.8267943,,,,unknown,3.76739810774683e-05,0.00714388191826458,0.0002662297151920737,0.0004659020015861289,False,0.5221817124289589,10.602614530476776,5,0.0,False,False,False,0.9894736842105263
944,0.18690922829964085,15,0.015889830508474576,0.9776178442928946,0.43673797335627346,0.020556928128372773,0.6941605057073409,3,0.0,0.18690922829964085,719207300007255,216.65091845,38.9158229,,,,unknown,-0.004812014130436904,0.7769880298458732,-0.03396508945615584,0.0,False,0.1330144794493493,4.491824358056103,0,0.0,False,False,False,0.8888888888888888
933,0.3947095804724966,89,0.09539121114683816,0.8952859823938262,0.9970706657225126,0.039390810578651146,0.6882056952271387,7,0.03999235386642202,0.38463884175054786,719206300011069,218.3506972,38.8855929,,,,unknown,0.0012972863270117871,0.19670507645912097,0.009167596700332327,0.01604329422558157,False,0.7020468885451596,16.14664072039207,10,0.0,False,False,False,0.9953917050691244
893,0.45190704983970564,68,0.0761478163493841,0.728439497692915,0.9972166270567029,0.053099225188050166,0.6866776182690475,8,0.0391308713915125,0.23970891863867128,719206300011418,218.5891557,38.8320306,,,,unknown,-0.003127615990651565,0.2820638355117927,-0.02210238012449664,0.0,False,0.605941200159136,12.29474884723721,16,0.0,False,False,False,0.9912280701754386
941,0.2066995146361541,13,0.01381509032943677,1.0477709902032046,0.9997045244449301,0.06337369049928046,0.6838541522624082,2,0.0,0.2066995146361541,719206300005602,218.3521551,38.8419469,,,,unknown,-0.007113100852475158,0.9333385724314652,-0.050266506396668596,0.0,False,0.19712714887809923,5.299628375198758,0,0.0,False,False,False,0.8064516129032258
241,0.6817469898914569,66,0.27385892116182575,1.5382645693082306,1.0116897437490133,0.11467710344052125,0.6678927431263375,12,0.1489267888079993,0.6817469898914569,719206300028568,218.5645312,38.8466543,,,,unknown,-0.018621071780245576,2.5982412324628905,-0.13219428149229642,0.0,False,0.9890154656158219,7.909352229623227,5,0.0,False,False,False,0.9929078014184397
940,0.23835125993927386,8,0.00851063829787234,0.8986349846137088,0.1311748078178057,0.022731975007942336,0.6631804074976173,1,0.0,0.22205630020701583,719207400007348,217.6902246,38.8067508,,,,unknown,-0.007771707376970216,1.031242527720472,-0.05489612267189441,0.0,False,0.31093621155029694,5.523006629889821,1,0.23798121266945282,False,False,False,0.9758064516129032
943,0.3034980510554671,9,0.009544008483563097,0.9441092463576897,0.12208284259315198,0.024699774230635588,0.6625900677308093,1,0.0,0.2544468387801452,719207400006774,217.9325937,38.8666306,,,,unknown,-0.004330438589098579,0.5869956254750212,-0.030588424972703646,0.0,False,0.5309336183736408,8.762824248500246,6,0.0,False,False,False,0.9777777777777777
883,0.3375809583850683,7,0.007927519818799546,0.9124513821582619,0.1012664285110366,0.025184226912627686,0.6624447319262117,1,0.0,0.3375809583850683,719207400007221,217.7940506,38.8201963,,,,unknown,-0.01327794009401417,1.4982486013529404,-0.09379021570009827,0.0,False,0.4991930491916259,6.3548028464409345,3,0.25188863749061774,False,False,False,0.9868995633187773
