key,hd,hip,name,alt_names,sptype,teff_k,samples,membership_status,note
HD 166,166,544,V439 And,,K0V,,absil2013|nunez2017,recalled,northern FLUOR sample
HD 2262,2262,2072,kap Phe,kappa Phe,A5IV,,ertel2014,recalled,PIONIER H-band detection reported (Ertel+2014)
HD 4614,4614,3821,eta Cas,,G0V,,absil2013|nunez2017,recalled,
HD 7788,7788,5896,kap Tuc,kappa Tuc,F6V,,ertel2014|absil2021,recalled,H-band detection; the one variable excess; now a companion (Stuber+2026)
HD 9826,9826,7513,ups And,upsilon And,F8V,,absil2013|nunez2017,recalled,
HD 10476,10476,7981,107 Psc,,K1V,,absil2013,recalled,
HD 10647,10647,7978,q1 Eri,,F9V,,ertel2014|mennesson2014,recalled,
HD 10700,10700,8102,tau Cet,,G8V,,absil2013|nunez2017|mennesson2014|ertel2020|marshall2016,recalled,K excess Di Folco+2007
HD 12311,12311,9236,alf Hyi,alpha Hyi,F0V,,absil2021,recalled,
HD 14412,14412,10798,,,G8V,,absil2021,recalled,
HD 15008,15008,11001,del Hyi,delta Hyi,A2V,,ertel2014,recalled,
HD 16160,16160,12114,,,K3V,,absil2013,recalled,
HD 17925,17925,13402,,,K1V,,ertel2014,recalled,
HD 20630,20630,15457,kap1 Cet,kappa1 Cet,G5V,,absil2013,recalled,
HD 20766,20766,15330,zet1 Ret,zeta1 Ret,G2V,,absil2021,recalled,
HD 20794,20794,15510,82 Eri,,G8V,,ertel2014,recalled,
HD 20807,20807,15371,zet2 Ret,zeta2 Ret,G1V,,absil2021,recalled,
HD 22001,22001,16245,kap Ret,kappa Ret,F5IV,,absil2021,recalled,
HD 22049,22049,16537,eps Eri,epsilon Eri,K2V,,absil2013|nunez2017|mennesson2014|ertel2018|ertel2020|marshall2016,recalled,
HD 22484,22484,16852,10 Tau,,F9V,,absil2013|nunez2017|mennesson2014|ertel2020,recalled,K excess reported (Absil+2013)
HD 23249,23249,17378,del Eri,delta Eri,K0IV,,ertel2014,recalled,
HD 28355,28355,20901,b Tau,79 Tau,A7V,,ertel2014,recalled,H-band detection reported (Ertel+2014)
HD 30495,30495,22263,58 Eri,,G1V,,absil2021,recalled,
HD 30652,30652,22449,pi3 Ori,pi.03 Ori,F6V,,absil2013|nunez2017|ertel2020,recalled,
HD 33111,33111,23875,bet Eri,beta Eri,A3IV,,ertel2018|ertel2020,recalled,
HD 33262,33262,23693,zet Dor,zeta Dor,F7V,,ertel2014,recalled,
HD 34411,34411,24813,lam Aur,lambda Aur,G1V,,absil2013|ertel2020,recalled,
HD 35850,35850,25486,AF Lep,,F8V,,absil2021,recalled,
HD 38393,38393,27072,gam Lep,gamma Lep,F6V,,absil2021|ertel2020,recalled,
