key,tier,teff_k,n_meas,bands,nir_anchor_band,nir_anchor_pct,nir_anchor_err_pct,nir_anchor_source,planck_1500k_N_pred_pct,n_obs_pct,n_err_pct,n_source,n_grey_pred_pct,n_nano_ceiling_pct,n_separation_sigma,grey_t_k,grey_f_k_pct,delta_chi2,delta_chi2_unrestricted,grey_fit_p,variability_z,variable,driving_verified,companion_assessed,polarimetry_ppm,reason
HD 102647,N_UNTESTED,8550.0,1,K,K,0.94,0.26,Akeson+2009 ApJ 691 1896; Absil+2013,7.359136002065165,,,,,,,,,,,,0.0,False,,True,,NIR excess 0.94 +/- 0.26 % but no N-band measurement; the Planck extrapolation predicts 7.4 % at 10.5 um and nothing tests it
HD 10700,N_UNTESTED,5480.0,1,K,K,0.98,0.19,Di Folco+2007 A&A 475 243; Absil+2013,6.267584760098011,,,,,,,,,,,,0.0,False,,False,,NIR excess 0.98 +/- 0.19 % but no N-band measurement; the Planck extrapolation predicts 6.3 % at 10.5 um and nothing tests it
HD 109085,NO_NIR_EXCESS,6820.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,True,,no H/K excess at >= 3.0 sigma to extrapolate
HD 172167,N_UNTESTED,9700.0,1,K,K,1.26,0.27,Absil+2006 A&A 452 237; Absil+2013 A&A 555 A104 Table 3,10.27716029356856,,,,,,,,,,,,0.0,False,,True,,NIR excess 1.26 +/- 0.27 % but no N-band measurement; the Planck extrapolation predicts 10.3 % at 10.5 um and nothing tests it
HD 177724,N_UNTESTED,9700.0,1,K,K,1.69,0.27,Absil+2008 A&A 487 1041; Absil+2013,13.784445155659418,,,,,,,,,,,,0.0,False,,True,,NIR excess 1.69 +/- 0.27 % but no N-band measurement; the Planck extrapolation predicts 13.8 % at 10.5 um and nothing tests it
HD 187642,N_UNTESTED,7800.0,1,K,K,3.07,0.24,Absil+2013 A&A 555 A104,23.237807213195293,,,,,,,,,,,,0.0,False,,True,,NIR excess 3.07 +/- 0.24 % but no N-band measurement; the Planck extrapolation predicts 23.2 % at 10.5 um and nothing tests it
HD 216956,nano_preferred,8270.0,2,K|N8,K,0.88,0.12,Absil+2009 ApJ 704 150,6.808423295945586,0.35,0.1,Mennesson+2013 ApJ 763 119 (KIN 8-9 um null excess),0.9224399354955533,2.264768339065357,-6.05502914302409,1800.0,0.2074045250499407,-21.815944404903828,-21.816121211639295,1.0,0.0,False,False,True,,"K-bright / N-faint: nano grains (a = 0.4 um, beta = 2.0) preferred, Delta chi2 = -21.8"
J011351 093551,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J081039+345730,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J081855+095848,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J101347+065015,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J103018+164633,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J131453+080456,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J141831+444937,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
J144335+334859,NO_NIR_EXCESS,6000.0,1,N,,,,,,,,,,,,,,,,,0.0,False,,False,,no H/K excess at >= 3.0 sigma to extrapolate
