kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,class,vetoes,flags_classify,koi_period,koi_depth,koi_depth_in_tess_band_ppm,pdc_depth_ppm,pdc_total_err_ppm,pdc_z,pdc_z_pop,pdc_ratio,sap_depth_ppm,sap_total_err_ppm,sap_z,sap_z_pop,sap_ratio,sap_minus_pdcsap_z,background_direction,pdc_odd_even_sigma,sap_odd_even_sigma,duration_verdict,z_duration,t14_ratio_observed,t14_ratio_expected_fixed_b,epoch_offset_minutes,epoch_offset_sigma,epoch_search_snr_best,pdc_n_transits,sap_n_transits,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_depth_reduction_spread_ppm,sap_depth_reduction_spread_ppm,pdc_sector_scatter_chi2_per_dof,ra,dec,shard
K01001.01,Kepler-264 b,1871056,137347078,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,40.806533,313.9,302.95264,-210.93396,216.75808,-2.3641199,-0.69361109,-0.69626049,-124.57234,211.28066,-2.0175079,-0.53527888,-0.4111941,,,0.74290087,0.48951174,inconclusive,,1.3572088,,0,,-0.20440541,5,5,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",,,0.72392362,292.04462,37.37624,0
K01001.02,Kepler-264 c,1871056,137347078,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,140.10765,266.8,257.49643,996.05226,490.53015,2.7256922,0.3823746,3.8682178,-94.31772,229.78219,-1.5274417,-0.4053363,-0.36628749,,,1.9209857,1.7593881,fixed_b,0.13252013,1.0310142,1.014245,277.545,2.6871734,4.1963195,4,4,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",429.2767,,3.1915022,292.04462,37.37624,0
K02812.01,Kepler-1354 b,2442448,137096633,tic_kic_crossid_over_name_planet,CONFIRMED,not_measured,,,76.613945,498.7,508.2092,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,74,SPOC,120,,,,291.24518,37.75906,0
K03379.01,Kepler-1484 b,2995392,137816475,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,30.454442,472.1,494.53645,-481.92947,1863.981,-0.52374045,-0.1486471,-0.97450747,232.69156,779.55791,-0.33544974,-0.089893372,0.47052459,,,0.44998439,0.87165436,inconclusive,,2.3518557,,0,,0.18373383,4,4,"74,75,81,82",SPOC,120,,,1.292167,292.68427,38.126282,0
K00401.02,Kepler-149 d,3217264,120638033,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,160.01916,1552.8,1593.6536,-129.20325,1225.9082,-1.4018668,-0.46548444,-0.081073611,-192.47459,1014.5081,-1.7541849,-0.46614142,-0.12077568,-0.38658866,PDC_DEEPER_THAN_SAP,,,inconclusive,,1.7328621,,0,,0.43201725,1,1,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",475.57631,790.86629,,285.85367,38.384121,0
K00401.03,Kepler-149 c,3217264,120638033,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,55.32914,325.7,312.00383,-881.70704,848.19842,-1.406881,-0.35956844,-2.8259494,-288.99547,434.11481,-1.3826713,-0.36625506,-0.92625616,-0.87395204,PDC_DEEPER_THAN_SAP,2.486816,2.6979272,inconclusive,,0.85837422,,0,,2.0876623,3,3,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",468.82292,63.029568,6.7816561,285.85367,38.384121,0
K04975.01,,3355104,378082998,tic_kic_crossid,CANDIDATE,not_measurable,,,47.062898,1647,1667.3526,-17387.212,14877.319,-1.2806996,-0.3016614,-10.428036,-3024.8265,2649.4917,-1.7675001,-0.46753913,-1.8141493,,,,,inconclusive,,0.48044977,,0,,2.1116185,1,1,"74,75",SPOC,120,,,,294.63104,38.404549,0
K03279.01,Kepler-1914 b,3544640,137151294,tic_kic_crossid_over_name_planet,CONFIRMED,not_measured,,,30.827824,641.3,617.77167,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,74,SPOC,120,,,,291.43143,38.654388,0
K06102.01,,3545840,137318531,tic_kic_crossid,CANDIDATE,not_measurable,,,54.291634,97.8,97.487799,472.02428,138.69783,4.8206854,0.73471622,4.8418806,303.5927,120.4587,2.691357,0.70441627,3.114161,-1.2544857,PDC_DEEPER_THAN_SAP,0.95765303,1.0471744,tracks_b,-4.9411441,0.49535056,1.0240213,-302.78018,2.5686488,4.3355497,3,3,"40,41,74,75,81,82,14,54,55","QLP,SPOC,TESS-SPOC","120,1800,600",85.928795,33.236481,0.45854978,291.75204,38.66254,0
K05033.01,,3974928,184471383,tic_kic_crossid,CANDIDATE,not_measurable,,,127.67171,450.1,430.94937,-3092.6873,1250.0148,-2.8146544,-0.67426143,-7.1764516,-1664.8728,804.5461,-2.595587,-0.68570805,-3.8632679,,,,,inconclusive,,0.7368063,,0,,1.6250636,2,2,"74,75,81,82,14,41,54,55","QLP,SPOC","120,1800,600",,,0.32287827,296.35797,39.078579,0
