kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_impact,koi_dor,koi_steff,koi_slogg,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_count,ra,dec,shard,lc_status,lc_route,not_measured_reason,n_products,product_authors,product_sectors,ld_band_ratio,ld_note,koi_depth_in_tess_band_ppm,koi_depth_in_tess_band_err_ppm,t0_btjd_nominal,t0_btjd_used,n_epochs_propagated,ephemeris_sigma_minutes,epoch_offset_minutes,epoch_offset_sigma,epoch_search_halfwidth_minutes,epoch_search_n_trials,epoch_search_snr_best,epoch_search_snr_nominal,depth_at_nominal_ephemeris_ppm,depth_at_best_offset_ppm,ephemeris_recovered,pdc_status,pdc_flux_column,pdc_primary_author,pdc_depth_ppm,pdc_depth_err_ppm,pdc_depth_err_method,pdc_total_err_ppm,pdc_depth_reduction_spread_ppm,pdc_depth_reduction_spread_status,pdc_n_members,pdc_n_members_measured,pdc_ensemble_members,pdc_n_transits,pdc_n_sectors,pdc_n_sectors_measured,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_smeared,pdc_depth_is_lower_bound,pdc_oot_scatter_ppm,pdc_odd_even_diff_ppm,pdc_odd_even_sigma,pdc_sector_scatter_chi2_per_dof,pdc_n_sectors_dropped_duplicate,pdc_flags,pdc_ln_ratio,pdc_sigma_ln,pdc_z,pdc_z_lin,pdc_z_method,pdc_ratio,pdc_measured_snr,pdc_expected_snr,pdc_sigma_ln_expected,pdc_detectable_ln_ratio,pdc_detectable_depth_change_ppm,pdc_comparison_status,pdc_z_pop,sap_status,sap_flux_column,sap_primary_author,sap_depth_ppm,sap_depth_err_ppm,sap_depth_err_method,sap_total_err_ppm,sap_depth_reduction_spread_ppm,sap_depth_reduction_spread_status,sap_n_members,sap_n_members_measured,sap_ensemble_members,sap_n_transits,sap_n_sectors,sap_n_sectors_measured,sap_sector_list,sap_authors,sap_exptimes_s,sap_smeared,sap_depth_is_lower_bound,sap_oot_scatter_ppm,sap_odd_even_diff_ppm,sap_odd_even_sigma,sap_sector_scatter_chi2_per_dof,sap_n_sectors_dropped_duplicate,sap_flags,sap_ln_ratio,sap_sigma_ln,sap_z,sap_z_lin,sap_z_method,sap_ratio,sap_measured_snr,sap_expected_snr,sap_sigma_ln_expected,sap_detectable_ln_ratio,sap_detectable_depth_change_ppm,sap_comparison_status,sap_z_pop,sap_vs_pdcsap_verdict,sap_vs_pdcsap_n_pairs,sap_vs_pdcsap_authors,sap_minus_pdcsap_ppm,sap_minus_pdcsap_err_ppm,sap_minus_pdcsap_z,sap_minus_pdcsap_fraction,background_direction,ingress_fraction_used,t14_tess_hours,t14_tess_err_hours,t14_factor,t14_factor_err,duration_fit_depth_ppm,duration_fit_chi2_per_dof,duration_fit_n_points,duration_fit_status,duration_at_grid_edge,t14_ratio_observed,t14_ratio_expected_fixed_b,z_duration,b_implied_by_duration,duration_verdict,class,class_provisional,vetoes,would_be_candidate_without_vetoes,flags_classify,population_offset_pdc,population_offset_sap,population_scale_pdc,population_scale_sap,elapsed_s,pdc_depth_err_analytic_ppm,pdc_depth_err_bootstrap_ppm,pdc_n_transits_seen,pdc_chi2_per_dof,pdc_n_members_unavailable,pdc_ensemble_incomplete,pdc_ensemble_unavailable_reasons,pdc_depth_reduction_spread_fraction,pdc_depth_reduction_p16_ppm,pdc_depth_reduction_p84_ppm,pdc_depth_reduction_min_ppm,pdc_depth_reduction_max_ppm,pdc_depth_reduction_median_ppm,pdc_depth_reduction_max_offset_from_primary_ppm,pdc_spread_percentile,sap_depth_err_analytic_ppm,sap_depth_err_bootstrap_ppm,sap_n_transits_seen,sap_chi2_per_dof,sap_n_members_unavailable,sap_ensemble_incomplete,sap_ensemble_unavailable_reasons,sap_depth_reduction_spread_fraction,sap_depth_reduction_p16_ppm,sap_depth_reduction_p84_ppm,sap_depth_reduction_min_ppm,sap_depth_reduction_max_ppm,sap_depth_reduction_median_ppm,sap_depth_reduction_max_offset_from_primary_ppm,sap_spread_percentile,epoch_offset_days,background_n_agree
K01001.01,Kepler-264 b,1871056,137347078,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,40.806533,155.71586,13.135,313.9,6.2,-6.2,0.016213,0.016,24.123,6207,3.963,13.038,0,0,0,0,2,292.04462,37.37624,0,OK,lightkurve,,14,"QLP,SPOC,TESS-SPOC","14,40,41,54,55,74,75,81",0.9651247,,302.95264,5.9837731,3334.3717,3334.3717,131,39.798975,0,,316.42193,8,-0.20440541,-0.97313076,-210.93396,-43.902387,False,OK,PDCSAP_FLUX,QLP,-210.93396,216.75808,analytic,216.75808,,TOO_FEW_MEMBERS,4,0,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=OK;QLP/KSPSAP_FLUX=OK;QLP/DET_FLUX=OK,5,8,5,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,3179.345,-348.67283,0.74290087,0.72392362,6,,-1.6962605,0.71750188,-2.3641199,-2.3641199,linear,-0.69626049,-0.97313076,1.3976533,0.71750188,3.5875094,10646.95,OK,-0.67734031,OK,SAP_FLUX,QLP,-124.57234,211.28066,analytic,211.28066,,TOO_FEW_MEMBERS,3,0,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=OK;QLP/SAP_FLUX=OK,5,8,5,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,3144.8314,-229.28658,0.48951174,1.3842254,6,,-1.4111941,0.69947389,-2.0175079,-2.0175079,linear,-0.4111941,-0.58960597,1.4338872,0.69947389,3.4973695,9703.105,OK,-0.51684182,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.02,17.826938,13.79175,1.3572088,1.05,-175.24161,2.3199515,3198,OK,True,1.3572088,,,,inconclusive,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,216.75808,167.68566,5,0.72392362,4,True,OK:4,,,,,,,,84,211.28066,249.2616,5,1.3842254,3,True,OK:3,,,,,,,,84,0,3
K01001.02,Kepler-264 c,1871056,137347078,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,140.10765,216.21749,18.503,266.8,9.6,-9.6,0.014948,0.019,58.7,6207,3.963,13.038,0,0,0,0,2,292.04462,37.37624,0,OK,lightkurve,,14,"QLP,SPOC,TESS-SPOC","14,40,41,54,55,74,75,81",0.96512905,,257.49643,9.2652389,3373.3082,3373.5009,38,103.28511,277.545,2.6871734,587.40033,12,4.1963195,3.7565147,946.69093,996.05226,True,OK,PDCSAP_FLUX,QLP,996.05226,237.3633,analytic,490.53015,429.2767,OK,4,3,SPOC/PDCSAP_FLUX=1717ppm;TESS-SPOC/PDCSAP_FLUX=OK;QLP/KSPSAP_FLUX=455ppm;QLP/DET_FLUX=710ppm,4,8,4,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,4152.8417,979.01032,1.9209857,3.1915022,6,sector_scatter,1.3527939,0.49631205,2.7256922,1.5048412,ln,3.8682178,4.1963195,1.0848199,1.9059936,9.5299679,3544476.8,OK,0.3358165,OK,SAP_FLUX,QLP,-94.31772,229.78219,analytic,229.78219,,TOO_FEW_MEMBERS,3,1,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=OK;QLP/SAP_FLUX=533ppm,4,8,4,"74,75,81,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,3982.086,-887.99819,1.7593881,6.7768497,6,sector_scatter,-1.3662875,0.89449404,-1.5274417,-1.5274417,linear,-0.36628749,-0.41046576,1.1206109,0.89449404,4.4724702,22292.182,OK,-0.39154754,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.02,19.076857,2.1318895,1.0310142,0.11521859,740.32687,1.3849083,3903,OK,False,1.0310142,1.014245,0.13252013,,fixed_b,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,237.3633,531.47415,4,3.1915022,1,True,OK:1,0.43097809,536.18311,1394.7365,454.5762,1717.1547,709.59779,721.10247,84,229.78219,1057.3757,4,6.7768497,2,True,OK:2,,,,,,,,84,0.19273958,3
K02130.01,Kepler-1798 b,2161536,137315414,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,16.855926,138.26808,2.309,871.5,51.9,-51.9,0.026549,0.038,57.21,3967,4.674,15.661,0,0,0,0,1,291.7262,37.5289,0,OK,lightkurve,,4,"SPOC,TESS-SPOC","74,75",0.93823398,,817.67092,48.694344,3348.3085,3348.3085,319,29.966187,0,,124.53356,12,2.7055147,-0.60375209,-2319.2931,10507.919,False,OK,PDCSAP_FLUX,SPOC,-2319.2931,3841.466,analytic,3841.466,,TOO_FEW_MEMBERS,2,0,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=OK,4,2,2,"74,75",SPOC,120,False,False,44552.358,5455.2693,0.69116637,8.8022116,2,sector_scatter,-3.8364627,4.6987022,-0.81649413,-0.81649413,linear,-2.8364627,-0.60375209,0.21285388,4.6987022,23.493511,1.3052107e+13,OK,-0.20093039,OK,SAP_FLUX,SPOC,-1220.8691,1269.7472,analytic,1269.7472,,TOO_FEW_MEMBERS,2,0,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=OK,4,2,2,"74,75",SPOC,120,False,False,13672.075,1475.3026,0.57480218,7.9590613,2,sector_scatter,-2.4931057,1.5548285,-1.6034602,-1.6034602,linear,-1.4931057,-0.96150568,0.64396357,1.5548285,7.7741425,1943851.6,OK,-0.40730573,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.025898836,5.7725,0.086822149,2.5,0.037601624,-5570.4551,1.0175756,1323,OK,True,2.5,,,,inconclusive,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,3841.466,6202.2367,4,3.1221698,2,True,OK:2,,,,,,,,84,1269.7472,1909.3832,4,2.8261633,2,True,OK:2,,,,,,,,84,0,3
K02033.01,Kepler-1064 b,2304320,137315852,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,16.540814,133.95274,2.5996,370,12.8,-12.8,0.018716,0.688,36.5,5064,4.572,13.755,0,0,0,0,1,291.74164,37.688938,0,OK,lightkurve,,11,"QLP,SPOC,TESS-SPOC","14,40,41,54,55,74,75",0.99049964,,366.48487,12.678395,3342.7173,3342.7173,325,19.139167,0,,96.411502,10,1.4174895,0.37541303,251.98584,950.80033,False,OK,PDCSAP_FLUX,QLP,251.98584,494.21665,bootstrap,494.22809,3.3630944,OK,4,2,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=OK;QLP/KSPSAP_FLUX=926ppm;QLP/DET_FLUX=936ppm,9,7,6,"74,75,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,7563.0877,-1439.5232,1.070628,0.64291864,4,,-0.31242497,1.3499334,-0.23143732,-0.23143732,linear,0.68757503,0.50986919,0.74154699,1.3499334,6.7496669,312528.88,OK,-0.14058265,OK,SAP_FLUX,QLP,113.42117,329.04913,bootstrap,329.04913,,TOO_FEW_MEMBERS,3,1,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=OK;QLP/SAP_FLUX=1067ppm,9,7,6,"74,75,14,40,41,54,55","QLP,SPOC","120,1800,600",False,False,5429.0584,-528.21782,0.69235327,0.75346167,4,,-0.69051609,0.89990823,-0.76731834,-0.76731834,linear,0.30948391,0.34469372,1.1137694,0.89990823,4.4995411,32608.297,OK,-0.20055938,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.034337707,6.499,0.19255794,2.5,0.074072142,826.0168,1.2792004,1143,OK,True,2.5,0.99422211,14.608746,,duration_inconsistent,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,671.22297,494.21665,9,0.69070547,2,True,OK:2,0.013346363,927.26356,933.98975,925.68093,935.57238,930.62665,683.58654,84,371.40431,329.04913,9,0.77629127,2,True,OK:2,,,,,,,,84,0,3
K02812.01,Kepler-1354 b,2442448,137096633,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,76.613945,153.79301,10.22,498.7,20.1,-20.1,0.023228,0.851,32.6,6173,4.408,14.357,0,0,0,0,1,291.24518,37.75906,0,OK,lightkurve,NO_USABLE_TRANSIT,2,"SPOC,TESS-SPOC",74,1.019068,,508.2092,20.483266,3349.7692,3349.7692,70,63.414793,0,,343.54438,6,,,,,False,NO_USABLE_TRANSIT,PDCSAP_FLUX,SPOC,,,none,,,TOO_FEW_MEMBERS,2,0,SPOC/PDCSAP_FLUX=NO_USABLE_TRANSIT;TESS-SPOC/PDCSAP_FLUX=NO_USABLE_TRANSIT,0,1,0,74,SPOC,120,False,False,,,,,1,,,,,,,,,,,,,NO_USABLE_TRANSIT,,NO_USABLE_TRANSIT,SAP_FLUX,SPOC,,,none,,,TOO_FEW_MEMBERS,2,0,SPOC/SAP_FLUX=NO_USABLE_TRANSIT;TESS-SPOC/SAP_FLUX=NO_USABLE_TRANSIT,0,1,0,74,SPOC,120,False,False,,,,,1,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.078051053,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0,,,0,,2,True,NO_USABLE_TRANSIT:2,,,,,,,,84,,,0,,2,True,NO_USABLE_TRANSIT:2,,,,,,,,84,0,3
K04857.01,,2860656,138037172,tic_kic_crossid,CANDIDATE,CANDIDATE,4.1149736,135.318,3.025,154.1,17.3,-17.3,0.011539,0.396,9.7,6011,4.507,15.392,0,0,0,0,1,293.17578,38.042019,0,OK,lightkurve,,8,"SPOC,TESS-SPOC","74,75,81,82",0.97078712,,149.59829,16.794617,3367.1634,3367.1634,1312,85.603293,0,,302.18488,20,1.0271777,0.08648786,123.24302,1505.7921,False,OK,PDCSAP_FLUX,SPOC,123.24302,1114.9152,bootstrap,1201.9303,448.99949,OK,2,2,SPOC/PDCSAP_FLUX=123ppm;TESS-SPOC/PDCSAP_FLUX=1444ppm,24,4,4,"74,75,81,82",SPOC,120,False,False,48095.77,4531.5719,2.2355312,0.72538561,4,,-0.17617365,8.0353248,-0.021924894,-0.021924894,linear,0.82382635,0.11054026,0.13417908,8.0353248,40.176624,4.201581e+19,OK,-0.019988247,OK,SAP_FLUX,SPOC,29.550931,230.50837,bootstrap,241.93614,73.477823,OK,2,2,SPOC/SAP_FLUX=30ppm;TESS-SPOC/SAP_FLUX=246ppm,24,4,4,"74,75,81,82",SPOC,120,False,False,10879.111,952.70247,2.3172068,0.92988752,4,,-0.80246479,1.6219014,-0.49476792,-0.49476792,linear,0.19753521,0.12819895,0.64899291,1.6219014,8.1095071,497405.08,OK,-0.12861832,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-622.97386,821.59918,-0.75824548,-0.7950797,PDC_DEEPER_THAN_SAP,0.02,6.491455,0.90879397,2.1459355,0.30042776,-1355.7093,1.0341112,11393,OK,True,2.1459355,0.99875187,4.7391713,,duration_inconsistent,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.2,1424.9748,1114.9152,26,0.61596399,0,False,,3.6432042,334.53689,1232.5359,123.24302,1443.8297,783.53638,1320.5867,84,316.23204,230.50837,26,0.52449502,0,False,,2.4864808,64.12873,211.08438,29.550931,245.66217,137.60655,216.11124,84,0,3
K03379.01,Kepler-1484 b,2995392,137816475,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,30.454442,140.76863,6.896,472.1,29.9,-29.9,0.0242,0.929,14.59,6283,4.472,15.268,0,0,0,0,1,292.68427,38.126282,0,OK,lightkurve,,8,"SPOC,TESS-SPOC","74,75,81,82",1.0475248,,494.53645,31.320991,3364.2049,3364.2049,177,114.12889,0,,445.82668,13,0.18373383,-0.25854849,-481.92947,333.33898,False,OK,PDCSAP_FLUX,SPOC,-481.92947,1863.981,analytic,1863.981,,TOO_FEW_MEMBERS,2,1,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=845ppm,4,4,4,"74,75,81,82",SPOC,120,False,False,37310.163,1677.7806,0.44998439,1.292167,4,,-1.9745075,3.7700114,-0.52374045,-0.52374045,linear,-0.97450747,-0.25854849,0.26531197,3.7700114,18.850057,7.5975588e+10,OK,-0.14470855,OK,SAP_FLUX,SPOC,232.69156,779.55791,analytic,779.55791,,TOO_FEW_MEMBERS,2,1,SPOC/SAP_FLUX=233ppm;TESS-SPOC/SAP_FLUX=OK,4,4,4,"74,75,81,82",SPOC,120,False,False,15740.015,1359.8533,0.87165436,0.94187863,4,,-0.52947541,1.5784046,-0.33544974,-0.33544974,linear,0.47052459,0.29849169,0.63438064,1.5784046,7.892023,1322811.6,OK,-0.088717469,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.15380102,16.218397,2.0717498,2.3518557,0.30042776,-1725.865,1.0070624,4077,OK,True,2.3518557,,,0.14312212,inconclusive,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,1863.981,1791.1934,4,1.292167,1,True,OK:1,,,,,,,,84,779.55791,636.53083,4,0.94187863,1,True,OK:1,,,,,,,,84,0,3
K00273.01,Kepler-454 b,3102384,121276638,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,10.573751,175.06774,1.7259,298.9,4.3,-4.3,0.017524,0.785,30.3,5720,4.4,11.457,0,0,0,0,1,287.47852,38.22884,0,OK,lightkurve,,20,"QLP,SPOC,TESS-SPOC","14,40,41,53,54,74,80,81",1.0058416,,300.64607,4.3251191,3326.6645,3326.6465,503,6.2165058,-25.898855,4.1661435,44.538017,9,3.3057468,2.9805326,291.01568,327.57036,True,OK,PDCSAP_FLUX,QLP,327.57036,211.465,bootstrap,219.46575,58.717718,OK,4,4,SPOC/PDCSAP_FLUX=102ppm;TESS-SPOC/PDCSAP_FLUX=266ppm;QLP/KSPSAP_FLUX=157ppm;QLP/DET_FLUX=91ppm,19,8,8,"40,53,54,74,80,81,14,41","QLP,SPOC","120,1800,600",True,False,1957.5753,521.21215,1.353718,3.5143412,12,smeared;sector_scatter,0.089554771,0.73183223,0.12237063,0.12237063,linear,1.0895548,1.5490524,1.4217297,0.73183223,3.6591611,11373.067,OK,-0.14174258,OK,SAP_FLUX,QLP,217.46522,187.9675,bootstrap,195.60912,54.140068,OK,3,3,SPOC/SAP_FLUX=15ppm;TESS-SPOC/SAP_FLUX=70ppm;QLP/SAP_FLUX=175ppm,20,8,8,"40,53,54,74,80,81,14,41","QLP,SPOC","120,1800,600",True,False,1784.9719,497.13432,1.3463442,5.7507943,12,smeared;sector_scatter,-0.27667364,0.65270617,-0.42388697,-0.42388697,linear,0.72332636,1.1569299,1.5994577,0.65270617,3.2635308,7558.7462,OK,-0.11724871,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-149.5497,117.63085,-1.2713476,-0.81207322,PDC_DEEPER_THAN_SAP,0.043722023,1.4814681,0.61878958,0.85837422,0.35853154,200.72985,1.0131674,3783,OK,False,0.85837422,1.0018634,-0.36733942,0.85237163,fixed_b,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.2,99.091182,211.465,20,3.3518544,0,False,,0.17925223,96.271522,213.70696,91.150157,266.49613,129.16918,236.4202,84,88.748692,187.9675,21,4.299245,0,False,,0.24895966,32.865428,141.14556,15.455906,174.6914,69.860663,202.00932,84,-0.017985316,3
K00401.01,Kepler-149 b,3217264,120638033,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,29.198992,185.44063,5.1227,2047.2,13.3,-13.3,0.040459,0.043,45.27,5376,4.462,14.001,0,0,0,0,3,285.85367,38.384121,0,OK,lightkurve,,11,"QLP,SPOC,TESS-SPOC","14,40,41,53,54,80,81",0.95560093,,1956.3062,12.709492,3507.8511,3507.8689,188,6.5602335,25.603255,3.9027962,96.521201,7,4.9860173,2.9402737,2230.8517,3494.463,True,OK,PDCSAP_FLUX,QLP,3494.463,700.85257,analytic,1679.1787,1525.9249,OK,4,3,SPOC/PDCSAP_FLUX=953ppm;TESS-SPOC/PDCSAP_FLUX=794ppm;QLP/KSPSAP_FLUX=5282ppm;QLP/DET_FLUX=OK,6,7,6,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",False,False,8060.876,3449.3907,2.0368048,4.7641896,4,sector_scatter,0.58012162,0.48316351,1.2006735,0.91444106,ln,1.7862557,4.9860173,2.7913234,0.85982104,4.2991052,142094.1,OK,0.0026410813,OK,SAP_FLUX,QLP,2453.9552,535.30122,analytic,1730.3625,1645.4808,OK,3,3,SPOC/SAP_FLUX=367ppm;TESS-SPOC/SAP_FLUX=302ppm;QLP/SAP_FLUX=5141ppm,6,7,6,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",False,False,7341.0713,4397.3725,2.7550747,7.3254552,4,sector_scatter,0.22664299,0.70693242,0.32060065,0.28713199,ln,1.254382,4.5842511,3.6545895,0.88594086,4.4297043,162190.7,OK,0.070590607,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-537.34819,881.58769,-0.60952325,-0.61533637,PDC_DEEPER_THAN_SAP,0.038955063,5.6142652,0.26126454,1.0959582,0.051001336,2943.026,1.2243556,1379,OK,False,1.0959582,1.01311,1.1441605,,fixed_b,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,700.85257,1623.5501,6,4.7641896,1,True,OK:1,0.43666934,844.65671,3896.5064,793.80772,5281.822,952.71082,2700.6553,84,535.30122,2343.8976,6,7.3254552,0,False,,0.67054231,322.43096,3613.3926,301.68919,5141.3386,366.50721,2687.3834,84,0.017780038,3
K00401.02,Kepler-149 d,3217264,120638033,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,160.01916,251.28261,5.472,1552.8,33.4,-33.4,0.041725,0.852,134,5376,4.462,14.001,0,0,0,0,3,285.85367,38.384121,0,OK,lightkurve,,11,"QLP,SPOC,TESS-SPOC","14,40,41,53,54,80,81",1.0263096,,1593.6536,34.278741,3524.934,3524.934,34,25.743259,0,,159.30978,9,0.43201725,-0.1143491,-129.20325,487.34858,False,OK,PDCSAP_FLUX,QLP,-129.20325,1129.9018,analytic,1225.9082,475.57631,OK,4,2,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=807ppm;QLP/KSPSAP_FLUX=NO_USABLE_TRANSIT;QLP/DET_FLUX=2205ppm,1,7,1,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",False,False,9972.6235,,,,4,,-1.0810736,0.77116712,-1.4018668,-1.4018668,linear,-0.081073611,-0.1143491,1.4104355,0.77116712,3.8558356,73735.32,OK,-0.45944599,OK,SAP_FLUX,QLP,-192.47459,635.41895,analytic,1014.5081,790.86629,OK,3,2,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=216ppm;QLP/SAP_FLUX=2542ppm,1,7,1,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",False,False,5608.2697,,,,4,,-1.1207757,0.63891536,-1.7541849,-1.7541849,linear,-0.12077568,-0.30290974,2.508036,0.63891536,3.1945768,37291.248,OK,-0.45164833,BACKGROUND_TEST_AGREES,1,TESS-SPOC,-591.06824,1528.9332,-0.38658866,-0.73280487,PDC_DEEPER_THAN_SAP,0.13412132,9.4822215,5.7456,1.7328621,1.05,-558.94066,0.96919918,851,OK,True,1.7328621,,,0.079498821,inconclusive,not_measurable,not_measurable,,False,,0.57416017,0.027983204,4.6717153,3.9809356,0.1,1129.9018,,1,0,2,True,NO_USABLE_TRANSIT:1;OK:1,0.31579604,1030.384,1981.5366,806.58339,2205.3372,1505.9603,699.37692,84,635.41895,,1,0,1,True,OK:1,0.57369272,587.68753,2169.4201,215.51516,2541.5925,1378.5538,1163.0387,84,0,3
