kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K04938.01,1.3803577e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,1,-1247.1791,5764.1655,analytic,67239.764,,False,True
K04938.01,1.3803577e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,1,-10125.597,5294.9581,analytic,47675.465,,False,False
K04938.01,1.3803577e+08,sap,SPOC,SAP_FLUX,OK,2,"74,75",120,1,-3319.2051,534.78106,analytic,6238.2928,,False,True
K04938.01,1.3803577e+08,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,75",200,1,-3476.5572,501.20139,analytic,4512.7854,,False,False
K02603.01,1.3714905e+08,pdc,SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,False
K02603.01,1.3714905e+08,pdc,TESS-SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K02603.01,1.3714905e+08,pdc,QLP,KSPSAP_FLUX,NO_USABLE_TRANSIT,5,"14,40,41,54,55","1800,600",0,,,none,,,False,False
K02603.01,1.3714905e+08,pdc,QLP,DET_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K02603.01,1.3714905e+08,sap,SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,False
K02603.01,1.3714905e+08,sap,TESS-SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K02603.01,1.3714905e+08,sap,QLP,SAP_FLUX,NO_USABLE_TRANSIT,6,"14,40,41,54,55,74","1800,200,600",0,,,none,,,False,True
K00379.02,1.3734819e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,2,-2174.0059,667.94499,analytic,6519.3505,1.8035137,False,False
K00379.02,1.3734819e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,2,-2029.9317,796.61594,analytic,5993.9773,1.9254098,False,False
K00379.02,1.3734819e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",5,1483.5291,603.60531,analytic,3500.6285,1.809738,False,False
K00379.02,1.3734819e+08,pdc,QLP,DET_FLUX,OK,3,"74,75,81",200,3,-204.21738,1102.9822,analytic,9013.5663,0.29129576,False,False
K00379.02,1.3734819e+08,sap,SPOC,SAP_FLUX,OK,2,"74,75",120,2,-1182.8812,383.78903,analytic,3761.3985,1.9176651,False,False
K00379.02,1.3734819e+08,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,75",200,2,-867.79313,406.31014,analytic,3226.7728,1.9467825,False,False
K00379.02,1.3734819e+08,sap,QLP,SAP_FLUX,OK,8,"14,40,41,54,55,74,75,81","1800,200,600",8,1137.7329,708.46127,bootstrap,5188.4508,1.6118068,False,True
K04849.01,1.2139562e+08,pdc,SPOC,PDCSAP_FLUX,OK,6,"40,41,54,74,80,81",120,49,-54.827702,324.87967,bootstrap,12253.945,0.25033877,False,True
K04849.01,1.2139562e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,6,"40,41,54,74,80,81","200,600",49,-506.3128,464.57922,bootstrap,8091.0339,2.2888615,False,False
K04849.01,1.2139562e+08,sap,SPOC,SAP_FLUX,OK,6,"40,41,54,74,80,81",120,50,-33.163998,260.1747,bootstrap,9739.0865,0.19953696,False,True
K04849.01,1.2139562e+08,sap,TESS-SPOC,SAP_FLUX,OK,6,"40,41,54,74,80,81","200,600",50,-533.07381,323.67765,bootstrap,6093.175,1.9909499,False,False
K04875.01,1.2260754e+08,pdc,SPOC,PDCSAP_FLUX,OK,5,"40,41,54,55,74",120,138,-478.64329,1117.2611,bootstrap,54941.502,0.96419071,False,False
K04875.01,1.2260754e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,5,"40,41,54,55,74","200,600",136,-621.70078,1501.1846,bootstrap,29355.935,1.1023597,False,False
K04875.01,1.2260754e+08,pdc,QLP,KSPSAP_FLUX,OK,4,"40,41,54,55",600,112,-2906.8668,2349.0038,bootstrap,24679.655,1.9223546,False,False
K04875.01,1.2260754e+08,pdc,QLP,DET_FLUX,OK,2,"74,75",200,56,1219.3887,2477.0424,bootstrap,53141.658,1.1768083,False,False
K04875.01,1.2260754e+08,sap,SPOC,SAP_FLUX,OK,5,"40,41,54,55,74",120,141,-87.617906,331.61546,bootstrap,18202.074,0.62940001,False,False
K04875.01,1.2260754e+08,sap,TESS-SPOC,SAP_FLUX,OK,5,"40,41,54,55,74","200,600",139,-339.23684,399.36992,bootstrap,7740.7673,0.9006655,False,False
K04875.01,1.2260754e+08,sap,QLP,SAP_FLUX,OK,6,"40,41,54,55,74,75","200,600",168,-1958.3086,1937.1394,bootstrap,31834.257,1.5555592,False,True
K04395.01,1.2139552e+08,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,80,81",120,37,-167.49638,1629.7635,bootstrap,38581.738,1.6416692,False,True
K04395.01,1.2139552e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,80,81",200,38,-1891.7542,1360.3406,bootstrap,33176.686,1.726874,False,False
K04395.01,1.2139552e+08,sap,SPOC,SAP_FLUX,OK,3,"74,80,81",120,41,-483.61255,736.19098,bootstrap,21094.266,1.4102949,False,True
K04395.01,1.2139552e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,41,-962.12212,565.6456,bootstrap,16753.626,1.8050153,False,False
