kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_impact,koi_dor,koi_steff,koi_slogg,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_count,ra,dec,shard,lc_status,lc_route,not_measured_reason,n_products,product_authors,product_sectors,ld_band_ratio,ld_note,koi_depth_in_tess_band_ppm,koi_depth_in_tess_band_err_ppm,t0_btjd_nominal,t0_btjd_used,n_epochs_propagated,ephemeris_sigma_minutes,epoch_offset_minutes,epoch_offset_sigma,epoch_search_halfwidth_minutes,epoch_search_n_trials,epoch_search_snr_best,epoch_search_snr_nominal,depth_at_nominal_ephemeris_ppm,depth_at_best_offset_ppm,ephemeris_recovered,pdc_status,pdc_flux_column,pdc_primary_author,pdc_depth_ppm,pdc_depth_err_ppm,pdc_depth_err_method,pdc_total_err_ppm,pdc_depth_reduction_spread_ppm,pdc_depth_reduction_spread_status,pdc_n_members,pdc_n_members_measured,pdc_ensemble_members,pdc_n_transits,pdc_n_sectors,pdc_n_sectors_measured,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_smeared,pdc_depth_is_lower_bound,pdc_oot_scatter_ppm,pdc_odd_even_diff_ppm,pdc_odd_even_sigma,pdc_sector_scatter_chi2_per_dof,pdc_n_sectors_dropped_duplicate,pdc_flags,pdc_ln_ratio,pdc_sigma_ln,pdc_z,pdc_z_lin,pdc_z_method,pdc_ratio,pdc_measured_snr,pdc_expected_snr,pdc_sigma_ln_expected,pdc_detectable_ln_ratio,pdc_detectable_depth_change_ppm,pdc_comparison_status,pdc_z_pop,sap_status,sap_flux_column,sap_primary_author,sap_depth_ppm,sap_depth_err_ppm,sap_depth_err_method,sap_total_err_ppm,sap_depth_reduction_spread_ppm,sap_depth_reduction_spread_status,sap_n_members,sap_n_members_measured,sap_ensemble_members,sap_n_transits,sap_n_sectors,sap_n_sectors_measured,sap_sector_list,sap_authors,sap_exptimes_s,sap_smeared,sap_depth_is_lower_bound,sap_oot_scatter_ppm,sap_odd_even_diff_ppm,sap_odd_even_sigma,sap_sector_scatter_chi2_per_dof,sap_n_sectors_dropped_duplicate,sap_flags,sap_ln_ratio,sap_sigma_ln,sap_z,sap_z_lin,sap_z_method,sap_ratio,sap_measured_snr,sap_expected_snr,sap_sigma_ln_expected,sap_detectable_ln_ratio,sap_detectable_depth_change_ppm,sap_comparison_status,sap_z_pop,sap_vs_pdcsap_verdict,sap_vs_pdcsap_n_pairs,sap_vs_pdcsap_authors,sap_minus_pdcsap_ppm,sap_minus_pdcsap_err_ppm,sap_minus_pdcsap_z,sap_minus_pdcsap_fraction,background_direction,ingress_fraction_used,t14_tess_hours,t14_tess_err_hours,t14_factor,t14_factor_err,duration_fit_depth_ppm,duration_fit_chi2_per_dof,duration_fit_n_points,duration_fit_status,duration_at_grid_edge,t14_ratio_observed,t14_ratio_expected_fixed_b,z_duration,b_implied_by_duration,duration_verdict,class,class_provisional,vetoes,would_be_candidate_without_vetoes,flags_classify,population_offset_pdc,population_offset_sap,population_scale_pdc,population_scale_sap,elapsed_s,pdc_depth_err_analytic_ppm,pdc_depth_err_bootstrap_ppm,pdc_n_transits_seen,pdc_chi2_per_dof,pdc_n_members_unavailable,pdc_ensemble_incomplete,pdc_ensemble_unavailable_reasons,pdc_depth_reduction_spread_fraction,pdc_depth_reduction_p16_ppm,pdc_depth_reduction_p84_ppm,pdc_depth_reduction_min_ppm,pdc_depth_reduction_max_ppm,pdc_depth_reduction_median_ppm,pdc_depth_reduction_max_offset_from_primary_ppm,pdc_spread_percentile,sap_depth_err_analytic_ppm,sap_depth_err_bootstrap_ppm,sap_n_transits_seen,sap_chi2_per_dof,sap_n_members_unavailable,sap_ensemble_incomplete,sap_ensemble_unavailable_reasons,sap_depth_reduction_spread_fraction,sap_depth_reduction_p16_ppm,sap_depth_reduction_p84_ppm,sap_depth_reduction_min_ppm,sap_depth_reduction_max_ppm,sap_depth_reduction_median_ppm,sap_depth_reduction_max_offset_from_primary_ppm,sap_spread_percentile,epoch_offset_days,background_n_agree
K04053.01,Kepler-1934 b,1718958,1.2268092e+08,name_planet,CONFIRMED,CANDIDATE,1.4197583,132.92,1.429,60.9,8.8,-8.8,0.007542,0.644,5.93,5925,4.394,12.801,0,0,0,0,1,290.91934,37.28717,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,0.98652164,,60.079168,8.6813904,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K06299.01,,2970670,1.2069364e+08,tic_kic_crossid,CANDIDATE,CANDIDATE,0.94755475,131.87955,1.097,65.4,6.7,-6.7,0.00734,0.058,6.66,5508,4.569,13.853,0,0,0,0,1,286.07114,38.16761,14,OK,lightkurve,,11,"QLP,SPOC,TESS-SPOC","14,40,41,53,54,80,81",0.95703818,,62.590297,6.4121558,3501.442,3501.3962,5843,34.333182,-65.826582,1.9172875,119.45455,22,4.4073748,-27.374084,-5541.5873,855.28607,True,OK,PDCSAP_FLUX,QLP,855.28607,567.28761,bootstrap,798.23087,561.56681,OK,4,3,SPOC/PDCSAP_FLUX=30ppm;TESS-SPOC/PDCSAP_FLUX=417ppm;QLP/KSPSAP_FLUX=1682ppm;QLP/DET_FLUX=OK,170,7,7,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",True,False,7055.6978,-1418.2742,1.2949318,2.9349461,4,smeared,12.664835,12.753778,0.99302612,0.99302612,linear,13.664835,1.5076763,0.11033256,12.753778,63.76889,3.0973066e+29,OK,0.99302612,OK,SAP_FLUX,QLP,669.84026,360.20592,bootstrap,576.45901,450.06298,OK,3,3,SPOC/SAP_FLUX=22ppm;TESS-SPOC/SAP_FLUX=76ppm;QLP/SAP_FLUX=1346ppm,175,7,7,"80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",True,False,6241.2688,-688.74748,0.97163219,3.6005981,4,smeared;sector_scatter,9.7019824,9.2107435,1.0533333,1.0533333,linear,10.701982,1.8596037,0.17376254,9.2107435,46.053717,6.2716572e+21,OK,1.0533333,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-125.40317,295.52825,-0.42433565,-0.56165536,PDC_DEEPER_THAN_SAP,0.02,2.7425,0.041248981,2.5,0.037601624,-869.32785,16.891925,12057,OK,True,2.5,1.0198705,7.9309236,,duration_inconsistent,not_measurable,not_measurable,,False,,0,0,1,1,0.8,194.05794,567.28761,189,2.7085166,1,True,OK:1,0.65658361,153.68104,1276.8147,29.959795,1681.6269,416.58868,826.34082,84,157.88783,360.20592,192,2.4543763,0,False,,0.67189598,39.513383,939.63934,22.135391,1345.85,76.441616,676.00978,84,-0.045712904,3
K07641.01,,2984990,1.223757e+08,tic_kic_crossid,CANDIDATE,CANDIDATE,3.7943728,132.1265,2.289,83.2,13.4,-13.4,0.008244,0.05,12.77,5455,4.025,14.816,0,0,0,0,1,290.32401,38.111111,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,0.95639489,,79.572055,12.815691,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K02380.01,,3002478,1.3871409e+08,tic_kic_crossid,CANDIDATE,CANDIDATE,6.3570531,135.47756,1.324,272.2,20.8,-20.8,0.015121,0.023,37.2,5982,4.493,14.216,0,0,0,0,1,294.18561,38.108669,14,OK,lightkurve,,8,"SPOC,TESS-SPOC","74,75,81,82",0.96331151,,262.21339,20.036879,3365.6156,3365.6156,849,21.673801,0,,84.881404,16,1.9691446,1.262132,1136.4767,1792.645,False,OK,PDCSAP_FLUX,SPOC,1136.4767,1266.9201,bootstrap,1276.2296,153.8683,OK,2,2,SPOC/PDCSAP_FLUX=1136ppm;TESS-SPOC/PDCSAP_FLUX=684ppm,17,4,4,"74,75,81,82",SPOC,120,False,False,16619.609,-609.1179,0.23947674,2.0765262,4,,3.3341673,4.8679979,0.68491552,0.68491552,linear,4.3341673,0.89703896,0.20696916,4.8679979,24.33999,9.7583864e+12,OK,0.68491552,OK,SAP_FLUX,SPOC,363.43343,304.75879,bootstrap,306.65119,34.015235,OK,2,2,SPOC/SAP_FLUX=363ppm;TESS-SPOC/SAP_FLUX=263ppm,17,4,4,"74,75,81,82",SPOC,120,False,False,5361.8883,-132.48099,0.21165664,2.2393747,4,,0.38602161,1.1730318,0.32908025,0.32908025,linear,1.3860216,1.1925281,0.86039649,1.1730318,5.8651592,92178.042,OK,0.32908025,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-574.46874,861.08721,-0.66714351,-0.63114576,PDC_DEEPER_THAN_SAP,0.02,1.2455428,1.3902,0.94074229,1.05,588.00752,1.0706667,3375,OK,True,0.94074229,1.0161275,-0.068824765,0.3449295,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.2,900.44207,1266.9201,17,1.9411512,0,False,,0.13539063,756.3315,1064.0681,683.92289,1136.4767,910.1998,452.55383,84,293.77582,304.75879,17,1.1754153,0,False,,0.093594129,279.39579,347.42626,263.38862,363.43343,313.41102,100.04481,84,0,3
K03225.01,,3109550,1.2213075e+08,tic_kic_crossid,CANDIDATE,CANDIDATE,4.8754765,133.29167,1.902,39.6,5.6,-5.6,0.005681,0.084,19.63,5513,4.179,12.207,0,0,0,0,1,289.67175,38.297871,14,OK,lightkurve,,24,"QLP,SPOC,TESS-SPOC","14,40,41,54,55,74,75,80,81",0.95733687,,37.91054,5.3610865,3343.9422,3343.9819,1103,64.073301,57.06,0.89054254,220.7499,22,3.3490558,1.6779466,134.44254,254.70302,True,OK,PDCSAP_FLUX,QLP,254.70302,79.674611,bootstrap,168.27139,148.21341,OK,4,4,SPOC/PDCSAP_FLUX=353ppm;TESS-SPOC/PDCSAP_FLUX=167ppm;QLP/KSPSAP_FLUX=477ppm;QLP/DET_FLUX=78ppm,44,9,9,"40,41,74,75,80,81,14,54,55","QLP,SPOC,TESS-SPOC","120,1800,600",True,False,2434.1483,-203.80013,1.3267245,1.2215916,15,smeared,1.904869,0.67747023,2.8117384,1.2876152,ln,6.7185278,3.1967902,0.47581707,4.4411774,22.205887,1.6697608e+11,OK,2.8117384,OK,SAP_FLUX,QLP,219.60361,75.146781,bootstrap,95.284823,58.58463,OK,3,3,SPOC/SAP_FLUX=295ppm;TESS-SPOC/SAP_FLUX=146ppm;QLP/SAP_FLUX=318ppm,45,9,9,"40,41,74,75,80,81,14,54,55","QLP,SPOC,TESS-SPOC","120,1800,600",True,False,2263.6261,-234.26499,1.6181973,1.0893896,15,smeared,1.756595,0.45908876,3.8262645,1.9034553,ln,5.7926797,2.922329,0.50448655,2.517884,12.58942,11124339,OK,3.8262645,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-35.786631,78.56936,-0.4554782,-0.13776977,PDC_DEEPER_THAN_SAP,0.02,2.4284426,0.27229006,1.2767837,0.14315986,88.514865,1.1019204,9019,OK,False,1.2767837,1.009064,1.3055828,,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.4,76.052186,79.674611,46,1.0150415,0,False,,0.58190678,120.60052,417.02734,77.823578,476.52517,259.75678,221.82216,84,71.500926,75.146781,47,1.0655802,0,False,,0.26677443,193.55431,310.72357,145.96727,318.27501,294.67675,98.671392,84,0.039625,3
K02150.01,Kepler-1979 b,3229150,1.2214281e+08,name_planet,CONFIRMED,CANDIDATE,18.508453,131.54555,6.596,758.9,28.7,-28.7,0.286358,1.258,5.88,5942,4.506,15.253,0,0,0,0,2,289.84286,38.309601,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,1.2351592,,937.36232,35.449069,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K02150.02,,3229150,1.2214281e+08,name_planet,CANDIDATE,CANDIDATE,44.705588,149.6448,6.262,471.8,46.5,-46.5,0.70871,1.692,13.3,5942,4.506,15.253,0,0,0,0,2,289.84286,38.309601,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,1.2351592,,582.74811,57.434903,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K01106.01,Kepler-769 b,3240158,1.378158e+08,name_planet,CONFIRMED,CANDIDATE,7.4260812,139.90039,3.6379,443.3,12.6,-12.6,0.019228,0.097,15.83,6049,4.353,14.818,0,0,0,0,3,292.7131,38.358212,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,0.96415233,,427.40873,12.148319,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K01106.02,Kepler-769 c,3240158,1.378158e+08,name_planet,CONFIRMED,CANDIDATE,15.986893,137.5964,4.158,178.5,18.3,-18.3,0.012587,0.533,25.3,6049,4.353,14.818,0,0,0,0,3,292.7131,38.358212,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,0.97807257,,174.58595,17.898728,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
K01106.03,,3240158,1.378158e+08,name_planet,CANDIDATE,CANDIDATE,13.22982,134.3757,3.566,157.8,15,-15,0.011692,0.435,25.9,6049,4.353,14.818,0,0,0,0,3,292.7131,38.358212,14,QUERY_RETURNED_ZERO_ROWS,lightkurve,QUERY_RETURNED_ZERO_ROWS,0,,,0.97273493,,153.49757,14.591024,,,0,,0,,36,0,,,,,False,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,FLUX_COLUMN_NOT_PRESENT,,,,,,,,ENSEMBLE_NOT_ATTEMPTED,0,0,,0,0,0,,,,False,False,,,,,0,,,,,,,,,,,,,NO_USABLE_TRANSIT,,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,,,,,,,,0,too_few_points,False,,,,,inconclusive,not_measured,not_measured,,False,,0,0,1,1,0,,,0,,0,False,,,,,,,,,84,,,0,,0,False,,,,,,,,,84,0,3
