kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_dor,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname,koi_count,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,tic_id,tic_route,has_ephemeris,has_depth,long_period
757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,8.884923,1.636e-06,16053.4,47.4,-47.4,0.114124,0.000396,-0.000266,0.069,0.087,-0.069,2.07004,0.00709,-0.00709,,36.466,5332,4.5,0.843,15.264,291.1376,36.577381,0,0,0,0,q1_q17_dr25_tce,1,-1.636e-06,169.99169,0.000144,-0.000144,1.227853e+08,name_planet,True,True,False
1025986,K07621.01,,CANDIDATE,CANDIDATE,275.07365,0.03928,228.9,43,-43,0.014379,0.000492,-0.002436,0.595,0.34,-0.395,3.37,5.5,-5.5,,512,5604,4.226,1.187,10.15,291.03369,36.771042,0,0,0,0,q1_q17_dr25_tce,1,-0.03928,315.2486,0.0939,-0.0939,,,True,True,True
1026957,K00958.01,Kepler-1731 b,CONFIRMED,CANDIDATE,21.761298,1.727e-05,1300.7,26.8,-26.8,0.032165,0.000807,-0.000734,0.123,0.288,-0.123,1.243,0.026,-0.026,,137.07,4859,4.612,0.72,12.559,291.25449,36.74361,0,0,0,0,q1_q17_dr25_tce,1,-1.727e-05,166.54044,0.000641,-0.000641,1.3709926e+08,name_planet,True,True,False
1161345,K00984.01,Kepler-1973 b,CONFIRMED,CANDIDATE,4.2874667,1.524e-05,790.1,49.7,-49.7,0.025717,0.00122,-0.001106,0.374,0.083,-0.374,1.5693,0.0785,-0.0785,,19.94,5296,4.576,0.815,11.631,291.0488,36.839882,0,0,0,0,q1_q17_dr25_tce,1,-1.524e-05,262.06245,0.00211,-0.00211,1.227845e+08,position_tic,True,True,False
1164301,K04921.01,,CANDIDATE,CANDIDATE,95.688682,0.003599,453.8,61.6,-61.6,0.019927,0.000912,-0.002268,0.5497,0.0141,-0.4925,6.465,0.903,-0.903,,97.2,5040,2.681,13.056,13.933,291.69196,36.881409,0,0,0,0,q1_q16_tce,1,-0.003599,224.2893,0.0261,-0.0261,,,True,True,True
1293379,K06253.01,,CANDIDATE,CANDIDATE,27.556452,0.002928,289.2,55.4,-55.4,0.015347,0.000913,-0.002548,0.1438,0.296,-0.1437,8.23,1.8,-1.8,,25.72,5509,4.565,0.836,15.979,291.11398,36.994061,0,0,0,0,q1_q17_dr24_tce,1,-0.002928,132.1916,0.0786,-0.0786,,,True,True,False
1429589,K04923.01,,CANDIDATE,CANDIDATE,38.168652,0.001068,90.6,12.6,-12.6,0.008741,0.000582,-0.000877,0.0283,0.444,-0.0282,5.086,0.954,-0.954,,57.8,6164,4.117,1.465,13.195,290.75626,37.089809,0,0,0,0,q1_q17_dr24_tce,1,-0.001068,144.4713,0.0257,-0.0257,,,True,True,True
1431122,K00994.01,,CANDIDATE,CANDIDATE,4.2989201,2.01e-05,237.6,13.7,-13.7,0.019694,0.001981,-0.005939,0.972,0.032,-0.757,2.747,0.131,-0.131,,3.81,5300,4.385,0.986,14.613,291.14249,37.061321,0,0,0,0,q1_q17_dr25_tce,1,-2.01e-05,132.86187,0.00396,-0.00396,,,True,True,False
1432789,K00992.01,Kepler-745 b,CONFIRMED,CANDIDATE,9.9314631,5.186e-05,398.6,16.4,-16.4,0.018094,0.000728,-0.000421,0.037,0.408,-0.037,5.678,0.127,-0.127,,13.607,5782,4.28,1.22,15.214,291.49942,37.05928,0,0,0,0,q1_q17_dr25_tce,2,-5.186e-05,136.49128,0.00442,-0.00442,1.3730717e+08,name_planet,True,True,False
1432789,K00992.02,,CANDIDATE,CANDIDATE,4.5783437,6.382e-05,140.7,13.6,-13.6,0.010812,0.000497,-0.000856,0.232,0.23,-0.232,3.987,0.289,-0.289,,8.653,5782,4.28,1.22,15.214,291.49942,37.05928,0,0,0,0,q1_q17_dr25_tce,2,-6.382e-05,132.2982,0.0109,-0.0109,1.3730717e+08,name_host,True,True,False
1717722,K03145.01,Kepler-1977 b,CONFIRMED,CANDIDATE,4.5370212,2.498e-05,504.4,36.5,-36.5,0.022053,0.005258,-0.002031,0.706,0.058,-0.491,1.813,0.124,-0.124,,14.16,4805,4.633,0.688,15.689,290.61798,37.289089,0,0,0,0,q1_q17_dr25_tce,2,-2.498e-05,132.1846,0.00446,-0.00446,1.2251577e+08,name_planet,True,True,False
1717722,K03145.02,,CANDIDATE,CANDIDATE,0.97731149,4.631e-06,250.7,20.5,-20.5,0.014052,0.001004,-0.00066,0.01,0.461,-0.01,1.403,0.127,-0.127,,5.43,4805,4.633,0.688,15.689,290.61798,37.289089,0,0,0,0,q1_q17_dr25_tce,2,-4.631e-06,131.70299,0.00343,-0.00343,1.2251577e+08,name_host,True,True,False
1718189,K00993.01,Kepler-262 c,CONFIRMED,CANDIDATE,21.853629,9.226e-05,355.6,16.7,-16.7,0.018296,0.003946,-0.001116,0.676,0.035,-0.511,3.439,0.108,-0.108,,37,5830,4.54,0.876,14.246,290.72867,37.252651,0,0,0,0,q1_q17_dr25_tce,3,-9.226e-05,144.32031,0.00379,-0.00379,1.2267349e+08,name_planet,True,True,False
1718189,K00993.02,Kepler-262 b,CONFIRMED,CANDIDATE,13.060794,0.0001053,236.6,14.1,-14.1,0.015111,0.005684,-0.001135,0.718,0.262,-0.49,3.215,0.195,-0.195,,22.29,5830,4.54,0.876,14.246,290.72867,37.252651,0,0,0,0,q1_q17_dr25_tce,3,-0.0001053,137.63148,0.00577,-0.00577,1.2267349e+08,name_planet,True,True,False
1718189,K00993.03,,CANDIDATE,CANDIDATE,86.723653,0.001758,241,28,-28,0.014997,0.00394,-0.00133,0.662,0.31,-0.466,4.852,0.506,-0.506,,105.1,5830,4.54,0.876,14.246,290.72867,37.252651,0,0,0,0,q1_q17_dr25_tce,3,-0.001758,195.3511,0.0168,-0.0168,1.2267349e+08,name_host,True,True,True
1718958,K04053.01,Kepler-1934 b,CONFIRMED,CANDIDATE,1.4197583,1.229e-05,60.9,8.8,-8.8,0.007542,0.003581,-0.000767,0.644,0.341,-0.44,1.429,0.239,-0.239,,5.93,5925,4.394,1.035,12.801,290.91934,37.28717,0,0,0,0,q1_q17_dr25_tce,1,-1.229e-05,132.92,0.00692,-0.00692,1.2268092e+08,name_planet,True,True,False
