key,source,period_days,toi,tic_id,kepoi_name
K00125.01,joined,38.47876629,5982.01,299087490,K00125.01
K01353.01,joined,125.86540191,7395.01,273234825,K01353.01
K00189.01,joined,30.360445359,4571.01,48451130,K00189.01
K00245.01,joined,39.79220077,5980.01,164652245,K00245.01
K02672.01,joined,88.5122014,4579.01,27769688,K02672.01
K00367.01,joined,31.578651216,4584.01,120255950,K00367.01
K00318.01,joined,38.5833679,5986.01,158657354,K00318.01
K00319.01,joined,46.15119482,7460.01,159303995,K00319.01
K00076.01,joined,77.4794704,7910.01,270619211,K00076.01
K00108.02,joined,179.609803,7907.01,121865656,K00108.02
K00620.02,joined,130.17802962,7855.01,27846348,K00620.02
TOI-1029.01,tess_only,36.22214,1029.01,374908020,
TOI-1057.01,tess_only,51.1701501,1057.01,323132914,
TOI-1104.01,tess_only,341.2791676,1104.01,451599528,
TOI-1192.01,tess_only,45.9403293,1192.01,158276040,
TOI-1209.01,tess_only,40.7199388,1209.01,30037565,
TOI-1210.01,tess_only,79.3739596,1210.01,33878688,
TOI-1212.01,tess_only,105.5850893,1212.01,389924075,
TOI-1217.01,tess_only,41.4856125,1217.01,248092710,
TOI-1220.01,tess_only,70.3607265,1220.01,319259194,
TOI-1221.01,tess_only,91.6827832,1221.01,349095149,
TOI-1229.01,tess_only,31.8132264,1229.01,140760434,
TOI-1246.04,tess_only,37.9251983,1246.04,230127302,
TOI-1260.03,tess_only,49.825166,1260.03,355867695,
TOI-1338.01,tess_only,95.174,1338.01,260128333,
TOI-1339.03,tess_only,38.3511223,1339.03,269701147,
TOI-1379.01,tess_only,1132.0244686,1379.01,252490659,
TOI-1471.02,tess_only,52.5637056,1471.02,306263608,
TOI-1471.04,tess_only,30.7200934,1471.04,306263608,
TOI-1563.01,tess_only,1098.2258586,1563.01,249945230,
TOI-1565.01,tess_only,1099.2560385,1565.01,251384275,
TOI-1635.01,tess_only,34.9270483,1635.01,230086768,
TOI-1589.01,tess_only,35.4028219,1589.01,52041724,
TOI-1642.01,tess_only,37.4590076,1642.01,229940491,
TOI-1656.01,tess_only,1112.7562924,1656.01,267694283,
TOI-1670.01,tess_only,40.7501028,1670.01,441739020,
TOI-1670.03,tess_only,123.050751,1670.03,441739020,
TOI-1692.02,tess_only,32.2079698,1692.02,288636342,
TOI-1751.01,tess_only,37.4685042,1751.01,287080092,
TOI-1752.02,tess_only,32.7135406,1752.02,287139872,
TOI-1755.01,tess_only,60.1848926,1755.01,356978132,
TOI-1764.01,tess_only,47.3860753,1764.01,1551345500,
TOI-1812.03,tess_only,48.3320223,1812.03,207425167,
TOI-1823.01,tess_only,38.8135498,1823.01,142381532,
