temperature_ratio,snr,n_components_recovered,delta_bic_discrete_minus_gradient,discrete_wins,recovered,temps_true_k,temps_fit_k
1.5,60.0,2,-1.1946349612072993,False,False,"[600.0, 400.0, 266.6666666666667]","[288.0427960926362, 545.4102007503785]"
1.5,150.0,2,-0.6261114784579433,False,False,"[600.0, 400.0, 266.6666666666667]","[303.8976257830839, 567.5792011379444]"
1.5,400.0,2,13.427689174713322,False,False,"[600.0, 400.0, 266.6666666666667]","[295.18228543177946, 554.4330761477779]"
1.5,1000.0,3,-11.826539360608225,True,True,"[600.0, 400.0, 266.6666666666667]","[282.6842635501744, 522.5873955562021, 2999.61671037218]"
2.0,60.0,2,5.225663078627775,False,False,"[600.0, 300.0, 150.0]","[227.96135251530427, 615.1811933115645]"
2.0,150.0,3,3.347955825141412,False,False,"[600.0, 300.0, 150.0]","[165.10015702135675, 338.46785216295973, 645.9888690611721]"
2.0,400.0,3,3.3653737904278955,False,False,"[600.0, 300.0, 150.0]","[145.51709814952915, 287.3821564448727, 586.2236439628281]"
2.0,1000.0,3,-105.3871988497368,True,True,"[600.0, 300.0, 150.0]","[151.35542857693218, 304.1331960246399, 604.6289128916413]"
2.5,60.0,3,1.2212139468573469,False,False,"[600.0, 240.0, 96.0]","[93.99631251995802, 237.01091876463744, 619.6852938229438]"
2.5,150.0,3,-90.74471349188728,True,True,"[600.0, 240.0, 96.0]","[92.75142889165117, 228.9671884142547, 569.4462505539763]"
2.5,400.0,3,-594.7326858037133,True,True,"[600.0, 240.0, 96.0]","[95.79847601206659, 239.25162926753143, 596.2403871791956]"
2.5,1000.0,3,-3502.478302566744,True,True,"[600.0, 240.0, 96.0]","[95.94187934379984, 239.83407024268973, 600.1138115492834]"
3.0,60.0,3,-350.7342000650232,True,True,"[600.0, 200.0, 66.66666666666667]","[68.61881626039434, 194.35032600413572, 555.6279781213751]"
3.0,150.0,3,-2045.9884308193575,True,True,"[600.0, 200.0, 66.66666666666667]","[68.85007625736509, 198.33412993417392, 581.1319884929563]"
3.0,400.0,3,-15287.75421315735,True,True,"[600.0, 200.0, 66.66666666666667]","[66.55465676487746, 199.40938247801387, 598.5428235517867]"
3.0,1000.0,3,-95635.87596889772,True,True,"[600.0, 200.0, 66.66666666666667]","[66.70053278977554, 199.71610232230358, 598.8580329211849]"
