halo,m_chi_gev,delta_keV,timing,energy_per_keV,profile,sigma_n_for_one_event_cm2,events_at_ceiling,sideband_per_window_event,sideband_factor,marginal,physical,marginal_rel_global
shm_lz,200,0.0,0.9840403136761918,5.638865946472077e-06,5.548871414744379e-06,4.2743824286960626e-48,23395192561.304317,2.4228946084265586e-05,0.9999757713474343,5.5487369730667395e-06,True,0.00012209490770141872
shm_lz,200,10.0,0.9935365357969007,5.544761596609946e-06,5.508923228515538e-06,4.8371826185435363e-48,20673190963.81558,2.3163389172931987e-05,0.9999768368790963,5.5087956246607466e-06,True,0.00012121603467666177
shm_lz,200,20.0,1.0057178184536668,5.673344032812352e-06,5.705783184017167e-06,5.743799229875445e-48,17410079286.870987,2.3084750150101522e-05,0.9999769155163007,5.7056514689582645e-06,True,0.00012554766839018168
shm_lz,200,30.0,1.019848729100276,6.058402664117718e-06,6.178654257378181e-06,7.173095362404405e-48,13940982929.645628,2.4024128879120967e-05,0.9999759761596979,6.17850582237502e-06,True,0.00013595239813622408
shm_lz,200,40.0,1.0352866622914896,6.749525625179087e-06,6.987693856542536e-06,9.412881947316477e-48,10623738888.864855,2.606482566465304e-05,0.9999739355140199,6.987511725893979e-06,True,0.0001537538368419153
shm_lz,200,50.0,1.0511522874362798,7.815956864666361e-06,8.215760936797339e-06,1.2922500055574278e-47,7738440670.918303,2.9326185215630976e-05,0.9999706742447927,8.215520003403264e-06,True,0.00018077504149206243
shm_lz,200,60.0,1.0669438306471521,9.354905206414844e-06,9.981158396273242e-06,1.8451109042770156e-47,5419728416.768737,3.3979580866945304e-05,0.9999660209964325,9.980819246456487e-06,True,0.00021961884490032596
shm_lz,200,70.0,1.082561336044046,1.149902398493797e-05,1.244839876833698e-05,2.722983527963984e-47,3672442340.287366,4.023942548384573e-05,0.999959761384111,1.2447897862000507e-05,True,0.0002739046647759274
shm_lz,200,80.0,1.0981129632476687,1.443315385976434e-05,1.5849233353955347e-05,4.1315331720685816e-47,2420408982.2164464,4.836471042501024e-05,0.9999516364591288,1.5848466828910257e-05,True,0.0003487310903503373
shm_lz,200,90.0,1.1137928750194837,1.8416648680854184e-05,2.0512332082472363e-05,6.419931602754453e-47,1557648993.5982387,5.864752925520897e-05,0.9999413541904775,2.0511129120152193e-05,True,0.0004513287310125923
shm_lz,200,100.0,1.1299367502442847,2.381382762981379e-05,2.690811900290935e-05,1.019162779084985e-46,981197528.5221959,7.138541341185729e-05,0.9999286171344661,2.6906198224268796e-05,True,0.0005920464070893818
shm_lz,200,110.0,1.1469418365979782,3.11483573147381e-05,3.572535414557579e-05,1.651379436559189e-46,605554349.20735,8.684367792958506e-05,0.9999131600928735,3.572225175913972e-05,True,0.0007860356424515182
shm_lz,200,120.0,1.165196765377383,4.116529027512052e-05,4.796566307439147e-05,2.73062495397494e-46,366216531.6933442,0.00010511283387496789,0.9998948926902854,4.796062153258704e-05,True,0.001055329832310914
shm_lz,200,130.0,1.1851679773473545,5.4924661004863466e-05,6.509494938962315e-05,4.60942227369961e-46,216946927.53705576,0.00012589669529887985,0.9998741112293575,6.508675466646946e-05,True,0.0014321748070165537
shm_lz,200,140.0,1.207509900352789,7.394690589378948e-05,8.92916209672068e-05,7.951148250583261e-46,125767998.34245884,0.00014820941119311315,0.9998518015712791,8.92783880892815e-05,True,0.0019644896859235495
shm_lz,200,150.0,1.2329880981456032,0.00010043993980840328,0.00012384125036222202,1.4038613060287482e-45,71232107.88028674,0.00016994953224510454,0.9998300649083586,0.00012382020538799274,True,0.002724550942277265
shm_lz,200,160.0,1.2622826874349258,0.0001375654468749512,0.0001736464819794999,2.5410662833639192e-45,39353558.2502074,0.00018727925726571895,0.9998127382783997,0.00017361396464033458,True,0.003820217301942754
shm_lz,200,170.0,1.29585502997152,0.0001896563427308676,0.0002457671256937973,4.7181832900071936e-45,21194598.398030344,0.00019414877553179059,0.9998058700701221,0.00024571941493892007,True,0.005406832119280058
shm_lz,200,180.0,1.3335541003703684,0.0002620860483096679,0.00034950592437322413,8.972135598216153e-45,11145618.443381762,0.00018293753782520585,0.9998170791942258,0.0003494419924679149,True,0.007689153049507283
shm_lz,200,190.0,1.3740607396600422,0.0003599507130141382,0.0004945941429653662,1.7374684809450828e-44,5755500.09089119,0.00014818151907272016,0.9998518294592663,0.0004945208586837593,True,0.010881481477765787
shm_lz,200,200.0,1.4148732935953432,0.00048418287487081034,0.0006850574188709253,3.3893180499066e-44,2950446.034498171,9.407144244786886e-05,0.9999059329821315,0.0006849929775624634,True,0.01507264712268116
shm_lz,200,210.0,1.454870009544762,0.0006247623479433633,0.0009089480031155689,6.572139152236579e-44,1521574.599740007,3.80407987658479e-05,0.9999619599247762,0.0009089134266651559,True,0.019999812835952147
shm_lz,200,220.0,1.5015405006780453,0.0007567342992658542,0.0011362671985999005,1.2616846521719736e-43,792591.0791405073,5.5768374135186525e-06,0.999994423178137,0.001136260861840145,True,0.025002386259161822
shm_lz,200,230.0,1.5802516577366699,0.0008504883045813722,0.0013439855532003631,2.4578671711005195e-43,406856.8113679822,4.5191052167851597e-08,0.9999999548089489,0.0013439854924642432,True,0.029573177725123693
shm_lz,200,240.0,1.7430407341425636,0.0008929269308705637,0.0015564080131202935,5.2135170739807475e-43,191809.09658678007,0.0,1.0,0.0015564080131202935,True,0.03424734198612465
shm_lz,200,250.0,2.09167105414322,0.000892893365213976,0.0018676392064546042,1.3714754230743394e-42,72914.17572459088,0.0,1.0,0.0018676392064546042,True,0.041095701172801494
shm_lz,200,260.0,2.769756641032954,0.0008585200311343432,0.0023778915576941656,5.492456545991669e-42,18206.789468908744,0.0,1.0,0.0023778915576941656,True,0.05232333982848531
shm_lz,200,270.0,3.939225442380974,0.0007673084142235132,0.0030226008274622626,5.650770454318179e-41,1769.6701858342608,0.0,1.0,0.0030226008274622626,True,0.06650958061961788
shm_lz,200,280.0,5.866825579114936,0.0006852472397395158,0.004020226034121696,1.0158817113753232e-38,9.843665741813364,0.0,1.0,0.004020012631004811,True,0.08845671970459182
shm_lz,200,290.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,300.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,310.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,320.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,330.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,340.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,350.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,360.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,370.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,380.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,390.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,400.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,410.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,420.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,430.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,440.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,450.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,460.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,470.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,200,480.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
