tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,220.0,200.0,0.0,85.01063223532262,86.31396557641129,0.9849000873452527,2.3314098599588694e-06,2023-12-02,0.01576885344754636,1.0
sharp,500.0,220.0,200.0,20.0,61.59369808374386,60.87605832451116,1.0117885385319658,2.3136150876610914e-06,2023-05-31,0.01292275690264504,1.0
sharp,500.0,220.0,200.0,40.0,35.47509383441166,33.84663643974094,1.0481128279192513,2.803802858948944e-06,2023-05-31,0.05106549836157298,1.0
sharp,500.0,220.0,200.0,60.0,16.60334327537595,15.284461297472163,1.0862890717726448,4.045852206331178e-06,2023-05-31,0.09043103374974655,1.0
sharp,500.0,220.0,200.0,80.0,6.6730881974899425,5.933486969380125,1.124648664760965,6.5464862049116246e-06,2023-05-31,0.1292760225382107,1.0
sharp,500.0,220.0,200.0,100.0,2.391857195513006,2.0507733723232735,1.1663196079064195,1.1352030267888335e-05,2023-05-31,0.17077915835132593,1.0
sharp,500.0,220.0,200.0,120.0,0.7697679295755434,0.6323626911707662,1.2172886546332817,2.0699442623800516e-05,2023-05-31,0.22057845826422154,1.0
sharp,500.0,220.0,200.0,140.0,0.2190886190023435,0.1701076730885498,1.2879408378497812,3.944624906696022e-05,2023-05-31,0.2877272198554158,1.0
sharp,500.0,220.0,200.0,160.0,0.05323859412538945,0.03814629281338547,1.3956426745276835,7.814388544034587e-05,2023-05-31,0.38494381669200334,1.0
sharp,500.0,220.0,200.0,180.0,0.010757438078076477,0.00690845973157778,1.5571398685159092,0.00015110902241711357,2023-05-31,0.516975669761026,1.0
sharp,500.0,220.0,200.0,200.0,0.0019116030886065097,0.0010644793955739377,1.795810324328379,0.00020866906434080927,2023-05-31,0.6883538073390755,1.0
sharp,500.0,220.0,200.0,220.0,0.00023865472358560976,8.791073638097542e-05,2.7147392162813975,7.759918943129376e-05,2023-05-31,0.9946982468509966,1.0
sharp,500.0,220.0,200.0,240.0,6.610513140920631e-08,1.0705163719280993e-08,6.175069633932346,1.2992489641076102e-07,2023-05-31,1.0,0.2328767123287671
sharp,500.0,220.0,200.0,260.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,280.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,300.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,320.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,340.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,360.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,380.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,200.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,0.0,18.689404438501096,19.13346335242525,0.9767915036737003,8.195080300965259e-06,2023-12-02,0.02446408115263701,1.0
sharp,500.0,220.0,1000.0,20.0,14.724052987531177,14.748561550378575,0.998338240460693,8.526396060120245e-06,2023-01-06,0.0013775323647430282,1.0
sharp,500.0,220.0,1000.0,40.0,9.468533172237805,9.19922348718443,1.0292752627902295,1.0636252912567741e-05,2023-05-31,0.031348965376636465,1.0
