# Energy [keVnr]	Efficiency
2.500e-01	0.000e+00
7.500e-01	0.000e+00
1.250e+00	1.030e-04
1.750e+00	3.280e-03
2.250e+00	2.205e-02
2.750e+00	6.776e-02
3.250e+00	1.344e-01
3.750e+00	2.196e-01
4.250e+00	2.998e-01
4.750e+00	3.886e-01
5.250e+00	4.679e-01
5.750e+00	5.382e-01
6.250e+00	5.989e-01
6.750e+00	6.508e-01
7.250e+00	6.947e-01
7.750e+00	7.278e-01
8.250e+00	7.591e-01
8.750e+00	7.790e-01
9.250e+00	7.971e-01
9.750e+00	8.113e-01
1.025e+01	8.225e-01
1.075e+01	8.325e-01
1.125e+01	8.406e-01
1.175e+01	8.467e-01
1.225e+01	8.520e-01
1.275e+01	8.568e-01
1.325e+01	8.607e-01
1.375e+01	8.642e-01
1.425e+01	8.675e-01
1.475e+01	8.703e-01
1.525e+01	8.730e-01
1.575e+01	8.753e-01
1.625e+01	8.776e-01
1.675e+01	8.799e-01
1.725e+01	8.820e-01
1.775e+01	8.841e-01
1.825e+01	8.863e-01
1.875e+01	8.883e-01
1.925e+01	8.903e-01
1.975e+01	8.922e-01
2.025e+01	8.942e-01
2.075e+01	8.960e-01
2.125e+01	8.977e-01
2.175e+01	8.995e-01
2.225e+01	9.012e-01
2.275e+01	9.026e-01
2.325e+01	9.041e-01
2.375e+01	9.054e-01
2.425e+01	9.066e-01
2.475e+01	9.077e-01
2.525e+01	9.090e-01
2.575e+01	9.100e-01
2.625e+01	9.110e-01
2.675e+01	9.120e-01
2.725e+01	9.129e-01
2.775e+01	9.136e-01
2.825e+01	9.144e-01
2.875e+01	9.151e-01
2.925e+01	9.158e-01
2.975e+01	9.165e-01
3.025e+01	9.171e-01
3.075e+01	9.177e-01
3.125e+01	9.182e-01
3.175e+01	9.187e-01
3.225e+01	9.192e-01
3.275e+01	9.197e-01
3.325e+01	9.202e-01
3.375e+01	9.207e-01
3.425e+01	9.211e-01
3.475e+01	9.216e-01
3.525e+01	9.220e-01
3.575e+01	9.223e-01
3.625e+01	9.228e-01
3.675e+01	9.230e-01
3.725e+01	9.235e-01
3.775e+01	9.237e-01
3.825e+01	9.238e-01
3.875e+01	9.239e-01
3.925e+01	9.238e-01
3.975e+01	9.246e-01
4.025e+01	9.240e-01
4.075e+01	9.235e-01
4.125e+01	9.228e-01
4.175e+01	9.216e-01
4.225e+01	9.209e-01
4.275e+01	9.190e-01
4.325e+01	9.154e-01
4.375e+01	9.131e-01
4.425e+01	9.093e-01
4.475e+01	9.018e-01
4.525e+01	8.935e-01
4.575e+01	8.882e-01
4.625e+01	8.785e-01
4.675e+01	8.633e-01
4.725e+01	8.491e-01
4.775e+01	8.355e-01
4.825e+01	8.165e-01
4.875e+01	7.982e-01
4.925e+01	7.773e-01
4.975e+01	7.544e-01
5.025e+01	7.269e-01
5.075e+01	7.000e-01
5.125e+01	6.645e-01
5.175e+01	6.326e-01
5.225e+01	6.030e-01
5.275e+01	5.680e-01
5.325e+01	5.353e-01
5.375e+01	5.016e-01
5.425e+01	4.604e-01
5.475e+01	4.224e-01
5.525e+01	3.920e-01
5.575e+01	3.594e-01
5.625e+01	3.259e-01
5.675e+01	2.926e-01
5.725e+01	2.647e-01
5.775e+01	2.317e-01
5.825e+01	2.026e-01
5.875e+01	1.811e-01
5.925e+01	1.568e-01
5.975e+01	1.369e-01
6.025e+01	1.188e-01
6.075e+01	1.037e-01
6.125e+01	8.949e-02
6.175e+01	7.720e-02
6.225e+01	6.608e-02
6.275e+01	5.329e-02
6.325e+01	4.458e-02
6.375e+01	3.732e-02
6.425e+01	2.926e-02
6.475e+01	2.484e-02
6.525e+01	2.027e-02
6.575e+01	1.657e-02
6.625e+01	1.375e-02
6.675e+01	1.040e-02
6.725e+01	8.261e-03
6.775e+01	7.055e-03
6.825e+01	5.021e-03
6.875e+01	4.741e-03
6.925e+01	3.463e-03
6.975e+01	2.843e-03
7.025e+01	1.850e-03
7.075e+01	1.897e-03
7.125e+01	1.220e-03
7.175e+01	1.120e-03
7.225e+01	8.959e-04
7.275e+01	5.752e-04
7.325e+01	2.862e-04
7.375e+01	3.157e-04
7.425e+01	2.859e-04
7.475e+01	8.609e-05
7.525e+01	2.014e-04
7.575e+01	5.708e-05
7.625e+01	0.000e+00
7.675e+01	8.642e-05
7.725e+01	2.868e-05
7.775e+01	0.000e+00
7.825e+01	0.000e+00
7.875e+01	0.000e+00
7.925e+01	0.000e+00
7.975e+01	0.000e+00
8.025e+01	0.000e+00
8.075e+01	0.000e+00
8.125e+01	0.000e+00
8.175e+01	0.000e+00
8.225e+01	0.000e+00
8.275e+01	2.885e-05
8.325e+01	0.000e+00
8.375e+01	0.000e+00
8.425e+01	0.000e+00
8.475e+01	0.000e+00
8.525e+01	0.000e+00
8.575e+01	0.000e+00
8.625e+01	0.000e+00
8.675e+01	0.000e+00
8.725e+01	0.000e+00
8.775e+01	0.000e+00
8.825e+01	0.000e+00
8.875e+01	0.000e+00
8.925e+01	0.000e+00
8.975e+01	0.000e+00
9.025e+01	0.000e+00
9.075e+01	0.000e+00
9.125e+01	0.000e+00
9.175e+01	0.000e+00
9.225e+01	0.000e+00
9.275e+01	0.000e+00
9.325e+01	0.000e+00
9.375e+01	0.000e+00
9.425e+01	0.000e+00
9.475e+01	0.000e+00
9.525e+01	0.000e+00
9.575e+01	0.000e+00
9.625e+01	0.000e+00
9.675e+01	0.000e+00
9.725e+01	0.000e+00
