n_events_raw,n_declustered,n_events,n,n_freq,span_days,min_period_used,max_period_used,h_max,f_best,period_grid,period,Q,jitter,f_in_window,rbar,mean_phase,t0,gap_integer_frac,n_gaps_used,jitter_core,n_core,gap_integer_frac_core,n_gaps_core,cycles_span,cycles_hit,cycle_occupancy,p_screen_upper,status,null_computed,p_window,p_window_source,p_shuffle,energy_phase_rho,energy_phase_p,n_energy,grid_days,grid_source,jitter_floor,phase_spacing,comb_coarser_than_window,star_key,star_id,catalogue,mission,n_windows,observed_days,n_removed_cross_star,n_sectors,prot_catalogue,null_budget_mode,wn_n_trials,wn_n_exceed,wn_p_empirical,wn_at_floor,wn_stopped_early,wn_truncated_by_budget,wn_p_gumbel,wn_gumbel_mu,wn_gumbel_beta,wn_h_null_median,wn_h_null_p99,wn_h_null_max,wn_null_Q_median,wn_null_jitter_median,wn_elapsed_s,wn_p,sn_n_trials,sn_n_exceed,sn_p_empirical,sn_at_floor,sn_stopped_early,sn_truncated_by_budget,sn_p_gumbel,sn_gumbel_mu,sn_gumbel_beta,sn_h_null_median,sn_h_null_p99,sn_h_null_max,sn_null_Q_median,sn_null_jitter_median,sn_elapsed_s,sn_p,pn_n_trials,pn_n_exceed,pn_p_empirical,pn_at_floor,pn_stopped_early,pn_truncated_by_budget,pn_p_gumbel,pn_gumbel_mu,pn_gumbel_beta,pn_h_null_median,pn_h_null_p99,pn_h_null_max,pn_null_Q_median,pn_null_jitter_median,pn_elapsed_s,pn_p,p_pool,pool_null_computed,tier,why,period_catalogue,p_window_catalogue,Q_catalogue,jitter_catalogue,fetch_status,fetch_route,lc_n_segments,lc_n_segments_fetched,lc_cadence_days,lc_n_points,lc_segments,n_flares,lc_observed_days,lc_n_windows,lc_span_days,lc_t_first,lc_t_last,n_catalogue_flares_in_lc,catalogue_recovery_frac,cat_n_epochs,cat_n_control,cat_epoch_sigma_median,cat_epoch_sigma_p90,cat_control_sigma_median,cat_epoch_frac_above_3,cat_control_frac_above_3,cat_p_empirical,cat_best_offset_days,cat_best_offset_sigma_median,cat_best_offset_n_epochs,catalogue_epochs_are_brightenings,rd_n_events,rd_n_freq,rd_h_max,rd_period,rd_Q,rd_jitter,rd_f_in_window,rd_mean_phase,rd_t0,rd_gap_integer_frac,rd_n_gaps_used,rd_jitter_core,rd_n_core,rd_gap_integer_frac_core,rd_n_gaps_core,rd_cycle_occupancy,rd_null_computed,rd_p_window,rd_p_window_source,rd_p_shuffle,period_agrees_with_catalogue,period_harmonic_of_catalogue,rd_strict_quality_why,phot_period,phot_power,phot_amplitude_frac,period_is_photometric,period_photometric_harmonic,rd_duration_days_median,rd_duty_cycle,rd_rise_frac_median,clock_in_lightcurve,confirms_catalogue_clock,pop_n_near,pop_expected,pop_p,fdr_significant,fdr_watch,first_veto,flags
8.0,0.0,8,8.0,26771.0,1071.4300000000003,0.2,357.10761900000006,31.659321454900272,2.5918821575184583,0.3858227887078098,0.3858200100260069,0.799873659893344,0.0375715322320478,0.875,0.9724984287541428,0.2622998638885386,0.1012005361152962,0.4,5.0,0.0375715322320478,8.0,0.4,5.0,2702.0,8.0,0.002960769800148,1.0,scanned,False,1.0,bonferroni_screen,,-0.1428571428571428,0.735764859879812,8.0,0.01,measured,0.0074821193067553,0.0259188215751846,False,kepler:1028018,1028018,kepler_okamoto2021,kepler,3.0,1041.93,0.0,0.0,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,23.12,0.9214674537556148,False,False,not_significant,
55.0,0.0,55,55.0,35333.0,1414.0,0.2,400.0,26.557536702463864,0.5309299858557284,1.8834875155680768,226.01850186816924,0.0902300750219844,0.2467171095811052,0.2363636363636363,0.2712256194917619,0.8357463926114964,-37.12435426839203,0.0,52.0,0.0655200642565761,27.0,0.0,24.0,7.0,7.0,1.0,1.0,scanned,False,1.0,bonferroni_screen,,0.1798332813399654,0.1889181017289755,55.0,0.01,measured,1.2772190427277072e-05,4.4244165487977466e-05,False,kepler:11187057,11187057,kepler_okamoto2021,kepler,3.0,1384.5,0.0,0.0,1.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.62,0.7714267713105057,False,False,not_significant,
9.0,0.0,9,9.0,16952.0,678.6600000000035,0.2,226.19737800000115,22.9200168805379,4.351251436698771,0.2298204981533893,0.229818941641921,0.3521987900511508,0.1290330038041869,0.1111111111111111,0.7043209075869944,0.0058158698739246,0.0013365970591524,0.2857142857142857,7.0,0.0171569700564978,6.0,1.0,4.0,2901.0,9.0,0.0031023784901758,1.0,scanned,False,1.0,bonferroni_screen,,0.1422606594884729,0.7150322450059001,9.0,0.01,measured,0.0125609809414489,0.0435125143669878,False,kepler:12010836,12010836,kepler_okamoto2021,kepler,2.0,666.73,0.0,0.0,2.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,18.080000000000002,0.00026810363170948204,False,False,not_significant,
22.0,0.0,22,22.0,29888.0,1196.1199999999951,0.2,398.6667959999984,30.08358359079302,0.9482161489064704,1.054593267140164,1.0546118637119282,0.4167543474191751,0.137123824715787,0.3636363636363636,0.7240987000253928,0.9246687434026564,-0.0794452369158859,0.1578947368421052,19.0,0.0677598349179192,18.0,0.2,15.0,1107.0,22.0,0.019873532068654,1.0,scanned,False,1.0,bonferroni_screen,,0.2683616247504941,0.227217144807017,22.0,0.01,measured,0.0027372642441055,0.0094821614890647,False,kepler:3834913,3834913,kepler_okamoto2021,kepler,3.0,1166.62,0.0,0.0,1.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.64,0.96315294906872,False,False,not_significant,
11.0,0.0,11,11.0,35964.0,1439.2400000000052,0.2,400.0,27.38625972359366,0.511115658264082,1.956557527813089,1.956504332886868,0.5201503700565585,0.1043424465539736,0.5454545454545454,0.8312703674068982,0.9893186362144738,-0.0208981345275228,0.5,8.0,0.0491279789715887,10.0,0.5714285714285714,7.0,721.0,10.0,0.0138696255201109,1.0,scanned,False,1.0,bonferroni_screen,,0.0545454545454545,0.8734465775233149,11.0,0.01,measured,0.001475463814429,0.0051111565826408,False,kepler:5374789,5374789,kepler_okamoto2021,kepler,3.0,1409.32,0.0,0.0,3.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.36,0.6102834946096258,False,False,not_significant,
20.0,0.0,20,20.0,29670.0,1187.3700000000026,0.2,395.75042100000087,25.575670585751418,0.7630143089601397,1.3105624799028013,1.3105914112709525,0.2830955583627674,0.1757226388092318,0.3,0.5878960168511411,0.3980977133550816,0.5217434439697756,0.3888888888888889,18.0,0.0571891281597364,15.0,0.5384615384615384,13.0,893.0,20.0,0.0223964165733482,1.0,scanned,False,1.0,bonferroni_screen,,-0.2410550413980215,0.3059222885783969,20.0,0.01,measured,0.0022026325833683,0.0076301430896014,False,kepler:7353813,7353813,kepler_okamoto2021,kepler,2.0,1170.47,0.0,0.0,1.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.040000000000001,0.18810442118185533,False,False,not_significant,
26.0,0.0,26,26.0,33699.0,1348.6299999999974,0.2,400.0,26.12372133613637,2.45153346358898,0.407912889396854,0.4079079542875284,0.1565843745752658,0.2255761014696585,0.2307692307692307,0.4122851166170014,0.4963832361617298,0.2024786704053543,0.1739130434782608,23.0,0.046464190631267,15.0,0.3333333333333333,12.0,3234.0,26.0,0.0080395794681508,1.0,scanned,False,1.0,bonferroni_screen,,-0.2304402667034439,0.2574007137122983,26.0,0.01,measured,0.0070769675256523,0.0245153346358898,False,kepler:8848528,8848528,kepler_okamoto2021,kepler,3.0,1319.13,0.0,0.0,1.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,21.7,0.4182222571300104,False,False,not_significant,
16.0,0.0,16,16.0,30077.0,1203.6800000000003,0.2,400.0,22.647376595420788,3.113841884886348,0.3211518264149406,0.3211466853386806,0.3141441455618696,0.1561120261857216,0.5,0.6338216463214339,0.9218868318919934,-0.0250857850191894,0.2307692307692307,13.0,0.044034844901479,11.0,0.625,8.0,3657.0,16.0,0.0043751709051134,1.0,scanned,False,1.0,bonferroni_screen,,-0.2001472212197884,0.457350016704226,16.0,0.01,measured,0.0089888872522653,0.0311384188488635,False,kepler:9935067,9935067,kepler_okamoto2021,kepler,3.0,1174.18,0.0,0.0,15.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,23.68,0.08470230316606664,False,False,not_significant,
35.0,0.0,35,35.0,34389.0,1376.2200000000012,0.2,400.0,27.46787611696677,2.5596202278705413,0.3906785209748412,0.3906829572260191,0.1210265870855795,0.2171781306444796,0.0857142857142857,0.3431401211602847,0.578525681158753,-0.1646628332797204,0.125,32.0,0.0636222579425156,16.0,0.3076923076923077,13.0,3448.0,35.0,0.0101508120649651,1.0,scanned,False,1.0,bonferroni_screen,,0.0357443356024073,0.8384696087884557,35.0,0.01,measured,0.0073889871379213,0.0255962022787054,False,kepler:10489814,10489814,kepler_okamoto2021,kepler,3.0,1346.72,0.0,0.0,3.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,22.78,0.8135170134783616,False,False,not_significant,
29.0,0.0,29,29.0,29322.0,1173.4800000000032,0.2,391.120884000001,25.812614611376844,4.299195810776484,0.23260256297567,0.2326016408681298,0.2344573907990353,0.1793220188092573,0.1379310344827586,0.5103906150654578,0.4078513188509438,0.0948668859949603,0.1538461538461538,26.0,0.0712320041394353,18.0,0.4666666666666667,15.0,4919.0,29.0,0.005895507216914,1.0,scanned,False,1.0,bonferroni_screen,,0.1466963238022514,0.4476391180829325,29.0,0.01,measured,0.0124107092932536,0.0429919581077649,False,kepler:11200366,11200366,kepler_okamoto2021,kepler,3.0,1143.98,0.0,0.0,3.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,18.38,0.0024752637839110525,False,False,not_significant,
