fold,period_days,phase,flux_frac,err,n
fold_at_period,0.42328185409991,0.005,0.0003742750101547454,2.1698890678734225e-05,639
fold_at_period,0.42328185409991,0.015,0.00032585848599975265,1.76207227857298e-05,666
fold_at_period,0.42328185409991,0.025,0.0003330362085094407,1.9563462997270035e-05,637
fold_at_period,0.42328185409991,0.035,0.0002739703630350032,1.8035328730892184e-05,659
fold_at_period,0.42328185409991,0.045,0.0002549175384567448,1.7524921692522563e-05,644
fold_at_period,0.42328185409991,0.055,0.0002153461602341089,1.7091972784415618e-05,639
fold_at_period,0.42328185409991,0.065,0.00021774004842967098,1.6663288206242078e-05,660
fold_at_period,0.42328185409991,0.075,0.00017006941326314085,1.7325305835598953e-05,638
fold_at_period,0.42328185409991,0.085,0.00015247594734735248,1.598772872990228e-05,656
fold_at_period,0.42328185409991,0.095,0.00012962047687925526,1.768101989370998e-05,639
fold_at_period,0.42328185409991,0.105,0.00011164919821915475,1.707543043364498e-05,645
fold_at_period,0.42328185409991,0.115,7.481458208979941e-05,1.634970410254069e-05,638
fold_at_period,0.42328185409991,0.125,5.027600184337455e-05,1.4911108166359487e-05,662
fold_at_period,0.42328185409991,0.135,3.531375762677591e-05,1.4909542280981849e-05,647
fold_at_period,0.42328185409991,0.145,3.15613963512984e-05,1.5431405593824777e-05,651
fold_at_period,0.42328185409991,0.155,8.865556293091714e-06,1.6590311726249935e-05,648
fold_at_period,0.42328185409991,0.165,0.0,1.5849834968037257e-05,647
fold_at_period,0.42328185409991,0.175,0.0,1.5738254681308717e-05,657
fold_at_period,0.42328185409991,0.185,0.0,1.546777119228445e-05,634
fold_at_period,0.42328185409991,0.195,-1.1681619942582877e-05,1.5204099152518488e-05,652
fold_at_period,0.42328185409991,0.205,-5.6181983051351025e-06,1.5299667507945243e-05,638
fold_at_period,0.42328185409991,0.215,-3.929680575109895e-05,1.5733315238408883e-05,663
fold_at_period,0.42328185409991,0.225,-6.053793103777405e-05,1.4734541544129125e-05,638
fold_at_period,0.42328185409991,0.235,-5.912829519499896e-05,1.4328216823236454e-05,656
fold_at_period,0.42328185409991,0.245,-0.00010555008305712654,1.4868237407797803e-05,644
fold_at_period,0.42328185409991,0.255,-5.9386596323818264e-05,1.4099579649383363e-05,652
fold_at_period,0.42328185409991,0.265,-0.00012103198886781463,1.457002714873283e-05,657
fold_at_period,0.42328185409991,0.275,-8.040040286783068e-05,1.4580571982920034e-05,642
fold_at_period,0.42328185409991,0.285,-0.0001453706573755209,1.6223207859287403e-05,645
fold_at_period,0.42328185409991,0.295,-0.000134927296439602,1.4794088612052291e-05,637
fold_at_period,0.42328185409991,0.305,-0.00016175436737769777,1.4758384168956151e-05,668
fold_at_period,0.42328185409991,0.315,-0.00012756127697133302,1.4628467071750352e-05,633
fold_at_period,0.42328185409991,0.325,-0.00017498248204661504,1.4271932847544581e-05,659
fold_at_period,0.42328185409991,0.335,-0.000179983004735651,1.5023214227179263e-05,641
