fold,period_days,phase,flux_frac,err,n
fold_at_period,3.0524652587453214,0.005,0.0002494052895487542,0.00015179002392906775,46
fold_at_period,3.0524652587453214,0.015,0.00019098657816607467,0.00011687564368017246,44
fold_at_period,3.0524652587453214,0.025,0.00012447507160584514,8.631550690072551e-05,47
fold_at_period,3.0524652587453214,0.035,2.4060625357535947e-05,0.00013273577373009172,44
fold_at_period,3.0524652587453214,0.045,4.491435263553889e-05,0.00012944607472937568,47
fold_at_period,3.0524652587453214,0.055,2.7841703969411213e-05,0.0001160942330197007,43
fold_at_period,3.0524652587453214,0.065,6.852188585970698e-05,0.0001354999952792607,46
fold_at_period,3.0524652587453214,0.075,-0.0005696080002930426,0.00011192521890529422,45
fold_at_period,3.0524652587453214,0.085,-1.4288468420498024e-05,0.00015166251333560343,44
fold_at_period,3.0524652587453214,0.095,0.0,9.059814155546851e-05,47
fold_at_period,3.0524652587453214,0.105,-0.00022281726427098025,0.0001113873617256417,45
fold_at_period,3.0524652587453214,0.115,-0.00023279752142524313,0.00010643284841889516,48
fold_at_period,3.0524652587453214,0.125,4.282847888070762e-05,0.00011664435518256292,49
fold_at_period,3.0524652587453214,0.135,0.00014212603287910852,0.0001308266576379904,51
fold_at_period,3.0524652587453214,0.145,0.00023867394993581925,0.00016590542081138974,49
fold_at_period,3.0524652587453214,0.155,0.00015874803505422364,0.00014222615108414093,50
fold_at_period,3.0524652587453214,0.165,0.00013386933377579346,0.00011161271911401184,46
fold_at_period,3.0524652587453214,0.175,0.00020129181915007344,0.00013416286228296243,46
fold_at_period,3.0524652587453214,0.185,6.160007991362626e-05,8.381150128272114e-05,45
fold_at_period,3.0524652587453214,0.195,0.0002114850817465097,9.1311316937273e-05,43
fold_at_period,3.0524652587453214,0.205,0.0004830892576135337,0.00017189087137104895,43
fold_at_period,3.0524652587453214,0.215,0.00019296037947991174,0.0001373458140188844,43
fold_at_period,3.0524652587453214,0.225,5.915296993741492e-05,0.00015472433795891806,43
fold_at_period,3.0524652587453214,0.235,0.0004997083414386427,0.00013421751929313565,44
fold_at_period,3.0524652587453214,0.245,9.721411440988259e-05,0.00013664430799920223,42
fold_at_period,3.0524652587453214,0.255,4.718288891758515e-05,0.0001309585961150791,44
fold_at_period,3.0524652587453214,0.265,2.1134030371128265e-05,0.0001679038159494687,44
fold_at_period,3.0524652587453214,0.275,-0.018827953342770987,0.0006386815234949148,45
fold_at_period,3.0524652587453214,0.285,-0.021953442563621306,0.00014355714138664143,43
fold_at_period,3.0524652587453214,0.295,-0.020537422490347734,0.00024856838881532413,45
fold_at_period,3.0524652587453214,0.305,-0.0012750555563592614,0.0003527665285437132,44
fold_at_period,3.0524652587453214,0.315,0.0003542336131209245,0.00011911272659107663,44
fold_at_period,3.0524652587453214,0.325,4.325911984182085e-07,0.00011510984314804537,45
fold_at_period,3.0524652587453214,0.335,0.00035649962438144556,9.195219059490718e-05,42
fold_at_period,3.0524652587453214,0.345,0.0002866199564652838,0.00011437482722418684,45
fold_at_period,3.0524652587453214,0.355,0.00041914831993516977,0.00011891451575322913,42
fold_at_period,3.0524652587453214,0.365,0.0003961077181613426,0.0001105955010693094,44
fold_at_period,3.0524652587453214,0.375,0.00031474484160365357,0.0001370428641818836,43
fold_at_period,3.0524652587453214,0.385,-2.383793232030307e-06,0.0001467996924544395,44
fold_at_period,3.0524652587453214,0.395,0.0002695984267244711,0.00011529558551613694,45
fold_at_period,3.0524652587453214,0.405,0.0003143287671462103,0.00010175321495555493,44
fold_at_period,3.0524652587453214,0.415,0.00012620758340120553,0.00011675556992570966,45
fold_at_period,3.0524652587453214,0.425,0.00034337097574876907,0.00011574210116815238,46
fold_at_period,3.0524652587453214,0.435,0.00014803576889588221,9.647680451605062e-05,45
fold_at_period,3.0524652587453214,0.445,8.54442949174139e-05,0.0001125651571661767,46
fold_at_period,3.0524652587453214,0.455,6.673597993356317e-05,9.846773433239143e-05,46
fold_at_period,3.0524652587453214,0.465,0.0002076538896627067,0.00012015114448022235,45
fold_at_period,3.0524652587453214,0.475,2.5393472771084724e-05,0.00013534855927585122,46
fold_at_period,3.0524652587453214,0.485,5.565565988874255e-05,0.00012242844244797637,44
fold_at_period,3.0524652587453214,0.495,-0.00013956496443728872,0.00013229796549910083,46
fold_at_period,3.0524652587453214,0.505,7.222096846892789e-05,0.00011506084091678698,43
fold_at_period,3.0524652587453214,0.515,-2.56559904803777e-05,0.00010476618163070826,44
fold_at_period,3.0524652587453214,0.525,-0.0001237585315029821,9.906874116638274e-05,46
fold_at_period,3.0524652587453214,0.535,4.918026093636563e-05,0.0001120193230381764,45
fold_at_period,3.0524652587453214,0.545,0.00010512077842650402,0.00010542007813154221,46
fold_at_period,3.0524652587453214,0.555,-7.419629883920198e-05,0.00010451668326200348,45
fold_at_period,3.0524652587453214,0.565,-0.00021982420342658848,9.555611351984315e-05,45
fold_at_period,3.0524652587453214,0.575,3.904497892026626e-05,0.00010723748695776232,47
fold_at_period,3.0524652587453214,0.585,-0.00015067373194888045,0.00013067545037745096,43
fold_at_period,3.0524652587453214,0.595,-3.812760385246694e-06,0.00010592165010001275,46
fold_at_period,3.0524652587453214,0.605,-0.00018360929950600458,0.00010769133826679136,43
fold_at_period,3.0524652587453214,0.615,-2.1503551231816243e-05,0.00012257765437107844,46
fold_at_period,3.0524652587453214,0.625,0.0002602542041381106,0.00015127065352608327,44
fold_at_period,3.0524652587453214,0.635,-0.00033320641748857405,0.00014219805596721747,45
fold_at_period,3.0524652587453214,0.645,-0.00016109268374536745,0.00012933565543592538,46
fold_at_period,3.0524652587453214,0.655,3.545262883808409e-05,8.090382041745203e-05,44
fold_at_period,3.0524652587453214,0.665,-9.607804360600714e-06,0.00010401825270750207,46
fold_at_period,3.0524652587453214,0.675,1.97776892414403e-05,0.00012200386274759493,45
fold_at_period,3.0524652587453214,0.685,-0.00018882997891600528,0.00010711899897759548,46
fold_at_period,3.0524652587453214,0.695,-0.00024124357309251998,0.000122644085347149,45
fold_at_period,3.0524652587453214,0.705,7.212034529224809e-05,0.00010934610530515287,47
fold_at_period,3.0524652587453214,0.715,-0.00015071537188449113,0.00015053264423709424,44
fold_at_period,3.0524652587453214,0.725,-0.00013736261196772848,9.559616900468129e-05,45
fold_at_period,3.0524652587453214,0.735,0.00017641006181334795,0.00010304631781872569,39
fold_at_period,3.0524652587453214,0.745,-3.347072297626985e-05,9.427340507784469e-05,40
fold_at_period,3.0524652587453214,0.755,-0.00011763166651634904,0.0001342786100636609,39
fold_at_period,3.0524652587453214,0.765,5.586848015926016e-05,0.0001351871250908244,39
fold_at_period,3.0524652587453214,0.775,-7.111051835068105e-05,8.920641195364733e-05,40
fold_at_period,3.0524652587453214,0.785,5.1784673500088196e-05,0.0001557608824837396,38
fold_at_period,3.0524652587453214,0.795,-0.00026618796234717523,0.00013227703718819107,40
fold_at_period,3.0524652587453214,0.805,0.0,0.00013068668413672378,39
fold_at_period,3.0524652587453214,0.815,2.6799448985315166e-05,0.00013183496410068752,40
fold_at_period,3.0524652587453214,0.825,-0.00018009360924020612,0.00012447193209436322,39
fold_at_period,3.0524652587453214,0.835,-0.00023815965865781052,0.00011889765651227346,40
fold_at_period,3.0524652587453214,0.845,-0.00010750927801111976,0.00010940737057987047,40
fold_at_period,3.0524652587453214,0.855,-0.0001300712307202856,0.00013413480594919052,42
fold_at_period,3.0524652587453214,0.865,-2.725082276067159e-05,0.00013547546994416133,43
fold_at_period,3.0524652587453214,0.875,0.00014034380804373026,0.00014318433978800893,46
fold_at_period,3.0524652587453214,0.885,9.867326626833428e-06,0.00013772764849563727,44
fold_at_period,3.0524652587453214,0.895,-0.0001256976736737636,0.00011894439602837508,46
fold_at_period,3.0524652587453214,0.905,7.001628312064412e-05,9.752178822080478e-05,45
fold_at_period,3.0524652587453214,0.915,2.919668823309074e-05,8.965391396592091e-05,45
fold_at_period,3.0524652587453214,0.925,0.0,0.00011444710060843917,45
fold_at_period,3.0524652587453214,0.935,-0.000230088452173427,0.00016326369391313198,45
fold_at_period,3.0524652587453214,0.945,4.289791119438391e-06,0.00011176609771585795,45
fold_at_period,3.0524652587453214,0.955,0.0001376063323057508,0.00018171822838479524,45
fold_at_period,3.0524652587453214,0.965,0.0003083676109718603,0.0001272360647270376,45
fold_at_period,3.0524652587453214,0.975,-3.9453640346409635e-06,0.00013575059224752678,46
fold_at_period,3.0524652587453214,0.985,0.0002627526404734848,0.00010879636477075822,45
fold_at_period,3.0524652587453214,0.995,-1.95162025729001e-05,0.00010039145396992996,45
fold_at_period_flares_masked,3.0524652587453214,0.005,0.0002494052895487542,0.00015179002392906775,46
fold_at_period_flares_masked,3.0524652587453214,0.015,0.00019098657816607467,0.00011687564368017246,44
fold_at_period_flares_masked,3.0524652587453214,0.025,0.00012447507160584514,8.631550690072551e-05,47
fold_at_period_flares_masked,3.0524652587453214,0.035,2.4060625357535947e-05,0.00013273577373009172,44
fold_at_period_flares_masked,3.0524652587453214,0.045,4.491435263553889e-05,0.00012944607472937568,47
fold_at_period_flares_masked,3.0524652587453214,0.055,2.7841703969411213e-05,0.0001160942330197007,43
fold_at_period_flares_masked,3.0524652587453214,0.065,6.852188585970698e-05,0.0001354999952792607,46
fold_at_period_flares_masked,3.0524652587453214,0.075,-0.0005696080002930426,0.00011192521890529422,45
fold_at_period_flares_masked,3.0524652587453214,0.085,-1.4288468420498024e-05,0.00015166251333560343,44
fold_at_period_flares_masked,3.0524652587453214,0.095,0.0,9.059814155546851e-05,47
fold_at_period_flares_masked,3.0524652587453214,0.105,-0.00022281726427098025,0.0001113873617256417,45
fold_at_period_flares_masked,3.0524652587453214,0.115,-0.00023279752142524313,0.00010643284841889516,48
fold_at_period_flares_masked,3.0524652587453214,0.125,4.282847888070762e-05,0.00011664435518256292,49
fold_at_period_flares_masked,3.0524652587453214,0.135,0.00014212603287910852,0.0001308266576379904,51
fold_at_period_flares_masked,3.0524652587453214,0.145,0.00023867394993581925,0.00016590542081138974,49
fold_at_period_flares_masked,3.0524652587453214,0.155,0.00015874803505422364,0.00014222615108414093,50
fold_at_period_flares_masked,3.0524652587453214,0.165,0.00013386933377579346,0.00011161271911401184,46
fold_at_period_flares_masked,3.0524652587453214,0.175,0.00020129181915007344,0.00013416286228296243,46
fold_at_period_flares_masked,3.0524652587453214,0.185,6.160007991362626e-05,8.381150128272114e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.195,0.0002114850817465097,9.1311316937273e-05,43
fold_at_period_flares_masked,3.0524652587453214,0.205,0.0004830892576135337,0.00017189087137104895,43
fold_at_period_flares_masked,3.0524652587453214,0.215,0.00019296037947991174,0.0001373458140188844,43
fold_at_period_flares_masked,3.0524652587453214,0.225,5.915296993741492e-05,0.00015472433795891806,43
fold_at_period_flares_masked,3.0524652587453214,0.235,0.0004997083414386427,0.00013421751929313565,44
fold_at_period_flares_masked,3.0524652587453214,0.245,9.721411440988259e-05,0.00013664430799920223,42
fold_at_period_flares_masked,3.0524652587453214,0.255,4.718288891758515e-05,0.0001309585961150791,44
fold_at_period_flares_masked,3.0524652587453214,0.265,2.1134030371128265e-05,0.0001679038159494687,44
fold_at_period_flares_masked,3.0524652587453214,0.275,-0.018827953342770987,0.0006386815234949148,45
fold_at_period_flares_masked,3.0524652587453214,0.285,-0.021953442563621306,0.00014355714138664143,43
fold_at_period_flares_masked,3.0524652587453214,0.295,-0.020537422490347734,0.00024856838881532413,45
fold_at_period_flares_masked,3.0524652587453214,0.305,-0.0012750555563592614,0.0003527665285437132,44
fold_at_period_flares_masked,3.0524652587453214,0.315,0.0003542336131209245,0.00011911272659107663,44
fold_at_period_flares_masked,3.0524652587453214,0.325,4.325911984182085e-07,0.00011510984314804537,45
fold_at_period_flares_masked,3.0524652587453214,0.335,0.00035649962438144556,9.195219059490718e-05,42
fold_at_period_flares_masked,3.0524652587453214,0.345,0.0002866199564652838,0.00011437482722418684,45
fold_at_period_flares_masked,3.0524652587453214,0.355,0.00041914831993516977,0.00011891451575322913,42
fold_at_period_flares_masked,3.0524652587453214,0.365,0.0003961077181613426,0.0001105955010693094,44
fold_at_period_flares_masked,3.0524652587453214,0.375,0.00031474484160365357,0.0001370428641818836,43
fold_at_period_flares_masked,3.0524652587453214,0.385,-2.383793232030307e-06,0.0001467996924544395,44
fold_at_period_flares_masked,3.0524652587453214,0.395,0.0002695984267244711,0.00011529558551613694,45
fold_at_period_flares_masked,3.0524652587453214,0.405,0.0003143287671462103,0.00010175321495555493,44
fold_at_period_flares_masked,3.0524652587453214,0.415,0.00012620758340120553,0.00011675556992570966,45
fold_at_period_flares_masked,3.0524652587453214,0.425,0.00034337097574876907,0.00011574210116815238,46
fold_at_period_flares_masked,3.0524652587453214,0.435,0.00014803576889588221,9.647680451605062e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.445,8.54442949174139e-05,0.0001125651571661767,46
fold_at_period_flares_masked,3.0524652587453214,0.455,6.673597993356317e-05,9.846773433239143e-05,46
fold_at_period_flares_masked,3.0524652587453214,0.465,0.0002076538896627067,0.00012015114448022235,45
fold_at_period_flares_masked,3.0524652587453214,0.475,2.5393472771084724e-05,0.00013534855927585122,46
fold_at_period_flares_masked,3.0524652587453214,0.485,5.565565988874255e-05,0.00012242844244797637,44
fold_at_period_flares_masked,3.0524652587453214,0.495,-0.00013956496443728872,0.00013229796549910083,46
fold_at_period_flares_masked,3.0524652587453214,0.505,7.222096846892789e-05,0.00011506084091678698,43
fold_at_period_flares_masked,3.0524652587453214,0.515,-2.56559904803777e-05,0.00010476618163070826,44
fold_at_period_flares_masked,3.0524652587453214,0.525,-0.0001237585315029821,9.906874116638274e-05,46
fold_at_period_flares_masked,3.0524652587453214,0.535,4.918026093636563e-05,0.0001120193230381764,45
fold_at_period_flares_masked,3.0524652587453214,0.545,0.00010512077842650402,0.00010542007813154221,46
fold_at_period_flares_masked,3.0524652587453214,0.555,-7.419629883920198e-05,0.00010451668326200348,45
fold_at_period_flares_masked,3.0524652587453214,0.565,-0.00021982420342658848,9.555611351984315e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.575,3.904497892026626e-05,0.00010723748695776232,47
fold_at_period_flares_masked,3.0524652587453214,0.585,-0.00015067373194888045,0.00013067545037745096,43
fold_at_period_flares_masked,3.0524652587453214,0.595,-3.812760385246694e-06,0.00010592165010001275,46
fold_at_period_flares_masked,3.0524652587453214,0.605,-0.00018360929950600458,0.00010769133826679136,43
fold_at_period_flares_masked,3.0524652587453214,0.615,-2.1503551231816243e-05,0.00012257765437107844,46
fold_at_period_flares_masked,3.0524652587453214,0.625,0.0002602542041381106,0.00015127065352608327,44
fold_at_period_flares_masked,3.0524652587453214,0.635,-0.00033320641748857405,0.00014219805596721747,45
fold_at_period_flares_masked,3.0524652587453214,0.645,-0.00016109268374536745,0.00012933565543592538,46
fold_at_period_flares_masked,3.0524652587453214,0.655,3.545262883808409e-05,8.090382041745203e-05,44
fold_at_period_flares_masked,3.0524652587453214,0.665,-9.607804360600714e-06,0.00010401825270750207,46
fold_at_period_flares_masked,3.0524652587453214,0.675,1.97776892414403e-05,0.00012200386274759493,45
fold_at_period_flares_masked,3.0524652587453214,0.685,-0.00018882997891600528,0.00010711899897759548,46
fold_at_period_flares_masked,3.0524652587453214,0.695,-0.00024124357309251998,0.000122644085347149,45
fold_at_period_flares_masked,3.0524652587453214,0.705,7.212034529224809e-05,0.00010934610530515287,47
fold_at_period_flares_masked,3.0524652587453214,0.715,-0.00015071537188449113,0.00015053264423709424,44
fold_at_period_flares_masked,3.0524652587453214,0.725,-0.00013736261196772848,9.559616900468129e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.735,0.00017641006181334795,0.00010304631781872569,39
fold_at_period_flares_masked,3.0524652587453214,0.745,-3.347072297626985e-05,9.427340507784469e-05,40
fold_at_period_flares_masked,3.0524652587453214,0.755,-0.00011763166651634904,0.0001342786100636609,39
fold_at_period_flares_masked,3.0524652587453214,0.765,5.586848015926016e-05,0.0001351871250908244,39
fold_at_period_flares_masked,3.0524652587453214,0.775,-7.111051835068105e-05,8.920641195364733e-05,40
fold_at_period_flares_masked,3.0524652587453214,0.785,5.1784673500088196e-05,0.0001557608824837396,38
fold_at_period_flares_masked,3.0524652587453214,0.795,-0.00026618796234717523,0.00013227703718819107,40
fold_at_period_flares_masked,3.0524652587453214,0.805,0.0,0.00013068668413672378,39
fold_at_period_flares_masked,3.0524652587453214,0.815,2.6799448985315166e-05,0.00013183496410068752,40
fold_at_period_flares_masked,3.0524652587453214,0.825,-0.00018009360924020612,0.00012447193209436322,39
fold_at_period_flares_masked,3.0524652587453214,0.835,-0.00023815965865781052,0.00011889765651227346,40
fold_at_period_flares_masked,3.0524652587453214,0.845,-0.00010750927801111976,0.00010940737057987047,40
fold_at_period_flares_masked,3.0524652587453214,0.855,-0.0001300712307202856,0.00013413480594919052,42
fold_at_period_flares_masked,3.0524652587453214,0.865,-2.725082276067159e-05,0.00013547546994416133,43
fold_at_period_flares_masked,3.0524652587453214,0.875,0.00014034380804373026,0.00014318433978800893,46
fold_at_period_flares_masked,3.0524652587453214,0.885,9.867326626833428e-06,0.00013772764849563727,44
fold_at_period_flares_masked,3.0524652587453214,0.895,-0.0001256976736737636,0.00011894439602837508,46
fold_at_period_flares_masked,3.0524652587453214,0.905,7.001628312064412e-05,9.752178822080478e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.915,2.919668823309074e-05,8.965391396592091e-05,45
fold_at_period_flares_masked,3.0524652587453214,0.925,0.0,0.00011444710060843917,45
fold_at_period_flares_masked,3.0524652587453214,0.935,-0.000230088452173427,0.00016326369391313198,45
fold_at_period_flares_masked,3.0524652587453214,0.945,4.289791119438391e-06,0.00011176609771585795,45
fold_at_period_flares_masked,3.0524652587453214,0.955,0.0001376063323057508,0.00018171822838479524,45
fold_at_period_flares_masked,3.0524652587453214,0.965,0.0003083676109718603,0.0001272360647270376,45
fold_at_period_flares_masked,3.0524652587453214,0.975,-3.9453640346409635e-06,0.00013575059224752678,46
fold_at_period_flares_masked,3.0524652587453214,0.985,0.0002627526404734848,0.00010879636477075822,45
fold_at_period_flares_masked,3.0524652587453214,0.995,-1.95162025729001e-05,0.00010039145396992996,45
fold_at_2p,6.104930517490643,0.005,0.000287797372859222,0.0001518064583280426,47
fold_at_2p,6.104930517490643,0.015,2.1388784454789977e-05,0.00011378889765682398,46
fold_at_2p,6.104930517490643,0.025,1.7824308828240376e-05,0.0001272933784952583,47
fold_at_2p,6.104930517490643,0.035,-0.0003400456549969011,0.0001518212806097669,47
fold_at_2p,6.104930517490643,0.045,-0.00021680920431305095,0.00013166539329213567,48
fold_at_2p,6.104930517490643,0.055,-0.00028119243266977456,0.00010192070323349807,50
fold_at_2p,6.104930517490643,0.065,-0.00010531502938293524,0.00015990090744657273,55
fold_at_2p,6.104930517490643,0.075,-4.585506004428641e-05,0.00015327861014038653,55
fold_at_2p,6.104930517490643,0.085,4.530497268739886e-05,0.00013050344930099704,48
fold_at_2p,6.104930517490643,0.095,7.275025528552526e-06,0.00011588174055099131,46
fold_at_2p,6.104930517490643,0.105,0.0001275479186801931,0.0001590610791833005,43
fold_at_2p,6.104930517490643,0.115,-9.161492646558855e-05,0.00020146321039728386,42
