species,wavelength,role,n_measured,n_flagged,flag_rate
U II,3859.57,radionuclide,178,3,0.016853932584269662
Th II,4019.13,radionuclide,178,5,0.028089887640449437
Fe I,4045.81,rv_ref,178,8,0.0449438202247191
Fe I,4063.59,rv_ref,178,7,0.03932584269662921
Fe I,4071.74,rv_ref,178,5,0.028089887640449437
Fe I,4132.06,rv_ref,178,9,0.05056179775280899
Fe I,4143.87,rv_ref,177,8,0.04519774011299435
DUMMY,4152.3,control,178,11,0.06179775280898876
Fe I,4202.03,rv_ref,178,9,0.05056179775280899
DUMMY,4222.1,control,178,13,0.07303370786516854
Tc I,4238.19,radionuclide,178,7,0.03932584269662921
Fe I,4250.79,rv_ref,178,5,0.028089887640449437
Tc I,4262.27,radionuclide,178,6,0.033707865168539325
Fe I,4271.76,rv_ref,178,8,0.0449438202247191
DUMMY,4288.4,control,178,3,0.016853932584269662
Tc I,4297.06,radionuclide,178,5,0.028089887640449437
Fe I,4325.76,rv_ref,178,6,0.033707865168539325
Fe I,4383.55,rv_ref,178,13,0.07303370786516854
Fe I,4404.75,rv_ref,178,12,0.06741573033707865
