star,n_epochs,n_epochs_candidate,candidate,any_control_veto,tc_coherent_any,max_radio_flagged,z_TcI_4238,z_TcI_4262,z_TcI_4297,z_UII_3860,z_ThII_4019
renson_154708,1,1,True,False,False,2,11.27266496822576,4.882751994530998,1.2855924359936146,0.10750521965764692,-1.149930634903782
HD 101065,1,0,False,True,False,2,4.36838302682315,14.789910358711932,-5.950704598768511,-2.883223896407139,-5.916187389310541
renson_101065,1,0,False,True,False,2,4.279006019419624,14.641966051440585,-5.956763540922684,-2.787853212093645,-5.774290735613328
renson_217522,1,1,True,False,True,1,3.467792661463151,4.190562387667634,3.5186892290381735,-2.4990695370162146,0.5426290830044147
gaia_6540158877300621696,1,1,True,False,True,1,3.3828197670572933,4.584545121814673,3.494031559654412,-2.0766522553694515,0.3694951550130421
gaia_4808214586499020288,3,0,False,False,False,0,2.654161544729594,-0.05897903203756877,-0.1133330782355339,-0.19192907603900006,1.115918328589351
renson_93507,1,0,False,False,False,0,2.595379983743673,3.9293313778898176,0.048705773806753554,0.05518306265806697,-1.0772971641007725
renson_172748,3,0,False,True,True,1,2.575476873061213,5.594492998637826,3.1083809806481124,-0.4071576982094562,0.023710427144988864
gaia_5486011553099475200,1,0,False,False,False,0,2.47843484262579,-1.3561838920050082,-0.2876767383095465,0.2817610668225208,-3.315493736588641
renson_60435,3,0,False,False,False,0,2.309025180536338,0.5075653195510015,0.4096388066217009,-0.07225941057179072,-0.5465962019232531
gaia_5410092611674819840,1,0,False,False,False,0,2.2752551904091067,2.6549802330999817,0.4487838117151175,1.9957332187001358,-2.1305141973304815
renson_72968,1,0,False,False,False,0,1.961503978647797,-0.22922266203568462,1.6234697721761029,2.0798523094844352,-1.1702903168552348
renson_128898,3,0,False,False,False,0,1.8925777935149954,0.3398804505503499,-0.4335655898473551,-0.5201925996760515,-0.34507915074031864
renson_27628,1,0,False,False,False,0,1.7456386361039922,3.5702900547396754,-0.8319125019341588,0.9912980258647723,-3.2185805852642493
renson_116235,2,0,False,False,False,0,1.7146971011839744,1.2557697349532169,-0.4610515987910184,0.2835637066362331,-0.3724764865498104
renson_126661,2,0,False,False,False,1,1.321919679143042,2.984607018241358,5.937357562113247,1.3800388047851124,-1.6579265282926898
