source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
221895190717056,grey,0.03558688283687658,1.0,0.045472006128640476,0.7826107943467715,381.73752275806976,0.2623978264020318,False,False,False,,,
221895190717056,dust,0.03558688283687658,1.7,0.045472006128640476,0.7826107943467715,381.73752275806976,0.2623978264020318,False,False,False,,,
304702159884800,grey,0.16087531557684973,1.0,0.3429826406896514,0.4690479822925444,246.8011941113134,0.5595814714335114,False,False,False,,,
304702159884800,dust,0.16087531557684973,1.7,0.3429826406896514,0.4690479822925444,246.8011941113134,0.5595814714335114,False,False,False,,,
435887640983808,grey,0.03342727013774404,1.0,0.10479050257972496,0.318991409668185,856.9021225552201,0.18280026153214443,False,False,False,,,
435887640983808,dust,0.03342727013774404,1.7,0.10479050257972496,0.318991409668185,856.9021225552201,0.18280026153214443,False,False,False,,,
513510585531520,grey,0.11067557552249897,1.0,0.01645090293786655,6.727629233514402,1968.4987917517074,0.051654590913085593,False,False,True,G_ONLY,MULTI,C
513510585531520,dust,0.11067557552249897,1.7,0.01645090293786655,6.727629233514402,1968.4987917517074,0.051654590913085593,False,False,True,G_ONLY,MULTI,C
622667178711296,grey,0.0545565257027721,1.0,0.003700787496162237,14.7418693343911,99330.37744303257,0.005292581540592798,True,False,True,GREY,MULTI,A
622667178711296,dust,0.0545565257027721,1.7,0.003700787496162237,14.7418693343911,99330.37744303257,0.005292581540592798,True,False,True,G_ONLY,MULTI,C
731003433868800,grey,0.09243252401179385,1.0,0.06979328790059294,1.3243755494575082,741.4845707550435,0.16070477503360622,False,False,False,,,
731003433868800,dust,0.09243252401179385,1.7,0.06979328790059294,1.3243755494575082,741.4845707550435,0.16070477503360622,False,False,False,,,
807355068097152,grey,0.04667019131413312,1.0,0.07641955609141388,0.610710055137009,269.4939836501894,0.1668565454035811,False,False,False,,,
807355068097152,dust,0.04667019131413312,1.7,0.07641955609141388,0.610710055137009,269.4939836501894,0.1668565454035811,False,False,False,,,
939017290465664,grey,0.08774165012356336,1.0,0.14596173975926727,0.6011277357222138,140.19472291548232,0.3475569844472907,False,False,False,,,
939017290465664,dust,0.08774165012356336,1.7,0.14596173975926727,0.6011277357222138,140.19472291548232,0.3475569844472907,False,False,False,,,
1047456624648320,grey,0.31168302814103194,1.0,0.16815639780181024,1.8535305954185741,170.14728876903445,0.7998533345366635,False,False,False,,,
1047456624648320,dust,0.31168302814103194,1.7,0.16815639780181024,1.8535305954185741,170.14728876903445,0.7998533345366635,False,False,False,,,
1126900635014656,grey,0.04556408023469819,1.0,0.006178415662769494,7.374719138639816,34213.267077127,0.00715365710307786,False,False,False,,,
