source_id,priority,channels,n_channels,labels
2080152824394749696,1,arc;channels;status,3,"9.4 KIC 9418692 on the pixels (run 35744902798);ARC: NO candidate — KIC 9418692's excess is inside its own energy systematic, 20;Optical time domain"
6243032008973309440,1,baffle;baffle_bright;status,3,"The warden's fence, 2026-09-06: BAFFLE (S38)"
228086063620072832,1,baffle;status,2,"OK;SURVIVES_VET_NO_HIRES_KS;The warden's fence, 2026-09-06: BAFFLE (S38)"
235890564653455488,1,science;status,2,"Current best candidates (cross-channel, ranked);stellar_companion"
512945405846907904,1,baffle;status,2,"OK;SURVIVES_VET_NO_HIRES_KS;The warden's fence, 2026-09-06: BAFFLE (S38)"
2053563953175632768,1,metronome;status,2,"0. What has actually been measured;METRONOME: the last clock is settled -- it is the RR Lyrae next door, 2026-09-22"
2053563953175635712,1,metronome;status,2,"0. What has actually been measured;METRONOME: the last clock is settled -- it is the RR Lyrae next door, 2026-09-22;MUNDANE_EXPLANATION_FOUND(CONTAMINATING_VARIABLE_AT_P:gaia2053563953175635712@13"
2129762445437102464,1,arc;status,2,"9.2 The two stage-1 interest stars dissolved;ARC stage 2 on the pixels: 5 of 21 catalogued flares were on a NEIGHBOUR, 2026-0"
2371032916186181760,1,lhs1140;status,2,New channel: LHS 1140 system deep-dive (`lhs1140/`)
2858629802997575936,1,baffle;status,2,"The warden's fence, 2026-09-06: BAFFLE (S38)"
3027759739607108992,1,accel;status,2,Resolved (killed) candidates
3209766056875171712,1,baffle;status,2,"The warden's fence, 2026-09-06: BAFFLE (S38)"
3913239815437281536,1,panspermia;status,2,New channel: K2-18 panspermia close-encounter search (`panspermia/`)
4358031335898505472,1,panspermia;status,2,New channel: K2-18 panspermia close-encounter search (`panspermia/`)
20607267131895873,1,loom,1,2.1 What the live mirror actually holds — measured 2026-07-30
983333660069405824,1,status,1,New channel: long-baseline Galactic-orbit encounter search (`galactic/`)
1268299311319369984,1,status,1,Resolved (killed) candidates
1276273278883611264,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
1289707176373257856,1,cradle,1,CANDIDATE;SURVIVES_WITH_UNTESTED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
1394698167320555648,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
1421075180688797952,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_rise_stellar_coloured"
1722706885596251264,1,cradle,1,IN_CELL_AGE_UNDETERMINED;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
1757504263952843776,1,cradle,1,CANDIDATE;SURVIVES_WITH_UNTESTED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
1939760926285276544,1,status,1,New channel: long-baseline Galactic-orbit encounter search (`galactic/`)
2120651376692536960,1,cradle,1,CANDIDATE;SURVIVES_WITH_UNTESTED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
2277422630796756096,1,ignition,1,7.6 Run 35884646233 — the automated ladder on real data; ESA Gaia dark (2026-09-;ONE_BAND_ONLY;rejected_rise_stellar_coloured
2305843020429263121,1,spectra-persist,1,"2026-09-23 — complete and calibrated: run 35860950765, controls 35861127506 + 35"
2415134847267401472,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
2698668556422137728,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE"
2752213329586862976,1,tocsin-ztf,1,"8c. Run 17 (2026-09-10, 08:15–08:57 UTC): the first two candidates — as read the"
3168144078565656832,1,cradle,1,CANDIDATE;SURVIVES_WITH_UNTESTED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
4276040238425545344,1,tocsin-ztf,1,8b. Run 7 (08:02–09:26 UTC): the six nights refolded whole
4497414466452138496,1,tocsin-ztf,1,"8c. Run 17 (2026-09-10, 08:15–08:57 UTC): the first two candidates — as read the"
4572744241447044352,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_rise_stellar_coloured"
4593063967944867968,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;ONE_BAND_ONLY"
4614613575512315648,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;NOT_RISING;rejected_optical_not_flat"
4619030382440742144,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;ONE_BAND_ONLY"
4646037549114081792,1,ignition,1,"7.4 Tiles run 35740159635 — nine candidates, the re-vet, and what is left (2026-;IGNITION_CANDIDATE;rejected_optical_variable_gaia"
4659120294392894848,1,cradle,1,CANDIDATE;KILLED;The deep vet — `python -m seti.cradle.deepvet` (`stage=deepvet`)
