freq_mhz,drift,drift_hz_s,target,snr,mjd,table,seed,catalogue_telescope,catalogue_band,paper_title,caption,freq_header,drift_header,verdict,ra,dec,gaia_idx,match_by,rfi_zero_drift,rfi_recurrent,artefact_not_frequency,artefact_injection_table,duplicate_row,valid_hit,rfi_recurrent_wide,rfi_known_band,rfi_flag,optical_10m_1um:on_pair_line,optical_10m_1um:drift_match,optical_10m_1um:candidate,optical_10m_1um:drift_centre_hz_s,optical_10m_1um:halfwidth_tight_hz_s,optical_10m_1um:magic_line,radio_100m_1p4ghz:on_pair_line,radio_100m_1p4ghz:drift_match,radio_100m_1p4ghz:candidate,radio_100m_1p4ghz:drift_centre_hz_s,radio_100m_1p4ghz:halfwidth_tight_hz_s,radio_100m_1p4ghz:magic_line,radio_10m_8ghz:on_pair_line,radio_10m_8ghz:drift_match,radio_10m_8ghz:candidate,radio_10m_8ghz:drift_centre_hz_s,radio_10m_8ghz:halfwidth_tight_hz_s,radio_10m_8ghz:magic_line,radio_10m_1p4ghz:on_pair_line,radio_10m_1p4ghz:drift_match,radio_10m_1p4ghz:candidate,radio_10m_1p4ghz:drift_centre_hz_s,radio_10m_1p4ghz:halfwidth_tight_hz_s,radio_10m_1p4ghz:magic_line,overfilled_5deg:on_pair_line,overfilled_5deg:drift_match,overfilled_5deg:candidate,overfilled_5deg:drift_centre_hz_s,overfilled_5deg:halfwidth_tight_hz_s,overfilled_5deg:magic_line
1379.27751,-0.266,-0.266,HIP 17147,25.4,57523.80299768518,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,260474,target_name,False,False,False,False,False,True,False,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,True,False,False,-0.08298527152066838,0.014009546823809763,,True,False,False,-0.08298799751707156,0.05946130512700882,,True,True,False,-0.08298799870403453,0.20092748694155863,
1380.87763,-0.507,-0.507,HIP 4436,463.3,57803.93440972222,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,-1,none,False,False,False,False,False,True,True,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,False,False,False,,,,False,False,False,,,,False,False,False,,,
1380.97122,-0.478,-0.478,HIP 20901,84.6,57606.579375,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,222037,target_name,False,False,False,False,False,True,True,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,True,False,False,-0.10370198215669921,0.009912001759551104,,True,False,False,-0.10370198215669921,0.009912001759551104,,True,False,False,-0.10370198215669921,0.05985036722896921,,True,True,False,-0.10370198215669921,0.20117199064423252,
1380.92937,-0.542,-0.542,HIP 39826,420.3,57456.03089120371,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,261537,target_name,False,False,False,False,False,True,True,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,False,False,False,,,,True,False,False,-0.12270206850891091,0.057672820738026494,,True,True,False,-0.12270204404800829,0.20106736833108657,
1380.9257,-0.086,-0.086,HIP 99427,50.2,57752.96094907408,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,260360,target_name,False,False,False,False,False,True,True,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,True,False,False,-0.017759761182474722,0.01088847709209342,,True,False,False,-0.01771690483741617,0.013726433559169273,,True,True,False,-0.01771690483741617,0.05959864853034918,,True,True,False,-0.017716887489788807,0.20090856649153305,
1380.91201,-0.134,-0.134,HIP 66704,3376.9,57650.631631944445,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,258283,target_name,False,False,False,False,False,True,True,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,False,False,False,,,,True,True,False,-0.024889988598573116,0.0598924797549343,,True,True,False,-0.024889971573811898,0.201149486423594,
1381.20557,-0.335,-0.335,HIP 82860,435.4,57664.923159722224,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,-1,none,False,False,False,False,False,True,False,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,False,False,False,,,,False,False,False,,,,False,False,False,,,
1384.20759,-0.246,-0.246,HIP 74981,237.7,57523.2593287037,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,263970,target_name,False,False,False,False,False,True,False,"GPS L3 (1381.05 MHz, P(Y) main lobe)",True,False,False,False,,,,False,False,False,,,,False,False,False,,,,True,True,False,-0.12018058560639651,0.05860371335715398,,True,True,False,-0.12018052967559575,0.20157481572501346,
1522.18102,0.01,0.01,HIP 65352,113.6,57459.39695601852,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,262611,target_name,False,False,False,False,False,True,False,Inmarsat / MSS downlink,True,False,False,False,,,,False,False,False,,,,False,False,False,,,,True,True,False,-0.1404175191171042,0.06473459421509511,,True,True,False,-0.1404174627580574,0.22168404000777767,
1528.46054,-0.01,-0.01,HIP 45493,32.1,57636.7828125,arXiv:1709.03491:Lband_BL_SETI.tex#table,enriquez2017,GBT,L,The Breakthrough Listen Search for Intelligent Life: 1.1-1.9 GHz observations of 692 Nearby Stars,Most Significant Events that Pass our Detection Criteria.,Frequency,Drift Rate,,,,240876,target_name,False,False,False,False,False,True,False,Inmarsat / MSS downlink,True,False,False,False,,,,False,False,False,,,,True,True,False,-0.03468064570758938,0.014376218237303427,,True,True,False,-0.03468063054486312,0.06236469684927397,,True,True,False,-0.03468057886771937,0.2222999295545072,
