target,gaia_idx,source_id,telescope,band,mjd_session,n_files,freq_centre_ghz,hpbw_arcmin,n_in_beam_neighbours,optical_10m_1um:n_pairs,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:earth_term_known,radio_100m_1p4ghz:n_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:earth_term_known,radio_10m_8ghz:n_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:earth_term_known,radio_10m_1p4ghz:n_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:earth_term_known,radio_10m_1p4ghz:drift_centre_hz_s_min,radio_10m_1p4ghz:drift_centre_hz_s_max,radio_10m_1p4ghz:halfwidth_tight_hz_s_min,radio_10m_1p4ghz:halfwidth_tight_hz_s_max,radio_10m_1p4ghz:halfwidth_loose_hz_s_max,radio_10m_1p4ghz:n_pairs_with_kinematics,radio_10m_1p4ghz:alpha_rad_min,radio_10m_1p4ghz:flux_ratio_max,overfilled_5deg:n_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:earth_term_known,overfilled_5deg:drift_centre_hz_s_min,overfilled_5deg:drift_centre_hz_s_max,overfilled_5deg:halfwidth_tight_hz_s_min,overfilled_5deg:halfwidth_tight_hz_s_max,overfilled_5deg:halfwidth_loose_hz_s_max,overfilled_5deg:n_pairs_with_kinematics,overfilled_5deg:alpha_rad_min,overfilled_5deg:flux_ratio_max,radio_100m_1p4ghz:drift_centre_hz_s_min,radio_100m_1p4ghz:drift_centre_hz_s_max,radio_100m_1p4ghz:halfwidth_tight_hz_s_min,radio_100m_1p4ghz:halfwidth_tight_hz_s_max,radio_100m_1p4ghz:halfwidth_loose_hz_s_max,radio_100m_1p4ghz:n_pairs_with_kinematics,radio_100m_1p4ghz:alpha_rad_min,radio_100m_1p4ghz:flux_ratio_max,radio_10m_8ghz:drift_centre_hz_s_min,radio_10m_8ghz:drift_centre_hz_s_max,radio_10m_8ghz:halfwidth_tight_hz_s_min,radio_10m_8ghz:halfwidth_tight_hz_s_max,radio_10m_8ghz:halfwidth_loose_hz_s_max,radio_10m_8ghz:n_pairs_with_kinematics,radio_10m_8ghz:alpha_rad_min,radio_10m_8ghz:flux_ratio_max
GJ_757,263747,6772521384023709696,GBT,NAN,57941.125,134,7.15771484234786,8.7,0,0,0,0,True,0,0,0,True,0,0,0,True,29,0,29,True,-0.5822284666517432,-0.5822283497379043,0.05820437374545674,0.303025215734862,23.87748964925926,9,0.002406501394498191,21.106899322128243,247,3,244,True,-0.5822284735131287,-0.5822281002319823,0.05820437374545674,1.0388727379326028,23.898157758177337,116,0.002406501394498191,21.293185544570107,,,,,,,,,,,,,,,,
GJ_757,263747,6772521384023709696,GBT,NAN,57941.166666666664,66,7.251373290314556,8.7,0,0,0,0,True,0,0,0,True,0,0,0,True,29,0,29,True,-0.6751778380516699,-0.6751777196080175,0.05894665446364075,0.30698657942959506,24.189925717764943,9,0.002406501394498191,21.106899322128243,247,3,244,True,-0.6751778450028364,-0.6751774668373194,0.05894665446364075,1.0524652689780165,24.210864268204904,116,0.002406501394498191,21.293185544570107,,,,,,,,,,,,,,,,
HD_115153,248999,3625243497823510528,GBT,NAN,57941.0,134,5.86162109234786,8.7,0,0,0,0,True,0,0,0,True,0,0,0,True,17,0,17,True,-0.5215953773412059,-0.521595363125559,0.07541913402410316,0.2453338358782384,19.553802474573185,4,0.003827871004246819,11.730061268936852,302,5,297,True,-0.5215953792004093,-0.5215950809117237,0.07541913402410316,0.8516869512139518,19.57080410168335,130,0.003827871004246819,11.89606438791528,,,,,,,,,,,,,,,,
HD_115153,248999,3625243497823510528,GBT,NAN,57941.041666666664,66,5.955279540314555,8.7,0,0,0,0,True,0,0,0,True,0,0,0,True,17,0,17,True,-0.49686112324343845,-0.49686110880065043,0.07660601802619565,0.24924825253186064,19.86623795133848,4,0.003827871004246819,11.730061268936852,302,5,297,True,-0.49686112513234876,-0.4968608220775319,0.07660601802619565,0.8652938084951186,19.8835112347601,130,0.003827871004246819,11.89606438791528,,,,,,,,,,,,,,,,
HD_224448,178804,2642106070517231616,GBT,NAN,57935.5,3,7.2514634132383495,8.7,0,0,0,0,True,1,0,1,True,2,0,2,True,38,3,35,True,-0.6273198183068063,-0.6273197257521115,0.012844215400494081,0.3066475607517323,24.190222011323378,17,0.0003662564196435576,6.288555497792639,508,18,490,True,-0.6273198184215563,-0.6273195249824616,0.012844215400494081,1.0554471181473033,24.211294406739274,249,0.0003662564196435576,6.310612710756269,-0.6273198158489437,-0.6273198158489437,0.012844215400494081,0.012844215400494081,24.188281733196103,0.0,0.0003662564196435576,2.324209393281525,-0.6273198158489437,-0.6273198158489437,0.012844215400494081,0.0555651945144618,24.188342144955705,0.0,0.0003662564196435576,2.324209393281525
HD_224448,178804,2642106070517231616,GBT,NAN,57935.541666666664,6,7.2514634132383495,8.7,0,0,0,0,True,1,0,1,True,2,0,2,True,38,3,35,True,-0.5487155040769403,-0.5487154115222455,0.012844215400494081,0.3066475607517323,24.190222011323378,17,0.0003662564196435576,6.288555497792639,508,18,490,True,-0.5487155041916902,-0.5487152107525956,0.012844215400494081,1.0554471181473033,24.211294406739274,249,0.0003662564196435576,6.310612710756269,-0.5487155016190777,-0.5487155016190777,0.012844215400494081,0.012844215400494081,24.188281733196103,0.0,0.0003662564196435576,2.324209393281525,-0.5487155016190777,-0.5487155016190777,0.012844215400494081,0.0555651945144618,24.188342144955705,0.0,0.0003662564196435576,2.324209393281525
HIP100072,253889,4219087666404378624,GBT,NAN,57683.958333333336,3,1.47509765625,8.7,1,0,0,0,True,1,0,1,True,2,0,2,True,57,0,57,True,-0.13199654463396893,-0.1319924558226453,0.011217911092092872,0.06403841467749119,4.920812859175463,14,0.0012749135508618112,12.25118907758056,617,8,609,True,-0.13199654463396893,-0.13199241961068922,0.011217911092092872,0.21450843330658348,4.9250697603619615,147,0.0012749135508618112,12.257882102178037,-0.1319924634082579,-0.1319924634082579,0.011217911092092872,0.011217911092092872,4.920408938086494,0.0,0.0012749135508618112,9.457833633741533,-0.13199654463396893,-0.1319924634082579,0.011217911092092872,0.011700820531261105,4.920410062756283,0.0,0.0012749135508618112,9.457833633741533
HIP100079,256711,1837182671876057600,GBT,NAN,57693.875,3,2.300390625,8.7,1,0,0,0,True,0,0,0,True,2,0,2,True,34,0,34,True,-0.16114716700570528,-0.16114690593895023,0.013750838265415854,0.0971343489068782,7.6738919509879695,7,0.0013200287260154487,15.801217998107036,620,10,610,True,-0.16114716700570528,-0.161146755389482,0.013750838265415854,0.3334277906692988,7.680517995896565,166,0.0013200287260154487,15.801922909414797,,,,,,,,,-0.16114716700570528,-0.16114692334125094,0.013750838265415854,0.013758966219241619,7.673289509907195,0.0,0.0013200287260154487,15.402909032591452
HIP100108,234517,2060590416602748416,GBT,NAN,57693.916666666664,3,2.300390625,8.7,0,0,0,0,True,1,0,1,True,2,0,2,True,45,2,43,True,-0.16403563293443077,-0.16403561433168423,0.009541746648334369,0.09696046397315047,7.673889751962448,22,0.00027813774201530155,7.0152957152595565,489,28,461,True,-0.16403563304967103,-0.16403553882537666,0.009541746648334369,0.33492452728828054,7.680583118011266,261,0.00027813774201530155,7.132857466932056,-0.16403563237164415,-0.16403563237164415,0.009541746648334369,0.009541746648334369,7.6732831068995155,0.0,0.00027813774201530155,6.508957680373529,-0.1640356327005121,-0.16403563237164415,0.009541746648334369,0.019728011191264706,7.673302534640867,1.0,0.00027813774201530155,6.508957680373529
HIP100159,115468,4243275719623780352,GBT,NAN,57683.916666666664,3,1.47509765625,8.7,1,0,0,0,True,3,0,3,True,9,0,9,True,130,6,124,True,-0.12408686042632061,-0.12407847851262131,0.009327774784418399,0.06392100274787134,4.920811332602021,38,0.00014618599483937774,4.578105393251987,1524,178,1346,True,-0.12408686050724453,-0.12407847851262131,0.009327774784418399,0.21483983090902076,4.925084205312352,400,0.00014618599483937774,4.6137572682383405,-0.1240868604004527,-0.12407847851262131,0.009327774784418399,0.011078676776391466,4.920408622619803,1.0,0.00014618599483937774,4.372559554289437,-0.1240868604004527,-0.12407847851262131,0.009327774784418399,0.01437815402485498,4.92041715790291,2.0,0.00014618599483937774,4.372559554289437
