name,gaia_idx,source_id,ra,dec,d_pc,has_rv,n_in_beam_neighbours,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:n_in_beam_neighbour_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:n_in_beam_neighbour_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:n_in_beam_neighbour_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:n_in_beam_neighbour_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:n_in_beam_neighbour_pairs
HIP100933,11812,2246229554638383104,306.96594902240565,65.75567801733523,92.38954087097254,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP103104,10244,2167218133679438080,313.3564889123194,48.26752465044908,97.40589641018454,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP105478,17151,2691340620660590080,320.4597473132533,1.3615399963554742,91.12903747608065,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP106488,14878,2672352226647436800,323.5320492346067,-4.368150015621689,91.19680047794954,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP108389,16544,2695882153438981120,329.37904396214236,4.157597643338261,99.92733100182231,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP108860,11567,2202866529734431744,330.797130336652,59.603902740190186,97.31389472310826,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HIP10970,18361,5150552101650857984,35.318137703035234,-12.204973386065948,97.9748213771716,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP110657,20441,1901878764974914560,336.26159124971383,32.79114934035955,96.36546003595831,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP11094,14944,5150476716384927744,35.71778236337048,-12.630491035833487,94.64089921203541,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP111090,14670,2702700839222656512,337.58751854279046,2.0415194986339995,98.5220852437506,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP111131,15203,2709390989524937216,337.6970617118484,6.500090399411621,90.14103905385275,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP111612,12705,2200605319648318464,339.1645947979589,59.59590475909606,95.87873299458407,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP113614,9771,2008703603886981120,345.1680441607956,55.211099940199965,97.75613323065592,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HIP11429,1199,459046864814063104,36.856237759066204,59.10518069878003,92.49662117890125,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP115306,20201,1910520582770593792,350.3026946129304,33.0276518604581,98.04896190327666,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HIP116781,19516,1918807601910759168,355.01168809051796,37.652280378334574,91.98032926589954,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HIP11741,17398,127668800522788992,37.883294627383236,27.56922065016492,93.78991915171365,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP11839,16660,5172205574410655744,38.215795237401785,-10.640386944755203,94.54247810374837,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HIP12025,18821,75073902325873664,38.7700125303468,14.55113229657362,92.40848945055802,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP1266,12464,2428524528072046592,3.966265659054065,-8.87621853895262,97.51919644652095,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP12808,19011,129541951723679232,41.15370466449281,29.45991782488357,95.03375549683133,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HIP13063,2276,454472174886402176,41.9808120732001,55.61342753881014,99.39248771738919,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP13421,16401,5173295327872720896,43.21190683238006,-9.441056060922447,93.9277724452455,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP14221,2953,463156147782785664,45.84152861902065,60.84309520985953,93.55005730528299,True,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HIP15460,2777,435708390482437376,49.84464798091525,49.30628516913561,90.231937940154,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP16799,24782,5102176373167994880,54.0541456083998,-18.55060105250008,94.48808847477889,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
