name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by
TYC 1863-858-1,TYC 1863-858-1,89.36524968294,24.075497509660003,2.0215,-3.459,-21.632,,3427945482071924224,simbad_gaia_id
TYC 1868-281-1,BD+24  1053,90.07293044842,24.67734174163,3.8916,17.976,-10.493,28.9,3426489277700199424,simbad_gaia_id
HD 249936,HD 249936,89.14973795156,23.237234383799997,1.9872,-8.799,-7.018,20.56,3424786065469224448,simbad_gaia_id
TYC 1864-1748-1,TYC 1864-1748-1,90.95459765155,23.701090239169996,3.029,25.811,-13.807,14.08,3424683986984260608,simbad_gaia_id
HIP 28216,HIP 28216,89.42662978674,22.53235112828,1.2829,-0.223,-4.652,12.46,3424137564064541696,simbad_gaia_id
HD 252080,HD 252080,92.07514744786,22.500954583290003,5.8697,23.865,-13.333,2.99,3423576503898696192,simbad_gaia_id
HD 251551,HD 251551,91.64804419501,24.16754582435,4.5052,-5.518,-11.425,,3426181311368069632,simbad_gaia_id
HD 252993,HD 252993,92.94963404177,25.0780954498,6.9692,18.126,27.529,18.1,3426693756801854976,simbad_gaia_id
TYC 742-1679-1,,,,,,,,,catalogue_position
HD 255705,HD 255705,95.36337873949,14.193403442779998,6.8762,-6.678,-30.482,16.69,3332652286761686016,simbad_gaia_id
HD 254085,HD 254085,93.90695847728,12.774910902600002,6.8251,-7.043,-38.531,,3332060199750342656,simbad_gaia_id
HD 256380,HD 256380,95.91268386392,13.23367227732,2.4183,12.029,-4.346,,3332332500675823104,simbad_gaia_id
TYC 739-1501-1,,,,,,,,,catalogue_position
HD 256736,HD 256736,96.21298904757,13.206723271939998,6.2864,21.539,-14.898,,3332323223546781696,simbad_gaia_id
TYC 739-1210-1,,,,,,,,,catalogue_position
TYC 148-515-1,,,,,,,,,catalogue_position
CoRoT 102810550,CoRoT 102810550,101.57407847381,1.00478571566,1.1313,3.756,-7.672,,3125711244792952320,simbad_gaia_id
CoRoT 102830606,CoRoT 102830606,101.71598893719002,1.1528079244,2.3262,0.096,33.932,75.99,3125722617866235392,simbad_gaia_id
TYC 149-362-1,,,,,,,,,catalogue_position
TYC 149-532-1,,,,,,,,,catalogue_position
CoRoT 102827664,CoRoT 102827664,101.69542062914,1.1551830393100002,2.4053,7.971,-8.411,5.16,3125722647936049152,simbad_gaia_id
CoRoT 102936925,CoRoT 102936925,102.31917750771001,-0.9849514354300002,1.0286,5.559,0.82,-13.49,3107130151119516672,simbad_gaia_id
CoRoT 110695685,CoRoT 110695685,103.49000963581,-3.0523747446,1.6022,-17.395,-2.377,108.76,3102928878528957440,simbad_gaia_id
CoRoT 110864307,CoRoT 110864307,103.41847574312,-3.23933475246,1.6215,-5.66,11.944,,3102819447063265280,simbad_gaia_id
CoRoT 102951397,CoRoT 102951397,102.39036565057,-0.98959260452,1.2168,-3.842,2.402,,3107127436700983296,simbad_gaia_id
CoRoT 102963038,CoRoT 102963038,102.4495052818,-1.0743606487199997,0.3285,1.706,-0.639,,3107114105122515968,simbad_gaia_id
HD 50388,,,,,,,,,catalogue_position
TYC 4805-3328-1,TYC 4805-3328-1,103.83359026484,-2.31861120076,2.7248,-14.936,0.05,86.96,3105987621100383232,simbad_gaia_id
CoRoT 110777727,CoRoT 110777727,103.52676229721001,-3.28443229046,1.5533,-5.527,-3.71,,3102818141393187840,simbad_gaia_id
CoRoT 110776963,CoRoT 110776963,103.51905859398,-2.99292847253,2.5253,-7.258,3.724,40.15,3102932456243004416,simbad_gaia_id
