name,lbol,mass,teff,group,log_lbol,age_gyr,age_source,mass_mj,log_l_ceiling_13mj,excess_over_ceiling_dex,testable,catalogued_planetary_mass,hotter_than_cooling,flag,systematics_not_excluded
00040288-6410358,-3.48,16.11,1904.0,HLM,-3.48,,none,16.11,,,False,False,False,False,
00191296-6226005,-3.644,14.88,1755.0,HLM,-3.644,,none,14.88,,,False,False,False,False,
00192626+4614078,-2.773,66.62,2637.0,HLM,-2.773,,none,66.62,,,False,False,False,False,
00274197+0503417,-3.545,31.64,1945.0,AM,-3.545,,none,31.64,,,False,False,False,False,
00303013-1450333,-4.378,50.89,1436.0,AM,-4.378,,none,50.89,,,False,False,False,False,
00325584-4405058,-3.388,41.64,2066.0,HLM,-3.388,,none,41.64,,,False,False,False,False,
003323.86-152130.9,-3.616,29.68,1880.0,NM,-3.616,,none,29.68,,,False,False,False,False,
00381489-6403529,-3.423,22.03,1957.0,HLM,-3.423,,none,22.03,,,False,False,False,False,
00452143+1634446,-3.405,24.98,2059.0,BM,-3.405,,none,24.98,,,False,False,False,False,
00470038+6803543,-4.429,11.84,1230.0,BM,-4.429,,none,11.84,,,False,True,False,False,
00584253-0651239,-3.635,29.48,1860.0,AM,-3.635,,none,29.48,,,False,False,False,False,
01033203+1935361,-4.407,12.82,1223.0,AM,-4.407,,none,12.82,,,False,True,False,False,
01174748-3403258,-3.477,16.36,1902.0,HLM,-3.477,,none,16.36,,,False,False,False,False,
01205114-5200349,-3.737,13.97,1685.0,HLM,-3.737,,none,13.97,,,False,False,False,False,
01231125-6921379,-2.525,55.56,2743.0,BM,-2.525,,none,55.56,,,False,False,False,False,
01415823-4633574,-3.485,16.2,1899.0,HLM,-3.485,,none,16.2,,,False,False,False,False,
01531463-6744181,-3.91,11.89,1545.0,HLM,-3.91,,none,11.89,,,False,True,False,False,
02103857-3015313,-3.826,13.03,1610.0,HLM,-3.826,,none,13.03,,,False,False,False,False,
02212859-6831400,,,,AM,,,none,,,,False,False,False,False,
02215494-5412054,,,,HLM,,,none,,,,False,False,False,False,
02235464-5815067,-3.509,15.91,1879.0,BM,-3.509,,none,15.91,,,False,False,False,False,
02340093-6442068,-3.538,15.97,1848.0,HLM,-3.538,,none,15.97,,,False,False,False,False,
02410564-5511466,-3.679,14.49,1731.0,HLM,-3.679,,none,14.49,,,False,False,False,False,
02411151-0326587,-3.717,27.68,1787.0,AM,-3.717,,none,27.68,,,False,False,False,False,
02501167-0151295,-3.001,103.42,2821.0,AM,-3.001,,none,103.42,,,False,False,False,False,
02530084+1652532,-3.193,90.37,2641.0,NM,-3.193,,none,90.37,,,False,False,False,False,
02535980+3206373,-2.788,65.02,2627.0,AM,-2.788,,none,65.02,,,False,False,False,False,
03231002-4631237,-3.348,23.17,2031.0,HLM,-3.348,,none,23.17,,,False,False,False,False,
03264225-2102057,-4.235,13.77,1346.0,HLM,-4.235,,none,13.77,,,False,False,False,False,
03350208+2342356,,,,AM,,,none,,,,False,False,False,False,
03393521-3525440,-3.563,29.62,1939.0,AM,-3.563,,none,29.62,,,False,False,False,False,
03421621-6817321,-3.848,12.38,1590.0,HLM,-3.848,,none,12.38,,,False,True,False,False,
03552337+1133437,-4.104,21.62,1478.0,BM,-4.104,,none,21.62,,,False,False,False,False,
04362788-4114465,-2.872,38.5,2452.0,HLM,-2.872,,none,38.5,,,False,False,False,False,
05012406-0010452,-3.962,22.15,1563.0,AM,-3.962,,none,22.15,,,False,False,False,False,
05184616-2756457,-3.575,19.94,1808.0,BM,-3.575,,none,19.94,,,False,False,False,False,
05361998-1920396,-3.826,27.71,1666.0,AM,-3.826,,none,27.71,,,False,False,False,False,
05575096-1359503,,,,AM,,,none,,,,False,False,False,False,
06023045+3910592,-3.65,27.88,1857.0,AM,-3.65,,none,27.88,,,False,False,False,False,
06085283-2753583,-3.344,37.85,2147.0,AM,-3.344,,none,37.85,,,False,False,False,False,
06524851-5741376,,,,AM,,,none,,,,False,False,False,False,
07123786-6155528,-3.598,35.66,1861.0,AM,-3.598,,none,35.66,,,False,False,False,False,
07140394+3702459,-3.479,77.81,2352.0,AM,-3.479,,none,77.81,,,False,False,False,False,
G196-3B,-3.752,32.83,1789.0,AM,-3.752,,none,32.83,,,False,False,False,False,
10220489+0200477,-3.323,47.09,2097.0,NM,-3.323,,none,47.09,,,False,False,False,False,
10224821+5825453,-3.682,27.55,1823.0,NM,-3.682,,none,27.55,,,False,False,False,False,
TWA28,-2.561,35.39,2664.0,HLM,-2.561,,none,35.39,,,False,False,False,False,
11193254-1137466,-4.363,6.57,1223.0,HLM,-4.363,,none,6.57,,,False,True,False,False,
TWA26,-2.587,35.3,2641.0,BM,-2.587,,none,35.3,,,False,False,False,False,
114724.10-204021.3,-4.346,6.64,1235.0,HLM,-4.346,,none,6.64,,,False,True,False,False,
TWA27A,-2.602,33.04,2635.0,BM,-2.602,,none,33.04,,,False,False,False,False,
12074836-3900043,-3.485,13.75,1882.0,HLM,-3.485,,none,13.75,,,False,False,False,False,
TWA29,-2.905,24.74,2394.0,HLM,-2.905,,none,24.74,,,False,False,False,False,
14252798-3650229,-4.038,22.52,1535.0,BM,-4.038,,none,22.52,,,False,False,False,False,
15525906+2948485,-3.538,30.34,1967.0,AM,-3.538,,none,30.34,,,False,False,False,False,
17260007+1538190,-3.844,24.82,1667.0,NM,-3.844,,none,24.82,,,False,False,False,False,
18212815+1414010,-2.801,121.27,2986.0,NM,-2.801,,none,121.27,,,False,False,False,False,
20004841-7523070,-2.972,24.28,2375.0,HLM,-2.972,,none,24.28,,,False,False,False,False,
20575409-0252302,-3.767,69.5,2041.0,NM,-3.767,,none,69.5,,,False,False,False,False,
21140802-2251358,-4.39,6.44,1213.0,BM,-4.39,,none,6.44,,,False,True,False,False,
21265040-8140293,-3.866,24.21,1651.0,AM,-3.866,,none,24.21,,,False,False,False,False,
