jname,bname,ra,dec,pos_err_arcsec,match_radius_arcsec,pmra,pmdec,p0_s,p1,edot_w,dist_kpc,assoc,binary,bincomp,ptype,allwise_match,allwise_dist_arcsec,allwise_n_control_hits,allwise_p_chance,catwise_match,catwise_dist_arcsec,catwise_n_control_hits,catwise_p_chance,designation,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,W4mag,ph_qual,cc_flags,catwise_name,W1mag_cat,W2mag_cat,pmra_catwise,pmdec_catwise,w1_w2,t_colour_k,shape_class,p_chance,veto_reason,verdict,ring_candidate,f_min_300K_W2,f_min_500K_W2,f_min_700K_W2,ring_radius_300K_au,ring_radius_500K_au,ring_radius_700K_au
J0002+6216,,0.742375,62.26927777777777,0.1717171201855361,1.5,32.5,-13.7,0.1153635682679766,5.967032590337773e-15,1.5343064289991671e+28,7.892,"GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_J000257.6+621609[wcp+18]",,,HE[wcp+18],False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.044385888670580735,0.005293576839590835,0.003375466937962917,5.449383029567436,1.961777890644277,1.0009070870634067
J0006+1834,,1.5200000000000002,18.58305555555556,4.907748284236773,8.0,,,0.69374767047,2.097e-15,2.4794397172145647e+25,0.661,,,,,False,,3,0.17183157711903657,False,,6,0.3490331171838814,,,,,,,,,,,,,,,,,no_counterpart,0.17183157711903657,,no_counterpart,False,0.19267804735123115,0.0229792864242481,0.014652818676950567,0.2190625099587026,0.07886250358513294,0.04023597121690456
J0007+7303,,1.757083333333333,73.05205555555555,1.1852276737605465,2.370455347521093,,,0.3158731908527248,3.603904521905286e-13,4.514344633110194e+28,,"GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04]",,,NRAD[aab+22],False,,0,0.07808157711903659,False,,2,0.22403311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,9.347352869517955,3.3650470330264644,1.7168607311359512
J0011+08,,2.8916666666666666,8.166666666666666,665.0276527257911,8.0,,,2.55287,,,1.272,,,,,False,,1,0.10933157711903659,False,,4,0.2865331171838814,,,,,,,,,,,,,,,,,no_counterpart,0.10933157711903659,,no_counterpart,False,inf,inf,inf,,,
J0012+5431,,3.0970833333333334,54.52777777777778,9.04199671520656,8.0,,,3.0253007099721887,1.2813422140061522e-16,1.8269187080780641e+22,5.729,,,,RRAT[dcm+23],False,,7,0.29683157711903657,False,,11,0.5052831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.29683157711903657,,no_counterpart,False,19643.609521195453,2342.748101296622,1493.8611452201724,0.005946355833314696,0.002140688099993291,0.001092187806119026
J0014+4746,B0011+47,3.573958333333333,47.77594444444444,0.5025788578663632,1.5,19.3,-19.7,1.2406990389455896,5.644584230506426e-16,1.1667890839703216e+24,1.545,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,22.369046963497723,2.6677908785044946,1.7011257568685836,0.04752120682234019,0.01710763445604247,0.008728384926552282
J0021-0909,,5.464458333333333,-9.166305555555557,1.1863225611522374,2.372645122304475,,,2.314130829094102,1.0389090898677685e-15,3.3095851448655945e+23,1.253,,,,,False,,1,0.10933157711903659,False,,2,0.22403311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.10933157711903659,,no_counterpart,False,51.869427503940756,6.186083197646704,3.9445765957292407,0.025309179257569068,0.009111304532724867,0.0046486247615943185
J0023+0923,,5.820334458333334,9.3899695,0.0005214413417804,1.5,-11.0,-8.8,0.0030502031047543,1.1423447047080355e-20,1.5891710071790796e+27,0.687,"GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+13],GRS:3FGL_J0023.4+0923[bbc+24]",ELL1,UL[hrm+11],"HE,HE[bbc+24]",False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.003247324671520568,0.00038728440922681845,0.00024695319602363055,1.7537860009047401,0.6313629603257065,0.3221239593498502
J0024-7204C,B0021-72C,5.959810833333334,-72.075418,0.0006108340350367,1.5,5.25,-2.55,0.0057567799955163,-4.985029544717539e-20,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204D,B0021-72D,6.057837166666667,-72.07884788888889,0.0003416052740599,1.5,5.25,-2.55,0.0053575732848657,-3.422042178952724e-21,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204E,B0021-72E,6.046272,-72.08893033333332,0.0003052898441047,1.5,5.25,-2.55,0.0035363291527624,9.851030085127412e-20,8.793936763028283e+27,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",DD,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.02540249663428714,0.0030295679973661137,0.0019318141440656357,4.125560418211588,1.4852017505561719,0.7577559951817203
J0024-7204F,B0021-72F,6.016064458333334,-72.07856063888889,0.0005030367259858,1.5,5.25,-2.55,0.0026235793525126,6.450286144485998e-20,1.410120105030911e+28,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.015841767536536405,0.0018893305111444974,0.0012047379056739575,5.224194466781504,1.8807100080413417,0.9595459224700723
J0024-7204G,B0021-72G,6.033167916666667,-72.07769527777778,0.0006804894173611,1.5,5.25,-2.55,0.0040403791435651,-4.215844380835049e-20,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204H,B0021-72H,6.02793,-72.06855741666666,0.0011014100562717,1.5,5.25,-2.55,0.0032103407093503,-1.8293660259448614e-21,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",DD,He[fck+03],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204I,B0021-72I,6.03306125,-72.07768930555555,0.001158561149837,1.5,5.25,-2.55,0.0034849920616628,-4.587352036000304e-20,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",ELL1,UL[fck+03],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204J,B0021-72J,5.997532083333334,-72.06633077777778,0.0006806814653112,1.5,5.25,-2.55,0.0021006335453524,-9.791695406637456e-21,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",BTX,UL[fck+03],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204L,B0021-72L,6.0157170833333335,-72.08247861111111,0.00243240678337,1.5,5.25,-2.55,0.0043461679994615,-1.2204485685975984e-19,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204M,B0021-72M,5.97704125,-72.09187666666666,0.0024320071113764,1.5,5.25,-2.55,0.0036766432176002,-3.8418670373886966e-20,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204N,B0021-72N,6.038283333333334,-72.0746918611111,0.0011586801436079,1.5,5.25,-2.55,0.0030539543462608,-2.1856974158788172e-20,,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",,,,False,,1,0.10933157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.10933157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204O,,6.019385583333333,-72.08160194444444,0.0003415719051871,1.5,5.25,-2.55,0.0026433432972435,3.0349320004468543e-20,6.487061162721583e+27,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",BTX,UL[fck+03],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.03443592459227557,0.004106918174478029,0.0026187900799303633,3.543360005076694,1.27560960182761,0.65082122542225
J0024-7204P,,6.083333333333333,-72.06944444444444,147.57641327140382,8.0,5.25,-2.55,0.003643020693669,6.635799887250383e-19,5.418363073391999e+28,4.52,GC:47Tuc(NGC104),BT,UL[clf+00],,False,,4,0.20308157711903657,False,,5,0.3177831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.20308157711903657,,no_counterpart,False,0.004122794024674222,0.000491695167475249,0.0003135310644696579,10.240598375781309,3.686615415281271,1.880926232286363
J0024-7204Q,,6.068712083333334,-72.07365677777777,0.0007570724705402,1.5,5.25,-2.55,0.0040331811845725,3.4008477062590984e-20,2.046462182288048e+27,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+15]",ELL1,He[rvh+15],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.10915811245297527,0.013018481171415993,0.008301277965392493,1.9901836051932003,0.7164660978695521,0.36554392748446535
J0024-7204R,,6.031604583333333,-72.08066538888889,0.0010497572124854,1.5,5.25,-2.55,0.0034804627074932,1.4835187811540882e-19,1.3891266119140094e+28,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06]",ELL1,UL[clf+00],,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.016081179865754972,0.0019178834499055037,0.0012229447823643325,5.185160430951494,1.8666577551425378,0.9523764056849685
J0024-7204S,,6.016580833333334,-72.07843138888889,0.0006107773078723,1.5,5.25,-2.55,0.0028304059578791,-1.2054129011747053e-19,,4.52,"GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+15]",ELL1,He[rvh+15],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J0024-7204T,,6.03562125,-72.07748111111111,0.0037850719020518,1.5,5.25,-2.55,0.007588479807367,2.9380456006692413e-19,2.6543239169412105e+27,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15]",ELL1,He[cpf+15],,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.08416001814970182,0.010037143250712727,0.0064002178906686445,2.266565336744087,0.8159635212278714,0.416307918993812
J0024-7204U,,6.040985833333334,-72.06658005555555,0.0006110004269288,1.5,5.25,-2.55,0.0043428266963923,9.522788323951408e-20,4.589933261596908e+27,4.52,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15]",ELL1,He[egh+01],,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.04866910612709864,0.005804404523926072,0.0037011979156590913,2.9805366601991365,1.0729931976716893,0.5474455090161681
J0024-7204V,,6.023625,-72.08128333333333,0.0472211121509066,1.5,5.25,-2.55,0.004810167624577,,,4.52,GC:47Tuc(NGC104),BTX,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
