source_id,ra,dec,ccd,sep_arcsec,g_n_epochs,g_n_seasons,g_baseline_yr,g_mag_med,g_slope_var_yr,g_slope_sigma,g_v_first,g_v_last,g_amp_first_mmag,g_amp_last_mmag,g_amp_growth,g_monotonic_frac,g_rank_rho,g_rank_p,g_slope_sigma_loo_min,g_frac_seasons_positive,g_score,r_n_epochs,r_n_seasons,r_baseline_yr,r_mag_med,r_slope_var_yr,r_slope_sigma,r_v_first,r_v_last,r_amp_first_mmag,r_amp_last_mmag,r_amp_growth,r_monotonic_frac,r_rank_rho,r_rank_p,r_slope_sigma_loo_min,r_frac_seasons_positive,r_score,is_candidate,n_bands_candidate,g_n_per_season,g_v_exc,r_n_per_season,r_v_exc
667102400002923_667202400023446,150.32941525,29.652525349999998,667_0x2_0x4,0.08557596264042669,142,7,6.206348454893897,21.1404896,-0.0022472437532658185,0.5176430669652199,-0.00844595288191801,-0.022393130677769286,0.0,0.0,inf,0.6666666666666666,-0.42857142857142855,1.0,-1.3675291141447738,0.2857142857142857,0.0,206,7,6.125593961396311,20.85089305,0.005203411601465607,0.9540769996659821,-0.01622494492249842,0.015649041762098814,0.0,125.09613008442273,inf,0.8333333333333334,0.8928571428571429,0.006150793650793651,0.6092695694596091,0.42857142857142855,0.3329580316379795,False,0,"20,37,38,11,9,11,16","0.0202049,-0.0128751,-0.0167378,-0.0222071,-0.0497663,-0.0232406,0.00511773","18,54,54,17,26,8,19","-0.0132434,-0.00939205,-0.00828355,0.0190121,-0.00183665,0.0148719,0.0277923"
620115200000987_620215200001795,149.66932905,29.61959315,620_0xf_0x2,0.008386396088960954,122,6,6.274626207255297,21.181345925000002,0.008010908590452967,1.2109519821844625,-0.030349722708365667,0.019915734277217108,0.0,141.12311744436877,inf,1.0,1.0,0.001388888888888889,0.8753603044228235,0.3333333333333333,0.4166887912503146,477,8,6.871961587816546,20.070125124999997,0.0012340855987373112,0.8594416559584582,-0.00328813633119928,0.005192452499401106,0.0,72.05867400529311,inf,0.5714285714285714,0.8809523809523809,0.003621031746031746,0.500866570448064,0.5,0.32706479932142507,False,0,"20,29,34,11,8,9","-0.0325297,-0.0192317,-0.0123952,-0.000157171,0.00256876,0.0561814","47,93,106,39,70,56,48,18","-0.00315758,-0.000306327,-0.0025768,0.00189939,0.00195212,-0.000277913,0.00899247,0.00413119"
620115200001071_620215200001930,149.5904451,29.6002418,620_0xf_0x2,0.012020915013631141,435,8,6.4701857713894695,15.185660825,-6.280609321777228e-06,0.8145340077013565,1.2712399976183794e-05,-2.7924309093235293e-05,3.565445270395241,0.0,0.0,0.5714285714285714,-0.5476190476190477,1.0,-1.0928054579531998,0.5,0.0,738,8,6.8637892298425625,14.676295799999998,5.523263049969356e-06,0.7953631371874228,-3.831772151643712e-05,-4.072080804700683e-07,0.0,0.0,inf,0.7142857142857143,0.8571428571428571,0.005357142857142857,0.5935061163503695,0.0,0.32507683771914375,False,0,"53,107,96,44,39,34,46,16","3.17693e-06,2.99976e-06,1.13858e-05,-7.41935e-06,-2.88693e-05,0.000121016,-4.04936e-05,-4.01636e-05","67,124,134,82,123,104,72,29","-4.41682e-05,-3.66306e-05,-2.08582e-05,-2.39561e-05,-1.15699e-05,-5.22051e-06,-1.63882e-05,-9.69936e-06"
620115200004198_620215200000898,149.4240329,29.7439264,620_0xf_0x2,0.016087839240467704,405,8,6.4796663561943975,19.4752283,-0.000532536601195995,1.3470935756648683,0.0006564557117903927,-0.002794203786421409,25.621391683325726,0.0,0.0,0.5714285714285714,-0.5238095238095238,1.0,-1.4875910278433813,0.375,0.0,691,8,6.867888353456542,19.1540041,0.00015509810054518283,0.4585657750983081,1.931525699205223e-05,0.0010845116953695452,4.3949126262136575,32.93192516949996,7.493192236195093,0.8571428571428571,0.8095238095238095,0.010887896825396825,0.32161291187429886,0.875,0.30699939084898104,False,0,"49,100,94,40,35,31,41,15","0.000521731,-8.16842e-05,-0.00128465,0.00061178,0.00899317,-0.00123171,-0.00361131,-0.00332512","62,123,129,73,115,96,65,26","-0.000176033,0.000220351,0.000241753,0.000942801,0.00129104,0.000280437,0.000503151,0.00201765"
667102300011126_667202300015439,149.4015942,29.6323333,667_0x2_0x3,0.0531016512348935,353,8,6.496151418480482,19.9149666,-0.00015238819143604715,0.14605708938099196,-0.0018841927701144126,-0.0028741295360713657,0.0,0.0,inf,0.42857142857142855,0.23809523809523808,0.2910714285714286,-0.5836848240365913,0.375,0.0,786,8,6.80626042546201,18.457195300000002,0.00041059019328271314,2.572348362207154,-0.0011514156050807683,0.0016431681785421598,0.0,40.536010885904396,inf,0.7142857142857143,0.8333333333333334,0.007688492063492063,1.95983179918033,0.5,0.30677091107275384,False,1,"41,87,97,34,24,25,34,11","-0.00143435,0.00100458,-0.00442099,-0.00652738,-0.000553066,-0.0068405,6.8745e-05,0.00695498","67,135,136,127,124,113,59,24","-0.000724263,-0.000529496,-0.000326517,-0.00108892,0.00114687,0.00111573,0.00156096,0.00301326"
620115100001056_620215100001879,150.5560488,29.6004808,620_0xf_0x1,0.20769172575333417,103,5,6.158543900616028,21.2696419,-0.004132769158622609,0.6811533460310024,0.0036333626512510715,-0.02181847764323823,60.27738092560983,0.0,0.0,1.0,-1.0,1.0,-0.7150122300838286,0.2,0.0,202,7,6.251558515263511,20.6873131,0.008679956846326714,1.4792313885388375,-0.010358448410069436,0.04390480972470415,0.0,209.53474586498572,inf,0.5,0.8928571428571429,0.006150793650793651,1.1572148090346213,0.5714285714285714,0.2912913649713128,False,0,"15,26,26,12,10","0.0203212,-0.00136636,-0.0107928,-0.0112494,-0.0173733","24,47,55,14,23,17,17","-0.00305841,-0.0117947,0.0255768,-0.00136829,0.0304864,0.028285,0.0695154"
667102300007264_667202300015440,149.47393605000002,29.6319637,667_0x2_0x3,0.017758455726668346,158,5,6.222680527036272,21.13692855,-0.0018534144470931317,0.42598449224157103,0.00896299597812957,-0.0025702100103245588,94.67310060481577,0.0,0.0,0.75,-0.9,1.0,-0.4316319341758319,0.8,0.0,595,8,6.865251524161557,19.786813725000002,0.0009628780529840528,1.0467969069126977,-0.00642533063007628,0.0001850693907542002,0.0,13.60402112443965,inf,0.7142857142857143,0.7857142857142857,0.013963293650793651,0.5973682069642765,0.375,0.2765371292874286,False,0,"28,48,49,14,10","0.00744918,0.00681901,0.00683768,0.00159864,-0.00336907","50,118,120,86,91,70,41,19","-0.00387244,-0.00330407,-0.00510916,-0.0094058,-0.00261234,0.000876711,0.00230368,0.00751247"
620115200001638_620215200002892,149.7241701,29.4734747,620_0xf_0x2,0.15367126049263308,83,4,3.004624036550325,21.353373525,-0.002596147840690201,0.16296063287129678,-0.004882143545713129,-0.012682591750289131,0.0,0.0,inf,0.3333333333333333,-0.2,1.0,-0.3578369661383248,0.25,0.0,506,8,6.692313832580431,20.006913675,0.0012941433250825553,1.024712851319009,-0.005639945738383404,0.0030208675374082143,0.0,54.962419319096696,inf,0.5714285714285714,0.8095238095238095,0.010887896825396825,0.7789240506948285,0.5,0.2712851051346953,False,0,"12,14,30,10","0.00687102,-0.018005,-0.0137344,-0.00446195","50,93,109,43,74,69,45,22","-0.00436295,-0.00282181,-0.00526511,0.00118961,-0.00248643,0.00140384,0.00118539,0.0127231"
620115200000970_620215200013917,149.4923497,29.6234335,620_0xf_0x2,0.008913200680136728,305,8,6.504365604517467,20.414329525,-0.0008286454305109237,0.48525590074599917,0.001787205195268456,-0.003602607641287365,42.27534973561373,0.0,0.0,0.42857142857142855,-0.07142857142857142,1.0,-0.7535131532078355,0.25,0.0,706,8,6.866546568925388,18.961899275,0.0002303649674284022,0.9337507251585936,-0.0006677373915626512,0.0009140743851334528,0.0,30.23366311139708,inf,0.8571428571428571,0.7380952380952381,0.022916666666666665,0.6494000821401579,0.75,0.2692918549015494,False,0,"35,69,76,33,26,26,30,10","-0.00348718,0.011486,-0.00508024,0.00608166,-0.00637596,-0.00353118,-0.00172498,-0.00239069","65,118,134,77,115,100,68,27","-0.00101856,-0.000749597,8.04025e-06,0.000842474,0.001047,8.05825e-05,0.000111866,0.000970985"
667102300007220_667202300007897,149.60258399999998,29.643893749999997,667_0x2_0x3,0.03194509257470905,206,7,6.1887222094455785,20.9659061,0.0005336449374591516,0.1462297419907492,-0.003005787142805048,0.00029679313360660067,0.0,17.227685091346448,inf,0.6666666666666666,0.03571428571428571,0.48174603174603176,0.0,0.2857142857142857,0.17083333333333334,698,8,6.66079693963039,19.552145499999998,0.001032216172167014,1.6852860159266683,-0.004143056450007363,0.00273232587059968,0.0,52.2716545615277,inf,0.42857142857142855,0.8095238095238095,0.010887896825396825,1.311609486773415,0.5,0.2623565337061239,False,0,"34,59,51,20,11,12,16","-0.00187171,-0.00339779,-0.00337368,0.0118641,-0.0179968,-0.00564138,0.0210438","61,123,136,93,118,96,50,20","-0.00419246,-0.00254135,-0.00256774,-0.00313335,0.00313016,0.000385715,0.000168092,0.00557021"
