source_id,ra_deg,dec_deg,sample,class,glat_deg,ecl_lat_deg,poss1_e,epoch_poss1,gaia_g,ps1_r,w1,w2,w3,w4,w3_lim,w4_lim,2mass_j,2mass_ks,wise_ccf,wise_id,allwise_sep_arcsec,n_ir_neighbours,bright_nb_gmag,bright_nb_sep_arcsec,pm_recovered,pm_total_mas_yr,n_ir_bands,tdust_fit_k,eta_max,eta_lo,eta_hi,budget_verdict,ftk_class,vet_flags,p_chance_match,modern_depth_mag,modern_depth_cats,modern_depth_margin_mag,class_reason
VASCO-VO-0111204,48.866081,3.375706,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-43.77722883817542,-14.18487279412119,,1973.4,,,,,,,,,13.619,12.864,,,,0,16.367878,5.870121,False,130.1593362613685,3.0,80.0,7.462056185450229,0.06926076317015624,7.462056185450229,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",4.0,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0342670,43.479062,7.7585,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.212964997469115,-8.472954633743454,,1978.5,,,15.711,15.285,11.486,8.76,,,,,0000,J025354.77+074534.5,4.937458,0,16.268818,43.716223,False,0.0,4.0,180.0,1.8069696474783854,0.0167717977055288,1.8069696474783854,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",2.960000000000001,"4 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0054849,44.325098,2.538075,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.5767248000681,-13.711701242141084,,1972.8,,,,,,,,,16.337,15.605,,,,0,11.43987,10.269468,False,10.658747487392692,3.0,80.0,1.6135105274048638,0.014976163102207923,1.6135105274048638,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",2.9899999999999984,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0257352,40.849578,4.998548,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.00182598057181,-10.325850601656514,,1979.4,,,,,,,,,16.369,15.436,,,,0,14.637602,16.306385,False,34.695232194063784,3.0,1800.0,1.4172627525990398,0.013154644968908556,1.4172627525990398,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",2.960000000000001,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0252124,41.260925,5.017778,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.72999092576849,-10.432495283687713,,1973.8,,,,,,,,,16.005,15.062,,,,0,18.899687,5.357016,False,25.593474363595107,3.0,80.0,1.1792190890628584,0.01094518883582785,1.1792190890628584,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.8000000000000007,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0025886,47.291087,2.268675,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.67910483194309,-14.817567282744436,17.3,1976.9,,,,,,,,,12.991,12.058,,,,0,16.616676,8.30693,False,16.42294057104269,3.0,1400.0,1.0576831395068498,0.16709936204454856,1.0576831395068498,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",5.899999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0033678,45.462639,2.233931,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.00408338862744,-14.332837149070148,18.61,1976.2,,,13.577,13.419,10.573,8.326,,,,,0000,J030151.07+021357.4,4.782872,0,19.315926,32.756584,False,0.0,4.0,250.0,1.013007680552577,0.16004125512059106,1.013007680552577,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",4.59,"4 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0317997,46.646587,7.84502,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-42.10689440227119,-9.282310634084233,,1981.1,,,,,,,,,15.795,,,,,0,16.025965,52.778436,False,4.680340265408061,2.0,,0.9911845433342052,0.009199903646885738,0.9911845433342052,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",3.5199999999999996,"2 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0027408,46.897992,2.302092,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.93799149616484,-14.675497890491572,18.94,1967.7,,,15.323,14.999,11.179,,,8.154,17.162,15.644,0000,J030735.74+021811.1,4.93,0,,,False,,6.0,250.0,0.7927138012166289,0.12523785765268872,0.7927138012166289,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",4.259999999999998,"6 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0087825,44.248775,3.3249,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.055308745901904,-12.937013787679993,18.41,1974.2,,,17.596,16.895,,8.698,12.29,,,,0000,J025700.02+031930.2,4.794876,0,19.730665,44.001249,False,5.688727889431872,3.0,120.0,0.7618664496195673,0.12036440115130569,0.7618664496195673,ENERGY_CONSERVING_OBSCURATION,OBSCURATION_LIKE,,0.0,23.2,"ps1,gaia",4.789999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
