Unnamed: 0,Names,Class,[H/Si],[C/Si],[O/Si],[Na/Si],[Mg/Si],[Al/Si],[Si/Si],[P/Si],[S/Si],[K/Si],[Ca/Si],[Ti/Si],[Cr/Si],[Mn/Si],[Fe/Si],[Co/Si],[Ni/Si],[Cu/Si],[Zn/Si],[He/Si],[Li/Si],[Be/Si],[B/Si],[N/Si],[F/Si],[Ne/Si],[Cl/Si],[Ar/Si],[Sc/Si],[V/Si],[Ga/Si],[Ge/Si],X_H,X_He,X_Li,X_Be,X_B,X_C,X_N,X_O,X_F,X_Ne,X_Na,X_Mg,X_Al,X_Si,X_P,X_S,X_Cl,X_Ar,X_K,X_Ca,X_Sc,X_Ti,X_V,X_Cr,X_Mn,X_Fe,X_Co,X_Ni,X_Cu,X_Zn,X_Ga,X_Ge
0,earth_bulk_allegre,EARTH_A,-34.788,-1.634,0.522,-1.874,0.028,-1.037,0,-1.628,-2.437,-3.144,-1.178,-2.582,-1.873,-2.381,-0.072,-2.65,-1.325,-3.777,-4.22,-10.595,-4.264,-6.077,-5.407,-4.827,-4.354,-10.054,-4.334,-9.801,-4.433,-3.523,-5.132,-4.782,9.94514428402658e-38,6.158755514938276e-13,2.2882845407674686e-06,4.570677327351653e-08,2.5643437984870364e-07,0.0016893892374469,1.2632685517222197e-06,0.3222874502183663,5.0917568416712005e-06,1.0791088683478496e-11,0.0018607377517703,0.1569806711595508,0.0150043527520148,0.170068931966235,0.004417174059848,0.0007097641740041,9.948710551500398e-06,3.825124695711463e-11,0.0001699450153183,0.0161085554751154,1.0044708314668895e-05,0.0007589038667618,9.251715834371648e-05,0.0042181432692026,0.0013836420400693,0.2865067454861016,0.0007989333223135,0.0168166631197409,6.430411633638674e-05,2.3855881694941268e-05,3.115491864677001e-06,7.265518288438753e-06
1,earth_bulk_mcdonough,EARTH_M,-1.347,-1.974,0.51,-1.865,0.043,-0.988,0,-1.461,-2.166,-3.146,-1.128,-2.53,-1.802,-2.268,-0.002,-2.584,-1.266,-3.783,-3.972,,-4.558,-6.014,-5.491,-3.507,-4.037,,-3.427,,-4.374,-3.444,-5.125,-4.774,0.000259823264606,,1.1004668728577195e-06,5.0008923945487656e-08,2.0000607957903317e-07,0.0007307968557225,2.497828587644811e-05,0.2966950779103265,9.998494283282916e-06,,0.0017978444591766,0.1537846995714218,0.0158958667244185,0.1609503521969192,0.0061406092162977,0.0012536636139072,7.600352632824532e-05,,0.0001600941187066,0.0171050183365905,1.0889408171654176e-05,0.0008095687070389,0.0001050241637078,0.0047009785923887,0.0016985983426424,0.3185677428500429,0.0008801921324412,0.018230843849257,6.002134477871842e-05,3.996339902713314e-05,2.9963570866999624e-06,7.003796958517956e-06
2,earth_core,EARTH_C,-5.445,-1.108,,,,,0,-0.557,-1.276,,,,-1.091,-1.592,0.853,-1.702,-0.382,-3.036,,-34.932,,,,-2.601,,,-2.578,,,-2.861,,-3.89,7.717151264718673e-09,9.984788935380776e-38,,,,0.0019979087450797,7.487582309349725e-05,,,,,,,0.0599060809599933,0.0183227407940477,0.0036220963521858,0.0001998079299241,,,,,,0.0001496470671383,0.0089942975577312,0.0029982626433375,0.849142887278558,0.0024966430799129,0.0519500235771468,0.0001247626811857,,,1.995779351373168e-05
3,earth_silicate,EARTH_S,-1.877,-2.874,0.566,-1.804,0.098,-0.934,0,-2.982,-3.41,-3.086,-1.073,-2.475,-2.171,-2.594,-0.824,-3.623,-2.35,-4.2,-3.949,,-4.511,-5.983,-5.43,-4.719,-3.976,,-4.193,,-4.322,-3.667,-5.115,-5.693,0.0001000251706253,,1.5995883749513744e-06,7.006139420905985e-08,3.0024408668996106e-07,0.0001200129015328,1.9998337683633187e-06,0.4402928238934976,1.5009487664962851e-05,,0.0026988787980457,0.2276902291536863,0.0234809399829927,0.209953537758971,0.0002413474561977,9.324215166588582e-05,1.699280244004479e-05,,0.0002397765148219,0.0253253123073373,1.601162988092857e-05,0.0011986295446495,8.198237539747294e-05,0.0026219206202154,0.0010459765825979,0.0626084661423861,0.0001049563569683,0.0019599186109366,2.997346747948497e-05,5.4965943235032696e-05,3.999676203789551e-06,1.1009429453811792e-06
4,mars_bulk,MARS,-34.781,-1.386,0.547,-1.378,-0.012,-1.129,0,-0.941,-2.227,-2.506,-1.257,-2.645,-1.928,-2.165,-0.089,-2.648,-1.348,-3.641,-3.774,,-4.391,,-5.112,-2.669,-3.538,,-3.248,,-4.506,-3.598,-4.822,-4.463,9.987929019476596e-38,,1.688007553458019e-06,,4.998510504927629e-07,0.0029552490213142,0.0001796222134695,0.337371004023706,3.2940638628493044e-05,,0.0057616852250418,0.1414850460932235,0.0119972476824115,0.1680696684810895,0.0212328783796498,0.0011375707934209,0.0001198481003724,,0.0007297477923543,0.0132715288702457,8.390767531141829e-06,0.0006487107946531,7.692839012128978e-05,0.0036727019497445,0.0022484752324464,0.272269635841014,0.0007931857337637,0.0157617408733766,8.691668092663289e-05,6.583545349328806e-05,6.286240330774022e-06,1.496686906653183e-05
5,venus_bulk,VENUS,-2.21,-2.16,0.535,-1.969,0.026,-1.011,0,-1.047,-1.972,-3.167,-1.147,-2.502,-1.858,-2.828,-0.004,-2.607,-1.271,-4.01,-3.652,,-4.304,-6.033,-6.784,-4.264,-3.853,,-3.98,,-4.399,-3.523,-5.063,-5.12,3.5050333532130644e-05,,1.943529304625856e-06,4.710441662537923e-08,1.002437527918327e-08,0.0004686091775411,4.301072384404711e-06,0.309260505395352,1.502964498884969e-05,,0.001392407121048,0.1455215286842144,0.0148353683031994,0.1583820832520898,0.0156756507820285,0.0019283911996972,2.0933789962432542e-05,,0.0001501030432831,0.0161115626280979,1.01162230553861e-05,0.0008497043319751,8.615953605183135e-05,0.0040663278710457,0.0004603676685882,0.3120440587671421,0.0008214698002145,0.0177345793164585,3.502029831998309e-05,8.216304747442254e-05,3.401008272365656e-06,3.107045885372201e-06
6,chondrites,CHONDRITES,0.74,-0.11,0.88,-1.24,0.02,-1.08,0,-0.35,-2.11,-2.45,-1.22,-2.62,-1.88,-2.04,-0.06,-2.65,-1.32,-3.28,-2.9,-6.22,-4.26,-6.13,-4.76,-1.26,-3.08,-8.63,-2.28,-8.02,-4.47,-3.54,-4.44,-3.92,0.0209852468704349,9.136838710995604e-09,1.4448175920716128e-06,2.5309499511379617e-08,7.116709597081937e-07,0.0353209777769804,0.0029160749297041,0.4597760966225361,5.986467787958654e-05,1.7921248258695187e-10,0.0050117357397448,0.0964160146358485,0.0085019835477486,0.1063966560565719,0.0524140245102451,0.0009427945612605,0.0007048063204643,1.4452686813384235e-09,0.0005255468351748,0.0091487043143255,5.770857153174333e-06,0.0004350005038819,5.565770304827002e-05,0.0025967152043121,0.0018981334531699,0.1842628761592485,0.0004998198843466,0.0106424794101243,0.0001263402607622,0.0003118160507425,9.59024309585537e-06,3.30803118233944e-05
7,solar_lodders,SOLAR_L,4.46,0.85,1.15,-1.24,0.01,-1.08,0,-0.35,-2.08,-2.43,-1.2,-2.62,-1.89,-2.04,-0.07,-2.63,-1.32,-3.28,-2.91,3.36,-4.26,-6.13,-4.76,0.29,-3.08,0.33,-2.28,-0.99,-4.47,-3.54,-4.44,-3.92,0.75019238706739,0.2366216773090365,9.841733277614708e-09,1.7240193152947974e-10,4.847723204165531e-09,0.0021942761741578,0.0007047859684937,0.0058318313867573,4.077830971011664e-07,0.0011133374708231,3.413868067437881e-05,0.0006418118715207,5.791336904171877e-05,0.0007247472042733,0.0003570311242518,6.881381547154933e-06,4.800963011836633e-06,0.0001054889966818,3.748607719020345e-06,6.525565623529385e-05,3.9309624409626965e-08,2.9631137925831992e-06,3.791262448987445e-07,1.7285537588134427e-05,1.29296066672549e-05,0.0012265815160088,3.5651031481496423e-06,7.249388735416169e-05,8.605980128354602e-07,2.0756639221520336e-06,6.53263187926468e-08,2.253347464017002e-07
8,solar_asplund,SOLAR_A,4.49,0.92,1.18,-1.27,0.09,-1.06,0,-0.39,-2.1,-2.48,-1.17,-2.56,-1.87,-2.08,-0.01,-2.52,-1.29,-3.32,-2.95,3.42,-6.46,-6.13,-4.81,0.32,-2.95,0.42,-2.01,-1.11,-4.36,-3.58,-4.47,-3.86,0.7374144394734181,0.2492260952927899,5.6965324507261066e-11,1.5815433920170654e-10,3.963481169602815e-09,0.0023649952468301,0.0006927814236255,0.0057324984194791,5.046243520118372e-07,0.0012565095993006,2.922709949994644e-05,0.0007078589550857,5.563112146839908e-05,0.0006648528480119,0.0002987067675764,6.028574375985451e-06,8.20101006268232e-06,7.34084656027831e-05,3.064848276361608e-06,6.414416354360654e-05,4.645557918798917e-08,3.120953620277284e-06,3.171924446486974e-07,1.6604349861244832e-05,1.0817435095341408e-05,0.0012919193425965,4.213190385295445e-06,7.125910663728993e-05,7.200113187204853e-07,1.736584904356452e-06,5.592772718808805e-08,2.373379295513179e-07
9,Halley,Halley,1.04,0.64,0.68,,-0.27,-1.43,0,,-0.41,-2.97,-1.47,-2.66,-2.31,-2.57,-0.55,-2.79,-1.65,,,,,,,-0.64,,,,,,,,,0.0509481935862321,,,,,0.2416837356887383,0.0147915398146644,0.3529889387874117,,,,0.0601677655802063,0.0046209893534382,0.1294621116272416,,0.0574952247824998,,,0.0001931195019954,0.0062599995089572,,0.0004827301980298,,0.0011739214239763,0.0006816186284304,0.0725525286695423,0.0004405835088619,0.0060569993397735,,,,
