Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Fe],[C/Fe],[O/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Ti/Fe],[Cr/Fe],[Mn/Fe],[Fe/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[He/Fe],[Li/Fe],[Be/Fe],[B/Fe],[N/Fe],[F/Fe],[Ne/Fe],[Cl/Fe],[Ar/Fe],[Sc/Fe],[V/Fe],[Ga/Fe],[Ge/Fe]
0,0,Acapulco,ACA,,,,,-0.27879,-1.405,-0.253,-1.934,,-2.92,-1.596,-2.806,-1.784,,0.0,,,,,,,,,,,,,,,,,
1,1,Acapulco,ACA,,,,-1.2729,0.14429,-1.0269,0.1281,,,-2.6729,,,-1.5549,-1.9389,0.0,-2.3889,-1.1199,,-3.0719,,,,,,,,,,,,,
2,2,Acapulco,ACA,-1.5844,,0.7079,-1.1874,0.19261,-1.0244,0.1676,-1.9134,-0.8119,-2.5254,-1.0914,-2.6884,-1.8584,-1.8904,0.0,-2.3714,-1.2824,,,,,,,,,,,,,,,
3,3,ALH77081,ACA,,,0.7153,-1.1132,0.18365,-0.9782,0.2068,,-0.6621,-2.3732,-1.4582,,-1.6522,-1.8882,0.0,-2.4932,-1.1902,,,,,,,,,,,,,,,
4,4,ALH77081,ACA,,,,-1.1329,0.16273,-0.9989,0.1851,,,-2.4009,-1.4799,,-1.5069,-1.9059,0.0,-2.5169,-1.2229,,-2.9769,,,,,,,,,,,,,
5,5,Y74063,ACA,-0.954,,0.8335,-1.103,0.29499,-0.767,0.281,-1.719,-0.5061,-2.359,-0.852,-2.531,-1.88,-2.103,0.0,-2.81,-1.309,,,,,,,,,,,,,,,
6,6,A881371,ANG,,,0.8743,-2.5377,0.0414,-0.2279,0.2693,-2.1437,-1.2587,,-0.1751,-1.4817,-2.2907,-2.0737,0.0,,-2.9247,,,,,,,,,,,,,,,
7,7,Angra_Dos_Reis,ANG,,,1.2816,-2.148,0.2932,0.1288,0.727,-1.872,,,0.4802,-0.726,-1.673,-1.986,0.0,-3.577,-3.14,,-4.712,,,,,,,,,,,,,
8,8,Angra_Dos_Reis,ANG,-1.1194,,1.2525,-1.8784,0.2521,0.0778,0.6916,-2.0624,-0.9474,,0.46,-0.7004,-1.7454,-1.9024,0.0,,-2.5194,,,,,,,,,,,,,,,
9,9,DOrbigny,ANG,,,0.8527,-2.7916,-0.3294,-0.15,0.2694,-2.1826,,-3.2896,-0.1088,-1.4896,-2.7946,-1.9396,0.0,-3.7876,-3.3456,,,,,,,,,,,,,,,
10,10,LEW86010,ANG,,,0.9989,-2.5707,-0.164,0.0383,0.4153,-2.1407,,,0.1124,-1.2457,-2.2057,-1.9537,0.0,-3.8357,-3.5817,,-4.9637,,,,,,,,,,,,,
11,11,LEW87051,ANG,,,0.9803,-2.5537,0.251,-0.1753,0.3963,-2.3787,,,-0.163,-1.4707,-2.1077,-1.9017,0.0,-3.7637,-3.5467,,-5.2977,,,,,,,,,,,,,
12,12,Sahara_99555,ANG,,,0.8822,-2.7833,-0.265,-0.1175,0.3007,-2.1823,,-3.4563,-0.0769,-1.4503,-2.7223,-1.9433,0.0,-3.7863,,,,,,,,,,,,,,,,
13,13,Cumberland,ANOM,-0.4366,-1.5695,0.8326,-0.9055,0.27925,-0.9105,0.3105,-2.0025,-0.5858,-2.0585,-0.9355,-2.1335,-1.6885,-1.5635,0.0,-2.5235,-1.3185,,,,,,,,,,,,,,,
14,14,Weatherford,ANOM,0.3757,-1.0657,1.4225,-0.7487,0.89803,-0.1737,0.8693,,-0.7627,-1.8557,-0.3247,-1.6517,-1.1027,-1.4477,0.0,,-1.7967,,,,,,,,,,,,,,,
15,15,ALH78113,AUB,0.537,,2.1226,-0.663,1.64105,-0.799,1.631,,-0.405,,-0.304,,-1.45,-0.968,0.0,,-1.417,,,,,,,,,,,,,,,
16,16,Aubres,AUB,,,2.2189,-0.631,1.73074,-0.599,1.742,,-0.122,,-0.321,-0.855,-1.834,-1.26,0.0,,-2.022,,,,,,,,,,,,,,,
17,17,Bishopville,AUB,,,2.531,0.753,1.99629,0.787,2.053,,-0.051,-0.71,0.324,-1.365,-1.52,-1.791,0.0,,,,,,,,,,,,,,,,,
18,18,Bishopville,AUB,,,2.531,0.753,1.99629,0.787,2.053,,-0.051,-0.71,0.324,-1.365,-1.52,-1.791,0.0,,,,,,,,,,,,,,,,,
19,19,Bustee,AUB,,,2.1882,-0.291,1.696787,-0.198,1.703,,-0.271,-1.949,0.335,-1.577,-1.856,-1.173,0.0,,-1.568,,,,,,,,,,,,,,,
20,20,Cumberland_Falls,AUB,,,1.8,-1.248,1.320367,-1.045,1.319,,-0.416,,-0.609,-2.261,-1.841,-1.608,0.0,-2.43,-1.428,,,,,,,,,,,,,,,
21,21,Khor_Temiki,AUB,,,2.6835,0.491,2.18321,0.601,2.204,,-0.557,-1.161,0.338,-0.992,-1.67,-1.038,0.0,,-1.558,,,,,,,,,,,,,,,
22,22,Mayo_Belwa,AUB,,,3.1468,0.085,2.662178,0.221,2.669,,-0.095,,0.731,-0.752,-0.907,-0.877,0.0,,,,,,,,,,,,,,,,,
23,23,Mayo_Belwa,AUB,,,2.4779,0.595,1.93927,0.665,2.005,,,-0.583,0.137,-1.047,-1.092,-0.937,0.0,,-1.758,,,,,,,,,,,,,,,
24,24,Norton_County,AUB,,,,,1.65186,-0.651,1.591,-1.948,,-2.107,0.006,-1.509,35.921,-0.847,0.0,,,,,,,,,,,,,,,,,
25,25,Norton_County,AUB,,,2.0,-0.912,1.53214,-0.772,1.511,,-0.279,,-0.147,-2.365,-2.343,,0.0,,-1.629,,,,,,,,,,,,,,,
26,26,Norton_County,AUB,-0.181,,2.0008,-0.834,1.54751,-0.379,1.5,-2.007,-0.264,-1.528,-0.386,-1.581,-1.493,-1.104,0.0,,-1.623,,,,,,,,,,,,,,,
27,27,Pena_Blanca_Springs,AUB,,,3.4836,0.901,2.99171,0.966999999999999,3.006,,,-0.661,1.182,-0.891,-0.392,-0.061,0.0,,,,,,,,,,,,,,,,,
28,28,Pesyanoe,AUB,,,2.4862,0.309,1.98375,0.412,2.008,,,-1.181,0.059,-1.41,-1.389,-1.359,0.0,,-1.276,,,,,,,,,,,,,,,
29,29,Shallowater,AUB,,,1.0167,-1.4517,0.5351674,-1.3417,0.5353,,-0.3588,-2.7477,-1.9477,-2.9767,,,0.0,-2.6687,-1.5007,,,,,,,,,,,,,,,
30,30,Y793592,AUB,1.2233,,2.43,0.448,1.90254,0.593,1.93,-1.048,0.0,-0.674,0.444,,-1.446,-0.638,0.0,-1.451,-0.306,,,,,,,,,,,,,,,
31,31,Bencubbin_I,BENC,-0.3699,-1.37,0.78,-1.305,0.18843,-0.955,0.216,-1.996,-0.749,-2.42,-1.083,-2.348,-1.829,-1.966,0.0,-2.517,-1.253,,,,,,,,,,,,,,,
32,32,Bencubbin_II,BENC,-0.78194,-1.09384,0.52556,-1.45284,-0.06374,-1.28684,0.03916,-2.01784,-0.59004,-2.51684,-1.41984,-2.47284,-2.02584,-2.18284,0.0,-2.61384,-1.16884,,,,,,,,,,,,,,,
33,33,ALH84025,BRAC,,,,-2.305,0.22814,-2.128,0.131,,,,-0.999,,-1.771,-1.988,0.0,-2.859,-1.712,,-3.252,,,,,,,,,,,,,
34,34,Brachina,BRAC,-1.1083,-1.8033,0.8162,-1.2613,0.26145,-0.9493,0.2327,-1.9883,-0.9573,-2.3383,-0.9953,-2.3923,-1.6863,-1.8883,0.0,,,,,,,,,,,,,,,,,
35,35,Brachina,BRAC,,,,-1.188,0.25147,-0.96,0.235,-1.979,-0.891,-2.314,-0.966,-2.39,-1.649,-1.892,0.0,-2.914,-1.714,,-2.887,,,,,,,,,,,,,
36,36,A881655,CC,0.02715,,0.7815,-1.6819,0.17225,-0.8843,0.1131,-1.9789,-0.6616,-2.4999,-0.9279,-2.3039,-1.7789,-2.0249,0.0,-2.6769,-1.2249,,,,,,,,,,,,,,,
37,37,B7904,CC,-0.2226,-0.6922,0.7276,-1.3473,0.11537,-0.9363,0.0947,-2.0073,-0.4828,-2.6083,-1.1063,-2.4223,-1.8153,-2.1043,0.0,,-1.2713,,,,,,,,,,,,,,,
38,38,B7904,CC,-0.17791,,0.71619,-1.31021,0.13085,-0.82731,0.08079,-1.92121,-0.52381,-2.70921,-1.04121,-2.33721,-1.82021,-2.09121,0.0,-2.96221,-1.32421,,,,,,,,,,,,,,,
39,39,Y82162,CC,0.51203,,0.77353,-1.16267,0.08857,-0.96467,0.04133,-1.90567,-0.25237,-2.17067,-1.05067,-2.15167,-1.81067,-1.97067,0.0,-2.79067,-1.37767,,,,,,,,,,,,,,,
40,40,A882113,CC,-0.1054,,0.7497,-1.6241,0.15378,-0.9801,0.0769,-2.6441,-0.9131,-2.7091,-1.0201,-2.6961,-1.8861,-2.0581,0.0,-2.6301,-1.2831,,,,,,,,,,,,,,,
