Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,8260379.495771783,5333348.954876213,5308844.442309879,5357966.575133417,5675446.054085465,5445026.528424209,5248074.602497723,4742419.852602448,4852885.00162121,4508167.0454146005,4549880.60150049,4285485.203974392,4345102.241715714,4083193.863326919,4130475.0199016104,3837072.4549227846,3483373.1503601163,3715352.290971728,3749730.0224548336,3396252.725904082,3258367.010020087,3133285.724315589,3147748.3141013174,3033891.184194272,3054921.1132155154,2944421.633798763,3019951.720402019,2824879.9749157047,2792543.8412373364
5250.0,3749730.0224548336,2365919.6974857566,2344228.8153199228,2349632.8208483094,2471724.145016129,2355049.283896009,2254239.212152428,2023019.1786782718,2055890.5959841404,1901078.2799232996,1909853.2585662368,1798870.9151287873,1815515.662773137,1706082.3890031243,1717908.3871575894,1599558.028614668,1448771.8535447603,1545254.4395384141,1555965.631605075,1409288.7984218749,1352072.563194278,1297179.2709839572,1300169.5780332899,1256029.9636948754,1261827.5345906706,1216186.000646368,1247383.5142429431,1164126.0294104908,1150800.3889444356
5500.0,1721868.5749860061,1086425.6236170644,1069054.8792226578,1064143.0182243164,1109174.8152624008,1047128.5480508985,995405.4173515275,889201.1178579481,897428.7945007491,826037.9495771783,826037.9495771783,774461.7978025192,778036.551039804,729457.5102545695,732824.5331389045,680769.3586937417,616595.0018614822,654636.1740672747,657657.8373554199,595662.1435290109,570164.2722807478,547015.9628939722,548276.9649208536,528445.2517751802,529663.4438916581,510504.99997540645,522396.18899911974,487528.490103386,480839.348449729
5750.0,914113.2414702509,587489.3525297769,574116.462207328,568852.9308438413,587489.3525297769,552077.4392807573,521194.71110508,463446.91973628843,465586.0935229591,426579.5188015925,424619.563946313,397191.54946944054,398107.1705534969,372391.7062545683,372391.7062545683,345143.73933585646,312607.9367123956,330369.54103681486,331131.12148259074,299916.25189876533,286417.796990658,274157.4171927881,274157.4171927881,263633.1385825381,264240.87573219446,254097.27055493064,260015.9563165272,242661.00950824143,238781.12829131781
6000.0,592925.3245799994,389045.1449942805,379314.9849736817,374110.5882720537,384591.78204535355,360578.6430216427,339625.27259040816,300607.6302628229,301300.60241861216,275422.8703338169,273526.87263067137,255270.1302661247,255270.1302661247,238231.9469358689,238231.9469358689,220292.6463053456,199067.33389871885,209893.98836235245,209893.98836235245,189670.59212111443,181134.00926196025,173380.39977541374,172981.63592151031,166341.26503701697,166341.26503701697,159587.91472367337,162929.60326397215,152054.7529732497,149623.56560944326
6250.0,439541.6154378243,291742.7014001166,284446.1107447914,279898.1319634363,287739.84147356666,268534.4445658509,252348.07724805755,223357.22228305327,223357.22228305327,204173.79446695274,202301.91786782717,188364.9089489802,188364.9089489802,175388.050184176,174984.66886246583,161435.8556826487,145881.42602753473,153815.46403030358,153461.6982799294,138675.58288718897,132129.56341865766,126182.75345906705,125892.54117941661,120781.38351067797,120781.38351067797,115877.73561551262,118304.15557251658,110153.93095414146,108392.69140212038
6500.0,340408.1897010009,228559.880337543,222843.5149270303,218776.16239495517,224905.46058357827,209893.98836235245,197242.27361148535,174180.6873391613,174180.6873391613,158854.67485977773,157398.28644662196,146217.71744567182,145881.42602753473,135831.34465871542,135207.25631942778,124738.35142429432,112460.49739669268,118576.87481671596,118304.15557251658,106659.61212302568,101624.86928706948,97050.99672454898,96605.08789898141,92682.98233793485,92469.81739382229,88715.60120379618,90364.94737223024,84139.51416451947,82794.21637123344
6750.0,267300.6408663309,181134.00926196025,177010.8958317422,173780.08287493762,178237.8767448091,166341.26503701697,155955.25028269523,137720.94688939472,137720.94688939472,125602.99636948755,124165.2307592412,115345.3257821093,115080.03889444355,106905.48792226576,106414.30182243163,97948.99854086981,88307.99004185622,92896.63867799363,92469.81739382229,83368.11846196349,79432.82347242821,75683.28950209737,75335.5563733717,72110.7479182899,72110.7479182899,69023.98038402427,70307.23198838341,65313.055264747294,64268.77173170194
7000.0,213304.4913146575,144877.185354476,142232.87871228185,139315.68029453035,142889.39585111037,133352.1432163324,125025.90302177213,110407.86199020736,110153.93095414146,100461.57902783946,99311.60484209335,92044.95717531722,91833.2596483581,85113.80382023759,84722.74141405964,77983.01105232594,70145.52984199714,73790.42301291015,73451.38681571143,66069.34480075965,62950.61828571981,59841.15950603199,59566.214352901094,57016.427228074775,56885.29308438413,54450.26528424209,55462.571295791044,51522.864458175616,50582.46620031138
7250.0,170215.85083949502,115877.73561551262,114024.97875611697,111943.78834671526,114551.29414455361,106905.48792226576,100230.52380779004,88511.56098308356,88307.99004185622,80352.61221856177,79432.82347242821,73790.42301291015,73282.45331389045,68076.93586937417,67608.29753919819,62230.02851691589,55975.76014951104,58748.93525297769,58479.00841444812,52601.72663907063,50003.45349769783,47533.52259428049,47315.12589614803,45185.59443749226,45081.670454146006,43151.9076827765,43853.069777498604,40738.0277804113,39994.47497610978
7500.0,135831.34465871542,92257.14271547628,90991.32726322507,89536.47655495937,91622.04901219992,85506.67128846841,80167.8063387679,70631.75542629622,70469.30689671467,64268.77173170194,63386.97112569264,58748.93525297769,58479.00841444812,54200.089040162384,53826.97825162881,49431.068698683535,44463.126746910835,46558.60935229591,46344.69197362884,41591.06104940219,39536.66200681283,37583.74042884443,37411.058827205365,35727.28381519288,35563.131856898544,34040.81897010009,34593.93778261217,32136.60538640315,31477.483141013174
7750.0,107894.67222298296,73282.45331389045,72443.59600749906,71449.63260755135,73282.45331389045,68233.8694141669,63973.48354826482,56493.69748123022,56363.765582595486,51286.13839913648,50582.46620031138,46881.33821452655,46665.93803142882,43151.9076827765,42854.85203974392,39355.007545577726,35318.3169791957,37068.07217825759,36812.89736425313,33036.95410368149,31405.086938762164,29853.82618917957,29648.313895243453,28313.91995799379,28183.82931264455,26915.348039269138,27352.68726306714,25409.727055493066,24888.573182823904
8000.0,84333.47577642757,57147.86366718666,56623.92890382535,55975.76014951104,57411.6462207328,53579.66575133417,50234.25895223866,44258.83723626265,44157.044735331205,40179.081084894,39627.803425543934,36728.2300498085,36475.3946925608,33728.73086588686,33496.54391578279,30760.96814740711,27542.28703338169,28906.798823654775,28707.805820246922,25703.957827688646,24434.305526939712,23173.946499684796,23014.41817408509,21978.59872784823,21877.616239495517,20892.96130854041,21232.444620002192,19678.86289706843,19319.68317016922
8250.0,64268.77173170194,43451.022417157146,43052.661049171096,42657.95188015926,43954.16154378243,41020.410298660725,38459.178204535354,33884.415613920275,33806.483620598156,30690.21988391158,30269.134281013048,28054.33637951716,27797.132677592883,25703.957827688646,25468.30252585039,23388.372386593535,20941.124558508913,21928.049353504495,21777.09772353159,19498.445997580453,18492.686189780798,17579.23613958693,17418.068733916127,16634.126503701696,16557.699634695295,15776.112696993501,16032.453906900417,14859.35642287006,14554.59080581967
8500.0,46558.60935229591,31332.857243155886,31117.1633710602,30902.95432513592,31915.378551007583,29853.82618917957,27989.813196343628,24660.393372343413,24547.089156850285,22284.35149270303,21978.59872784823,20323.57010936221,20137.242498623895,18620.871366628657,18407.720014689545,16865.530253887424,15100.801541641493,15812.480392703827,15667.5107010815,14028.13704561959,13304.5441797809,12618.275345906706,12531.411749414156,11939.88104464273,11885.022274370189,11324.003632355578,11508.003889444357,10665.961212302567,10447.202192208004
8750.0,32284.94121712638,21527.817347243737,21379.620895022323,21232.444620002192,21978.59872784823,20606.299132700005,19319.68317016922,17021.5850839495,16943.37800447329,15381.546403030357,15100.801541641493,13963.683610559363,13803.842646028837,12735.030810166629,12589.254117941662,11534.53257821093,10303.861204416158,10789.467222298297,10690.548792226577,9571.94071294844,9057.326008981998,8590.13521505396,8511.380382023768,8109.610578538404,8072.350302488382,7691.304402866098,7798.3011052325855,7227.698036021702,7079.457843841381
