Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,1766037.8206861638,1595879.1472367337,1559552.5028269524,1807174.1260109257,1527566.0582380733,1321295.6341865766,970509.9672454898,1002305.2380779005,816582.3713585923,814704.2840208388,699841.996002273,707945.7843841374,610942.0249055715,613762.0051647945,523600.4365857506,431519.07682776503,479733.44863668917,481947.79762512713,398107.1705534969,366437.5746478333,339625.27259040816,338844.15613920277,316956.74630434933,317687.4070649769,296483.1389524345,307609.6814740711,274157.4171927881,267300.6408663309
5250.0,1581248.0392703826,1432187.8992735425,1399587.3225726178,1614358.556826487,1367728.8255958494,1185768.7481671597,877000.8211436339,905732.6008981998,739605.2750582374,737904.2301291015,635330.9318517436,642687.7173170194,554625.7129579105,558470.1947368307,476430.98680541565,394457.3020752785,437522.10515825206,439541.6154378243,363915.03612720704,335737.6142429545,311171.633710602,310455.95881283557,290402.2654464451,291071.7118066608,272270.13080779096,281838.2931264455,251767.69277588543,246036.76041476274
5500.0,1412537.5446227554,1276438.8088113435,1247383.5142429431,1432187.8992735425,1216186.000646368,1054386.896391258,785235.634610071,809095.8991783829,663743.070401909,662216.5037017615,571478.6366718666,576766.4633922509,500034.5349769783,502342.5895223866,430526.610491711,357272.83815192885,395366.6200681283,397191.54946944054,330369.54103681486,305492.11132155155,283139.19957993785,282487.9974915705,264850.0138606701,264850.0138606701,248313.31052955677,257039.57827688646,229614.86481123607,224388.1923782766
5750.0,1273503.081016663,1153453.257821093,1124604.9739669268,1288249.551693135,1096478.196143185,954992.5860214368,714496.3260755135,734513.8681571144,605340.8747539136,602559.5860743581,522396.18899911974,527229.8614228233,458141.88671453303,460256.57358135626,395366.6200681283,328851.6308759833,363078.05477010104,364753.94692560803,304088.5025676277,281190.08303989394,261216.13543992053,260615.35499988977,244343.05526939713,244906.32418447468,229614.86481123607,237137.37056616554,212324.44620002192,207491.35174549106
6000.0,1150800.3889444356,1042317.4293933036,1018591.388054117,1161448.613840344,990831.9448927686,864967.9187756939,651628.3940608428,669884.6094165258,553350.1092157371,550807.696405403,478630.092322638,483058.80203977285,420726.62838444376,422668.6142656033,363915.03612720704,303389.1184194272,334965.43915782793,335737.6142429545,280543.3637951716,260015.9563165272,241546.08344449403,241546.08344449403,226464.43075930618,226464.43075930618,212813.90459827133,219785.9872784823,197242.27361148535,192752.49131909365
6250.0,1054386.896391258,957194.0712948442,933254.3007969905,1061695.5571987242,907820.5301781861,794328.2347242822,601173.7374832779,618016.4001384164,512861.3839913648,510504.99997540645,444631.2674691084,448745.3899331323,391741.87710778305,393550.07545577723,339625.27259040816,283791.9028441558,312607.9367123956,314050.86938762164,263026.7991895382,243781.081836875,226986.48518838212,226464.43075930618,212813.90459827133,212813.90459827133,199986.1869632745,206538.01558105313,185780.4455091699,181134.00926196025
6500.0,961612.2783836639,874983.7752274363,853100.1140175895,968277.8562612486,831763.7711026708,729457.5102545695,554625.7129579105,570164.2722807478,474241.9852602448,472063.0412635909,412097.5190973304,415910.61049402185,363915.03612720704,365594.79161312466,316227.7660168379,264850.0138606701,291742.7014001166,292415.2377843337,246036.76041476274,228034.20720004162,212324.44620002192,212324.44620002192,199526.23149688786,199526.23149688786,187499.45080674172,193642.19639466068,174180.6873391613,170215.85083949502
6750.0,889201.1178579481,809095.8991783829,788860.1176185549,891250.9381337459,767361.4893618185,674528.0276979215,516416.36927207105,529663.4438916581,441570.44735331205,440554.86350655346,385478.3576657721,388150.3659906486,340408.1897010009,341979.4425137087,296483.1389524345,249459.4726942956,274157.4171927881,274789.4153102397,231739.46499684796,215278.17347243737,200447.20273651593,200447.20273651593,188364.9089489802,188799.13490962927,177418.94808901643,183231.4422371211,165196.1798229015,161435.8556826487
7000.0,829850.7675144217,756832.8950209736,739605.2750582374,833681.1846196348,719448.9780036998,633869.7112569263,487528.490103386,500034.5349769783,418793.56511791825,416869.3834703355,365594.79161312466,368977.59857015044,324339.6173493493,325087.29738543404,283139.19957993785,238231.9469358689,261818.30082189862,262421.8543384439,221819.64198002193,206062.99132700005,192309.17289101574,192309.17289101574,180717.41260109257,181134.00926196025,170608.23890031243,176197.60464116308,158854.67485977773,155238.70099580818
7250.0,783429.642766212,716143.4102129027,699841.996002273,787045.7896950984,682338.694141669,602559.5860743581,465586.0935229591,477529.27365769114,400866.71762730257,399944.7497610978,350751.8739525679,353997.341083435,311888.95840939356,313328.57243155886,272897.77828080405,230144.18174085088,252929.79964461422,253512.8630497907,214289.06011200606,199526.23149688786,186208.71366628655,186208.71366628655,175388.050184176,175792.3613958693,165576.99634695292,171001.53150902863,154170.04529495584,150660.7066186742
7500.0,737904.2301291015,674528.0276979215,660693.4480075964,741310.2413009177,644169.2655151775,570164.2722807478,442588.3723626265,453941.6166502032,381944.2708400464,381065.8233937734,335737.6142429545,338064.83620598156,298538.26189179573,299916.25189876533,261818.30082189862,221309.47096056363,242661.00950824143,243781.081836875,206538.01558105313,192309.17289101574,179887.09151287875,179473.36268325246,169433.78004473288,169824.3652461746,159955.80286146677,165196.1798229015,149279.44095789976,145881.42602753473
7750.0,701455.2984199714,642687.7173170194,629506.1828571981,707945.7843841374,616595.0018614822,547015.9628939722,425598.41313374264,436515.8322401656,368977.59857015044,368128.9736425313,324339.6173493493,327340.69487883797,289734.3587701321,291071.7118066608,254097.27055493064,215278.17347243737,236047.8233180578,237137.37056616554,201372.42498623894,187931.68168032684,175388.050184176,175388.050184176,165576.99634695292,165958.69074375596,156314.7642640954,161435.8556826487,145881.42602753473,142889.39585111037
8000.0,671428.8529259523,616595.0018614822,605340.8747539136,679203.6326171843,592925.3245799994,527229.8614228233,412097.5190973304,422668.6142656033,358096.43710263626,357272.83815192885,315500.4623374624,319153.7855100758,282487.9974915705,283791.9028441558,248313.31052955677,210862.81499332888,231206.4790175594,232273.67963571052,197242.27361148535,184077.20014689545,172186.8574986006,172186.8574986006,162554.8755750485,162929.60326397215,153815.46403030358,158854.67485977773,143548.9433353656,140604.75241299128
8250.0,648634.4335482388,597035.2865838365,587489.3525297769,659173.8952443213,578096.0474057175,515228.64458175615,403645.39296760486,414954.0426343632,351560.4405282983,351560.4405282983,310455.95881283557,314050.86938762164,277971.32677592884,279898.1319634363,245470.89156850285,208449.08830972886,228559.880337543,229614.86481123607,195433.94557753962,182389.57023196385,171001.53150902863,171001.53150902863,161435.8556826487,161808.00376430646,152756.60582380733,157761.126969935,142889.39585111037,139958.73225726178
8500.0,618016.4001384164,571478.6366718666,562341.3251903491,630957.344480193,553350.1092157371,495450.19080479053,389045.1449942805,399944.7497610978,339625.27259040816,339625.27259040816,301300.60241861216,304789.49896279833,270395.8364108846,271643.92688390834,238781.12829131781,203235.70109362208,222843.5149270303,223872.11385683378,190985.32585662368,178237.8767448091,167109.0614310707,167109.0614310707,158124.80392703827,158489.3192461114,149623.56560944326,154525.4439538414,139958.73225726178,137404.19750125147
8750.0,599791.0762555088,554625.7129579105,548276.9649208536,613762.0051647945,540754.3229455805,484172.3675840989,381944.2708400464,392644.93539960013,334195.04002611426,334195.04002611426,297166.60317380255,299916.25189876533,266685.86645214807,268534.4445658509,236047.8233180578,201372.42498623894,220800.47330189013,221819.64198002193,189234.3618644976,177010.8958317422,165958.69074375596,166341.26503701697,157036.28043335516,157761.126969935,148936.10777109154,153815.46403030358,139636.83610559363,136772.88255958495
9000.0,582103.217770871,539510.6225151279,534564.3593969714,599791.0762555088,529663.4438916581,475335.2259428049,375837.4042884443,386366.97705406894,329609.7121774576,330369.54103681486,293764.96519615303,297166.60317380255,264240.87573219446,266072.50597988087,234422.88153199226,199986.1869632745,219280.49353504495,220292.6463053456,188364.9089489802,176197.60464116308,165196.1798229015,165576.99634695292,156675.107010815,157036.28043335516,148593.5642287006,153461.6982799294,139315.68029453035,136458.31365889238
9250.0,561047.97603247,521194.71110508,516416.36927207105,579428.6964268809,511681.8355403073,460256.57358135626,365594.79161312466,375837.4042884443,322106.8791283435,322106.8791283435,287078.0582024692,290402.2654464451,258821.2915153093,260615.35499988977,229614.86481123607,196336.02768360474,215278.17347243737,216271.852372702,185353.16234148105,173380.39977541374,162929.60326397215,163305.19478943347,154525.4439538414,155238.70099580818,146554.78409559128,151705.03674593367,137720.94688939472,134896.28825916533
9500.0,548276.9649208536,509330.87105719524,505824.6620031138,567544.6054085465,502342.5895223866,452897.5799036204,360578.6430216427,371535.2290971728,318419.7521726125,319153.7855100758,284446.1107447914,287739.84147356666,257039.57827688646,258821.2915153093,228559.880337543,195433.94557753962,214289.06011200606,215774.44091526646,184501.54191794738,172981.63592151031,162554.8755750485,162929.60326397215,154170.04529495584,154881.66189124828,146554.78409559128,151356.12484362072,137720.94688939472,135207.25631942778
9750.0,535796.6575133418,498884.48746001266,496592.3214503358,558470.1947368307,495450.19080479053,447713.3041763623,357272.83815192885,368128.9736425313,315500.4623374624,316956.74630434933,282487.9974915705,286417.796990658,255858.5886905648,258226.01906345956,228034.20720004162,195433.94557753962,213796.20895022326,215278.17347243737,184501.54191794738,172981.63592151031,162929.60326397215,163305.19478943347,154525.4439538414,155238.70099580818,146892.62776438662,152054.7529732497,138038.42646028838,135518.9412351035
10000.0,524807.4602497723,488652.35934283363,487528.490103386,548276.9649208536,488652.35934283363,441570.44735331205,353183.169791957,364753.94692560803,313328.57243155886,314774.8314101317,281190.08303989394,285101.826750391,254683.0252585039,257039.57827688646,226986.48518838212,194984.45997580455,213304.4913146575,214783.0474130533,184501.54191794738,172981.63592151031,162929.60326397215,163305.19478943347,154525.4439538414,155596.5631605075,147231.25024327193,152405.27537972908,138356.6378971781,135831.34465871542
