Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,841395.1416451947,526017.2663907063,515228.64458175615,518800.0389289609,548276.9649208536,524807.4602497723,504661.2975635287,452897.5799036204,461317.5745603791,426579.5188015925,427562.8861515864,401790.81084894,405508.5354483835,379314.9849736817,381944.2708400464,353183.169791957,319889.5109691397,339625.27259040816,341192.9116219288,308318.79502493533,295120.9226666384,283139.19957993785,283139.19957993785,272897.77828080405,273526.87263067137,263026.7991895382,269773.94324449205,251767.69277588543,248313.31052955677
5250.0,515228.64458175615,319889.5109691397,313328.57243155886,312607.9367123956,328851.6308759833,314050.86938762164,301300.60241861216,271019.16318908415,276057.78562203445,255858.5886905648,257039.57827688646,241546.08344449403,243781.081836875,228559.880337543,230144.18174085088,213796.20895022326,194088.58775927793,206062.99132700005,207014.13487910412,187499.45080674172,179473.36268325246,172186.8574986006,172583.7891990204,166341.26503701697,167109.0614310707,160694.1253012879,164437.17232149324,153815.46403030358,151705.03674593367
5500.0,261818.30082189862,161064.563517827,157036.28043335516,155596.5631605075,161808.00376430646,153815.46403030358,146554.78409559128,131522.48321922377,133352.1432163324,123310.48332289096,123310.48332289096,115877.73561551262,116949.939101987,109647.8196143185,110153.93095414146,102329.29922807537,92682.98233793485,98401.11057611345,98855.3094656939,89536.47655495937,85703.78452303693,82224.26499470712,82413.8115013003,79250.13304804718,79615.93504173183,76559.6606911257,78342.9642766212,73282.45331389045,72276.98036021703
5750.0,133967.66874259344,82603.79495771784,79983.42550070277,78704.57896950985,81096.10578538405,76559.6606911257,72443.59600749906,64714.261574858305,65162.83940608428,59979.10762555088,59841.15950603199,56104.797603247,56363.765582595486,52844.52517751802,52966.34438916581,49203.95356814511,44565.62483975033,47097.73263969529,47315.12589614803,42854.85203974392,40926.065973001096,39264.493539960014,39264.493539960014,37757.2190925416,37844.258471709356,36391.503612720706,37239.17062545683,34753.61614432061,34276.778654645044
6000.0,76559.6606911257,47973.34486366892,46238.102139926035,45185.59443749226,46344.69197362884,43351.08783875284,40831.93863326919,36307.8054770101,36475.3946925608,33419.50400261143,33265.95532940047,31117.1633710602,31188.895840939353,29107.171180666082,29174.27014001166,26977.394324449204,24434.305526939712,25822.601906345957,25822.601906345957,23334.580622810045,22335.722228305327,21379.620895022323,21330.44913146575,20511.621788255667,20558.905959841406,19724.227361148533,20137.242498623895,18793.168168032684,18535.316234148104
6250.0,50582.46620031138,32284.94121712638,30974.19299216578,30130.060241861218,30760.96814740711,28707.805820246922,26977.394324449204,23878.112829131784,23878.112829131784,21877.616239495517,21677.041048196963,20230.191786782718,20230.191786782718,18879.913490962925,18836.49089489802,17418.068733916127,15739.828644662197,16595.869074375598,16595.869074375598,14996.84835502374,14321.878992735425,13677.288255958494,13645.831365889238,13121.998990192042,13121.998990192042,12589.254117941662,12823.305826560205,11967.405313072442,11776.059735208066
6500.0,37931.49849736817,24434.305526939712,23388.372386593535,22698.648518838214,23120.64790175594,21527.817347243737,20183.663636815596,17823.787674480907,17823.787674480907,16292.960326397215,16106.4563517827,14996.84835502374,14996.84835502374,13963.683610559363,13899.526312133527,12852.866599436155,11587.773561551261,12217.99660164871,12189.895989248673,10990.058394325219,10495.42428652322,10023.052380779005,9977.000638225536,9571.94071294844,9571.94071294844,9183.32596483581,9354.05674147552,8709.635899560804,8570.378452303692
6750.0,30199.51720402019,19678.86289706843,18793.168168032684,18238.957023196384,18535.316234148104,17218.685749860062,16106.4563517827,14256.075936021878,14223.287871228184,12971.792709839572,12823.305826560205,11939.88104464273,11885.022274370189,11066.237839776653,11015.393095414145,10162.486928706949,9162.204901220002,9638.290236239705,9616.122783836649,8669.61875758217,8260.379495771784,7870.457896950985,7852.356346100718,7516.228940182053,7516.228940182053,7194.489780036998,7328.245331389045,6823.3869414166975,6714.288529259523
7000.0,24603.676041476272,16143.585568264869,15381.546403030357,14927.944095789975,15135.612484362071,14060.47524129913,13152.248321922376,11614.486138403438,11587.773561551261,10543.86896391258,10423.174293933036,9682.778562612495,9638.290236239705,8953.647655495937,8912.509381337459,8222.426499470712,7396.052750582382,7780.36551039804,7744.617978025183,6982.324040771711,6652.731562017413,6338.69711256927,6309.57344480193,6039.4862937638,6025.595860743575,5780.960474057181,5874.893525297769,5470.159628939716,5382.697825162882
7250.0,20323.57010936221,13304.5441797809,12705.74105208542,12302.68770812381,12473.835142429432,11587.773561551261,10839.269140212038,9549.925860214358,9506.04793656282,8669.61875758217,8550.667128846831,7943.282347242814,7888.601176185541,7328.245331389045,7277.798045368242,6698.846094165265,6039.4862937638,6338.69711256927,6309.57344480193,5675.446054085472,5395.1062251512785,5140.436515824259,5116.818355403078,4897.7881936844615,4886.523593428336,4677.351412871981,4753.352259428054,4425.883723626264,4345.102241715715
7500.0,16710.90614310707,10990.058394325219,10495.42428652322,10162.486928706949,10303.861204416158,9571.94071294844,8933.054837332953,7888.601176185541,7834.296427662121,7128.530301265198,7030.723198838334,6531.305526474723,6486.344335482381,6011.737374832779,5970.352865838366,5495.408738576248,4943.106869868354,5176.068319505676,5152.286445817567,4634.46919736288,4405.548635065535,4197.589839910078,4168.693834703355,3990.2490236214203,3971.915494694405,3801.8939632056126,3863.669770540693,3597.4933515574235,3531.83169791957
7750.0,13677.288255958494,9015.711376059571,8629.785477669702,8336.811846196339,8472.274141405964,7852.356346100718,7328.245331389045,6456.542290346556,6426.877173170194,5847.900841444806,5754.399373371566,5333.348954876208,5296.634438916581,4909.078761526029,4864.072056914614,4477.133041763623,4017.9081084894,4207.266283844442,4187.935651179182,3767.0379898390893,3572.7283815192886,3404.081897010009,3380.6483620598156,3228.4941217126348,3221.0687912834346,3076.096814740708,3126.0793671239558,2904.022654464451,2851.0182675039096
8000.0,11168.632477805611,7362.070974947361,7063.175542629623,6839.116472814292,6934.258060165695,6426.877173170194,6011.737374832779,5284.452517751803,5260.172663907063,4775.2927365769065,4709.77326396953,4355.118736855684,4325.138310350088,3999.4474976109736,3962.7803425543934,3639.1503612720708,3273.4069487883826,3419.794425137087,3396.2527259040853,3054.9211132155124,2897.3435877013244,2754.2287033381663,2735.268726306711,2612.1613543992053,2600.159563165272,2488.85731828239,2529.2979964461447,2349.6328208483073,2301.441817408509
8250.0,8994.975815300355,5888.43655355589,5675.446054085472,5495.408738576248,5559.042572704037,5164.163692720711,4819.477976251272,4246.19563946313,4216.965034285822,3837.0724549227884,3775.72190925416,3491.4031547858626,3459.3937782612206,3198.895109691397,3169.56746304349,2910.717118066605,2612.1613543992053,2728.9777828080405,2710.1916318908416,2432.204009073816,2306.747188720069,2192.80493535045,2172.7011788637456,2079.6966871036957,2065.3801558105292,1972.4227361148535,2004.4720273651612,1862.0871366628676,1823.8957023196383
8500.0,7144.963260755135,4666.593803142887,4508.167045414601,4375.221051582521,4436.086439314323,4120.975190973304,3845.9178204535356,3388.441561392024,3365.115693754908,3054.9211132155124,2999.16251898765,2773.320104651841,2747.894153102397,2540.972705549304,2511.88643150958,2306.747188720069,2065.3801558105292,2157.744409152667,2142.8906011200584,1923.0917289101576,1823.8957023196383,1729.8163592151016,1717.9083871575876,1636.8165214278085,1629.296032639723,1555.965631605075,1577.6112696993484,1465.5478409559114,1435.489433353656
