Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,34753616.14432061,32433961.734934933,32734069.487883795,40179081.084894,34119291.16219288,29716660.317380253,21428906.011200607,22646443.075930618,18238957.023196384,18492686.189780798,15812480.392703826,16218100.9735893,13867558.288718896,14125375.446227554,11912420.080273738,9682778.562612485,10990058.39432522,11142945.335917292,9036494.737223024,8317637.711026709,7673614.893618186,7709034.690644293,7194489.780036998,7244359.600749906,6760829.753919818,7063175.542629623,6251726.927756862,6109420.249055714
5250.0,30760968.14740711,28707805.82024692,28973435.877013214,35318316.9791957,30130060.24186122,26302679.918953814,19098532.58566237,20137242.498623896,16292960.326397214,16519617.982290149,14157937.79957081,14521116.17587742,12445146.117713844,12676518.658578448,10715193.052376071,8729713.683881113,9908319.448927686,10023052.380779004,8165823.7135859225,7533555.63733717,6966265.141107687,6998419.960022731,6531305.526474729,6576578.373554199,6137620.051647945,6412095.7658516215,5688529.308438413,5559042.572704037
5500.0,27164392.688390836,25409727.055493064,25585858.86905648,30902954.32513592,26424087.57321945,23120647.90175594,16943378.004473288,17823787.674480908,14521116.17587742,14689262.77643866,12618275.345906707,12912192.736135334,11117317.27281592,11297959.146727975,9594006.315159336,7870457.896950984,8871560.120379617,8974287.94500749,7362070.97494736,6792036.326171843,6280583.58813318,6309573.444801929,5902010.801718442,5942921.586155727,5559042.572704037,5794286.964268809,5152286.445817562,5035006.087879048
5750.0,24043628.000069346,22490546.058357827,22594357.70220978,27101916.318908416,23280912.57665008,20417379.446695276,15066070.661867417,15848931.924611142,12941958.414499864,13091819.22999407,11297959.146727975,11561122.421920981,9977000.638225526,10139113.857366798,8629785.477669701,7095777.6796338875,7998342.5500702765,8090958.991783829,6652731.562017419,6151768.727098677,5701642.722807478,5714786.366718666,5357966.575133417,5395106.225151279,5046612.975635286,5260172.663907063,4677351.412871981,4581418.867145331
6000.0,21527817.347243737,20183663.636815596,20323570.109362207,24266100.95082414,20892961.308540408,18365383.433483474,13645831.365889238,14321878.992735425,11776059.735208066,11885022.27437019,10280162.981264725,10519618.738232234,9120108.393559096,9246981.73938223,7906786.279998246,6531305.526474729,7328245.331389044,7413102.413009177,6123503.917247733,5662392.890382535,5260172.663907063,5272298.614228233,4943106.869868354,4977370.849789361,4655860.935229591,4852885.00162121,4325138.310350088,4236429.660495409
6250.0,19142559.25021086,17988709.151287872,18113400.926196024,21478304.741305333,18578044.55091699,16405897.731995387,12274392.311584083,12852866.599436155,10616955.571987242,10715193.052376071,9311078.754678309,9506047.93656281,8260379.495771783,8375292.821268827,7194489.780036998,5956621.435290109,6683439.175686149,6745280.276979215,5584701.947368306,5176068.319505681,4808393.48449729,4830588.020397728,4528975.799036204,4560369.159512959,4275628.861515865,4456562.483975033,3981071.705534969,3890451.449942805
6500.0,17418068.733916126,16368165.214278102,16443717.232149323,19453600.816226613,16865530.253887422,14927944.095789975,11246049.739669269,11776059.735208066,9749896.377173867,9840111.057611344,8570378.452303693,8770008.211436339,7638357.835776907,7744617.978025191,6668067.692136219,5546257.1295791045,6194410.750767811,6266138.64672335,5211947.1110508,4830588.020397728,4497798.5489328755,4508167.0454146005,4236429.660495409,4265795.188015926,4008667.176273026,4168693.834703355,3732501.5779572064,3647539.46925608
6750.0,16143585.56826487,15170503.674593369,15275660.582380733,17988709.151287872,15631476.426409539,13867558.288718896,10543868.963912582,11015393.095414145,9162204.901219992,9246981.73938223,8090958.991783829,8260379.495771783,7211074.79182899,7311390.834834172,6309573.444801929,5260172.663907063,5874893.525297768,5942921.586155727,4954501.908047905,4602565.735813563,4285485.203974392,4305266.10491711,4045758.9169744286,4073802.7780411304,3828247.4331682282,3981071.705534969,3564511.334262439,3491403.1547858627
7000.0,14996848.35502374,14157937.79957081,14256075.93602188,16710906.143107072,14588142.602753473,12971792.709839573,9908319.448927686,10351421.66679343,8649679.187756939,8729713.683881113,7655966.069112569,7816278.045883292,6839116.472814293,6934258.060165694,5997910.762555088,5023425.895223866,5597576.014951104,5662392.890382535,4731512.589614803,4405548.635065534,4102041.0298660723,4120975.190973304,3881503.6599064865,3908408.9579240168,3672823.00498085,3819442.708400464,3427677.865464505,3357376.142429545
7250.0,14125375.446227554,13365955.165464433,13489628.825916532,15812480.392703826,13835663.78971781,12359474.334445095,9462371.613657929,9908319.448927686,8298507.675144217,8375292.821268827,7345138.681571144,7498942.093324558,6591738.952443212,6683439.175686149,5794286.964268809,4852885.00162121,5420008.904016239,5470159.628939722,4591980.128368685,4265795.188015926,3990249.0236214204,3999447.497610978,3767037.9898390854,3793149.8497368167,3572728.3815192883,3715352.290971728,3334264.127632347,3273406.9487883793
