Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,426579.5188015925,254683.0252585039,246603.9337234341,246036.76041476274,257632.1157002573,245470.89156850285,234422.88153199226,209411.24558508914,212324.44620002192,195433.94557753962,195433.94557753962,182810.0216142741,183653.83433483474,171790.83871575893,172186.8574986006,159220.87270511698,143879.85782558465,152405.27537972908,152756.60582380733,137720.94688939472,131825.67385564075,125892.54117941661,125892.54117941661,121059.81335504829,121338.88504649761,116680.96170609629,119124.20080273738,111173.1727281592,109647.8196143185
5250.0,266685.86645214807,158854.67485977773,153108.74616820287,151356.12484362072,157761.126969935,149623.56560944326,142889.39585111037,127938.13041575253,129717.92709839572,119398.8104464273,119398.8104464273,111943.78834671526,112719.74561755093,105438.6896391258,105681.75092136585,97948.99854086981,88715.60120379618,93972.33105646375,94188.95965228417,85113.80382023759,81470.42840208388,77983.01105232594,77983.01105232594,74989.42093324558,75162.2894018206,72276.98036021703,73790.42301291015,68865.22963442763,67920.36326171843
5500.0,136458.31365889238,81658.23713585922,78342.9642766212,76736.14893618185,79250.13304804718,74644.8758410067,70631.75542629622,62950.61828571981,63533.09318517436,58479.00841444812,58344.51042737447,54575.786109127104,54827.69649208536,51168.18355403073,51286.13839913648,47533.52259428049,42953.64267648873,45498.80601500489,45603.691595129596,41114.97211045221,39355.007545577726,37583.74042884443,37583.74042884443,36140.98626396131,36224.299841669876,34753.61614432061,35563.131856898544,33113.112148259075,32658.7832172336
5750.0,69023.98038402427,42364.29660495409,40271.703432545946,39084.08957924017,39994.47497610978,37325.015779572066,35075.18739525679,31117.1633710602,31260.793671239557,28641.7796990658,28444.61107447914,26546.055619755418,26607.250597988084,24831.331052955677,24774.22057633286,22908.676527677748,20701.413487910413,21877.616239495517,21877.616239495517,19724.227361148533,18836.49089489802,17988.709151287872,17988.709151287872,17258.37891990204,17258.37891990204,16557.699634695295,16904.409316432633,15739.828644662197,15488.166189124828
6000.0,39627.803425543934,24774.22057633286,23388.372386593535,22542.39212152428,22908.676527677748,21232.444620002192,19906.733389871883,17579.23613958693,17538.805018417603,16032.453906900417,15885.467485977775,14791.083881682072,14757.065332758932,13740.41975012515,13677.288255958494,12618.275345906706,11376.27285823431,11994.993031493781,11967.405313072442,10789.467222298297,10280.162981264724,9817.479430199845,9794.89985408699,9375.620069258803,9375.620069258803,8994.975815300355,9162.204901220002,8531.001140175895,8394.599865193974
6250.0,26424.087573219447,16710.90614310707,15739.828644662197,15100.801541641493,15240.527537972906,14092.887984218747,13152.248321922376,11587.773561551261,11561.122421920982,10519.618738232235,10375.284158180126,9638.290236239705,9594.006315159337,8912.509381337459,8871.560120379609,8165.823713585923,7362.070974947361,7726.805850957022,7709.034690644301,6934.258060165695,6606.934480075957,6295.061828571975,6266.138646723356,5997.910762555094,5984.115950603198,5741.164622073274,5847.900841444806,5432.503314924331,5345.643593969719
6500.0,20183.663636815596,12676.518658578449,11885.022274370189,11402.497875611696,11481.536214968817,10616.95557198724,9885.53094656939,8689.60429286302,8629.785477669702,7852.356346100718,7744.617978025183,7177.942912713615,7128.530301265198,6606.934480075957,6561.452663029057,6039.4862937638,5432.503314924331,5701.642722807472,5675.446054085472,5105.049999754065,4852.88500162121,4613.175745603796,4591.980128368686,4395.416154378243,4385.306977749856,4197.589839910078,4265.795188015925,3971.915494694405,3899.419866765436
6750.0,16330.519478943346,10256.519262514079,9594.006315159337,9183.32596483581,9246.98173938223,8531.001140175895,7943.282347242814,6966.265141107687,6918.309709189362,6280.58358813318,6180.164001384158,5727.960309858292,5675.446054085472,5260.172663907063,5223.9618899911975,4797.334486366892,4305.266104917106,4508.167045414601,4487.453899331323,4036.4539296760486,3828.2474331682283,3647.5394692560767,3622.4299841669877,3467.368504525317,3451.4373933585607,3303.6954103681487,3357.3761424295453,3118.8895840939385,3061.963433690679
7000.0,13396.766874259343,8413.951416451948,7870.457896950985,7516.228940182053,7568.328950209744,6982.324040771711,6486.344335482381,5688.529308438413,5649.369748123022,5116.818355403078,5035.006087879047,4655.860935229591,4613.175745603796,4265.795188015925,4226.686142656028,3881.5036599064824,3483.373150360116,3647.5394692560767,3622.4299841669877,3250.872973854344,3090.295432513592,2937.6496519615307,2917.427014001166,2786.1211686297693,2773.320104651841,2654.605561975539,2697.7394324449206,2506.109253032114,2454.708915685031
7250.0,11091.748152624008,6950.243175887969,6501.296903430909,6223.002851691595,6266.138646723356,5767.664633922509,5357.966575133417,4698.941086052156,4655.860935229591,4216.965034285822,4139.996748197304,3819.442708400464,3784.425847170932,3491.4031547858626,3459.3937782612206,3169.56746304349,2844.4611074479167,2971.666031738025,2951.209226666387,2648.500138606701,2511.88643150958,2387.8112829131783,2371.373705661655,2264.6443075930597,2254.2392121524304,2152.7817347243736,2187.761623949552,2032.3570109362208,1990.6733389871863
7500.0,9204.495717531712,5741.164622073274,5382.697825162882,5140.436515824259,5176.068319505676,4775.2927365769065,4436.086439314323,3881.5036599064824,3845.9178204535356,3475.3616144320576,3411.9291162192844,3147.748314101317,3111.716337106017,2870.780582024692,2844.4611074479167,2600.159563165272,2333.458062281002,2437.8108183687523,2415.4608344449402,2167.704104819694,2055.8905959841427,1949.8445997580454,1936.4219639466069,1849.2686189780777,1836.5383433483455,1753.880501841762,1782.378767448089,1655.7699634695275,1621.8100973589299
7750.0,7620.790100254122,4731.512589614803,4446.312674691088,4246.19563946313,4275.62886151586,3944.573020752785,3655.94791613125,3198.895109691397,3162.2776601683795,2864.1779699065796,2805.433637951713,2582.260190634596,2552.701302661247,2355.049283896009,2328.091257665008,2128.139045982711,1905.4607179632462,1990.6733389871863,1972.4227361148535,1766.037820686164,1674.9428760264382,1588.546748597779,1573.9828644662198,1503.1419660900224,1496.2356560944327,1425.607593602188,1448.7718535447616,1342.7649611378642,1318.2567385564073
8000.0,6295.061828571975,3881.5036599064824,3664.375746478333,3499.451670283573,3523.7087104248726,3243.3961734934933,3013.006024186122,2630.2679918953813,2606.153549998895,2349.6328208483073,2301.441817408509,2118.3611352485023,2094.1124558508936,1927.5249131909366,1905.4607179632462,1741.8068733916145,1555.965631605075,1625.5487557504835,1610.64563517827,1442.1153515248682,1364.583136588924,1294.1958414499863,1282.3305826560218,1224.6161992650489,1216.1860006463678,1161.4486138403427,1177.6059735208078,1091.440336448756,1069.0548792226577
8250.0,5069.907082747044,3126.0793671239558,2951.209226666387,2831.391995799379,2851.0182675039096,2624.218543384442,2432.204009073816,2123.2444620002193,2098.9398836235246,1892.343618644976,1853.5316234148106,1706.0823890031243,1682.6740610704674,1548.816618912481,1527.5660582380733,1396.3683610559376,1247.3835142429432,1300.16957803329,1288.2495516931335,1153.4532578210917,1091.440336448756,1032.7614057613969,1023.2929922807537,977.2372209558112,970.5099672454899,924.698173938223,939.7233105646375,870.9635899560806,853.1001140175895
8500.0,4055.085354483839,2494.5947269429535,2365.9196974857587,2275.0974307720717,2290.8676527677726,2108.6281499332886,1954.3394557753943,1706.0823890031243,1682.6740610704674,1517.050367459337,1482.518085145953,1361.4446824659497,1342.7649611378642,1235.9474334445106,1216.1860006463678,1111.7317272815908,990.8319448927675,1035.1421666793442,1023.2929922807537,914.1132414702499,864.967918775693,820.3515443298185,810.9610578538404,774.4617978025184,769.1304402866098,732.8245331389045,743.0191378967014,688.6522963442762,674.5280276979222
