name,reference,atmosphere,teff,n_measured,flag,element,fired,z,phase_constraint,note,kills,survives
2MASS J0916-4215,Vennes 2024,H,5250.0,10,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
2MASS J0916-4215,Vennes 2024,H,5250.0,10,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
EC 22211-?2525,Doyle 2023,He,14740.0,8,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
EC 22211-?2525,Doyle 2023,He,14740.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
EC 22211-?2525,Doyle 2023,He,14740.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J1535+1247,Hollands 2022,He,5680.0,10,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
SDSS J1535+1247,Hollands 2022,He,5680.0,10,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
SDSS J1535+1247,Hollands 2022,He,5680.0,10,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J153505.75+124744.2,Hollands 2017,He,5773.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J133059.26+302953.2,Hollands 2017,He,6100.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
WD 1425+540 (Model 1),Xu 2017,He,14490.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.22110965522778653,rest_of_panel_fit,,,
WD 1425+540 (Model 1),Xu 2017,He,14490.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
WD 1425+540 (Model 2),Xu 2017,He,14490.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
WD 1425+540 (Model 2),Xu 2017,He,14490.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
G241-6,Jura 2012,He,15300.0,11,PURE_SI_WITHOUT_O_MG_FE,,False,0.31351543570117557,rest_of_panel_fit,,,
G241-6,Jura 2012,He,15300.0,11,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
G241-6,Zuckerman 2010,He,15300.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.00934914783867375,rest_of_panel_fit,,,
G241-6,Zuckerman 2010,He,15300.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
G77-50,Farihi 2011,H,5310.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Gaia J0006+2858,Rogers 2023,H,23921.0,6,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
Gaia J0218+3625,Doyle 2023,He,14700.0,10,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0218+3625,Doyle 2023,He,14700.0,10,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0218+3625,Doyle 2023,He,14700.0,10,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Gaia J0611-6931,Rogers 2023,H,16530.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
Gaia J0611-6931,Rogers 2023,H,16530.0,9,CU_ZN_SN_PB_ENRICHED,Cu,False,0.0,rest_of_panel_fit,,,
Gaia J0611-6931,Rogers 2023,H,17749.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
Gaia J0611-6931,Rogers 2023,H,17749.0,9,CU_ZN_SN_PB_ENRICHED,Cu,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,17000.0,8,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,17000.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,17000.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,18350.0,8,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,18350.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J0644-0352,Rogers 2023,He,18350.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
Gaia J1922+4709,Doyle 2023,He,15500.0,8,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J1922+4709,Doyle 2023,He,15500.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
Gaia J1922+4709,Doyle 2023,He,15500.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GALEX J1931+0117,Vennes 2010,H,20890.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
GALEX J1931+0117,Vennes 2010,H,20890.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GALEX 1931+0117,Melis 2011,H,23470.0,7,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GALEX 1931+0117,Melis 2011,H,23470.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GALEX 1931+0117,Gansicke 2012,H,21200.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
GALEX 1931+0117,Vennes 2011,H,20890.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
GALEX 1931+0117,Vennes 2011,H,20890.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
