name,reference,atmosphere,teff,n_measured,n_limits,elements,p_misfit,p_misfit_full,p_misfit_meteorite,meteorite_cal_status,n_bodies_covering_panel,chi2,chi2_per_dof,p_naive,phase,t_dec,dominant_endmember,dominant_weight,t_cut_K,depth_dex,max_abs_residual_sigma,worst_element,misfit_class,per_element_worst,per_element_worst_p,per_element_worst_p_corrected,n_sources,trace_measured,n_pairs_exceeding,n_flags_fired,errors_assumed
HS 0209+0832,Wolff 2000,H,35900.0,7,4,C Al Si Ca Ti Ni Zn,0.006622516556291391,0.006622516556291391,0.0196078431372549,OK,229.0,220.1646786747043,36.694113112450715,9.597159313114125e-45,declining,3.0,CHON_organics,0.6243647179724021,1400.0,2.9004082396179167,7.409126648278412,Si,UNEXPLAINED,Al,0.006622516556291391,0.046357615894039736,2,Zn,1,0,
L119-34,Dupuis 1993,He,9300.0,5,0,C Mg Si Ca Fe,0.006622516556291391,0.006622516556291391,0.0196078431372549,OK,260.0,19.609878268289876,4.902469567072469,0.0005961991649622408,steady_state,0.0,CHON_organics,0.3244021202408858,650.6354289513114,-0.3818757487444522,3.7637615584440733,Si,UNEXPLAINED,C,0.006622516556291391,0.033112582781456956,12,,0,0,C Mg Si Ca Fe
L119-34,Dupuis 1993,He,9300.0,5,0,C Mg Si Ca Fe,0.006622516556291391,0.006622516556291391,,,,19.26249192032747,4.8156229800818675,0.0006978903473721002,building,0.0,CHON_organics,0.5701714083394942,40.814018791981646,-0.0008580964311996872,3.6649027711587205,Si,UNEXPLAINED,,,,2,,0,0,C Mg Si Ca Fe
WD 1622+587,Rogers 2023,He,23430.0,9,0,C O Mg Al Si P S Fe Ni,0.006622516556291391,0.006622516556291391,0.0196078431372549,OK,215.0,22.54447565040858,2.8180594563010724,0.004001065617836427,early,0.000965314259743402,mantle_BSE,0.4592095820149885,591.3172386033756,-1.5,3.6158779387344424,O,UNEXPLAINED,C,0.006622516556291391,0.059602649006622516,8,,0,0,
SDSS J153642.53+420519.2,Hollands 2017,He,5800.0,6,0,Na Mg Ca Ti Cr Fe,0.006622516556291391,0.033112582781456956,0.0392156862745098,OK,973.0,10.059802732856516,2.011960546571303,0.07355838767426473,early,0.00012976375635194342,crust_cont,0.4031055642611276,779.2750957014329,3.5221658827264206,2.0492203279277916,Ca,UNEXPLAINED,Ca,0.006622516556291391,0.039735099337748346,4,,0,0,Na Mg Ca Ti Cr Fe
G238-44,Johnson 2022,H,20546.0,10,4,C N O Mg Al Si P S Ca Fe,0.013245033112582781,0.013245033112582781,,,,13.717872158458507,1.5242080176065007,0.13272092333121396,early,0.0,bulk_Earth,0.3348225748540298,778.9546509067955,-0.0003490526623673429,2.0359468056417525,Ca,WATCH,,,,5,,0,0,
SDSS J1043+0855,Melis & Dufour 2017,H,18330.0,10,5,C O Mg Al Si P S Ca Fe Ni,0.013245033112582781,0.019867549668874173,0.0784313725490196,OK,215.0,12.056676916067346,1.3396307684519273,0.21013296246525773,declining,0.05605794942562775,Mars_BSM,0.47330536793123656,81.16187018162796,0.3021004138838664,2.518520304696101,Al,WATCH,Al,0.006622516556291391,0.06622516556291391,6,,0,0,
NLTT 7547 Balmer,Kawka 2019,H,5460.0,5,0,Na Mg Al Ca Fe,0.013245033112582781,0.07947019867549669,0.0392156862745098,OK,1029.0,4.646081510277495,1.1615203775693737,0.3255756276599248,declining,3.0,core,0.18075339555900005,1207.6175180334594,-1.2090425321926361,1.7863398145316014,Al,WATCH,,,,7,,0,0,
GALEXJ2339,Klein 2021,He,13735.0,9,5,Be O Mg Si Ca Ti Cr Mn Fe,0.019867549668874173,0.013245033112582781,0.9803921568627451,OK,813.0,16.822113567461013,2.1027641959326266,0.03201562923913804,steady_state,0.034392155781995296,water_ice,0.570551403632648,671.2599281554855,4.0,3.3155842156865365,Be,WATCH,Be,0.006622516556291391,0.059602649006622516,2,Be,0,0,
Gaia J0611-6931,Rogers 2023,H,16530.0,9,0,C O Al Si P S Fe Ni Cu,0.019867549668874173,0.052980132450331126,,,,15.781645969148947,1.9727057461436184,0.04561421678797941,building,0.0004352783808908808,CI,0.9595465112000736,155.3629471558732,2.6273061797546022,3.0419484089357254,Cu,WATCH,,,,12,Cu,0,0,
