object_id,rank,line_id,line_name,line_flag,n_dith,wl_um,wl_err_um,flux,flux_err,ew,fwhm_um,snr,snr_di,cont,qual,aon,ra,dec,point_like_prob,point_like_flag,spurious_flag,det_quality_flag,mumax_minus_mag,flux_h,flux_vis,segmentation_area,field,names,n_ranks,gaia_idx,gaia_sep_arcsec,gaia_source_id,gaia_g,gaia_bp_rp,gaia_parallax,gaia_plx_over_err,gaia_ruwe,gaia_pmra,gaia_pmdec,gaia_var_flag,resel_um,low_snr,few_dithers,band_edge,fwhm_resel,broad,non_positive_flux,stellar_line,stellar_line_name,stellar_band_name,industrial_flag,single_line_z,galaxy_pattern,galaxy_z,galaxy_ids,blend,n_neighbours_blend_radius,n_dispersion_neighbours,not_point_like,point_like_below_min,spurious,recurrent_wavelength,recurrence_n_stars,vetoes,survivor,p_single,p_global,significant_after_trials
-512030572276716487,1,8,SIII9068,0,0,1.6374888,0.0013650835,1.5584468e-14,5.671627e-15,-91.148125,0.0148241455,216.24107,4.59,1.7097958000000002e-16,282,2.82,51.20305724,-27.67164871,,,0,390,-1.4424229,899.3822,153.07132,7944,EDF-F,SIII9068,1,5033,0.11355333571487945,5060657267917195136,15.862647,0.73299,0.5094,15.6139,1.024,5.034,2.713,NOT_AVAILABLE,0.0036388640000000003,False,True,False,4.0738388409129875,True,False,True,CO 7-4 bandhead,,,"[{""line"": ""H-alpha"", ""z"": 1.4944}, {""line"": ""[O III] 5007"", ""z"": 2.2696}, {""line"": ""H-beta"", ""z"": 2.3675}, {""line"": ""[O II] 3727"", ""z"": 3.3935}, {""line"": ""Mg II 2799"", ""z"": 4.8508}, {""line"": ""C IV 1549"", ""z"": 9.5679}, {""line"": ""[S III] 9531"", ""z"": 0.7177}, {""line"": ""Pa-beta"", ""z"": 0.2771}]",False,,,False,0,0,False,False,False,True,18,few_dithers|broad|stellar_line|recurrent_wavelength,False,0.0,0.0,True
-542664588278332104,0,3,H8,0,0,1.4047971,0.00085299625,1.6141978e-14,4.1337973e-15,-2720.193,0.009959688,176.67998,5.55,5.9341296e-18,282,3.06,54.26645885,-27.83321049,,,0,386,-1.0563087,266.2971,,5906,EDF-F,H8|Halpha,2,8441,0.023115290824768774,5081282456785138688,17.776815,2.282637,2.1118,20.6611,1.05,-6.826,3.347,NOT_AVAILABLE,0.0031217713333333333,False,True,False,3.1903963924754684,True,False,False,,H2O 1.4 band,,"[{""line"": ""H-alpha"", ""z"": 1.14}, {""line"": ""[O III] 5007"", ""z"": 1.805}, {""line"": ""H-beta"", ""z"": 1.8889}, {""line"": ""[O II] 3727"", ""z"": 2.7692}, {""line"": ""Ly-alpha"", ""z"": 10.5557}, {""line"": ""Mg II 2799"", ""z"": 4.0194}, {""line"": ""C IV 1549"", ""z"": 8.0662}, {""line"": ""[S III] 9531"", ""z"": 0.4736}, {""line"": ""Pa-beta"", ""z"": 0.0956}]",True,1.14477,"[{""lambda_um"": 1.4048, ""line"": ""[N II] 6548""}, {""lambda_um"": 1.40823, ""line"": ""H-alpha""}]",False,0,0,False,False,False,False,2,few_dithers|broad|galaxy_pattern,False,0.0,0.0,True
-542664588278332104,4,6,NII6585,0,0,1.4082295,0.0007841468,9.16234e-15,2.965254e-15,-1078.0013,0.0045961505,174.6551,-99.0,1.1332503e-17,282,-99.0,54.26645885,-27.83321049,,,0,386,-1.0563087,266.2971,,5906,EDF-F,NII6585,1,8441,0.023115290824768774,5081282456785138688,17.776815,2.282637,2.1118,20.6611,1.05,-6.826,3.347,NOT_AVAILABLE,0.003129398888888889,False,True,False,1.468700751546534,False,False,False,,H2O 1.4 band,,"[{""line"": ""H-alpha"", ""z"": 1.1452}, {""line"": ""[O III] 5007"", ""z"": 1.8118}, {""line"": ""H-beta"", ""z"": 1.896}, {""line"": ""[O II] 3727"", ""z"": 2.7784}, {""line"": ""Ly-alpha"", ""z"": 10.584}, {""line"": ""Mg II 2799"", ""z"": 4.0316}, {""line"": ""C IV 1549"", ""z"": 8.0883}, {""line"": ""[S III] 9531"", ""z"": 0.4772}, {""line"": ""Pa-beta"", ""z"": 0.0983}]",True,1.14477,"[{""lambda_um"": 1.4048, ""line"": ""[N II] 6548""}, {""lambda_um"": 1.40823, ""line"": ""H-alpha""}]",False,0,0,False,False,False,True,5,few_dithers|galaxy_pattern|recurrent_wavelength,False,0.0,0.0,True
-547865166277785690,2,10,PaGamma,1,0,1.3565372,0.0017851962,2.2338116e-14,1.12143046e-14,0.0,0.014461332,109.27631,0.46,4.3882384e-15,282,0.27,54.78651669,-27.77856907,,,0,388,0.46263123,,321.5827,35468,EDF-F,PaGamma,1,8535,0.10068315808433219,5081297094033714176,13.236559,1.09718,3.2149,191.4515,1.351,30.582,-10.73,NOT_AVAILABLE,0.003014527111111111,False,True,False,4.797214112521205,True,False,False,,H2O 1.4 band,InGaAs telecom 1310,"[{""line"": ""H-alpha"", ""z"": 1.0664}, {""line"": ""[O III] 5007"", ""z"": 1.7086}, {""line"": ""H-beta"", ""z"": 1.7897}, {""line"": ""[O II] 3727"", ""z"": 2.6397}, {""line"": ""Ly-alpha"", ""z"": 10.1588}, {""line"": ""Mg II 2799"", ""z"": 3.8469}, {""line"": ""C IV 1549"", ""z"": 7.7547}, {""line"": ""[S III] 9531"", ""z"": 0.423}, {""line"": ""Pa-beta"", ""z"": 0.058}]",False,,,False,0,1,False,False,False,False,2,few_dithers|broad,False,0.0,0.0,True
-530940778279682033,3,10,PaGamma,1,0,1.462213,0.0009650211,2.3483797e-14,7.194714e-15,-10.315659,0.00876388,95.465,4.32,2.2765194e-15,252,2.52,53.09407788,-27.96820335,,,0,390,2.2567863,,67441.73,144270,EDF-F,PaGamma,1,13912,0.31712102497794153,5057480710103288832,10.593765,0.710821,3.5806,154.1229,1.696,17.307,18.359,NOT_AVAILABLE,0.0032493622222222224,False,True,False,2.6971077401172057,True,False,False,,H2O 1.4 band,,"[{""line"": ""H-alpha"", ""z"": 1.2274}, {""line"": ""[O III] 5007"", ""z"": 1.9196}, {""line"": ""H-beta"", ""z"": 2.007}, {""line"": ""[O II] 3727"", ""z"": 2.9232}, {""line"": ""Ly-alpha"", ""z"": 11.028}, {""line"": ""Mg II 2799"", ""z"": 4.2245}, {""line"": ""C IV 1549"", ""z"": 8.4367}, {""line"": ""[S III] 9531"", ""z"": 0.5338}, {""line"": ""Pa-beta"", ""z"": 0.1404}]",False,,,False,1,0,False,False,False,True,8,few_dithers|broad|recurrent_wavelength,False,0.0,0.0,True
-546009688275934976,2,2,OII3727,1,0,1.2870256,0.0009237488,6.528454e-15,2.2532557e-15,-821.86804,0.0069191977,93.59785,4.3,7.943433e-18,282,1.93,54.6009689,-27.59349761,,,0,386,-1.1876354,92.5126,,4087,EDF-F,OII3727,1,8671,0.1210793725598757,5081315613932656768,18.099602,2.391874,1.5142,14.4759,1.057,3.279,-3.143,VARIABLE,0.002860056888888889,False,True,False,2.4192517732359016,False,False,False,,,InGaAs telecom 1310,"[{""line"": ""H-alpha"", ""z"": 0.9606}, {""line"": ""[O III] 5007"", ""z"": 1.5698}, {""line"": ""H-beta"", ""z"": 1.6467}, {""line"": ""[O II] 3727"", ""z"": 2.4532}, {""line"": ""Ly-alpha"", ""z"": 9.587}, {""line"": ""Mg II 2799"", ""z"": 3.5986}, {""line"": ""C IV 1549"", ""z"": 7.3061}, {""line"": ""[S III] 9531"", ""z"": 0.3501}, {""line"": ""Pa-beta"", ""z"": 0.0038}]",False,,,False,0,0,False,False,False,True,3,few_dithers|recurrent_wavelength,False,0.0,0.0,True
-531915676278676232,1,4,OIII5008,1,0,1.7258215,0.002649207,4.787174e-15,3.907612e-15,281.56064,0.011194731,79.271805,0.0,-1.7002286e-17,282,1.63,53.19156761,-27.86762328,0.21144609,,0,386,-2.4942074,210.6557,1.2160411,393,EDF-F,OIII5008|SII6718|PaBeta,3,13966,0.5569248362269965,5057488849065016064,18.239008,2.597448,1.9786,16.8146,1.01,24.232,-23.267,NOT_AVAILABLE,0.0038351588888888887,False,True,False,2.9189744999700142,True,False,False,,,,"[{""line"": ""H-alpha"", ""z"": 1.629}, {""line"": ""[O III] 5007"", ""z"": 2.446}, {""line"": ""H-beta"", ""z"": 2.5491}, {""line"": ""[O II] 3727"", ""z"": 3.6305}, {""line"": ""Mg II 2799"", ""z"": 5.1664}, {""line"": ""C IV 1549"", ""z"": 10.138}, {""line"": ""[S III] 9531"", ""z"": 0.8103}, {""line"": ""Pa-beta"", ""z"": 0.346}]",False,,,False,0,0,False,True,False,True,11,few_dithers|broad|recurrent_wavelength,False,0.0,0.0,True
-524298913278887066,2,9,P9,1,0,1.3514436,0.0018286968,7.06993e-15,3.9273267e-15,-277.4493,0.0117175495,78.489624,0.0,2.5481878e-17,282,3.19,52.42989134,-27.88870662,0.0,,0,388,-0.10544968,981.9074,393.37616,4383,EDF-F,P9,1,3494,0.2330815724802577,5060419292368166016,17.228981,1.723017,1.3926,21.5454,0.995,-8.598,-8.126,NOT_AVAILABLE,0.0030032080000000003,False,True,False,3.9016776393776254,True,False,False,,H2O 1.4 band,InGaAs telecom 1310,"[{""line"": ""H-alpha"", ""z"": 1.0587}, {""line"": ""[O III] 5007"", ""z"": 1.6984}, {""line"": ""H-beta"", ""z"": 1.7792}, {""line"": ""[O II] 3727"", ""z"": 2.626}, {""line"": ""Ly-alpha"", ""z"": 10.1169}, {""line"": ""Mg II 2799"", ""z"": 3.8287}, {""line"": ""C IV 1549"", ""z"": 7.7219}, {""line"": ""[S III] 9531"", ""z"": 0.4176}, {""line"": ""Pa-beta"", ""z"": 0.054}]",True,2.11271,"[{""lambda_um"": 1.35144, ""line"": ""H-gamma""}, {""lambda_um"": 1.54235, ""line"": ""[O III] 4959""}]",False,0,1,False,True,False,True,4,few_dithers|broad|galaxy_pattern|recurrent_wavelength,False,0.0,0.0,True
-532964170279498971,2,4,H9,1,0,1.5320851,0.0004603876,5.704245e-15,1.8206308e-15,2371.7288,0.0031499693,77.137314,50.57,-2.4051001999999997e-18,212,19.32,53.29641704,-27.94989718,,,0,384,-0.9474106,327.01727,,1560,EDF-F,H9,1,13942,0.012521610342275226,5057484420955023872,14.669691,0.037499,0.1574,7.4057,0.993,13.87,-3.915,NOT_AVAILABLE,0.0034046335555555553,False,True,False,0.9252006856538192,False,False,True,[Fe II] 1.534,,Er fibre C-band,"[{""line"": ""H-alpha"", ""z"": 1.3339}, {""line"": ""[O III] 5007"", ""z"": 2.0591}, {""line"": ""H-beta"", ""z"": 2.1507}, {""line"": ""[O II] 3727"", ""z"": 3.1107}, {""line"": ""Ly-alpha"", ""z"": 11.6028}, {""line"": ""Mg II 2799"", ""z"": 4.4742}, {""line"": ""C IV 1549"", ""z"": 8.8877}, {""line"": ""[S III] 9531"", ""z"": 0.6071}, {""line"": ""Pa-beta"", ""z"": 0.1949}]",False,,,False,0,0,False,False,False,True,4,few_dithers|stellar_line|recurrent_wavelength,False,0.0,0.0,True
-512552762276777311,3,11,PaBeta,0,0,1.3249283,0.0010540271,8.02879e-15,2.3421907e-15,-22.208403,0.01798119,74.10873,5.73,3.6152036000000004e-16,282,2.23,51.25527624,-27.67773119,,,0,386,-3.003605,,529.8289,2887,EDF-F,PaBeta,1,5039,0.035922769506231224,5060658436148312704,17.372763,2.548544,3.4422,50.3432,1.037,84.612,49.118,VARIABLE,0.0029442851111111112,False,True,False,6.107149722743487,True,False,True,Fe II 1.321,,InGaAs telecom 1310,"[{""line"": ""H-alpha"", ""z"": 1.0183}, {""line"": ""[O III] 5007"", ""z"": 1.6455}, {""line"": ""H-beta"", ""z"": 1.7247}, {""line"": ""[O II] 3727"", ""z"": 2.5549}, {""line"": ""Ly-alpha"", ""z"": 9.8987}, {""line"": ""Mg II 2799"", ""z"": 3.734}, {""line"": ""C IV 1549"", ""z"": 7.5507}, {""line"": ""[S III] 9531"", ""z"": 0.3898}, {""line"": ""Pa-beta"", ""z"": 0.0334}]",False,,,False,0,0,False,False,False,True,26,few_dithers|broad|stellar_line|recurrent_wavelength,False,0.0,0.0,True
