list,name,um,kind,half_width_um,src,note
stellar,Pa-alpha,1.87561,line,0.0,NIST ASD (vacuum),
stellar,Pa-beta,1.28216,line,0.0,NIST ASD (vacuum),
stellar,Pa-gamma,1.09411,line,0.0,NIST ASD (vacuum),
stellar,Pa-delta,1.00521,line,0.0,NIST ASD (vacuum),
stellar,Pa-epsilon,0.95486,line,0.0,NIST ASD (vacuum),
stellar,Pa9,0.92315,line,0.0,NIST ASD (vacuum),
stellar,Pa10,0.90174,line,0.0,NIST ASD (vacuum),
stellar,Pa11,0.88652,line,0.0,NIST ASD (vacuum),
stellar,Pa12,0.87529,line,0.0,NIST ASD (vacuum),
stellar,Br-alpha,4.05226,line,0.0,NIST ASD (vacuum),
stellar,Br-beta,2.62587,line,0.0,NIST ASD (vacuum),
stellar,Br-gamma,2.16612,line,0.0,NIST ASD (vacuum),
stellar,Br-delta,1.94509,line,0.0,NIST ASD (vacuum),
stellar,Br9,1.81791,line,0.0,NIST ASD (vacuum),
stellar,Br10,1.73669,line,0.0,NIST ASD (vacuum),
stellar,Br11,1.68111,line,0.0,NIST ASD (vacuum),
stellar,Br12,1.64117,line,0.0,NIST ASD (vacuum),
stellar,Br13,1.61137,line,0.0,NIST ASD (vacuum),
stellar,Br14,1.58849,line,0.0,NIST ASD (vacuum),
stellar,Br15,1.5705,line,0.0,NIST ASD (vacuum),
stellar,Br16,1.55607,line,0.0,NIST ASD (vacuum),
stellar,Br17,1.54431,line,0.0,NIST ASD (vacuum),
stellar,Br18,1.5346,line,0.0,NIST ASD (vacuum),
stellar,Br19,1.52647,line,0.0,NIST ASD (vacuum),
stellar,Br20,1.5196,line,0.0,NIST ASD (vacuum),
stellar,Br21,1.51367,line,0.0,NIST ASD (vacuum),
stellar,Br22,1.50852,line,0.0,NIST ASD (vacuum),
stellar,Pf-beta,4.65378,line,0.0,NIST ASD (vacuum),
stellar,Pf-gamma,3.74056,line,0.0,NIST ASD (vacuum),
stellar,Pf-delta,3.29699,line,0.0,NIST ASD (vacuum),
