source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,phot_variable_flag,phot_bp_mean_mag,phot_rp_mean_mag,n_within_outer,brightest_outer_dmag,brightest_inner_dmag,isolated
1633314219439079552,269.24323553681,66.43886894419,-8.363,-0.861,0.7875,41.2451,14.998709,0.885231,1.052,NOT_AVAILABLE,15.359179,14.473948,0,,,True
1633314288158556416,269.2511416463,66.45303833991,-4.815,22.286,3.6239,281.8694,14.117727,1.421965,1.058,NOT_AVAILABLE,14.769531,13.347567,0,,,True
1633314524377401728,269.26018433666,66.45802235299,-4.618,16.942,0.9234,78.8398,13.882659,0.960993,1.026,NOT_AVAILABLE,14.280611,13.319618,0,,,True
1633317724132335488,268.80126292116,66.49570004875,-4.721,-7.507,0.7697,52.2648,14.493571,0.742728,0.918,NOT_AVAILABLE,14.782089,14.039361,0,,,True
1633317788552545664,268.88468378386,66.50661045225,-2.881,1.14,1.6801,107.6786,14.187916,1.019242,1.279,NOT_AVAILABLE,14.613171,13.593928,0,,,True
1633318961082965120,269.22494692162,66.56123817861,-4.711,-6.626,0.6194,40.0259,14.74288,0.842852,0.973,NOT_AVAILABLE,15.080334,14.237482,0,,,True
1633319098521888128,268.9716536988,66.51042939432,-15.993,22.698,2.9444,298.5028,13.50349,1.030785,1.01,NOT_AVAILABLE,13.937459,12.906674,0,,,True
1633319579558246528,269.15634997241,66.55877024738,3.554,-0.722,1.6227,144.257,12.567925,0.651589,1.199,NOT_AVAILABLE,12.816553,12.164964,0,,,True
1633321297545982720,269.29504460152,66.50585172859,0.116,-18.977,1.9176,129.2991,14.513378,1.062986,1.007,NOT_AVAILABLE,14.963464,13.900477,1,3.7487239837646484,,True
1633325626872217600,269.3228963567,66.59264443632,5.741,-2.75,2.2657,88.3563,14.196668,1.292629,2.435,NOT_AVAILABLE,14.761958,13.469329,1,3.9435415267944336,,True
1633367030356942208,269.26236406557,66.63067234445,-3.54,-4.376,0.9876,71.9831,14.494108,0.880798,1.008,NOT_AVAILABLE,14.852676,13.971878,0,,,True
1633367408314029056,268.96955127275,66.60177407352,-1.835,-4.053,0.7025,43.2074,14.595406,0.873896,1.078,NOT_AVAILABLE,14.950646,14.076751,0,,,True
1633367751911410304,268.97397797725,66.63875375232,-0.142,-4.716,1.0978,58.5877,14.94858,0.956977,0.943,NOT_AVAILABLE,15.342916,14.38594,0,,,True
1633367854990636544,269.07481661935,66.65105457734,1.28,-2.499,0.7651,85.4792,13.068934,1.288383,0.996,NOT_AVAILABLE,13.644042,12.355659,0,,,True
1633368026789336448,269.13969363592,66.65952055838,-19.128,14.223,2.4211,245.6416,13.306979,0.971405,1.058,NOT_AVAILABLE,13.711723,12.740318,1,4.974316596984863,,True
1633368095508825344,269.24211364198,66.67190073667,-1.538,17.585,1.6459,117.4446,14.275724,1.05368,1.083,NOT_AVAILABLE,14.719117,13.665437,1,3.6550350189208984,,True
1633370947367088768,269.08430654846,66.68397738451,-12.458,-16.139,1.8393,110.5027,14.813107,1.158593,1.048,NOT_AVAILABLE,15.314951,14.156358,0,,,True
