source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,phot_variable_flag,phot_bp_mean_mag,phot_rp_mean_mag,n_within_outer,brightest_outer_dmag,brightest_inner_dmag,isolated
5284157951441373568,91.03222603815,-66.68305026765,-24.6,-1.619,2.9964,304.9888,13.286996,1.058677,0.96,NOT_AVAILABLE,13.736658,12.677981,2,5.370209693908691,,True
5284158844794616576,91.2007423801,-66.64312275687,6.833,-3.85,1.1933,85.8504,14.543797,0.894713,0.988,NOT_AVAILABLE,14.90748,14.012767,0,,,True
5284159703788148480,91.07070494307,-66.64506565476,-3.457,2.108,0.8867,65.4004,14.36022,0.869978,0.958,NOT_AVAILABLE,14.711879,13.841901,2,4.286186218261719,,True
5284161043817790464,90.84736600255,-66.64094500388,1.211,12.189,1.1341,98.3426,12.481408,0.74255,1.044,NOT_AVAILABLE,12.77249,12.02994,6,4.328923225402832,,True
5284161318695740288,91.02653923096,-66.62414271329,-0.993,3.501,1.2041,130.37,12.555639,0.627018,1.036,NOT_AVAILABLE,12.793304,12.166286,1,6.414241790771484,,True
5284161318695750016,91.05855225395,-66.61865942814,4.716,11.185,2.2976,198.2117,14.018441,1.115865,0.961,NOT_AVAILABLE,14.500809,13.384944,1,4.923811912536621,,True
5284161387415204224,90.96782314191,-66.62728711965,-8.122,15.864,1.9419,177.9101,13.777945,0.913429,0.974,VARIABLE,14.150901,13.237472,2,4.872743606567383,,True
5284163930035888640,91.10977369653,-66.55432904693,-1.333,18.831,1.179,95.709,14.218344,0.842885,0.908,NOT_AVAILABLE,14.559005,13.71612,1,4.574670791625977,,True
5284164067474866176,91.20883508281,-66.52671873319,0.591,6.423,1.0157,46.4723,14.97693,0.962067,1.262,NOT_AVAILABLE,15.372607,14.410541,1,3.9165639877319336,,True
5284203100139402496,90.69555852289,-66.61566133493,13.329,-13.632,2.7294,243.268,13.549707,1.028101,0.937,NOT_AVAILABLE,13.983327,12.955226,0,,,True
5284204474528940800,90.67384147038,-66.55599142039,1.995,-17.744,1.4374,32.6687,13.985033,0.927267,3.635,NOT_AVAILABLE,14.363076,13.435809,4,3.798450469970703,,True
5284208975654850048,90.72955553869,-66.61123133056,4.605,8.069,1.6614,144.4783,12.839063,0.876169,1.068,NOT_AVAILABLE,13.197479,12.32131,1,5.340418815612793,,True
5284209594130194304,90.98471178164,-66.55076797087,0.491,-0.266,3.7576,243.9306,14.590756,1.589633,1.032,VARIABLE,15.339053,13.74942,2,3.8173513412475586,,True
5284210006447001216,90.70976022914,-66.57741507798,-12.685,-69.798,5.0229,358.3074,14.044889,1.639791,1.145,NOT_AVAILABLE,14.822422,13.182631,3,4.038520812988281,,True
5284210693641833856,90.99966260278,-66.49441628465,-8.739,16.541,0.6085,40.9969,14.700777,0.727783,0.899,NOT_AVAILABLE,14.981828,14.254045,1,3.3896350860595703,,True
5284210865440518656,90.96620041559,-66.48786860092,9.384,2.653,1.6815,181.0528,9.47985,1.026502,0.878,NOT_AVAILABLE,9.904804,8.878303,1,9.26050853729248,,True
5284211105958703872,91.05894791558,-66.53376128853,1.915,12.471,1.145,66.1389,14.123768,0.997488,1.475,NOT_AVAILABLE,14.538631,13.541143,2,4.6698150634765625,,True
5284212377269066496,91.20470424052,-66.4435176268,0.208,7.638,1.3631,108.0086,14.192093,0.838737,1.009,NOT_AVAILABLE,14.529859,13.691121,1,4.755426406860352,,True
