spec_id,wavelength,significance,ra,dec,redshift,simbad_id,simbad_otype,simbad_sptype,n_lines_in_spectrum,search_mode,data_release,route,identifier,n_exposures_in_file,n_tested,n_present,frac_present,combined_sig,combined_sig_raw,null_exposure_bias_sig,null_exposure_scatter,null_calibrated,stack_sig,stack_ew_A,stack_over_coadd_F,coadd_sig_cal,mean_F,chi2_p,dominant_frac,max_exposure_sig,ratio_to_coadd,coadd_recovered,on_sky_line,sky_corr,n_cosmic_flagged,persistence_class,basis,coadd_ew_A,coadd_sig,mean_exposure_ew_A,n_other_epochs,self_found,other_releases,other_best_sig,second_epoch,error,other_best_err_rel,known_line_match,known_line_label,known_line_wave_vac,known_line_dv_kms,known_line_frame,nearest_any_label,nearest_any_dv_kms,z0_star_label,z0_star_dv_kms,telluric_band,oh_gap_A,oh_density_per_100A,band_blue_label,band_blue_dA,band_red_label,band_red_dA,between_band_heads,n_other_candidates_within_3A,nearest_other_candidate_dA,plate_n_other_candidates,plate_other_fibre_same_wavelength,simbad_id_3as,simbad_otype_3as,simbad_sptype_3as,nist_context,verdict
003cda7d-5df0-11f0-a990-525400f334e1,6809.26129679685,16.794376191361504,47.488109,0.50493542,-0.0001665785821387,2MASS J03095713+0030176,LM*,M1V,1,emission,SDSS-DR17,sdss_full_spec,0412-51942-0465,5,5,5,1.0,13.806305149478746,13.547018593954094,-0.1572582758845537,1.0,True,11.646105995298836,6.240837688176584,0.9951483494263502,9.615054974750642,47.32252719765539,0.15867186065358346,0.2520721773469064,7.125368189194359,1.0136607672745201,True,False,0.7551523144322826,0,persistent,present at >= 2.5 sigma in 5/5 exposures; combined 13.8 sigma; chi2 p=0.16,6.300210479476263,10.542384263043639,7.019094212020674,8,True,SDSS-DR17,19.54821371498019,confirmed,,,False,sky OH,6755.16,2400.8,obs,Ni I,1804.9,Ni I,1754.7,,54.1,1.67,CaH head 6750.7,58.5,CaH head 6908.8,99.5,True,0,43.76,0,0,2MASS J03095713+0030176,LM*,M1V,,ALIVE_persistent_unidentified
019819d0-5e33-11f0-96e9-525400f334e1,8578.275698828089,14.684204780747876,36.270252,24.174448,-0.0004279093700461,,,,12,emission,SDSS-DR17,sdss_full_spec,3241-54884-0388,14,14,11,0.7857142857142857,12.28916355693361,14.105262904321386,0.47944409542306377,1.0,True,9.010458171335582,0.7940422515582903,0.993321636155495,9.06017704525984,27.656810298891656,0.7332277071298929,0.09612095024126767,5.017450280904906,0.8931048736701381,True,False,-0.7673580927483586,0,persistent,individual exposures are low S/N (max 5.0 sigma) but every one is consistent with the 12.3-sigma mean (chi2 p=0.73),0.7996636970051947,11.88600017085682,0.7436351405386254,0,True,,,none,,,False,H Paschen,8600.75,-655.4,star,H Paschen,-655.4,H Paschen,-783.5,,27.43,2.5,VO head 8519.7,58.6,VO head 8622.7,44.4,True,0,27.876,7,0,,,,,ALIVE_persistent_unidentified
05f8bfdd-5e2f-11f0-b9fb-525400f334e1,6969.473963563211,9.310528946200089,178.34694,37.221717,-2.69207976089092e-05,GALEX J115323.2+371318,WD*,DA,1,emission,SDSS-DR17,sdss_full_spec,2027-53433-0246,4,4,4,1.0,7.446970977797813,7.5756514513565,0.034304958064230964,1.0,True,6.310748797843319,5.480143462739499,0.9991973341372621,6.237034339327728,14.428769272296675,0.7493655563089512,0.30862559846858606,5.069365432139318,1.0702428054344864,True,True,0.2966622419283838,0,persistent,present at >= 2.5 sigma in 4/4 exposures; combined 7.4 sigma; chi2 p=0.75,5.460591703634664,7.676170291793453,5.774615853218925,0,True,,,none,,,False,sky OH,6980.32,-466.0,obs,sky OH,-466.0,CaH head,757.1,H2O 7200,10.85,5.0,CaH head 6951.7,17.7,TiO head 7056.0,86.5,True,1,1.605,0,0,GALEX J115323.2+371318,WD*,DA,,ALIVE_persistent_unidentified
00601e68-5e11-11f0-9362-525400f334e1,6856.460841231655,11.343743450289235,223.44484,14.514496,-1.5967427316354588e-05,,,,1,emission,SDSS-DR17,sdss_full_spec,2750-54242-0547,3,3,2,0.6666666666666666,7.222041747213118,7.099350070002505,-0.11907093525491488,1.0,True,5.865368899852708,1.4945254931381875,0.9316492835497966,5.929300277702074,18.249653418790764,0.3367910658763285,0.43841010336523445,5.226293271189635,0.9923310429488846,True,False,-0.9583710979026862,0,persistent,individual exposures are low S/N (max 5.2 sigma) but every one is consistent with the 7.2-sigma mean (chi2 p=0.34),1.6253644959741507,5.986721846506574,1.5264985312679855,0,True,,,none,,,False,sky OH,6865.79,-407.5,obs,sky OH,-407.5,CaH head,-2318.8,,9.33,4.17,CaH head 6751.8,104.7,CaH head 6909.8,53.3,True,0,47.2,0,0,,,,,ALIVE_persistent_unidentified
05fc1ec0-5e01-11f0-83d7-525400f334e1,7490.313585107577,10.13640779582352,147.32357,2.8148171,-8.593573875259608e-05,2MASS J09491765+0248534,LM*,M1V,1,emission,SDSS-DR17,sdss_full_spec,0571-52286-0247,5,5,2,0.4,6.186336578790708,6.441002951095308,0.09769593275542626,1.0,True,2.718966909711065,1.3042987927013965,0.980105202899559,3.273809774111764,13.787321931369384,0.49831243756065,0.2713744103079821,4.010566603719898,1.0371739204540262,True,False,0.5273133538257848,0,persistent,individual exposures are low S/N (max 4.0 sigma) but every one is consistent with the 6.2-sigma mean (chi2 p=0.5),1.3335867167815916,4.478749029050244,1.4024993020723053,1,True,SDSS-DR17,3.77824482977005,not_seen,,,False,N I,7470.37,826.3,star,N I,826.3,N I,800.5,,35.86,0.83,CN head 7438.4,51.9,TiO head 7590.7,100.4,True,0,6.486,0,0,2MASS J09491765+0248534,LM*,M1V,,ALIVE_persistent_unidentified
075ce8ef-5e39-11f0-9745-525400f334e1,6967.86936762078,8.88238459404239,169.34954,17.489308,0.0004660765116568,,,,1,emission,SDSS-DR17,sdss_full_spec,3327-54951-0356,5,5,3,0.6,5.429254883521236,5.511093774696378,0.02085274574878699,1.0,True,4.349558435403841,0.799375039114695,0.7711100788078833,5.209311689516184,7.544363188224385,0.7872137340261598,0.24606774306955942,2.85719993606473,0.7920095122018039,True,False,-0.9637692331480585,2,persistent,individual exposures are low S/N (max 2.9 sigma) but every one is consistent with the 5.4-sigma mean (chi2 p=0.79),1.0383476531420026,5.160794120404938,0.8615240758193383,0,True,,,none,,,False,sky OH,6980.32,-534.9,obs,sky OH,-534.9,CaH head,687.9,H2O 7200,12.46,5.0,CaH head 6955.2,12.7,TiO head 7059.4,91.6,True,1,1.605,1,0,,,,,ALIVE_persistent_unidentified
006e9247-85d7-11ef-a39b-525400f334e1,5078.400000000336,9.535372049643296,211.6492344952448,45.64944968327652,-0.0005685093098202,LAMOST J140635.81+453858.0,*,,24,absorption,DESI-DR1,desi_cframe,TARGETID 2305843020429263121 (main/backup/hpx10699),4,4,2,0.5,5.1140669515351185,6.348134801268223,-0.37739042377337434,1.3697489249665582,True,,,,3.9823226843397523,52.06233981731894,0.40172701685598167,0.3936070345756511,3.7101284508107737,1.0312130601922311,True,False,0.11625554979427163,0,persistent,individual exposures are low S/N (max 3.7 sigma) but every one is consistent with the 5.1-sigma mean (chi2 p=0.4),0.38067409099818583,4.851628627237379,0.4619747707752735,0,True,,,none,,,False,Y II,5088.84,-444.7,star,Y II,-444.7,Y II,-614.9,,161.76,0.0,TiO head 4953.2,125.2,C2 Swan 5163.7,85.3,True,0,6.4,0,0,LAMOST J140635.81+453858.0,*,,,ALIVE_persistent_unidentified
04254954-5e34-11f0-89f1-525400f334e1,8733.734791423198,14.77367430557088,120.74229,7.291201,0.0001720893051242,,,,5,emission,SDSS-DR17,sdss_full_spec,2076-53442-0479,7,6,6,1.0,10.71883343383657,10.562590657325927,-0.08495770253252485,1.0,True,18.747014776776137,10.258017196687298,1.4352671937634238,9.082258945258925,24.457817965332033,0.31102265855872374,0.24357134304305122,6.536731318895768,0.880234583007904,True,False,0.1089383400273175,0,persistent,present at >= 2.5 sigma in 6/6 exposures; combined 10.7 sigma; chi2 p=0.31,7.1782325154436135,9.062431889587934,5.957476604443119,0,True,,,none,,,True,N I,8731.3,32.1,star,N I,32.1,N I,83.7,,30.07,3.33,VO head 8627.9,105.9,TiO head 8863.4,129.6,True,0,18.265,4,0,,,,,KILLED_known_line_rest_frame
05c2336a-5e17-11f0-b7d5-525400f334e1,6603.892574785453,16.185117472714207,263.08011,7.017559,-0.0004502889933064,SDSS J173219.22+070103.1,*,,1,emission,SDSS-DR17,sdss_full_spec,2818-54616-0042,7,7,7,1.0,10.516966962599284,11.36861224674737,0.06520348035591039,1.0597350696869583,True,11.66848443106736,1.7325412097951352,0.9415538657060717,13.064178888771211,17.778104161204993,0.8928179040451855,0.1678005446356113,4.432292300427813,0.9492533275642724,True,True,0.6196634579717168,0,persistent,present at >= 2.5 sigma in 7/7 exposures; combined 10.5 sigma; chi2 p=0.89,1.8598988379719237,13.41439884998671,1.7551382233483344,0,True,,,none,,,True,sky OH,6605.92,-92.2,obs,Sc II,20.1,Sc II,-114.9,,2.03,8.33,ZrO head 6493.9,110.0,TiO head 6650.0,46.1,True,2,1.52,0,0,SDSS J173219.22+070103.1,*,,,KILLED_known_line_rest_frame
003d883c-88e8-11ef-847b-525400f334e1,6112.00000000008,12.146843689198157,184.16292796503947,-0.6270586195025074,0.0012733078721071,Gaia DR3 3698099848403791744,PM*,,25,absorption,DESI-DR1,desi_cframe,TARGETID 39627769696489720 (sv3/bright/hpx26276),4,4,2,0.5,9.091570470049836,8.583539354052233,-0.3358369994053365,1.0,True,,,,6.300187805776222,14.363764521442675,0.7560216148858456,0.3678273808431494,7.583929050776718,0.9810457265090736,True,False,-0.39523364915525944,0,persistent,individual exposures are low S/N (max 7.6 sigma) but every one is consistent with the 9.1-sigma mean (chi2 p=0.76),0.9549918527600852,7.05114272118866,1.0141276011136076,4,True,"DESI-DR1,DESI-EDR",7.991179054580125,confirmed,,,True,Ca I,6104.41,-8.9,star,Ca I,-8.9,Ca I,372.8,,6.51,3.33,YO head 5981.3,130.7,C2 Swan 6131.6,19.6,True,0,4.8,0,0,,,,,KILLED_known_line_rest_frame
